Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDOTECH,EQ,16-Mar-2006,130.00,135.00,248.00,135.00,242.50,239.10,218.66,16480728,36036.33,-,1319586,8.01
INDOTECH,EQ,17-Mar-2006,239.10,239.90,242.40,209.70,211.00,212.25,222.02,2935517,6517.34,-,326453,11.12
INDOTECH,EQ,20-Mar-2006,212.25,214.40,235.90,207.25,229.10,230.50,228.20,5008531,11429.32,-,277683,5.54
INDOTECH,EQ,21-Mar-2006,230.50,230.15,251.80,220.60,227.35,225.45,238.47,5090480,12139.45,-,332180,6.53
INDOTECH,EQ,22-Mar-2006,225.45,227.00,233.80,221.25,225.60,225.05,227.80,1792396,4083.06,-,105472,5.88
INDOTECH,EQ,23-Mar-2006,225.05,226.00,235.45,224.00,226.00,225.95,230.23,1157431,2664.72,-,74533,6.44
INDOTECH,EQ,24-Mar-2006,225.95,225.00,229.90,217.50,220.50,220.70,222.97,486354,1084.42,-,58193,11.97
INDOTECH,EQ,27-Mar-2006,220.70,222.60,224.50,215.05,216.25,216.45,218.61,327141,715.15,-,88494,27.05
INDOTECH,EQ,28-Mar-2006,216.45,217.00,217.00,200.00,201.60,202.95,209.24,217652,455.42,-,75451,34.67
INDOTECH,EQ,29-Mar-2006,202.95,203.70,221.40,203.70,214.95,215.90,215.16,540790,1163.59,-,61756,11.42
INDOTECH,EQ,30-Mar-2006,215.90,216.80,227.80,212.30,217.00,217.60,221.50,523568,1159.69,-,86451,16.51
INDOTECH,EQ,31-Mar-2006,217.60,218.00,222.40,215.00,216.70,215.85,218.37,145892,318.59,-,32377,22.19
INDOTECH,EQ,03-Apr-2006,215.85,218.30,220.00,214.25,216.00,215.40,217.34,140754,305.91,-,50396,35.80
INDOTECH,EQ,04-Apr-2006,215.40,218.40,224.45,212.00,218.95,218.70,218.46,181068,395.57,-,42868,23.68
INDOTECH,EQ,05-Apr-2006,218.70,219.00,222.70,216.05,221.00,220.55,219.98,139699,307.31,-,46493,33.28
INDOTECH,EQ,07-Apr-2006,220.55,218.00,222.90,210.10,212.00,212.75,216.56,97641,211.45,-,26050,26.68
INDOTECH,EQ,10-Apr-2006,212.75,212.50,214.65,207.00,209.00,208.90,210.62,60423,127.26,-,20655,34.18
INDOTECH,EQ,12-Apr-2006,208.90,211.40,214.45,199.00,200.05,201.80,207.46,89445,185.56,-,42610,47.64
INDOTECH,EQ,13-Apr-2006,201.80,203.00,205.00,187.95,191.25,191.05,193.68,85306,165.22,-,34546,40.50
INDOTECH,EQ,17-Apr-2006,191.05,193.40,204.20,193.40,201.25,201.75,200.40,123488,247.47,-,49586,40.15
INDOTECH,EQ,18-Apr-2006,201.75,204.40,212.00,203.00,209.00,208.40,207.75,112385,233.48,-,44874,39.93
INDOTECH,EQ,19-Apr-2006,208.40,212.40,214.90,195.00,196.90,200.15,207.87,175728,365.29,-,45442,25.86
INDOTECH,EQ,20-Apr-2006,200.15,210.00,214.00,202.50,208.75,208.70,208.93,159111,332.42,-,50065,31.47
INDOTECH,EQ,21-Apr-2006,208.70,210.00,211.45,202.00,204.00,203.40,205.68,53856,110.77,-,16925,31.43
INDOTECH,EQ,24-Apr-2006,203.40,205.10,244.10,204.00,244.10,244.10,230.20,718732,1654.55,-,232396,32.33
INDOTECH,EQ,25-Apr-2006,244.10,250.00,254.00,216.65,220.00,218.40,231.92,546594,1267.64,-,180646,33.05
INDOTECH,EQ,26-Apr-2006,218.40,222.00,232.50,215.40,222.70,221.90,224.99,367813,827.55,-,83019,22.57
INDOTECH,EQ,27-Apr-2006,221.90,223.20,230.80,217.10,218.00,219.45,224.73,166386,373.92,-,45757,27.50
INDOTECH,EQ,28-Apr-2006,219.45,218.00,218.00,192.30,214.20,213.05,211.32,86810,183.45,-,31167,35.90
INDOTECH,EQ,29-Apr-2006,213.05,216.75,222.95,212.25,218.25,218.30,218.41,35134,76.74,-,15696,44.67
INDOTECH,EQ,02-May-2006,218.30,223.00,224.20,216.80,218.00,217.50,220.80,45125,99.64,-,21624,47.92
INDOTECH,EQ,03-May-2006,217.50,220.40,222.00,212.05,214.00,214.45,216.46,44300,95.89,-,16515,37.28
INDOTECH,EQ,04-May-2006,214.45,216.65,229.00,214.40,221.00,220.80,222.35,116609,259.28,-,40994,35.16
INDOTECH,EQ,05-May-2006,220.80,220.00,223.70,219.20,221.50,220.05,220.23,50709,111.67,-,35144,69.31
INDOTECH,EQ,08-May-2006,220.05,223.00,240.00,221.05,227.90,227.95,232.11,174968,406.12,-,63790,36.46
INDOTECH,EQ,09-May-2006,227.95,232.00,235.00,226.05,227.00,228.60,229.69,68065,156.34,-,21921,32.21
INDOTECH,EQ,10-May-2006,228.60,229.00,233.00,221.25,225.05,226.80,229.79,47531,109.22,-,24770,52.11
