Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDTERRAIN,BE,11-Mar-2011,32.75,39.30,90.10,39.30,85.00,83.55,76.01,58455,44.43,-,-,-
INDTERRAIN,BE,14-Mar-2011,83.55,79.40,79.40,79.40,79.40,79.40,79.40,4738,3.76,-,-,-
INDTERRAIN,BE,15-Mar-2011,79.40,75.45,75.45,75.45,75.45,75.45,75.45,232,0.18,-,-,-
INDTERRAIN,BE,16-Mar-2011,75.45,71.70,74.95,71.70,71.70,71.70,71.75,12599,9.04,-,-,-
INDTERRAIN,BE,17-Mar-2011,71.70,68.15,71.00,68.15,68.15,68.15,68.16,15340,10.46,-,-,-
INDTERRAIN,BE,18-Mar-2011,68.15,65.15,67.90,64.75,64.75,65.00,64.86,9397,6.09,-,-,-
INDTERRAIN,BE,21-Mar-2011,65.00,61.75,66.50,61.75,66.50,63.35,62.78,1796,1.13,-,-,-
INDTERRAIN,BE,22-Mar-2011,63.35,63.10,66.55,63.10,66.55,66.55,65.14,1512,0.98,-,-,-
INDTERRAIN,BE,23-Mar-2011,66.55,69.90,69.90,66.65,69.00,69.00,69.74,15624,10.90,-,-,-
INDTERRAIN,BE,24-Mar-2011,69.00,66.25,69.80,66.25,69.80,69.80,68.08,9056,6.17,-,-,-
INDTERRAIN,EQ,25-Mar-2011,69.80,72.25,72.25,68.00,70.00,70.80,70.76,1350,0.96,-,789,58.44
INDTERRAIN,EQ,28-Mar-2011,70.80,70.00,70.00,65.50,67.30,67.80,67.88,1958,1.33,-,1569,80.13
INDTERRAIN,EQ,29-Mar-2011,67.80,62.20,70.00,62.20,66.20,66.20,67.12,226,0.15,-,215,95.13
INDTERRAIN,EQ,30-Mar-2011,66.20,64.25,69.00,64.25,67.10,67.10,67.53,1627,1.10,-,1444,88.75
INDTERRAIN,EQ,31-Mar-2011,67.10,70.00,70.00,66.10,70.00,70.00,68.42,1393,0.95,-,1243,89.23
INDTERRAIN,EQ,01-Apr-2011,70.00,70.00,74.90,64.10,72.00,71.45,67.51,9083,6.13,-,6883,75.78
INDTERRAIN,EQ,04-Apr-2011,71.45,68.00,75.85,68.00,75.85,74.90,74.38,2037,1.52,-,1974,96.91
INDTERRAIN,EQ,05-Apr-2011,74.90,71.80,74.90,71.80,71.80,72.95,72.58,1637,1.19,-,1330,81.25
INDTERRAIN,EQ,06-Apr-2011,72.95,76.70,76.70,70.30,73.25,73.10,71.76,4023,2.89,-,3847,95.63
INDTERRAIN,EQ,07-Apr-2011,73.10,72.10,73.00,72.10,73.00,72.95,72.74,746,0.54,-,746,100.00
INDTERRAIN,EQ,08-Apr-2011,72.95,73.00,76.40,70.25,75.20,75.30,74.49,3180,2.37,-,2709,85.19
INDTERRAIN,EQ,11-Apr-2011,75.30,73.60,76.80,73.60,74.10,74.10,74.66,876,0.65,-,426,48.63
INDTERRAIN,EQ,13-Apr-2011,74.10,71.00,77.00,71.00,73.10,73.10,73.07,865,0.63,-,797,92.14
INDTERRAIN,EQ,15-Apr-2011,73.10,75.00,75.10,66.25,71.10,71.10,73.57,3483,2.56,-,3440,98.77
INDTERRAIN,EQ,18-Apr-2011,71.10,74.00,77.50,71.10,74.95,74.95,74.86,662,0.50,-,656,99.09
INDTERRAIN,EQ,19-Apr-2011,74.95,60.10,75.95,60.10,72.00,72.60,73.76,2101,1.55,-,1405,66.87
INDTERRAIN,EQ,20-Apr-2011,72.60,60.00,75.00,60.00,74.00,73.05,72.77,2495,1.82,-,1985,79.56
INDTERRAIN,EQ,21-Apr-2011,73.05,68.20,73.00,68.20,71.40,71.40,71.51,2268,1.62,-,2112,93.12
INDTERRAIN,EQ,25-Apr-2011,71.40,68.00,77.70,68.00,77.10,77.35,76.93,1269,0.98,-,1261,99.37
INDTERRAIN,EQ,26-Apr-2011,77.35,74.00,76.00,74.00,76.00,76.00,75.20,224,0.17,-,224,100.00
INDTERRAIN,EQ,27-Apr-2011,76.00,78.00,78.00,72.40,75.95,74.00,73.45,12644,9.29,-,10324,81.65
INDTERRAIN,EQ,28-Apr-2011,74.00,73.50,76.45,73.50,76.45,75.55,74.93,2877,2.16,-,2876,99.97
INDTERRAIN,EQ,29-Apr-2011,75.55,75.00,79.80,72.00,75.00,74.60,74.01,920,0.68,-,760,82.61
INDTERRAIN,EQ,02-May-2011,74.60,74.90,80.00,74.90,80.00,79.30,77.14,1197,0.92,-,884,73.85
INDTERRAIN,EQ,03-May-2011,79.30,76.00,82.00,74.35,82.00,80.90,78.68,2182,1.72,-,2136,97.89
