Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LANABS,EQ,02-Jan-2006,113.50,115.85,115.85,112.00,113.50,113.75,113.36,2764,3.13,-,1485,53.73
LANABS,EQ,03-Jan-2006,113.75,110.20,118.95,110.20,117.50,117.55,116.86,10059,11.76,-,7082,70.40
LANABS,EQ,04-Jan-2006,117.55,115.35,122.00,115.35,118.60,118.20,119.71,25945,31.06,-,16489,63.55
LANABS,EQ,05-Jan-2006,118.20,119.00,119.50,116.15,117.75,117.55,118.03,4728,5.58,-,3726,78.81
LANABS,EQ,06-Jan-2006,117.55,119.05,119.05,115.25,116.05,116.95,116.99,10856,12.70,-,6983,64.32
LANABS,EQ,09-Jan-2006,116.95,118.35,118.40,116.00,116.25,116.70,116.94,9504,11.11,-,8851,93.13
LANABS,EQ,10-Jan-2006,116.70,116.70,117.65,115.20,115.25,115.30,116.00,3245,3.76,-,2678,82.53
LANABS,EQ,12-Jan-2006,115.30,114.95,117.70,114.95,116.40,115.75,115.97,5647,6.55,-,4090,72.43
LANABS,EQ,13-Jan-2006,115.75,115.05,117.80,114.10,114.10,114.65,116.27,16704,19.42,-,14158,84.76
LANABS,EQ,16-Jan-2006,114.65,117.50,117.90,114.05,115.35,115.00,115.48,7635,8.82,-,6191,81.09
LANABS,EQ,17-Jan-2006,115.00,115.00,118.60,113.60,113.60,113.90,115.07,12361,14.22,-,10119,81.86
LANABS,EQ,18-Jan-2006,113.90,114.50,114.85,110.45,111.00,111.25,111.74,6707,7.49,-,5625,83.87
LANABS,EQ,19-Jan-2006,111.25,113.00,116.00,113.00,114.55,114.95,114.84,3687,4.23,-,2950,80.01
LANABS,EQ,20-Jan-2006,114.95,114.10,115.15,113.60,114.00,114.20,114.32,5248,6.00,-,4437,84.55
LANABS,EQ,23-Jan-2006,114.20,115.00,115.25,113.25,114.90,114.05,114.55,5303,6.07,-,4695,88.53
LANABS,EQ,24-Jan-2006,114.05,115.50,116.40,113.25,113.30,113.45,114.52,4561,5.22,-,3470,76.08
LANABS,EQ,25-Jan-2006,113.45,114.20,114.95,112.30,112.50,112.75,113.57,3189,3.62,-,2810,88.12
LANABS,EQ,27-Jan-2006,112.75,117.10,122.50,112.50,117.20,117.70,118.76,74558,88.55,-,27843,37.34
LANABS,EQ,30-Jan-2006,117.70,119.00,119.90,116.00,116.50,117.25,118.29,16059,19.00,-,10921,68.01
LANABS,EQ,31-Jan-2006,117.25,118.50,118.50,115.05,115.50,115.30,115.73,6238,7.22,-,5438,87.18
LANABS,EQ,01-Feb-2006,115.30,114.00,114.50,112.05,113.50,113.10,113.23,5753,6.51,-,3838,66.71
LANABS,EQ,02-Feb-2006,113.10,114.90,114.90,112.00,113.00,113.25,112.88,11000,12.42,-,10495,95.41
LANABS,EQ,03-Feb-2006,113.25,110.30,112.55,110.30,111.00,111.50,111.53,8774,9.79,-,7616,86.80
LANABS,EQ,06-Feb-2006,111.50,110.10,116.75,110.10,113.00,113.40,111.64,14741,16.46,-,7140,48.44
LANABS,EQ,07-Feb-2006,113.40,113.10,113.75,112.00,113.00,112.80,112.67,8888,10.01,-,8081,90.92
LANABS,EQ,08-Feb-2006,112.80,113.00,113.00,110.60,111.15,111.45,111.69,15953,17.82,-,12744,79.88
LANABS,EQ,10-Feb-2006,111.45,111.00,113.70,110.60,113.10,113.45,112.03,15863,17.77,-,13001,81.96
LANABS,EQ,13-Feb-2006,113.45,113.00,113.00,111.00,111.25,111.50,111.57,7143,7.97,-,4112,57.57
LANABS,EQ,14-Feb-2006,111.50,112.75,113.50,109.35,110.70,110.10,111.91,7771,8.70,-,5672,72.99
LANABS,EQ,15-Feb-2006,110.10,112.75,113.00,110.25,110.40,110.75,111.53,5596,6.24,-,3737,66.78
LANABS,EQ,16-Feb-2006,110.75,112.45,115.50,111.55,114.20,112.85,113.51,6888,7.82,-,3089,44.85
LANABS,EQ,17-Feb-2006,112.85,111.60,112.70,110.10,111.00,110.80,111.31,5794,6.45,-,4143,71.51
LANABS,EQ,20-Feb-2006,110.80,110.05,111.30,110.00,111.20,111.05,110.66,8779,9.71,-,8200,93.40
LANABS,EQ,21-Feb-2006,111.05,111.05,111.90,111.00,111.00,111.35,111.16,4986,5.54,-,4257,85.38
LANABS,EQ,22-Feb-2006,111.35,113.60,113.60,111.00,111.00,111.00,111.28,6283,6.99,-,4710,74.96
LANABS,EQ,23-Feb-2006,111.00,111.00,112.60,111.00,111.50,111.50,111.71,4775,5.33,-,3788,79.33
LANABS,EQ,24-Feb-2006,111.50,111.20,111.55,111.00,111.10,111.10,111.02,8803,9.77,-,8503,96.59
LANABS,EQ,27-Feb-2006,111.10,112.00,112.50,111.00,112.50,112.05,111.46,1936,2.16,-,1552,80.17
LANABS,EQ,28-Feb-2006,112.05,111.00,113.20,111.00,112.00,111.55,112.24,6306,7.08,-,4211,66.78
LANABS,EQ,01-Mar-2006,111.55,111.50,112.25,110.35,112.00,111.85,111.59,4123,4.60,-,4066,98.62
LANABS,EQ,02-Mar-2006,111.85,112.00,112.25,111.05,111.95,111.20,111.58,5343,5.96,-,4472,83.70
LANABS,EQ,03-Mar-2006,111.20,111.00,111.90,111.00,111.00,111.20,111.35,2930,3.26,-,2423,82.70
LANABS,EQ,06-Mar-2006,111.20,111.15,112.50,111.00,111.50,111.50,111.64,5571,6.22,-,5206,93.45
LANABS,EQ,07-Mar-2006,111.50,111.30,112.70,111.25,112.00,111.85,112.10,4765,5.34,-,4618,96.92
LANABS,EQ,08-Mar-2006,111.85,111.00,126.85,111.00,118.00,118.35,120.67,91178,110.03,-,43976,48.23
LANABS,EQ,09-Mar-2006,118.35,120.40,124.00,117.05,122.25,121.90,121.49,48307,58.69,-,27162,56.23
LANABS,EQ,10-Mar-2006,121.90,123.40,136.00,123.40,136.00,135.15,130.76,232561,304.09,-,99473,42.77
