Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFRABEES,EQ,05-Oct-2010,378.19,440.00,440.00,376.50,376.50,380.30,384.21,14604,56.11,-,10346,70.84
INFRABEES,EQ,06-Oct-2010,380.30,386.00,386.00,380.00,383.00,383.00,385.11,1484,5.72,-,1262,85.04
INFRABEES,EQ,07-Oct-2010,383.00,385.00,386.00,380.75,384.90,384.87,385.17,863,3.32,-,823,95.37
INFRABEES,EQ,08-Oct-2010,384.87,384.00,384.00,377.00,377.00,378.33,379.36,1845,7.00,-,1824,98.86
INFRABEES,EQ,11-Oct-2010,378.33,382.00,382.00,376.00,378.00,378.00,378.88,339,1.28,-,272,80.24
INFRABEES,EQ,12-Oct-2010,378.00,376.00,376.00,371.00,373.00,372.90,373.45,572,2.14,-,566,98.95
INFRABEES,EQ,13-Oct-2010,372.90,374.50,379.00,373.00,379.00,375.42,378.76,15441,58.48,-,10468,67.79
INFRABEES,EQ,14-Oct-2010,375.42,383.00,383.00,372.00,374.00,374.00,374.79,505,1.89,-,467,92.48
INFRABEES,EQ,15-Oct-2010,374.00,375.00,375.00,370.00,370.00,370.00,371.46,477,1.77,-,477,100.00
INFRABEES,EQ,18-Oct-2010,370.00,368.00,368.00,363.00,367.00,367.00,365.16,1460,5.33,-,1204,82.47
INFRABEES,EQ,19-Oct-2010,367.00,371.00,371.00,365.00,368.00,368.00,369.65,193,0.71,-,173,89.64
INFRABEES,EQ,20-Oct-2010,368.00,368.00,368.00,360.00,360.10,362.78,362.77,175,0.63,-,170,97.14
INFRABEES,EQ,21-Oct-2010,362.78,366.00,368.00,362.00,366.00,365.16,365.65,295,1.08,-,279,94.58
INFRABEES,EQ,22-Oct-2010,365.16,373.00,373.00,369.00,369.00,369.00,370.88,305,1.13,-,305,100.00
INFRABEES,EQ,25-Oct-2010,369.00,371.00,372.00,366.05,372.00,372.00,370.74,544,2.02,-,532,97.79
INFRABEES,EQ,26-Oct-2010,372.00,370.00,370.00,366.50,369.00,369.00,369.74,97,0.36,-,97,100.00
INFRABEES,EQ,27-Oct-2010,369.00,368.00,368.00,367.90,368.00,368.00,367.97,489,1.80,-,489,100.00
INFRABEES,EQ,28-Oct-2010,368.00,366.00,366.00,363.05,364.00,364.00,364.12,562,2.05,-,559,99.47
INFRABEES,EQ,29-Oct-2010,364.00,362.50,362.50,357.00,360.00,358.85,360.35,608,2.19,-,584,96.05
INFRABEES,EQ,01-Nov-2010,358.85,365.99,366.00,365.00,365.50,365.50,365.88,365,1.34,-,365,100.00
INFRABEES,EQ,02-Nov-2010,365.50,365.50,368.00,365.50,367.00,367.00,366.59,261,0.96,-,261,100.00
INFRABEES,EQ,03-Nov-2010,367.00,371.50,371.50,368.00,368.00,368.00,368.67,119,0.44,-,119,100.00
INFRABEES,EQ,04-Nov-2010,368.00,373.00,373.00,368.00,369.00,369.88,368.98,484,1.79,-,457,94.42
INFRABEES,EQ,05-Nov-2010,369.88,376.00,400.00,375.00,376.00,381.67,378.59,758,2.87,-,758,100.00
INFRABEES,EQ,08-Nov-2010,381.67,375.00,375.00,370.00,374.00,372.03,371.78,1002,3.73,-,841,83.93
INFRABEES,EQ,09-Nov-2010,372.03,375.00,375.00,370.15,370.15,374.52,374.19,109,0.41,-,108,99.08
INFRABEES,EQ,10-Nov-2010,374.52,377.00,377.00,372.00,376.00,376.00,376.26,1146,4.31,-,1146,100.00
INFRABEES,EQ,11-Nov-2010,376.00,374.00,374.00,365.05,369.00,369.00,370.03,1297,4.80,-,976,75.25
INFRABEES,EQ,12-Nov-2010,369.00,367.00,367.00,362.00,364.00,363.81,363.81,367,1.34,-,367,100.00
INFRABEES,EQ,15-Nov-2010,363.81,363.00,363.00,357.00,360.00,359.95,359.53,928,3.34,-,927,99.89
INFRABEES,EQ,16-Nov-2010,359.95,360.00,360.00,352.00,352.00,352.00,352.44,1400,4.93,-,1400,100.00
INFRABEES,EQ,18-Nov-2010,352.00,360.00,360.00,349.00,352.00,352.00,352.36,448,1.58,-,415,92.63
INFRABEES,EQ,19-Nov-2010,352.00,352.00,353.00,350.05,350.05,350.05,352.17,372,1.31,-,372,100.00
INFRABEES,EQ,22-Nov-2010,350.05,352.00,352.00,352.00,352.00,352.00,352.00,74,0.26,-,74,100.00
INFRABEES,EQ,23-Nov-2010,352.00,351.00,368.00,346.00,346.00,346.00,349.14,867,3.03,-,847,97.69
INFRABEES,EQ,24-Nov-2010,346.00,349.00,349.00,345.00,345.00,345.00,348.47,189,0.66,-,189,100.00
INFRABEES,EQ,25-Nov-2010,345.00,345.00,345.00,340.00,340.80,340.64,342.82,413,1.42,-,360,87.17
INFRABEES,EQ,26-Nov-2010,340.64,340.00,340.00,325.00,333.50,333.50,332.15,11476,38.12,-,10516,91.63
INFRABEES,EQ,29-Nov-2010,333.50,333.00,333.00,326.50,328.50,328.50,330.64,191,0.63,-,164,85.86
INFRABEES,EQ,30-Nov-2010,328.50,330.00,339.00,329.50,339.00,339.00,334.19,153,0.51,-,145,94.77
INFRABEES,EQ,01-Dec-2010,339.00,340.00,342.00,335.00,342.00,342.00,338.54,458,1.55,-,158,34.50
INFRABEES,EQ,02-Dec-2010,342.00,350.00,350.50,345.95,345.95,345.95,346.60,180,0.62,-,156,86.67
INFRABEES,EQ,03-Dec-2010,345.95,360.00,360.00,343.00,343.00,343.00,345.43,139,0.48,-,139,100.00
INFRABEES,EQ,06-Dec-2010,343.00,347.75,348.75,344.00,345.50,345.50,347.12,291,1.01,-,291,100.00
INFRABEES,EQ,07-Dec-2010,345.50,340.00,343.00,340.00,343.00,343.00,342.20,97,0.33,-,71,73.20
INFRABEES,EQ,08-Dec-2010,343.00,344.00,344.00,340.00,340.75,340.75,341.22,77,0.26,-,77,100.00
INFRABEES,EQ,09-Dec-2010,340.75,340.75,340.75,335.00,335.00,335.94,336.41,171,0.58,-,171,100.00
INFRABEES,EQ,10-Dec-2010,335.94,330.00,335.00,325.70,332.50,332.50,332.61,269,0.89,-,256,95.17
INFRABEES,EQ,13-Dec-2010,332.50,333.00,339.00,332.00,339.00,333.74,334.61,413,1.38,-,293,70.94
INFRABEES,EQ,14-Dec-2010,333.74,340.70,340.70,335.80,337.00,337.96,337.98,92,0.31,-,87,94.57
INFRABEES,EQ,15-Dec-2010,337.96,342.50,342.50,337.00,340.50,340.50,339.34,776,2.63,-,76,9.79
INFRABEES,EQ,16-Dec-2010,340.50,340.50,341.00,336.00,341.00,340.95,338.68,174,0.59,-,124,71.26
INFRABEES,EQ,20-Dec-2010,340.95,340.00,340.00,333.00,334.55,334.55,336.02,463,1.56,-,325,70.19
INFRABEES,EQ,21-Dec-2010,334.55,339.00,339.00,332.80,335.00,335.00,335.94,130,0.44,-,120,92.31
INFRABEES,EQ,22-Dec-2010,335.00,340.00,340.00,335.00,336.00,336.00,337.69,130,0.44,-,130,100.00
INFRABEES,EQ,23-Dec-2010,336.00,339.00,339.00,335.00,336.50,336.50,336.80,58,0.20,-,58,100.00
INFRABEES,EQ,24-Dec-2010,336.50,333.30,335.00,333.20,335.00,335.00,334.04,105,0.35,-,105,100.00
INFRABEES,EQ,27-Dec-2010,335.00,342.00,342.50,337.00,339.50,339.50,340.36,210,0.71,-,160,76.19
INFRABEES,EQ,28-Dec-2010,339.50,339.00,339.00,335.10,335.50,335.50,336.23,37,0.12,-,37,100.00
INFRABEES,EQ,29-Dec-2010,335.50,340.00,340.00,339.00,339.00,339.00,339.59,111,0.38,-,111,100.00
INFRABEES,EQ,30-Dec-2010,339.00,342.00,342.95,340.10,342.89,342.83,342.61,231,0.79,-,231,100.00
INFRABEES,EQ,31-Dec-2010,342.83,343.50,348.25,341.75,347.50,347.50,343.39,1792,6.15,-,1369,76.40
INFRABEES,EQ,03-Jan-2011,347.50,350.00,350.50,347.75,349.99,349.99,349.53,345,1.21,-,345,100.00
INFRABEES,EQ,04-Jan-2011,349.99,350.50,350.50,345.00,349.00,349.00,347.48,412,1.43,-,412,100.00
INFRABEES,EQ,05-Jan-2011,349.00,349.00,349.00,344.00,344.00,344.00,346.90,103,0.36,-,103,100.00
INFRABEES,EQ,06-Jan-2011,344.00,340.80,341.25,339.00,341.00,341.02,340.77,249,0.85,-,249,100.00
INFRABEES,EQ,07-Jan-2011,341.02,341.00,341.00,329.50,330.00,331.80,335.21,328,1.10,-,318,96.95
INFRABEES,EQ,10-Jan-2011,331.80,330.00,330.00,324.00,324.25,324.60,326.48,895,2.92,-,806,90.06
INFRABEES,EQ,11-Jan-2011,324.60,325.00,327.50,321.50,322.00,321.87,323.76,672,2.18,-,669,99.55
INFRABEES,EQ,12-Jan-2011,321.87,321.80,325.00,316.50,320.10,320.10,319.96,414,1.32,-,394,95.17
INFRABEES,EQ,13-Jan-2011,320.10,325.00,328.25,323.50,323.50,323.50,324.87,81,0.26,-,80,98.77
INFRABEES,EQ,14-Jan-2011,323.50,321.50,326.50,321.00,321.00,321.00,322.53,957,3.09,-,957,100.00
INFRABEES,EQ,17-Jan-2011,321.00,316.00,320.00,312.00,314.50,312.67,314.92,1441,4.54,-,1093,75.85
INFRABEES,EQ,18-Jan-2011,312.67,317.00,317.00,310.00,315.00,315.00,313.08,230,0.72,-,187,81.30
INFRABEES,EQ,19-Jan-2011,315.00,356.00,356.00,309.25,313.00,313.00,313.74,159,0.50,-,139,87.42
INFRABEES,EQ,20-Jan-2011,313.00,314.00,314.00,310.50,313.25,313.25,311.71,115,0.36,-,115,100.00
INFRABEES,EQ,21-Jan-2011,313.25,309.00,315.00,309.00,313.50,313.50,312.88,289,0.90,-,263,91.00
