Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFOSYSTCH,EQ,02-Jan-2006,2996.85,3007.00,3007.00,2973.00,2979.00,2979.35,2985.36,415500,12404.17,-,214553,51.64
INFOSYSTCH,EQ,03-Jan-2006,2979.35,2990.00,3015.00,2979.05,3007.00,3006.90,2999.38,497496,14921.81,-,295611,59.42
INFOSYSTCH,EQ,04-Jan-2006,3006.90,3011.10,3065.00,2995.20,3064.00,3055.30,3038.08,784558,23835.47,-,396379,50.52
INFOSYSTCH,EQ,05-Jan-2006,3055.30,3064.00,3069.90,3041.25,3057.00,3054.90,3054.35,472285,14425.25,-,212640,45.02
INFOSYSTCH,EQ,06-Jan-2006,3054.90,3050.00,3070.00,3018.25,3064.90,3053.20,3040.53,1062988,32320.48,-,625442,58.84
INFOSYSTCH,EQ,09-Jan-2006,3053.20,3070.00,3079.90,3025.25,3032.20,3035.85,3042.29,1004424,30557.45,-,605157,60.25
INFOSYSTCH,EQ,10-Jan-2006,3035.85,3055.25,3055.25,2961.00,2972.00,2975.15,2981.52,1343815,40066.11,-,775866,57.74
INFOSYSTCH,EQ,12-Jan-2006,2975.15,2950.00,2950.00,2763.05,2831.20,2837.80,2822.36,4912611,138651.55,-,2500470,50.90
INFOSYSTCH,EQ,13-Jan-2006,2837.80,2850.00,2879.00,2831.00,2832.25,2844.60,2855.76,959981,27414.79,-,545034,56.78
INFOSYSTCH,EQ,16-Jan-2006,2844.60,2830.30,2855.00,2772.30,2776.20,2780.25,2809.80,1393033,39141.45,-,897262,64.41
INFOSYSTCH,EQ,17-Jan-2006,2780.25,2800.00,2812.95,2750.10,2770.00,2762.20,2785.78,942586,26258.34,-,502062,53.26
INFOSYSTCH,EQ,18-Jan-2006,2762.20,2770.00,2770.00,2700.10,2735.00,2739.90,2735.91,1300916,35591.87,-,659254,50.68
INFOSYSTCH,EQ,19-Jan-2006,2739.90,2750.00,2838.70,2750.00,2830.05,2820.90,2795.99,1115512,31189.59,-,608705,54.57
INFOSYSTCH,EQ,20-Jan-2006,2820.90,2845.00,2865.00,2802.00,2808.00,2813.60,2835.86,748813,21235.31,-,320243,42.77
INFOSYSTCH,EQ,23-Jan-2006,2813.60,2802.00,2802.00,2736.20,2751.00,2744.65,2758.27,1123937,31001.17,-,701794,62.44
INFOSYSTCH,EQ,24-Jan-2006,2744.65,2764.00,2831.00,2760.00,2822.00,2821.95,2808.12,794044,22297.68,-,489711,61.67
INFOSYSTCH,EQ,25-Jan-2006,2821.95,2831.00,2865.00,2811.10,2837.00,2827.85,2848.53,1077986,30706.70,-,711782,66.03
INFOSYSTCH,EQ,27-Jan-2006,2827.85,2855.00,2910.90,2848.00,2903.00,2902.90,2881.64,1047966,30198.59,-,710728,67.82
INFOSYSTCH,EQ,30-Jan-2006,2902.90,2900.00,2924.00,2852.15,2868.00,2862.85,2874.60,531561,15280.25,-,267017,50.23
INFOSYSTCH,EQ,31-Jan-2006,2862.85,2781.55,2890.00,2781.55,2885.20,2880.30,2879.30,304324,8762.40,-,170123,55.90
INFOSYSTCH,EQ,01-Feb-2006,2880.30,2886.00,2925.00,2857.05,2870.00,2876.05,2893.99,759749,21987.08,-,406487,53.50
INFOSYSTCH,EQ,02-Feb-2006,2876.05,2860.00,2910.00,2817.30,2828.00,2828.10,2854.34,743139,21211.69,-,394518,53.09
INFOSYSTCH,EQ,03-Feb-2006,2828.10,2828.00,2828.10,2781.25,2785.00,2786.80,2796.38,838993,23461.43,-,513582,61.21
INFOSYSTCH,EQ,06-Feb-2006,2786.80,2790.00,2850.05,2785.20,2849.00,2842.50,2829.11,528578,14954.06,-,278361,52.66
INFOSYSTCH,EQ,07-Feb-2006,2842.50,2840.00,2890.00,2830.35,2871.90,2872.60,2872.76,795304,22847.17,-,489191,61.51
INFOSYSTCH,EQ,08-Feb-2006,2872.60,2840.00,2910.00,2821.35,2905.00,2902.65,2880.62,1270419,36595.91,-,858693,67.59
INFOSYSTCH,EQ,10-Feb-2006,2902.65,2890.00,2920.00,2848.00,2863.00,2864.35,2870.99,1478753,42454.92,-,846562,57.25
INFOSYSTCH,EQ,13-Feb-2006,2864.35,2862.00,2880.00,2850.00,2855.00,2862.05,2868.82,863820,24781.45,-,639434,74.02
INFOSYSTCH,EQ,14-Feb-2006,2862.05,2864.80,2864.80,2816.60,2818.50,2821.90,2827.89,820373,23199.27,-,487792,59.46
INFOSYSTCH,EQ,15-Feb-2006,2821.90,2820.00,2844.70,2756.60,2767.00,2776.15,2785.63,1760846,49050.73,-,1095748,62.23
INFOSYSTCH,EQ,16-Feb-2006,2776.15,2780.00,2827.05,2772.65,2777.90,2781.10,2800.02,865536,24235.17,-,510503,58.98
INFOSYSTCH,EQ,17-Feb-2006,2781.10,2750.00,2798.00,2746.00,2775.00,2785.45,2779.54,960899,26708.56,-,588171,61.21
INFOSYSTCH,EQ,20-Feb-2006,2785.45,2785.00,2837.65,2750.00,2824.90,2828.40,2801.78,788270,22085.58,-,443981,56.32
INFOSYSTCH,EQ,21-Feb-2006,2828.40,2830.00,2843.70,2804.00,2817.00,2817.60,2823.75,534657,15097.35,-,266890,49.92
INFOSYSTCH,EQ,22-Feb-2006,2817.60,2817.00,2820.00,2781.30,2794.00,2800.50,2799.17,702403,19661.42,-,449386,63.98
INFOSYSTCH,EQ,23-Feb-2006,2800.50,2810.00,2840.90,2776.00,2793.00,2794.55,2796.44,1166765,32627.90,-,745392,63.89
INFOSYSTCH,EQ,24-Feb-2006,2794.55,2794.50,2809.90,2750.30,2756.95,2757.55,2768.98,625214,17312.02,-,330668,52.89
INFOSYSTCH,EQ,27-Feb-2006,2757.55,2770.00,2858.55,2767.35,2835.00,2850.55,2823.37,1197602,33812.78,-,734700,61.35
INFOSYSTCH,EQ,28-Feb-2006,2850.55,2858.55,2888.00,2802.55,2821.60,2828.95,2846.16,1378468,39233.44,-,743461,53.93
INFOSYSTCH,EQ,01-Mar-2006,2828.95,2819.00,2914.95,2795.00,2913.00,2905.15,2866.03,1285990,36856.90,-,795037,61.82
INFOSYSTCH,EQ,02-Mar-2006,2905.15,2910.00,2918.00,2845.00,2853.75,2854.30,2881.03,1091935,31458.96,-,667817,61.16
INFOSYSTCH,EQ,03-Mar-2006,2854.30,2860.00,2882.00,2801.05,2820.00,2824.35,2824.31,854241,24126.41,-,440886,51.61
INFOSYSTCH,EQ,06-Mar-2006,2824.35,2824.00,2876.90,2820.00,2860.00,2855.00,2850.86,664545,18945.25,-,383288,57.68
