Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IOB,EQ,02-Jan-2006,92.90,93.80,94.00,92.50,92.70,92.90,93.15,255417,237.92,-,133049,52.09
IOB,EQ,03-Jan-2006,92.90,93.60,96.00,93.10,94.80,94.85,94.48,619101,584.92,-,255060,41.20
IOB,EQ,04-Jan-2006,94.85,96.00,99.60,94.70,97.50,97.55,97.32,1282371,1247.95,-,654274,51.02
IOB,EQ,05-Jan-2006,97.55,98.80,106.90,98.00,105.00,104.90,102.77,3581182,3680.52,-,1805839,50.43
IOB,EQ,06-Jan-2006,104.90,105.25,114.95,105.10,113.50,113.25,109.51,3244671,3553.28,-,1486139,45.80
IOB,EQ,09-Jan-2006,113.25,114.45,134.40,110.35,128.70,119.15,114.95,3557932,4089.77,-,1502271,42.22
IOB,EQ,10-Jan-2006,119.15,121.00,128.00,116.00,116.80,117.40,120.58,5646310,6808.29,-,1689668,29.93
IOB,EQ,12-Jan-2006,117.40,117.00,117.90,113.00,114.15,114.60,115.29,3094911,3568.15,-,1817557,58.73
IOB,EQ,13-Jan-2006,114.60,114.00,118.90,114.00,114.65,114.55,116.37,1343482,1563.41,-,219570,16.34
IOB,EQ,16-Jan-2006,114.55,114.95,114.95,110.40,112.85,112.85,112.72,830381,936.03,-,275763,33.21
IOB,EQ,17-Jan-2006,112.85,113.40,116.65,110.50,114.80,114.85,114.41,1340405,1533.49,-,599284,44.71
IOB,EQ,18-Jan-2006,114.85,115.00,115.00,112.05,114.00,114.10,113.54,808122,917.51,-,357584,44.25
IOB,EQ,19-Jan-2006,114.10,114.65,116.00,114.00,114.05,114.60,114.89,275209,316.19,-,81722,29.69
IOB,EQ,20-Jan-2006,114.60,117.00,118.90,114.05,116.00,116.30,117.02,862058,1008.80,-,166986,19.37
IOB,EQ,23-Jan-2006,116.30,116.00,116.00,113.40,113.40,113.80,114.18,285364,325.84,-,109107,38.23
IOB,EQ,24-Jan-2006,113.80,114.05,115.40,110.95,112.00,111.30,113.04,345131,390.15,-,143286,41.52
IOB,EQ,25-Jan-2006,111.30,113.50,113.95,109.15,110.15,110.35,111.85,670497,749.96,-,228271,34.05
IOB,EQ,27-Jan-2006,110.35,111.60,116.45,111.60,114.50,114.55,114.51,605901,693.82,-,234167,38.65
IOB,EQ,30-Jan-2006,114.55,112.55,117.00,111.30,111.90,111.85,113.22,232335,263.06,-,110126,47.40
IOB,EQ,31-Jan-2006,111.85,112.80,114.80,111.00,112.00,111.80,112.63,312716,352.20,-,100122,32.02
IOB,EQ,01-Feb-2006,111.80,112.90,113.00,108.00,108.75,108.75,110.31,249990,275.77,-,116069,46.43
IOB,EQ,02-Feb-2006,108.75,109.80,111.00,103.00,104.20,104.15,104.59,932828,975.64,-,570045,61.11
IOB,EQ,03-Feb-2006,104.15,104.25,106.50,100.00,101.40,101.15,103.17,794678,819.88,-,386012,48.57
IOB,EQ,06-Feb-2006,101.15,102.40,104.85,100.10,104.10,103.90,103.20,1087668,1122.52,-,722501,66.43
IOB,EQ,07-Feb-2006,103.90,105.00,106.85,104.50,105.30,105.50,105.66,377134,398.48,-,98979,26.25
IOB,EQ,08-Feb-2006,105.50,107.00,108.50,105.50,106.10,106.05,106.30,290208,308.49,-,81228,27.99
IOB,EQ,10-Feb-2006,106.05,107.35,110.00,106.30,109.05,109.10,108.46,747835,811.09,-,275150,36.79
IOB,EQ,13-Feb-2006,109.10,110.70,111.00,108.00,109.25,109.15,109.41,310772,340.01,-,90842,29.23
IOB,EQ,14-Feb-2006,109.15,109.50,112.00,105.75,106.50,106.40,109.52,1183615,1296.25,-,501945,42.41
IOB,EQ,15-Feb-2006,106.40,107.00,108.90,105.05,106.00,106.00,106.35,435686,463.37,-,135919,31.20
IOB,EQ,16-Feb-2006,106.00,106.00,107.90,105.50,106.55,106.80,106.83,379054,404.93,-,175202,46.22
IOB,EQ,17-Feb-2006,106.80,106.20,107.45,102.05,102.60,102.70,104.67,216451,226.55,-,75618,34.94
IOB,EQ,20-Feb-2006,102.70,103.00,103.90,100.10,103.45,102.90,102.07,285226,291.14,-,76435,26.80
IOB,EQ,21-Feb-2006,102.90,103.60,104.00,101.50,102.50,101.80,102.71,152181,156.31,-,58467,38.42
IOB,EQ,22-Feb-2006,101.80,102.00,102.80,100.50,101.00,100.85,101.20,268840,272.05,-,79541,29.59
IOB,EQ,23-Feb-2006,100.85,100.90,101.85,98.55,100.30,99.70,99.90,264947,264.69,-,110117,41.56
IOB,EQ,24-Feb-2006,99.70,101.00,105.95,99.15,105.65,105.10,104.20,968978,1009.65,-,277139,28.60
IOB,EQ,27-Feb-2006,105.10,106.20,106.50,103.55,103.55,104.20,104.71,439800,460.52,-,159458,36.26
IOB,EQ,28-Feb-2006,104.20,105.25,105.50,100.50,101.45,101.50,102.91,436618,449.33,-,216803,49.66
IOB,EQ,01-Mar-2006,101.50,101.60,102.75,100.20,101.00,101.35,101.47,330209,335.05,-,152135,46.07
IOB,EQ,02-Mar-2006,101.35,102.00,104.45,101.60,102.80,102.10,102.89,510054,524.79,-,236869,46.44
