Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ITI,EQ,02-Jan-2006,81.60,81.90,83.70,80.05,80.95,81.00,81.97,2845281,2332.40,-,631055,22.18
ITI,EQ,03-Jan-2006,81.00,81.50,86.85,80.95,85.75,85.85,85.29,5865193,5002.18,-,1529709,26.08
ITI,EQ,04-Jan-2006,85.85,87.50,89.50,85.00,85.70,85.40,87.11,3789569,3301.22,-,1182323,31.20
ITI,EQ,05-Jan-2006,85.40,86.30,86.35,82.30,82.75,82.70,83.71,1738248,1455.07,-,478699,27.54
ITI,EQ,06-Jan-2006,82.70,83.40,85.50,81.00,81.65,81.55,83.15,2301787,1913.92,-,593872,25.80
ITI,EQ,09-Jan-2006,81.55,82.65,84.70,81.85,83.45,83.65,83.40,1946554,1623.41,-,414519,21.30
ITI,EQ,10-Jan-2006,83.65,84.00,86.70,82.25,83.10,83.30,84.32,2781559,2345.55,-,450830,16.21
ITI,EQ,12-Jan-2006,83.30,83.00,84.80,82.20,82.75,82.60,83.24,1451910,1208.63,-,257742,17.75
ITI,EQ,13-Jan-2006,82.60,82.75,84.20,81.15,81.50,81.60,82.89,926187,767.72,-,268298,28.97
ITI,EQ,16-Jan-2006,81.60,82.00,82.50,79.55,79.70,80.10,81.05,1315307,1066.11,-,321351,24.43
ITI,EQ,17-Jan-2006,80.10,80.00,82.50,75.70,76.35,76.60,79.91,1441849,1152.15,-,313587,21.75
ITI,EQ,18-Jan-2006,76.60,77.25,79.75,75.50,76.15,76.20,77.26,1234988,954.11,-,318764,25.81
ITI,EQ,19-Jan-2006,76.20,76.00,78.40,76.00,77.00,77.25,77.50,977602,757.61,-,307509,31.46
ITI,EQ,20-Jan-2006,77.25,77.90,78.90,76.65,76.65,76.95,77.81,795519,619.02,-,215149,27.05
ITI,EQ,23-Jan-2006,76.95,76.80,78.65,76.05,77.00,76.85,77.18,813152,627.57,-,149741,18.41
ITI,EQ,24-Jan-2006,76.85,78.00,78.00,75.25,75.60,75.85,76.83,573286,440.48,-,204975,35.75
ITI,EQ,25-Jan-2006,75.85,76.45,77.30,73.10,74.10,74.30,75.76,616339,466.93,-,217415,35.28
ITI,EQ,27-Jan-2006,74.30,75.00,75.75,71.35,71.35,71.75,72.97,680499,496.56,-,309137,45.43
ITI,EQ,30-Jan-2006,71.75,72.00,73.25,69.55,69.85,70.00,70.82,666529,472.05,-,255248,38.30
ITI,EQ,31-Jan-2006,70.00,70.50,76.40,68.60,74.50,74.45,73.94,2677763,1980.02,-,536998,20.05
ITI,EQ,01-Feb-2006,74.45,75.80,76.60,70.75,71.60,71.50,74.20,1821616,1351.62,-,526757,28.92
ITI,EQ,02-Feb-2006,71.50,72.40,72.45,69.70,69.90,70.10,70.70,841988,595.33,-,227516,27.02
ITI,EQ,03-Feb-2006,70.10,70.15,73.10,69.20,70.60,70.50,71.28,1237646,882.23,-,243268,19.66
ITI,EQ,06-Feb-2006,70.50,71.20,72.25,70.00,70.30,70.35,70.85,598967,424.39,-,146434,24.45
ITI,EQ,07-Feb-2006,70.35,70.95,72.85,70.50,71.35,71.55,71.57,941612,673.91,-,269765,28.65
ITI,EQ,08-Feb-2006,71.55,74.55,78.75,74.55,76.25,76.75,76.67,3103803,2379.67,-,957456,30.85
ITI,EQ,10-Feb-2006,76.75,77.25,77.70,74.10,74.30,74.55,75.17,1111302,835.34,-,313299,28.19
ITI,EQ,13-Feb-2006,74.55,74.95,74.95,72.60,73.20,72.90,73.29,499935,366.42,-,164103,32.82
ITI,EQ,14-Feb-2006,72.90,73.00,75.60,71.60,73.00,73.00,73.48,1069170,785.63,-,206164,19.28
ITI,EQ,15-Feb-2006,73.00,74.00,74.65,72.60,72.90,72.90,73.34,595449,436.71,-,171196,28.75
ITI,EQ,16-Feb-2006,72.90,74.00,74.00,71.80,72.05,72.15,72.90,435106,317.21,-,153282,35.23
ITI,EQ,17-Feb-2006,72.15,72.50,72.85,69.80,70.45,70.15,71.20,456633,325.14,-,162633,35.62
ITI,EQ,20-Feb-2006,70.15,70.20,70.70,69.20,69.75,69.75,69.78,582730,406.61,-,140841,24.17
ITI,EQ,21-Feb-2006,69.75,70.30,71.55,70.00,70.05,70.15,70.65,442840,312.88,-,109943,24.83
ITI,EQ,22-Feb-2006,70.15,70.40,72.75,69.70,70.05,70.25,71.15,864169,614.83,-,167144,19.34
ITI,EQ,23-Feb-2006,70.25,70.35,70.90,68.25,69.25,68.70,69.66,416161,289.91,-,150231,36.10
