Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JAGRAN,EQ,22-Feb-2006,320.00,361.00,392.00,265.10,270.50,270.90,289.54,17142208,49634.23,-,2194844,12.80
JAGRAN,EQ,23-Feb-2006,270.90,277.70,277.70,253.50,260.00,261.60,260.41,6303601,16415.17,-,400459,6.35
JAGRAN,EQ,24-Feb-2006,261.60,263.00,273.80,258.20,269.00,269.50,267.88,3892931,10428.19,-,306985,7.89
JAGRAN,EQ,27-Feb-2006,269.50,270.50,270.50,260.60,260.65,261.80,264.49,1036355,2741.09,-,179269,17.30
JAGRAN,EQ,28-Feb-2006,261.80,261.00,263.00,252.25,252.25,254.35,257.13,499934,1285.48,-,103569,20.72
JAGRAN,EQ,01-Mar-2006,254.35,254.70,258.70,250.00,254.15,255.35,254.43,614329,1563.05,-,184801,30.08
JAGRAN,EQ,02-Mar-2006,255.35,257.80,265.00,251.55,252.00,253.35,258.09,453730,1171.04,-,82492,18.18
JAGRAN,EQ,03-Mar-2006,253.35,254.00,254.90,249.05,252.15,252.65,252.22,297942,751.47,-,84238,28.27
JAGRAN,EQ,06-Mar-2006,252.65,253.00,261.65,250.10,258.00,257.75,256.16,392350,1005.04,-,140906,35.91
JAGRAN,EQ,07-Mar-2006,257.75,259.00,259.30,251.50,256.65,255.70,254.91,221148,563.72,-,102845,46.51
JAGRAN,EQ,08-Mar-2006,255.70,256.50,263.80,249.00,258.10,258.35,256.88,514190,1320.87,-,280615,54.57
JAGRAN,EQ,09-Mar-2006,258.35,260.00,289.65,258.90,288.10,285.20,277.23,2467341,6840.14,-,466892,18.92
JAGRAN,EQ,10-Mar-2006,285.20,290.00,293.00,273.65,273.65,275.75,284.52,558838,1590.00,-,134992,24.16
JAGRAN,EQ,13-Mar-2006,275.75,275.00,276.00,265.25,266.50,266.30,269.46,178698,481.52,-,46106,25.80
JAGRAN,EQ,14-Mar-2006,266.30,267.50,269.25,261.00,262.00,262.30,264.54,93917,248.45,-,28210,30.04
JAGRAN,EQ,16-Mar-2006,262.30,263.00,268.50,259.00,260.85,260.50,262.55,147496,387.25,-,59994,40.68
JAGRAN,EQ,17-Mar-2006,260.50,260.05,264.00,259.00,259.95,259.40,260.70,81160,211.59,-,52842,65.11
JAGRAN,EQ,20-Mar-2006,259.40,255.00,271.40,254.65,264.00,262.70,262.97,327661,861.65,-,79824,24.36
JAGRAN,EQ,21-Mar-2006,262.70,261.00,270.90,261.00,270.00,267.45,266.65,159456,425.19,-,60238,37.78
JAGRAN,EQ,22-Mar-2006,267.45,264.00,294.70,264.00,292.50,291.10,286.51,1488430,4264.51,-,372581,25.03
JAGRAN,EQ,23-Mar-2006,291.10,292.30,304.30,283.00,302.00,300.25,294.84,1842056,5431.12,-,262442,14.25
JAGRAN,EQ,24-Mar-2006,300.25,300.00,304.60,286.70,304.00,300.10,295.43,711401,2101.70,-,205460,28.88
JAGRAN,EQ,27-Mar-2006,300.10,300.50,321.00,294.05,320.00,314.35,309.77,594216,1840.70,-,429337,72.25
JAGRAN,EQ,28-Mar-2006,314.35,319.00,319.00,285.30,287.90,292.20,305.36,335525,1024.55,-,99776,29.74
JAGRAN,EQ,29-Mar-2006,292.20,291.40,305.00,288.60,292.90,294.35,297.26,294527,875.52,-,57516,19.53
JAGRAN,EQ,30-Mar-2006,294.35,295.40,297.50,288.10,290.10,290.85,292.72,152067,445.12,-,81971,53.90
JAGRAN,EQ,31-Mar-2006,290.85,293.00,300.00,290.00,292.05,294.45,294.92,140609,414.69,-,55180,39.24
JAGRAN,EQ,03-Apr-2006,294.45,295.00,297.70,288.70,290.00,291.70,293.30,116656,342.15,-,94780,81.25
JAGRAN,EQ,04-Apr-2006,291.70,293.00,293.65,288.00,288.05,289.50,290.38,53819,156.28,-,30517,56.70
JAGRAN,EQ,05-Apr-2006,289.50,289.00,295.00,289.00,291.50,292.95,292.87,34396,100.74,-,18158,52.79
JAGRAN,EQ,07-Apr-2006,292.95,294.00,298.00,284.65,284.65,287.85,289.84,47677,138.19,-,26032,54.60
JAGRAN,EQ,10-Apr-2006,287.85,290.90,290.90,284.00,285.00,285.15,285.58,25583,73.06,-,18206,71.16
JAGRAN,EQ,12-Apr-2006,285.15,286.00,290.00,282.00,286.50,287.00,287.31,47147,135.46,-,35783,75.90
JAGRAN,EQ,13-Apr-2006,287.00,284.00,287.00,270.00,276.00,274.25,276.30,57934,160.07,-,40304,69.57
JAGRAN,EQ,17-Apr-2006,274.25,275.00,281.80,273.00,280.10,278.45,276.95,18426,51.03,-,11106,60.27
JAGRAN,EQ,18-Apr-2006,278.45,285.00,292.00,275.25,276.80,279.45,284.77,70716,201.38,-,26354,37.27
JAGRAN,EQ,19-Apr-2006,279.45,279.40,292.00,279.40,284.60,285.10,286.37,87140,249.55,-,37004,42.47
JAGRAN,EQ,20-Apr-2006,285.10,285.00,314.90,285.00,309.00,308.80,305.88,558831,1709.36,-,230350,41.22
JAGRAN,EQ,21-Apr-2006,308.80,310.00,310.00,298.20,300.00,303.10,303.99,122768,373.21,-,50369,41.03
JAGRAN,EQ,24-Apr-2006,303.10,302.90,302.90,295.05,298.50,299.50,299.33,54623,163.50,-,39650,72.59
JAGRAN,EQ,25-Apr-2006,299.50,300.00,311.45,292.50,292.50,298.25,303.78,81719,248.25,-,30247,37.01
JAGRAN,EQ,26-Apr-2006,298.25,300.00,304.50,297.00,299.00,298.95,299.75,36093,108.19,-,19463,53.92
JAGRAN,EQ,27-Apr-2006,298.95,302.00,311.00,300.00,301.20,302.10,304.43,98070,298.55,-,41149,41.96
JAGRAN,EQ,28-Apr-2006,302.10,250.00,298.00,250.00,296.65,295.40,294.75,69118,203.73,-,56259,81.40
JAGRAN,EQ,29-Apr-2006,295.40,305.00,305.00,275.00,277.00,282.20,284.24,36777,104.53,-,27868,75.78
JAGRAN,EQ,02-May-2006,282.20,289.50,297.00,286.00,294.00,294.95,294.82,375644,1107.46,-,356216,94.83
JAGRAN,EQ,03-May-2006,294.95,290.00,304.80,290.00,295.00,295.15,295.30,109818,324.30,-,89703,81.68
JAGRAN,EQ,04-May-2006,295.15,304.00,304.00,293.00,296.00,295.10,295.24,31799,93.88,-,21424,67.37
JAGRAN,EQ,05-May-2006,295.10,298.00,300.00,295.00,296.60,296.20,296.16,47388,140.34,-,41679,87.95
JAGRAN,EQ,08-May-2006,296.20,296.00,318.40,296.00,298.00,298.00,298.63,34183,102.08,-,24951,72.99
JAGRAN,EQ,09-May-2006,298.00,296.00,299.50,295.05,296.00,296.10,296.58,32083,95.15,-,27290,85.06
JAGRAN,EQ,10-May-2006,296.10,297.75,299.00,296.00,297.00,297.05,296.86,49656,147.41,-,46577,93.80
JAGRAN,EQ,11-May-2006,297.05,298.90,300.00,295.00,296.50,297.00,296.42,22002,65.22,-,19037,86.52
