Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JAYAGROGN,EQ,02-Jan-2006,165.95,166.00,173.50,166.00,173.00,171.90,171.32,18355,31.45,-,14823,80.76
JAYAGROGN,EQ,03-Jan-2006,171.90,175.00,189.10,168.15,189.10,189.10,187.03,106230,198.68,-,51466,48.45
JAYAGROGN,EQ,04-Jan-2006,189.10,192.30,198.00,181.00,185.00,186.50,189.62,89712,170.11,-,29653,33.05
JAYAGROGN,EQ,05-Jan-2006,186.50,187.00,187.00,179.00,179.50,182.40,182.49,8333,15.21,-,3890,46.68
JAYAGROGN,EQ,06-Jan-2006,182.40,181.95,187.45,176.50,177.55,180.50,180.58,8932,16.13,-,6303,70.57
JAYAGROGN,EQ,09-Jan-2006,180.50,180.45,180.50,177.10,177.50,177.65,178.64,1414,2.53,-,932,65.91
JAYAGROGN,EQ,10-Jan-2006,177.65,176.50,178.00,172.50,172.50,173.30,175.37,2011,3.53,-,1585,78.82
JAYAGROGN,EQ,12-Jan-2006,173.30,176.00,178.90,172.05,172.80,174.25,174.34,1607,2.80,-,1296,80.65
JAYAGROGN,EQ,13-Jan-2006,174.25,179.00,179.00,170.00,170.00,170.75,173.14,1680,2.91,-,1188,70.71
JAYAGROGN,EQ,16-Jan-2006,170.75,172.10,187.85,172.10,187.85,187.00,185.23,16495,30.55,-,11780,71.42
JAYAGROGN,EQ,17-Jan-2006,187.00,201.00,201.00,184.10,190.00,189.60,190.56,41029,78.18,-,21131,51.50
JAYAGROGN,EQ,18-Jan-2006,189.60,188.90,188.90,181.35,182.00,182.40,182.90,8981,16.43,-,6680,74.38
JAYAGROGN,EQ,19-Jan-2006,182.40,185.90,188.25,180.10,180.10,183.95,186.27,10983,20.46,-,8018,73.00
JAYAGROGN,EQ,20-Jan-2006,183.95,184.70,194.00,183.00,186.00,187.05,188.50,19263,36.31,-,8620,44.75
JAYAGROGN,EQ,23-Jan-2006,187.05,176.00,187.95,176.00,182.50,182.50,183.49,9710,17.82,-,7570,77.96
JAYAGROGN,EQ,24-Jan-2006,182.50,183.90,189.10,180.00,184.00,187.25,187.07,7318,13.69,-,5120,69.96
JAYAGROGN,EQ,25-Jan-2006,187.25,189.00,189.90,184.10,184.10,185.70,188.14,18643,35.08,-,13060,70.05
JAYAGROGN,EQ,27-Jan-2006,185.70,185.55,185.95,181.00,183.00,182.75,183.45,4238,7.77,-,2590,61.11
JAYAGROGN,EQ,30-Jan-2006,182.75,187.00,187.00,173.00,173.00,175.40,179.47,4953,8.89,-,4142,83.63
JAYAGROGN,EQ,31-Jan-2006,175.40,175.00,175.75,171.90,171.90,171.95,173.91,1440,2.50,-,1290,89.58
JAYAGROGN,EQ,01-Feb-2006,171.95,171.75,173.00,164.00,164.00,166.45,169.47,2338,3.96,-,2295,98.16
JAYAGROGN,EQ,02-Feb-2006,166.45,168.00,170.50,165.00,165.00,166.45,168.61,2908,4.90,-,2646,90.99
JAYAGROGN,EQ,03-Feb-2006,166.45,168.75,168.75,163.90,163.90,164.20,165.09,1950,3.22,-,1451,74.41
JAYAGROGN,EQ,06-Feb-2006,164.20,180.00,180.00,164.00,166.25,168.15,169.13,3554,6.01,-,2699,75.94
JAYAGROGN,EQ,07-Feb-2006,168.15,169.75,175.00,167.50,170.20,171.65,170.16,60941,103.70,-,46524,76.34
JAYAGROGN,EQ,08-Feb-2006,171.65,173.50,182.00,172.00,173.00,174.70,175.66,17783,31.24,-,3431,19.29
