Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JBMAUTOCOM,EQ,02-Jan-2006,127.00,126.50,128.90,126.50,128.90,127.10,127.03,514,0.65,-,513,99.81
JBMAUTOCOM,EQ,03-Jan-2006,127.10,129.95,129.95,124.00,128.00,126.25,127.56,1070,1.36,-,1058,98.88
JBMA,EQ,04-Jan-2006,126.25,129.95,131.40,129.00,131.35,129.75,130.49,377,0.49,-,292,77.45
JBMA,EQ,05-Jan-2006,129.75,130.00,136.25,125.00,133.00,133.80,131.71,2638,3.47,-,1931,73.20
JBMA,EQ,06-Jan-2006,133.80,140.00,140.50,135.40,135.60,136.80,139.65,4609,6.44,-,3349,72.66
JBMA,EQ,09-Jan-2006,136.80,139.00,140.50,135.25,140.50,139.40,138.74,3926,5.45,-,3000,76.41
JBMA,EQ,10-Jan-2006,139.40,139.00,145.95,135.00,143.00,143.00,141.02,7724,10.89,-,5530,71.60
JBMA,EQ,12-Jan-2006,143.00,147.00,147.00,136.00,136.00,138.35,140.43,1288,1.81,-,658,51.09
JBMA,EQ,13-Jan-2006,138.35,139.00,145.30,139.00,145.30,145.30,145.24,48908,71.03,-,44646,91.29
JBMA,EQ,16-Jan-2006,145.30,149.90,150.00,143.30,145.00,144.75,147.29,7317,10.78,-,3876,52.97
JBMA,EQ,17-Jan-2006,144.75,148.10,149.50,138.10,145.00,144.95,148.34,26338,39.07,-,24300,92.26
JBMA,EQ,18-Jan-2006,144.95,142.10,142.20,138.05,139.10,139.10,139.43,1693,2.36,-,1015,59.95
JBMA,EQ,19-Jan-2006,139.10,142.00,146.10,142.00,146.05,146.05,145.51,2555,3.72,-,2464,96.44
JBMA,EQ,20-Jan-2006,146.05,148.55,150.00,145.50,149.00,148.95,148.80,14210,21.14,-,13662,96.14
JBMA,EQ,23-Jan-2006,148.95,149.70,156.40,144.20,156.40,156.00,154.21,43635,67.29,-,28571,65.48
JBMA,EQ,24-Jan-2006,156.00,161.00,162.15,155.60,155.75,156.45,160.40,12360,19.83,-,9964,80.61
JBMA,EQ,25-Jan-2006,156.45,162.00,162.00,151.20,154.00,154.15,156.78,6532,10.24,-,3345,51.21
JBMA,EQ,27-Jan-2006,154.15,154.00,155.95,147.55,151.00,152.35,153.57,3753,5.76,-,2034,54.20
JBMA,EQ,30-Jan-2006,152.35,151.90,151.90,144.75,144.75,144.90,145.81,845,1.23,-,789,93.37
JBMA,EQ,31-Jan-2006,144.90,144.40,148.00,144.40,145.10,145.35,145.45,914,1.33,-,835,91.36
JBMA,EQ,01-Feb-2006,145.35,145.00,145.00,138.15,139.90,139.55,140.32,3776,5.30,-,3129,82.87
JBMA,EQ,02-Feb-2006,139.55,139.40,141.00,134.00,136.75,136.15,136.85,3226,4.41,-,2027,62.83
JBMA,EQ,03-Feb-2006,136.15,129.55,141.00,129.55,135.85,135.85,133.65,733,0.98,-,662,90.31
JBMA,EQ,06-Feb-2006,135.85,136.00,140.45,136.00,137.25,137.25,137.95,3289,4.54,-,3118,94.80
JBMA,EQ,07-Feb-2006,137.25,140.00,140.00,136.10,138.10,139.80,138.81,1631,2.26,-,1465,89.82
JBMA,EQ,08-Feb-2006,139.80,136.15,138.95,132.85,132.85,132.85,133.90,1184,1.59,-,1000,84.46
JBMA,EQ,10-Feb-2006,132.85,136.90,138.50,132.15,138.50,138.50,136.57,309,0.42,-,200,64.72
JBMA,EQ,13-Feb-2006,138.50,132.00,141.90,132.00,135.00,135.00,133.48,2251,3.00,-,2097,93.16
JBMA,EQ,14-Feb-2006,135.00,136.00,138.60,134.00,134.00,134.00,135.05,449,0.61,-,241,53.67
JBMA,EQ,15-Feb-2006,134.00,133.00,133.00,121.00,122.00,122.70,124.84,3026,3.78,-,2906,96.03
JBMA,EQ,16-Feb-2006,122.70,125.00,135.00,125.00,135.00,135.00,134.21,13402,17.99,-,9845,73.46
JBMA,EQ,17-Feb-2006,135.00,137.00,147.00,123.00,128.00,126.95,137.14,17285,23.70,-,8517,49.27
JBMA,EQ,20-Feb-2006,126.95,126.20,134.80,114.60,131.90,129.40,124.38,9026,11.23,-,5008,55.48
JBMA,EQ,21-Feb-2006,129.40,134.00,136.95,125.05,129.00,127.75,132.75,5291,7.02,-,2296,43.39
JBMA,EQ,22-Feb-2006,127.75,129.10,130.45,122.00,125.00,125.90,126.35,1370,1.73,-,388,28.32
JBMA,EQ,23-Feb-2006,125.90,128.25,138.50,128.25,138.45,135.10,133.23,8741,11.65,-,7124,81.50
JBMA,EQ,24-Feb-2006,135.10,132.00,135.90,132.00,132.00,133.35,133.26,2705,3.60,-,1018,37.63
JBMA,EQ,27-Feb-2006,133.35,135.90,136.00,129.95,129.95,130.90,131.86,948,1.25,-,776,81.86
JBMA,EQ,28-Feb-2006,130.90,133.00,134.75,131.25,134.50,133.90,133.74,1857,2.48,-,785,42.27
JBMA,EQ,01-Mar-2006,133.90,137.00,137.00,132.50,134.00,133.90,133.80,861,1.15,-,787,91.41
JBMA,EQ,02-Mar-2006,133.90,133.00,135.00,129.30,133.20,130.95,131.03,223,0.29,-,206,92.38
JBMA,EQ,03-Mar-2006,130.95,128.00,130.00,127.15,130.00,130.00,127.85,186,0.24,-,156,83.87
JBMA,EQ,06-Mar-2006,130.00,142.80,142.80,124.20,138.00,135.65,134.63,14226,19.15,-,3236,22.75
JBMA,EQ,07-Mar-2006,135.65,136.00,136.00,133.00,133.10,133.20,133.33,1857,2.48,-,1682,90.58
JBMA,EQ,08-Mar-2006,133.20,135.50,135.50,127.05,127.05,130.05,133.09,1120,1.49,-,916,81.79
JBMA,EQ,09-Mar-2006,130.05,128.50,133.00,124.10,127.00,127.00,128.80,1469,1.89,-,1232,83.87
JBMA,EQ,10-Mar-2006,127.00,126.00,131.90,123.50,126.00,126.00,127.26,4495,5.72,-,2859,63.60
JBMA,EQ,13-Mar-2006,126.00,130.00,137.00,130.00,136.00,134.75,134.39,6126,8.23,-,4583,74.81
JBMA,EQ,14-Mar-2006,134.75,137.85,140.00,134.00,138.40,138.85,137.94,11724,16.17,-,8725,74.42
JBMA,EQ,16-Mar-2006,138.85,140.60,149.00,140.50,146.50,147.15,143.97,63547,91.49,-,48009,75.55
JBMA,EQ,17-Mar-2006,147.15,147.00,151.95,136.20,140.00,142.10,149.58,108896,162.89,-,103980,95.49
JBMA,EQ,20-Mar-2006,142.10,143.00,144.80,136.00,136.00,136.45,142.15,1583,2.25,-,1360,85.91
JBMA,EQ,21-Mar-2006,136.45,133.75,138.90,132.65,136.20,136.20,133.88,1323,1.77,-,871,65.84
JBMA,EQ,22-Mar-2006,136.20,144.90,144.90,125.15,130.60,130.55,135.02,2693,3.64,-,581,21.57
JBMA,EQ,23-Mar-2006,130.55,136.00,140.00,130.15,140.00,137.50,136.05,2498,3.40,-,2069,82.83
JBMA,EQ,24-Mar-2006,137.50,132.05,136.00,131.00,136.00,133.30,132.70,1277,1.69,-,1051,82.30
JBMA,EQ,27-Mar-2006,133.30,138.00,138.00,132.00,134.50,134.50,134.98,1950,2.63,-,150,7.69
JBMA,EQ,28-Mar-2006,134.50,131.00,134.00,125.40,129.00,129.00,129.93,10581,13.75,-,8005,75.65
JBMA,EQ,29-Mar-2006,129.00,141.00,141.00,124.60,134.00,133.60,132.10,381,0.50,-,81,21.26
JBMA,EQ,30-Mar-2006,133.60,135.90,138.75,130.75,130.75,130.75,134.58,350,0.47,-,300,85.71
