Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JINDALSAW,EQ,02-Jan-2006,398.00,402.50,403.50,395.00,400.00,397.45,399.15,73864,294.83,-,62904,85.16
JINDALSAW,EQ,03-Jan-2006,397.45,398.95,400.00,395.60,398.95,399.00,398.00,48174,191.73,-,41059,85.23
JINDALSAW,EQ,04-Jan-2006,399.00,402.00,404.95,395.00,395.00,395.65,398.72,34708,138.39,-,20620,59.41
JINDALSAW,EQ,05-Jan-2006,395.65,396.00,403.90,393.05,400.00,399.00,398.94,33949,135.44,-,23657,69.68
JINDALSAW,EQ,06-Jan-2006,399.00,400.00,402.00,395.10,399.00,398.95,399.07,49362,196.99,-,42138,85.37
JINDALSAW,EQ,09-Jan-2006,398.95,398.95,404.75,395.00,400.00,399.75,399.37,36621,146.25,-,30689,83.80
JINDALSAW,EQ,10-Jan-2006,399.75,402.80,402.80,392.00,392.65,393.70,396.32,28045,111.15,-,22226,79.25
JINDALSAW,EQ,12-Jan-2006,393.70,393.90,398.00,387.00,390.00,394.15,392.05,18145,71.14,-,14800,81.57
JINDALSAW,EQ,13-Jan-2006,394.15,394.50,401.70,380.00,388.00,385.20,391.82,45293,177.47,-,36727,81.09
JINDALSAW,EQ,16-Jan-2006,385.20,395.00,395.00,376.00,377.55,377.85,384.04,39318,151.00,-,31395,79.85
JINDALSAW,EQ,17-Jan-2006,377.85,380.00,382.00,376.10,379.00,379.05,379.07,41502,157.32,-,36085,86.95
JINDALSAW,EQ,18-Jan-2006,379.05,380.00,385.00,370.50,375.05,375.85,374.84,27242,102.11,-,22086,81.07
JINDALSAW,EQ,19-Jan-2006,375.85,381.80,396.90,374.00,396.90,392.25,388.72,23585,91.68,-,17122,72.60
JINDALSAW,EQ,20-Jan-2006,392.25,397.00,398.00,382.25,382.25,386.10,389.33,17771,69.19,-,11871,66.80
JINDALSAW,EQ,23-Jan-2006,386.10,385.00,385.00,376.10,380.00,381.35,381.42,40531,154.59,-,33109,81.69
JINDALSAW,EQ,24-Jan-2006,381.35,390.00,390.00,380.00,383.90,383.55,383.40,27447,105.23,-,22500,81.98
JINDALSAW,EQ,25-Jan-2006,383.55,384.20,390.00,384.10,386.00,386.75,386.26,12214,47.18,-,11002,90.08
JINDALSAW,EQ,27-Jan-2006,386.75,389.00,400.90,385.10,396.00,398.35,396.67,92303,366.13,-,66697,72.26
JINDALSAW,EQ,30-Jan-2006,398.35,399.80,403.50,390.00,395.85,394.85,395.41,45093,178.30,-,33967,75.33
