Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JINDALSTEL,EQ,02-Jan-2006,1581.05,1561.00,1590.00,1555.00,1560.10,1562.10,1573.31,4409,69.37,-,2218,50.31
JINDALSTEL,EQ,03-Jan-2006,1562.10,1579.00,1614.70,1562.05,1585.00,1576.20,1586.00,38977,618.18,-,28605,73.39
JINDALSTEL,EQ,04-Jan-2006,1576.20,1600.00,1600.00,1540.00,1580.00,1578.70,1580.31,28438,449.41,-,22968,80.77
JINDALSTEL,EQ,05-Jan-2006,1578.70,1564.00,1600.00,1560.15,1593.90,1591.90,1587.83,8363,132.79,-,6545,78.26
JINDALSTEL,EQ,06-Jan-2006,1591.90,1580.00,1600.00,1578.00,1590.00,1593.40,1595.86,19133,305.34,-,13049,68.20
JINDALSTEL,EQ,09-Jan-2006,1593.40,1585.00,1600.00,1571.10,1582.45,1582.25,1592.05,14695,233.95,-,10577,71.98
JINDALSTEL,EQ,10-Jan-2006,1582.25,1600.00,1600.00,1559.00,1569.90,1569.15,1569.92,6476,101.67,-,4851,74.91
JINDALSTEL,EQ,12-Jan-2006,1569.15,1533.10,1597.00,1505.95,1528.00,1527.60,1531.06,14600,223.53,-,9301,63.71
JINDALSTEL,EQ,13-Jan-2006,1527.60,1545.00,1550.00,1512.00,1520.00,1519.60,1532.32,9869,151.22,-,6538,66.25
JINDALSTEL,EQ,16-Jan-2006,1519.60,1510.00,1539.90,1486.00,1494.95,1492.05,1502.07,20233,303.91,-,15483,76.52
JINDALSTEL,EQ,17-Jan-2006,1492.05,1524.90,1524.90,1433.00,1455.05,1450.60,1470.22,8323,122.37,-,5051,60.69
JINDALSTEL,EQ,18-Jan-2006,1450.60,1450.00,1477.00,1419.10,1455.00,1453.50,1447.15,6246,90.39,-,3733,59.77
JINDALSTEL,EQ,19-Jan-2006,1453.50,1480.00,1483.85,1460.00,1470.00,1471.50,1473.00,4953,72.96,-,3187,64.34
JINDALSTEL,EQ,20-Jan-2006,1471.50,1470.00,1518.90,1450.00,1458.85,1459.25,1482.52,13060,193.62,-,9298,71.19
JINDALSTEL,EQ,23-Jan-2006,1459.25,1460.00,1468.00,1436.00,1445.00,1445.75,1454.70,11786,171.45,-,9593,81.39
JINDALSTEL,EQ,24-Jan-2006,1445.75,1412.25,1490.00,1412.10,1439.50,1436.75,1439.97,10266,147.83,-,7380,71.89
JINDALSTEL,EQ,25-Jan-2006,1436.75,1465.00,1509.95,1420.00,1499.95,1490.75,1463.83,61755,903.99,-,29320,47.48
JINDALSTEL,EQ,27-Jan-2006,1490.75,1525.00,1650.00,1467.00,1600.00,1592.10,1557.51,47125,733.97,-,29575,62.76
JINDALSTEL,EQ,30-Jan-2006,1592.10,1600.00,1614.00,1484.60,1561.90,1560.40,1545.66,37750,583.49,-,16704,44.25
JINDALSTEL,EQ,31-Jan-2006,1560.40,1578.65,1584.95,1532.10,1550.00,1554.90,1561.04,31140,486.11,-,22122,71.04
JINDALSTEL,EQ,01-Feb-2006,1554.90,1521.00,1560.00,1510.00,1526.00,1525.45,1536.51,5305,81.51,-,4357,82.13
JINDALSTEL,EQ,02-Feb-2006,1525.45,1486.00,1543.00,1486.00,1520.00,1517.30,1524.75,8736,133.20,-,5789,66.27
JINDALSTEL,EQ,03-Feb-2006,1517.30,1525.00,1525.00,1480.00,1490.05,1491.90,1500.81,2812,42.20,-,2132,75.82
JINDALSTEL,EQ,06-Feb-2006,1491.90,1500.00,1505.00,1461.00,1465.00,1466.45,1490.74,29323,437.13,-,21612,73.70
JINDALSTEL,EQ,07-Feb-2006,1466.45,1480.00,1485.65,1440.00,1446.00,1451.40,1471.44,17047,250.84,-,12039,70.62
JINDALSTEL,EQ,08-Feb-2006,1451.40,1497.45,1517.95,1450.00,1457.50,1455.95,1460.22,7746,113.11,-,5037,65.03
JINDALSTEL,EQ,10-Feb-2006,1455.95,1491.35,1510.00,1460.00,1473.80,1472.15,1472.51,19838,292.12,-,11451,57.72
JINDALSTEL,EQ,13-Feb-2006,1472.15,1450.25,1514.70,1450.25,1500.00,1500.95,1496.60,23639,353.78,-,16297,68.94
JINDALSTEL,EQ,14-Feb-2006,1500.95,1509.45,1509.95,1451.05,1466.00,1461.40,1475.46,4651,68.62,-,2884,62.01
JINDALSTEL,EQ,15-Feb-2006,1461.40,1498.00,1498.00,1450.25,1477.95,1470.65,1466.47,3927,57.59,-,1877,47.80
JINDALSTEL,EQ,16-Feb-2006,1470.65,1464.60,1503.00,1450.00,1465.00,1466.60,1477.37,4161,61.47,-,1838,44.17
JINDALSTEL,EQ,17-Feb-2006,1466.60,1441.10,1550.00,1441.10,1492.00,1496.05,1515.90,53628,812.95,-,33982,63.37
JINDALSTEL,EQ,20-Feb-2006,1496.05,1481.10,1510.00,1466.00,1486.00,1487.95,1494.59,12914,193.01,-,5885,45.57
JINDALSTEL,EQ,21-Feb-2006,1487.95,1507.55,1520.00,1486.10,1491.00,1499.05,1506.13,5581,84.06,-,2421,43.38
JINDALSTEL,EQ,22-Feb-2006,1499.05,1510.00,1525.00,1490.00,1516.05,1519.00,1515.78,18984,287.75,-,13320,70.16
JINDALSTEL,EQ,23-Feb-2006,1519.00,1544.00,1544.00,1490.05,1495.00,1502.10,1523.93,183151,2791.09,-,128015,69.90
JINDALSTEL,EQ,24-Feb-2006,1502.10,1505.00,1514.00,1470.00,1480.00,1480.35,1490.51,12723,189.64,-,8595,67.55
JINDALSTEL,EQ,27-Feb-2006,1480.35,1499.85,1500.00,1481.05,1492.00,1495.00,1494.04,11132,166.32,-,9643,86.62
JINDALSTEL,EQ,28-Feb-2006,1495.00,1504.00,1560.00,1500.00,1520.00,1528.60,1527.12,51368,784.45,-,29308,57.05
JINDALSTEL,EQ,01-Mar-2006,1528.60,1530.00,1600.00,1502.00,1599.95,1596.60,1571.82,17643,277.32,-,8772,49.72
JINDALSTEL,EQ,02-Mar-2006,1596.60,1649.95,1649.95,1550.00,1569.00,1573.65,1597.95,19584,312.94,-,10303,52.61
JINDALSTEL,EQ,03-Mar-2006,1573.65,1603.75,1719.90,1540.00,1690.10,1699.80,1658.77,113845,1888.42,-,51137,44.92
JINDALSTEL,EQ,06-Mar-2006,1699.80,1720.00,1862.00,1710.00,1795.10,1809.65,1811.37,169858,3076.76,-,90691,53.39
JINDALSTEL,EQ,07-Mar-2006,1809.65,1829.00,1829.00,1765.00,1795.00,1791.45,1792.24,135182,2422.79,-,99380,73.52
JINDALSTEL,EQ,08-Mar-2006,1791.45,1795.25,1869.80,1751.10,1755.50,1769.45,1809.22,110096,1991.87,-,61417,55.78
JINDALSTEL,EQ,09-Mar-2006,1769.45,1789.90,1806.90,1730.05,1796.00,1798.35,1771.40,54149,959.19,-,32147,59.37
JINDALSTEL,EQ,10-Mar-2006,1798.35,1810.00,1839.95,1774.00,1785.00,1786.85,1804.74,45540,821.88,-,30743,67.51
JINDALSTEL,EQ,13-Mar-2006,1786.85,1799.00,1799.00,1722.00,1740.00,1740.20,1759.79,29341,516.34,-,18038,61.48
JINDALSTEL,EQ,14-Mar-2006,1740.20,1730.00,1799.00,1700.25,1705.05,1724.00,1741.21,19347,336.87,-,12129,62.69
JINDALSTEL,EQ,16-Mar-2006,1724.00,1743.95,1743.95,1676.05,1691.00,1683.85,1697.25,68641,1165.01,-,47432,69.10
JINDALSTEL,EQ,17-Mar-2006,1683.85,1650.55,1730.00,1650.55,1697.90,1696.00,1709.07,77753,1328.85,-,46297,59.54
JINDALSTEL,EQ,20-Mar-2006,1696.00,1710.00,1728.90,1676.00,1720.00,1724.40,1715.10,69583,1193.41,-,45128,64.85
JINDALSTEL,EQ,21-Mar-2006,1724.40,1725.45,1755.00,1670.00,1689.10,1683.55,1730.17,45063,779.67,-,18687,41.47
JINDALSTEL,EQ,22-Mar-2006,1683.55,1689.00,1718.00,1670.00,1690.00,1688.85,1695.71,52734,894.22,-,33956,64.39
JINDALSTEL,EQ,23-Mar-2006,1688.85,1699.00,1770.00,1690.00,1746.05,1749.55,1730.21,59696,1032.87,-,19333,32.39
JINDALSTEL,EQ,24-Mar-2006,1749.55,1757.90,1783.00,1745.35,1762.90,1763.50,1766.39,52206,922.16,-,30862,59.12
JINDALSTEL,EQ,27-Mar-2006,1763.50,1779.00,1830.10,1765.00,1810.10,1819.05,1805.13,72816,1314.42,-,37156,51.03
JINDALSTEL,EQ,28-Mar-2006,1819.05,1832.00,1845.00,1775.00,1835.00,1810.95,1807.08,83305,1505.39,-,52463,62.98
JINDALSTEL,EQ,29-Mar-2006,1810.95,1840.00,1859.90,1810.10,1830.00,1830.10,1838.89,55007,1011.52,-,26206,47.64
JINDALSTEL,EQ,30-Mar-2006,1830.10,1831.35,1860.00,1810.10,1824.90,1820.15,1833.30,75270,1379.93,-,45796,60.84
JINDALSTEL,EQ,31-Mar-2006,1820.15,1847.00,1929.00,1774.00,1915.00,1895.80,1894.79,61438,1164.12,-,38579,62.79
JINDALSTEL,EQ,03-Apr-2006,1895.80,1927.00,1999.45,1901.35,1971.35,1955.85,1943.74,25416,494.02,-,7300,28.72
JINDALSTEL,EQ,04-Apr-2006,1955.85,2024.80,2024.90,1975.00,1995.50,1997.80,1997.61,43047,859.91,-,18896,43.90
JINDALSTEL,EQ,05-Apr-2006,1997.80,2020.00,2058.90,1975.00,1980.00,1985.05,2005.68,14484,290.50,-,7045,48.64
JINDALSTEL,EQ,07-Apr-2006,1985.05,1998.80,2070.00,1852.00,1900.00,1901.30,1981.72,83119,1647.19,-,44784,53.88
JINDALSTEL,EQ,10-Apr-2006,1901.30,1926.00,2029.00,1870.00,1992.00,2009.25,1981.70,62778,1244.07,-,35638,56.77
JINDALSTEL,EQ,12-Apr-2006,2009.25,2019.95,2019.95,1901.00,1924.00,1924.20,1989.42,38445,764.83,-,18060,46.98
JINDALSTEL,EQ,13-Apr-2006,1924.20,1949.00,1949.00,1760.05,1849.90,1840.70,1850.53,35131,650.11,-,14115,40.18
JINDALSTEL,EQ,17-Apr-2006,1840.70,1868.70,2000.00,1840.80,1985.70,1974.45,1906.55,99441,1895.89,-,63327,63.68
JINDALSTEL,EQ,18-Apr-2006,1974.45,1990.00,2013.95,1952.00,1960.00,1962.10,1985.46,46035,914.01,-,11701,25.42
JINDALSTEL,EQ,19-Apr-2006,1962.10,1984.00,2012.00,1940.00,1942.00,1958.85,1986.07,59889,1189.44,-,29842,49.83
JINDALSTEL,EQ,20-Apr-2006,1958.85,1964.95,2005.00,1940.00,1954.90,1958.70,1976.90,26779,529.39,-,9166,34.23
JINDALSTEL,EQ,21-Apr-2006,1958.70,1954.00,1979.95,1895.05,1925.00,1933.25,1927.53,27521,530.47,-,13422,48.77
JINDALSTEL,EQ,24-Apr-2006,1933.25,1950.00,1998.00,1905.15,1920.00,1927.05,1931.97,22043,425.86,-,14635,66.39
JINDALSTEL,EQ,25-Apr-2006,1927.05,1929.45,1929.45,1816.05,1827.80,1828.20,1884.04,18411,346.87,-,9099,49.42
JINDALSTEL,EQ,26-Apr-2006,1828.20,1877.95,1925.00,1805.00,1865.25,1879.15,1864.10,23848,444.55,-,9245,38.77
JINDALSTEL,EQ,27-Apr-2006,1879.15,1920.00,1950.00,1815.05,1847.70,1845.15,1865.60,52649,982.22,-,34229,65.01
JINDALSTEL,EQ,28-Apr-2006,1845.15,1793.00,1900.00,1780.00,1857.00,1845.60,1826.49,22114,403.91,-,12476,56.42
JINDALSTEL,EQ,29-Apr-2006,1845.60,1790.00,1900.00,1789.00,1890.00,1893.90,1877.03,5664,106.31,-,3400,60.03
JINDALSTEL,EQ,02-May-2006,1893.90,1919.00,2006.00,1896.00,1989.95,1989.05,1964.93,74573,1465.31,-,50334,67.50
JINDALSTEL,EQ,03-May-2006,1989.05,2025.00,2061.00,1930.05,2000.00,2007.75,2021.32,99180,2004.75,-,42478,42.83
JINDALSTEL,EQ,04-May-2006,2007.75,2030.00,2068.70,1980.00,1990.00,2008.10,2029.47,43932,891.59,-,16021,36.47
JINDALSTEL,EQ,05-May-2006,2008.10,2029.00,2039.95,1962.00,1980.00,1981.15,2003.03,20579,412.20,-,4892,23.77
JINDALSTEL,EQ,08-May-2006,1981.15,2000.00,2028.00,1961.00,1975.15,1985.00,1987.90,21743,432.23,-,9027,41.52
JINDALSTEL,EQ,09-May-2006,1985.00,1990.00,2010.00,1940.00,1981.00,1993.20,1976.39,22810,450.81,-,8503,37.28
JINDALSTEL,EQ,10-May-2006,1993.20,1999.00,2078.00,1975.25,2050.10,2062.15,2038.10,39456,804.15,-,14864,37.67
JINDALSTEL,EQ,11-May-2006,2062.15,2050.00,2126.00,2050.00,2073.90,2075.45,2093.84,35844,750.51,-,8730,24.36
JINDALSTEL,EQ,12-May-2006,2075.45,2077.00,2188.00,2010.00,2129.90,2136.70,2140.08,75932,1625.00,-,28759,37.87
JINDALSTEL,EQ,15-May-2006,2136.70,2129.95,2150.00,1940.25,1964.70,1965.70,2005.65,90537,1815.86,-,56568,62.48
JINDALSTEL,EQ,16-May-2006,1965.70,1955.00,1975.00,1700.00,1950.10,1952.30,1837.37,98843,1816.11,-,65954,66.73
JINDALSTEL,EQ,17-May-2006,1952.30,1950.05,2059.90,1950.05,2009.10,2015.00,2020.24,124685,2518.93,-,98525,79.02
JINDALSTEL,EQ,18-May-2006,2015.00,1998.55,1999.75,1750.00,1810.00,1809.95,1863.17,50440,939.78,-,29508,58.50
JINDALSTEL,EQ,19-May-2006,1809.95,1850.00,1900.00,1680.00,1733.00,1715.10,1741.93,52482,914.20,-,36414,69.38
JINDALSTEL,EQ,22-May-2006,1715.10,1749.95,1749.95,1400.00,1710.00,1661.05,1628.37,59719,972.45,-,47306,79.21
JINDALSTEL,EQ,23-May-2006,1661.05,1689.95,1784.00,1551.00,1712.25,1769.50,1670.16,25309,422.70,-,15538,61.39
JINDALSTEL,EQ,24-May-2006,1769.50,1670.05,1779.90,1650.55,1715.00,1720.25,1740.01,37367,650.19,-,21228,56.81
JINDALSTEL,EQ,25-May-2006,1720.25,1681.00,1735.00,1601.10,1688.00,1696.80,1696.04,124619,2113.59,-,78545,63.03
JINDALSTEL,EQ,26-May-2006,1696.80,1720.00,1805.00,1704.95,1750.55,1767.35,1773.07,29423,521.69,-,7799,26.51
JINDALSTEL,EQ,29-May-2006,1767.35,1756.00,1808.00,1731.00,1740.00,1739.40,1761.15,39602,697.45,-,28957,73.12
JINDALSTEL,EQ,30-May-2006,1739.40,1771.00,1825.00,1751.35,1771.15,1784.20,1794.90,58611,1052.01,-,26193,44.69
JINDALSTEL,EQ,31-May-2006,1784.20,1715.35,1825.00,1645.05,1816.50,1807.10,1727.68,32645,564.00,-,18667,57.18
JINDALSTEL,EQ,01-Jun-2006,1807.10,1850.00,1850.00,1680.00,1682.00,1706.80,1777.08,15079,267.97,-,4153,27.54
JINDALSTEL,EQ,02-Jun-2006,1706.80,1725.00,1890.00,1650.00,1787.00,1782.15,1733.91,29363,509.13,-,11322,38.56
JINDALSTEL,EQ,05-Jun-2006,1782.15,1848.00,1848.00,1710.00,1728.50,1737.30,1772.89,16533,293.11,-,5529,33.44
JINDALSTEL,EQ,06-Jun-2006,1737.30,1728.50,1735.00,1651.55,1700.00,1699.10,1677.54,86340,1448.39,-,76156,88.20
JINDALSTEL,EQ,07-Jun-2006,1699.10,1670.05,1697.90,1460.20,1560.00,1496.70,1557.82,27715,431.75,-,10302,37.17
JINDALSTEL,EQ,08-Jun-2006,1496.70,1475.75,1475.75,1152.65,1180.00,1219.30,1220.56,181508,2215.42,-,141870,78.16
JINDALSTEL,EQ,09-Jun-2006,1219.30,1223.50,1349.70,1198.00,1310.00,1302.70,1306.03,130380,1702.81,-,101570,77.90
JINDALSTEL,EQ,12-Jun-2006,1302.70,1280.00,1365.00,1265.00,1350.00,1335.90,1328.29,36131,479.92,-,22470,62.19
JINDALSTEL,EQ,13-Jun-2006,1335.90,1215.75,1289.00,1200.05,1206.10,1213.85,1241.68,19008,236.02,-,7979,41.98
JINDALSTEL,EQ,14-Jun-2006,1213.85,1300.00,1300.00,1164.00,1200.00,1188.15,1226.13,16935,207.65,-,5946,35.11
JINDALSTEL,EQ,15-Jun-2006,1188.15,1295.00,1320.00,1200.00,1290.00,1297.75,1258.34,33202,417.79,-,22447,67.61
