Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JISLDVREQS,EQ,30-Nov-2011,119.40,114.90,114.90,95.55,95.55,95.55,95.92,4678,4.49,109,4151,88.73
JISLDVREQS,EQ,01-Dec-2011,95.55,76.45,79.00,76.45,76.45,76.45,76.51,7638,5.84,122,7597,99.46
JISLDVREQS,EQ,02-Dec-2011,76.45,61.20,68.60,61.20,61.20,61.20,63.42,549496,348.47,6060,367382,66.86
JISLDVREQS,EQ,05-Dec-2011,61.20,56.15,59.80,55.20,55.75,55.80,57.68,799163,460.95,12494,466091,58.32
JISLDVREQS,EQ,07-Dec-2011,55.80,54.95,58.90,54.10,54.75,54.70,56.75,408872,232.03,3933,260805,63.79
JISLDVREQS,EQ,08-Dec-2011,54.70,54.50,54.80,49.30,50.70,50.60,51.77,192412,99.62,3580,133028,69.14
JISLDVREQS,EQ,09-Dec-2011,50.60,49.10,49.75,47.50,47.60,47.90,48.33,236514,114.32,3060,185383,78.38
JISLDVREQS,EQ,12-Dec-2011,47.90,46.00,49.00,45.75,48.90,48.10,47.17,190523,89.87,2058,100499,52.75
JISLDVREQS,EQ,13-Dec-2011,48.10,46.30,47.50,45.70,46.10,45.95,45.95,154891,71.18,1378,106338,68.65
JISLDVREQS,EQ,14-Dec-2011,45.95,45.10,45.90,43.65,43.65,43.65,44.06,94205,41.51,1927,68545,72.76
JISLDVREQS,EQ,15-Dec-2011,43.65,41.55,42.20,41.50,41.50,41.50,41.51,179119,74.36,834,163252,91.14
JISLDVREQS,EQ,16-Dec-2011,41.50,39.45,42.00,39.45,39.45,39.45,40.25,258252,103.95,3975,223932,86.71
JISLDVREQS,EQ,19-Dec-2011,39.45,37.50,37.50,37.50,37.50,37.50,37.50,7647,2.87,68,7646,99.99
JISLDVREQS,EQ,20-Dec-2011,37.50,35.65,35.65,35.65,35.65,35.65,35.65,3890,1.39,49,3888,99.95
JISLDVREQS,EQ,21-Dec-2011,35.65,33.90,33.90,33.90,33.90,33.90,33.90,121462,41.18,151,119453,98.35
JISLDVREQS,EQ,22-Dec-2011,33.90,32.20,35.60,32.20,35.60,35.60,33.75,438385,147.95,2488,199386,45.48
JISLDVREQS,EQ,23-Dec-2011,35.60,37.35,37.35,33.85,33.85,33.85,34.81,425922,148.25,1360,235275,55.24
JISLDVREQS,EQ,26-Dec-2011,33.85,32.60,34.40,32.60,33.45,33.55,33.55,46529,15.61,427,19060,40.96
JISLDVREQS,EQ,27-Dec-2011,33.55,33.55,35.20,33.25,35.00,34.95,34.74,71163,24.72,495,32238,45.30
JISLDVREQS,EQ,28-Dec-2011,34.95,33.85,36.70,33.85,36.70,36.50,36.10,269384,97.26,1524,176883,65.66
JISLDVREQS,EQ,29-Dec-2011,36.50,36.50,36.80,34.80,35.00,35.00,35.16,81403,28.63,941,63437,77.93
JISLDVREQS,EQ,30-Dec-2011,35.00,34.60,35.90,33.85,35.80,35.25,34.85,273885,95.46,2106,236619,86.39
JISLDVREQS,EQ,02-Jan-2012,35.25,34.60,36.80,34.55,35.50,35.35,35.73,35435,12.66,405,26698,75.34
JISLDVREQS,EQ,03-Jan-2012,35.35,36.40,36.80,35.50,35.95,35.90,36.03,85439,30.79,588,63692,74.55
JISLDVREQS,EQ,04-Jan-2012,35.90,36.90,36.90,34.55,36.20,36.10,36.04,73285,26.41,493,34205,46.67
JISLDVREQS,EQ,05-Jan-2012,36.10,36.00,37.00,35.60,35.95,35.90,36.42,60195,21.92,501,33588,55.80
JISLDVREQS,EQ,06-Jan-2012,35.90,35.15,36.20,34.65,35.60,35.30,35.07,136313,47.81,993,121763,89.33
JISLDVREQS,EQ,07-Jan-2012,35.30,35.10,36.35,35.10,36.05,36.10,36.04,11076,3.99,73,8532,77.03
JISLDVREQS,EQ,09-Jan-2012,36.10,36.60,36.60,35.00,36.00,35.70,35.68,74154,26.46,712,53074,71.57
JISLDVREQS,EQ,10-Jan-2012,35.70,35.20,37.45,35.20,37.45,37.45,37.17,65143,24.21,388,50742,77.89
JISLDVREQS,EQ,11-Jan-2012,37.45,38.05,39.30,36.55,39.00,38.90,38.32,186615,71.51,1649,120860,64.76
JISLDVREQS,EQ,12-Jan-2012,38.90,37.55,40.00,37.55,38.00,37.95,38.56,108870,41.98,603,52393,48.12
JISLDVREQS,EQ,13-Jan-2012,37.95,38.90,38.95,36.60,37.65,37.60,38.17,154277,58.89,428,126942,82.28
JISLDVREQS,EQ,16-Jan-2012,37.60,36.25,37.40,36.05,36.50,36.60,36.54,28555,10.43,187,10942,38.32
JISLDVREQS,EQ,17-Jan-2012,36.60,37.90,38.40,36.70,38.40,38.40,38.14,195810,74.68,870,118140,60.33
JISLDVREQS,EQ,18-Jan-2012,38.40,38.55,39.50,36.50,36.60,36.55,37.55,402557,151.17,2314,241515,60.00
JISLDVREQS,EQ,19-Jan-2012,36.55,36.05,37.70,36.00,36.45,36.80,36.80,131019,48.22,803,85555,65.30
JISLDVREQS,EQ,20-Jan-2012,36.80,37.65,37.90,35.30,35.65,35.90,36.76,97417,35.81,635,60762,62.37
JISLDVREQS,EQ,23-Jan-2012,35.90,34.30,37.70,34.30,37.70,37.70,37.05,439924,162.99,1077,288249,65.52
JISLDVREQS,EQ,24-Jan-2012,37.70,37.85,39.55,36.75,38.75,39.00,38.87,130164,50.60,586,79089,60.76
JISLDVREQS,EQ,25-Jan-2012,39.00,39.25,40.65,37.85,38.05,38.20,38.66,81182,31.39,510,50678,62.43
JISLDVREQS,EQ,27-Jan-2012,38.20,39.00,39.60,38.05,39.00,39.25,39.16,107883,42.25,511,72350,67.06
JISLDVREQS,EQ,30-Jan-2012,39.25,39.00,39.25,37.30,37.30,37.30,37.82,106577,40.31,702,90823,85.22
JISLDVREQS,EQ,31-Jan-2012,37.30,37.15,37.15,36.20,36.40,36.60,36.60,96663,35.38,528,52353,54.16
JISLDVREQS,EQ,01-Feb-2012,36.60,36.90,36.90,35.40,36.00,35.70,36.34,131479,47.78,1118,91803,69.82
JISLDVREQS,EQ,02-Feb-2012,35.70,36.70,37.00,35.70,35.85,35.95,36.23,93413,33.85,759,57078,61.10
JISLDVREQS,EQ,03-Feb-2012,35.95,36.05,37.70,36.00,37.70,37.70,37.33,125476,46.84,500,86660,69.07
JISLDVREQS,EQ,06-Feb-2012,37.70,38.55,39.45,38.00,38.75,38.85,38.87,75392,29.30,432,56622,75.10
JISLDVREQS,EQ,07-Feb-2012,38.85,37.50,39.45,37.50,38.00,37.80,38.43,66212,25.45,378,34471,52.06
JISLDVREQS,EQ,08-Feb-2012,37.80,37.80,38.65,37.65,38.15,38.00,38.10,26734,10.18,245,18265,68.32
JISLDVREQS,EQ,09-Feb-2012,38.00,37.10,38.10,36.10,36.65,36.65,36.86,138305,50.97,663,108192,78.23
JISLDVREQS,EQ,10-Feb-2012,36.65,36.60,37.60,35.90,36.35,36.30,36.49,50132,18.30,343,35411,70.64
JISLDVREQS,EQ,13-Feb-2012,36.30,36.00,37.30,35.65,37.00,36.85,36.44,55067,20.06,493,38927,70.69
JISLDVREQS,EQ,14-Feb-2012,36.85,36.85,38.65,36.35,38.65,38.65,38.23,157827,60.34,844,115635,73.27
JISLDVREQS,EQ,15-Feb-2012,38.65,40.55,40.55,40.55,40.55,40.55,40.55,16130,6.54,164,16130,100.00
JISLDVREQS,EQ,16-Feb-2012,40.55,42.50,42.55,42.50,42.55,42.55,42.54,23680,10.07,130,23669,99.95
JISLDVREQS,EQ,17-Feb-2012,42.55,44.65,44.65,44.65,44.65,44.65,44.65,18077,8.07,155,18053,99.87
JISLDVREQS,EQ,21-Feb-2012,44.65,46.85,46.85,44.05,46.85,46.70,45.84,258659,118.57,1980,158934,61.45
JISLDVREQS,EQ,22-Feb-2012,46.70,47.30,48.75,44.50,44.50,44.80,47.73,267748,127.78,976,189199,70.66
JISLDVREQS,EQ,23-Feb-2012,44.80,44.00,45.80,43.20,43.35,43.55,44.64,153080,68.34,935,129840,84.82
JISLDVREQS,EQ,24-Feb-2012,43.55,41.50,44.70,41.50,42.50,42.40,42.76,70427,30.12,669,41989,59.62
JISLDVREQS,EQ,27-Feb-2012,42.40,42.00,42.20,40.30,40.30,40.60,40.87,42044,17.18,301,34192,81.32
