Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KAJARIACER,EQ,02-Jan-2006,45.15,45.10,46.50,44.75,45.25,45.65,45.92,57705,26.50,-,40601,70.36
KAJARIACER,EQ,03-Jan-2006,45.65,45.75,46.00,44.95,45.00,45.10,45.47,49850,22.67,-,39032,78.30
KAJARIACER,EQ,04-Jan-2006,45.10,45.00,49.75,45.00,48.50,48.85,48.74,530184,258.44,-,252611,47.65
KAJARIACER,EQ,05-Jan-2006,48.85,49.35,51.65,48.10,49.20,49.10,49.46,368645,182.32,-,197935,53.69
KAJARIACER,EQ,06-Jan-2006,49.10,49.40,50.70,47.50,48.30,48.50,49.29,266354,131.29,-,146902,55.15
KAJARIACER,EQ,09-Jan-2006,48.50,48.55,49.70,47.70,47.90,48.15,48.53,75833,36.80,-,47876,63.13
KAJARIACER,EQ,10-Jan-2006,48.15,48.00,48.95,46.65,47.00,47.10,47.81,64638,30.91,-,38409,59.42
KAJARIACER,EQ,12-Jan-2006,47.10,47.10,47.95,46.10,46.55,46.55,46.55,52194,24.30,-,33385,63.96
KAJARIACER,EQ,13-Jan-2006,46.55,47.25,48.00,47.00,47.95,47.80,47.54,45729,21.74,-,32921,71.99
KAJARIACER,EQ,16-Jan-2006,47.80,49.00,49.00,46.00,47.85,47.95,47.93,67957,32.57,-,54816,80.66
KAJARIACER,EQ,17-Jan-2006,47.95,47.75,48.75,46.90,47.85,47.65,47.55,49889,23.72,-,37418,75.00
KAJARIACER,EQ,18-Jan-2006,47.65,47.50,47.50,46.60,47.30,47.05,47.00,39124,18.39,-,31788,81.25
KAJARIACER,EQ,19-Jan-2006,47.05,47.35,47.95,46.50,47.75,47.45,47.50,37623,17.87,-,22206,59.02
KAJARIACER,EQ,20-Jan-2006,47.45,47.00,48.25,47.00,47.00,47.30,47.44,48952,23.22,-,32085,65.54
KAJARIACER,EQ,23-Jan-2006,47.30,49.00,49.00,47.20,48.25,48.35,48.13,63651,30.64,-,45266,71.12
KAJARIACER,EQ,24-Jan-2006,48.35,48.35,50.80,47.80,49.45,49.25,49.56,223591,110.82,-,101394,45.35
KAJARIACER,EQ,25-Jan-2006,49.25,49.90,50.50,47.55,48.00,47.95,49.15,136588,67.14,-,62274,45.59
KAJARIACER,EQ,27-Jan-2006,47.95,49.20,49.65,48.05,48.35,48.75,48.95,83783,41.01,-,64361,76.82
KAJARIACER,EQ,30-Jan-2006,48.75,48.10,49.00,42.75,44.00,44.05,44.05,211537,93.17,-,118847,56.18
KAJARIACER,EQ,31-Jan-2006,44.05,47.00,47.00,44.00,44.30,44.20,44.69,42228,18.87,-,25584,60.59
KAJARIACER,EQ,01-Feb-2006,44.20,44.50,48.00,42.00,43.00,43.00,44.21,75557,33.41,-,41291,54.65
KAJARIACER,EQ,02-Feb-2006,43.00,43.00,44.00,42.50,42.85,42.65,43.02,21033,9.05,-,16273,77.37
KAJARIACER,EQ,03-Feb-2006,42.65,42.10,43.40,41.05,42.00,42.00,42.22,60292,25.45,-,50230,83.31
KAJARIACER,EQ,06-Feb-2006,42.00,42.25,43.55,42.25,42.60,42.95,42.88,26343,11.30,-,15351,58.27
KAJARIACER,EQ,07-Feb-2006,42.95,42.50,44.00,40.75,41.25,41.40,42.15,58982,24.86,-,46322,78.54
KAJARIACER,EQ,08-Feb-2006,41.40,41.40,42.95,40.75,41.00,41.05,41.51,99900,41.47,-,84116,84.20
KAJARIACER,EQ,10-Feb-2006,41.05,42.50,42.70,40.55,40.65,41.00,41.23,64853,26.74,-,45100,69.54
KAJARIACER,EQ,13-Feb-2006,41.00,41.10,42.50,39.70,39.70,40.15,40.92,90683,37.11,-,60923,67.18
KAJARIACER,EQ,14-Feb-2006,40.15,40.20,41.70,40.20,40.50,40.65,40.91,58075,23.76,-,37866,65.20
KAJARIACER,EQ,15-Feb-2006,40.65,41.40,41.40,40.50,40.85,40.75,40.82,36976,15.09,-,26443,71.51
KAJARIACER,EQ,16-Feb-2006,40.75,41.20,41.75,40.20,40.40,40.50,40.68,44428,18.07,-,35771,80.51
KAJARIACER,EQ,17-Feb-2006,40.50,41.00,41.00,39.15,39.70,39.95,40.09,81260,32.58,-,67977,83.65
KAJARIACER,EQ,20-Feb-2006,39.95,39.60,40.50,38.55,39.05,39.20,39.59,34837,13.79,-,24112,69.21
KAJARIACER,EQ,21-Feb-2006,39.20,39.60,40.20,38.05,39.35,38.75,39.12,30621,11.98,-,22671,74.04
KAJARIACER,EQ,22-Feb-2006,38.75,39.45,41.20,38.85,38.85,39.10,39.83,110035,43.83,-,72306,65.71
KAJARIACER,EQ,23-Feb-2006,39.10,40.45,42.45,39.05,39.20,39.60,40.78,391088,159.48,-,167768,42.90
