Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KARMAENG,BE,28-Jun-2011,82.65,40.00,49.40,17.20,20.45,20.90,20.89,122090,25.51,707,-,-
KARMAENG,BE,29-Jun-2011,20.90,21.10,21.95,19.85,19.85,19.85,20.14,6807,1.37,46,-,-
KARMAENG,BE,30-Jun-2011,19.85,18.90,18.90,18.90,18.90,18.90,18.90,2271,0.43,11,-,-
KARMAENG,BE,01-Jul-2011,18.90,17.95,17.95,17.95,17.95,17.95,17.95,3335,0.60,13,-,-
KARMAENG,BE,04-Jul-2011,17.95,17.05,17.05,17.05,17.05,17.05,17.05,667,0.11,9,-,-
KARMAENG,BE,05-Jul-2011,17.05,16.20,16.20,16.20,16.20,16.20,16.20,928,0.15,19,-,-
KARMAENG,BE,06-Jul-2011,16.20,15.40,15.40,15.40,15.40,15.40,15.40,3192,0.49,25,-,-
KARMAENG,BE,07-Jul-2011,15.40,15.10,16.20,14.65,16.15,16.20,15.27,23927,3.65,166,-,-
KARMAENG,BE,08-Jul-2011,16.20,16.00,17.00,15.40,15.75,15.75,16.08,3854,0.62,38,-,-
KARMAENG,BE,11-Jul-2011,15.75,15.50,16.15,15.00,16.15,15.35,15.34,3568,0.55,42,-,-
KARMAENG,EQ,12-Jul-2011,15.35,15.60,18.45,15.60,17.00,17.45,17.72,56326,9.98,569,13162,23.37
KARMAENG,EQ,13-Jul-2011,17.45,17.00,19.40,15.75,15.85,16.25,17.68,18442,3.26,180,8276,44.88
KARMAENG,EQ,14-Jul-2011,16.25,17.80,17.80,15.05,15.15,15.70,16.04,4732,0.76,59,2348,49.62
KARMAENG,EQ,15-Jul-2011,15.70,15.00,16.00,14.50,15.10,15.10,14.98,6846,1.03,68,4405,64.34
KARMAENG,EQ,18-Jul-2011,15.10,15.00,15.25,13.75,14.20,14.25,14.48,4996,0.72,52,3460,69.26
KARMAENG,EQ,19-Jul-2011,14.25,15.20,16.25,14.25,15.45,15.45,15.72,30576,4.81,143,14312,46.81
KARMAENG,EQ,20-Jul-2011,15.45,14.65,16.45,14.00,14.40,14.10,14.67,9885,1.45,67,5417,54.80
KARMAENG,EQ,21-Jul-2011,14.10,14.00,14.90,13.85,14.05,14.25,14.34,8245,1.18,52,4295,52.09
KARMAENG,EQ,22-Jul-2011,14.25,14.05,15.00,13.95,14.10,14.35,14.16,2746,0.39,38,2047,74.54
KARMAENG,EQ,25-Jul-2011,14.35,14.90,15.00,12.45,13.90,13.50,13.90,7522,1.05,43,6521,86.69
KARMAENG,EQ,26-Jul-2011,13.50,14.50,14.50,13.20,14.30,14.35,13.98,5991,0.84,56,4076,68.04
KARMAENG,EQ,27-Jul-2011,14.35,13.50,14.35,13.50,13.50,13.70,13.76,2631,0.36,28,2220,84.38
KARMAENG,EQ,28-Jul-2011,13.70,14.00,14.00,13.05,14.00,13.80,13.57,8938,1.21,42,2037,22.79
KARMAENG,EQ,29-Jul-2011,13.80,13.10,14.25,13.10,13.10,13.25,13.28,2927,0.39,35,2415,82.51
KARMAENG,EQ,01-Aug-2011,13.25,12.15,14.00,12.15,12.65,13.35,13.06,9200,1.20,48,5105,55.49
KARMAENG,EQ,02-Aug-2011,13.35,12.85,13.50,12.70,13.05,13.05,13.22,5008,0.66,43,4016,80.19
KARMAENG,EQ,03-Aug-2011,13.05,14.25,14.25,12.00,12.60,12.60,12.68,17613,2.23,40,15794,89.67
KARMAENG,EQ,04-Aug-2011,12.60,12.00,13.75,12.00,13.75,13.70,13.06,7054,0.92,27,5854,82.99
KARMAENG,EQ,05-Aug-2011,13.70,12.55,14.10,12.55,13.00,13.00,13.31,5741,0.76,33,2473,43.08
KARMAENG,EQ,08-Aug-2011,13.00,10.60,14.30,10.60,13.00,13.85,13.02,5904,0.77,56,2963,50.19
KARMAENG,EQ,09-Aug-2011,13.85,11.40,13.90,11.40,13.25,13.05,13.06,4850,0.63,47,3841,79.20
KARMAENG,EQ,09-Aug-2011,13.85,11.40,13.90,11.40,13.25,13.05,13.06,4850,0.63,47,3841,79.20
KARMAENG,EQ,10-Aug-2011,13.05,14.00,14.00,12.00,13.20,13.20,12.65,2915,0.37,20,2420,83.02
KARMAENG,EQ,11-Aug-2011,13.20,12.30,13.90,12.30,13.00,13.20,13.03,2226,0.29,24,2212,99.37
KARMAENG,EQ,12-Aug-2011,13.20,12.45,13.60,12.45,12.90,12.55,12.63,3629,0.46,17,3557,98.02
KARMAENG,EQ,16-Aug-2011,12.55,12.70,12.90,12.25,12.25,12.45,12.49,3242,0.41,13,3035,93.62
KARMAENG,EQ,17-Aug-2011,12.45,11.55,13.00,11.50,11.50,11.50,11.65,2706,0.32,28,2258,83.44
KARMAENG,EQ,18-Aug-2011,11.50,12.50,12.50,10.40,10.45,10.45,10.59,6047,0.64,30,5859,96.89
KARMAENG,EQ,19-Aug-2011,10.45,9.20,11.80,9.20,11.20,11.20,11.22,701,0.08,20,640,91.30
KARMAENG,EQ,22-Aug-2011,11.20,11.00,11.95,10.40,11.00,11.00,11.06,4094,0.45,23,3000,73.28
KARMAENG,EQ,23-Aug-2011,11.00,12.20,12.20,11.10,12.10,12.10,11.97,30,0.00,5,25,83.33
KARMAENG,EQ,24-Aug-2011,12.10,12.10,12.10,12.00,12.00,12.00,12.08,424,0.05,6,424,100.00
KARMAENG,EQ,25-Aug-2011,12.00,12.80,12.80,11.05,12.15,12.15,11.20,1737,0.19,11,1718,98.91
KARMAENG,EQ,26-Aug-2011,12.15,10.25,12.60,10.25,11.05,11.05,10.92,3801,0.42,15,3000,78.93
KARMAENG,EQ,29-Aug-2011,11.05,12.25,12.25,11.30,11.35,11.35,11.40,840,0.10,6,770,91.67
KARMAENG,EQ,30-Aug-2011,11.35,11.45,11.45,10.75,11.20,11.20,10.96,4376,0.48,13,4275,97.69
KARMAENG,EQ,02-Sep-2011,11.20,11.80,11.80,11.80,11.80,11.80,11.80,25,0.00,1,25,100.00
KARMAENG,EQ,05-Sep-2011,11.80,13.00,13.00,11.00,11.05,11.05,11.05,282,0.03,6,203,71.99
KARMAENG,EQ,06-Sep-2011,11.05,12.50,12.50,11.20,11.25,11.40,11.68,847,0.10,15,731,86.30
KARMAENG,EQ,07-Sep-2011,11.40,11.45,12.20,11.45,11.95,11.95,12.00,6227,0.75,29,5103,81.95
KARMAENG,EQ,08-Sep-2011,11.95,12.00,12.65,11.25,11.30,12.65,12.45,1063,0.13,11,1010,95.01
KARMAENG,EQ,09-Sep-2011,12.65,12.00,13.00,11.50,12.00,12.00,12.02,3302,0.40,17,3102,93.94
KARMAENG,EQ,12-Sep-2011,12.00,11.00,12.60,11.00,11.25,11.25,11.40,7660,0.87,39,6580,85.90
KARMAENG,EQ,13-Sep-2011,11.25,12.50,12.50,11.60,11.60,11.60,11.60,301,0.03,4,300,99.67
KARMAENG,EQ,14-Sep-2011,11.60,11.50,12.40,11.50,12.40,12.40,11.90,1118,0.13,4,1118,100.00
KARMAENG,EQ,15-Sep-2011,12.40,11.60,12.35,11.60,12.35,12.35,11.86,349,0.04,14,345,98.85
KARMAENG,EQ,16-Sep-2011,12.35,14.00,14.00,12.00,12.20,12.20,12.55,4912,0.62,46,3942,80.25
KARMAENG,EQ,19-Sep-2011,12.20,12.10,12.40,11.75,12.30,12.30,12.14,4496,0.55,11,3246,72.20
KARMAENG,EQ,20-Sep-2011,12.30,14.00,14.00,12.45,12.45,12.45,12.52,890,0.11,14,870,97.75
KARMAENG,EQ,21-Sep-2011,12.45,12.80,12.90,12.45,12.55,12.55,12.76,3297,0.42,15,3215,97.51
KARMAENG,EQ,22-Sep-2011,12.55,11.65,13.15,11.65,12.55,12.25,12.32,7267,0.90,36,7144,98.31
KARMAENG,EQ,23-Sep-2011,12.25,12.10,12.60,12.05,12.60,12.45,12.24,5495,0.67,31,5410,98.45
KARMAENG,EQ,26-Sep-2011,12.45,12.90,12.90,11.50,11.50,11.60,11.65,1185,0.14,16,1174,99.07
KARMAENG,EQ,27-Sep-2011,11.60,13.90,13.90,11.20,12.45,12.45,12.37,1617,0.20,19,717,44.34
KARMAENG,EQ,28-Sep-2011,12.45,11.25,13.00,11.25,12.55,12.55,11.68,7628,0.89,25,3191,41.83
KARMAENG,EQ,29-Sep-2011,12.55,11.35,12.10,11.35,12.10,11.95,11.78,1278,0.15,11,874,68.39
KARMAENG,EQ,30-Sep-2011,11.95,12.80,12.80,11.60,11.60,11.60,11.74,3771,0.44,18,3769,99.95
KARMAENG,EQ,03-Oct-2011,11.60,11.00,12.65,11.00,12.65,12.65,11.30,306,0.03,6,201,65.69
KARMAENG,EQ,04-Oct-2011,12.65,12.10,12.10,11.70,11.75,11.75,12.08,242,0.03,4,236,97.52
KARMAENG,EQ,05-Oct-2011,11.75,12.10,12.40,11.80,12.40,12.40,12.10,102,0.01,3,100,98.04
KARMAENG,EQ,07-Oct-2011,12.40,12.10,12.45,11.60,12.45,12.45,11.90,1679,0.20,8,1679,100.00
KARMAENG,EQ,10-Oct-2011,12.45,12.00,12.30,11.30,11.80,11.85,11.83,1439,0.17,12,1385,96.25
KARMAENG,EQ,11-Oct-2011,11.85,12.90,12.90,12.10,12.10,12.10,12.11,135,0.02,3,133,98.52
KARMAENG,EQ,12-Oct-2011,12.10,12.50,12.85,12.10,12.10,12.10,12.37,868,0.11,17,580,66.82
KARMAENG,EQ,13-Oct-2011,12.10,12.30,12.30,11.65,11.65,11.70,11.90,3345,0.40,12,3343,99.94
KARMAENG,EQ,14-Oct-2011,11.70,12.90,12.90,12.10,12.10,12.10,12.11,75,0.01,5,73,97.33
KARMAENG,EQ,17-Oct-2011,12.10,13.85,13.85,12.00,12.05,12.05,12.59,203,0.03,5,202,99.51
KARMAENG,EQ,18-Oct-2011,12.05,12.15,12.15,12.15,12.15,12.15,12.15,195,0.02,2,195,100.00
KARMAENG,EQ,19-Oct-2011,12.15,13.80,13.80,12.00,12.00,12.00,12.23,290,0.04,8,284,97.93
KARMAENG,EQ,20-Oct-2011,12.00,12.05,12.10,12.05,12.10,12.10,12.05,92,0.01,2,92,100.00
KARMAENG,EQ,21-Oct-2011,12.10,12.55,12.55,12.25,12.25,12.25,12.49,6772,0.85,10,6772,100.00
KARMAENG,EQ,24-Oct-2011,12.25,12.20,12.55,12.20,12.55,12.55,12.54,1702,0.21,6,1677,98.53
KARMAENG,EQ,24-Oct-2011,12.25,12.20,12.55,12.20,12.55,12.55,12.54,1702,0.21,6,1677,98.53
KARMAENG,EQ,25-Oct-2011,12.55,11.30,12.95,11.30,12.75,12.75,12.81,693,0.09,14,693,100.00
KARMAENG,EQ,28-Oct-2011,12.75,12.75,14.25,12.75,13.50,13.50,12.76,201,0.03,3,200,99.50
KARMAENG,EQ,31-Oct-2011,13.50,13.50,13.50,13.50,13.50,13.50,13.50,106,0.01,2,106,100.00
KARMAENG,EQ,01-Nov-2011,13.50,13.45,13.45,13.05,13.05,13.05,13.06,536,0.07,5,536,100.00
