Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KHANDSE,EQ,02-Jan-2006,34.90,36.90,38.00,34.70,35.50,36.15,36.03,15187,5.47,-,9161,60.32
KHANDSE,EQ,03-Jan-2006,36.15,35.40,35.50,34.95,35.00,35.15,35.14,4580,1.61,-,4540,99.13
KHANDSE,EQ,04-Jan-2006,35.15,37.00,37.00,34.60,35.00,35.00,35.16,2750,0.97,-,2195,79.82
KHANDSE,EQ,05-Jan-2006,35.00,35.00,36.40,34.55,34.80,34.65,35.03,4875,1.71,-,4550,93.33
KHANDSE,EQ,06-Jan-2006,34.65,34.05,35.70,34.00,35.00,34.90,35.04,4770,1.67,-,3800,79.66
KHANDSE,EQ,09-Jan-2006,34.90,35.35,35.85,34.45,34.45,34.45,35.05,3720,1.30,-,3550,95.43
KHANDSE,EQ,10-Jan-2006,34.45,34.45,35.00,33.50,33.50,33.55,34.70,3150,1.09,-,2900,92.06
KHANDSE,EQ,12-Jan-2006,33.55,31.90,36.00,31.90,32.25,32.65,32.84,44653,14.66,-,42321,94.78
KHANDSE,EQ,13-Jan-2006,32.65,34.00,35.95,34.00,35.00,35.55,35.15,8088,2.84,-,6848,84.67
KHANDSE,EQ,16-Jan-2006,35.55,36.50,36.50,33.75,36.50,35.20,35.03,6934,2.43,-,6664,96.11
KHANDSE,EQ,17-Jan-2006,35.20,36.10,37.25,35.00,35.05,35.50,36.01,3975,1.43,-,2550,64.15
KHANDSE,EQ,18-Jan-2006,35.50,35.85,36.40,33.80,36.00,36.00,35.75,7916,2.83,-,7212,91.11
KHANDSE,EQ,19-Jan-2006,36.00,35.95,38.20,35.95,37.75,37.65,37.65,4138,1.56,-,2963,71.60
KHANDSE,EQ,20-Jan-2006,37.65,37.80,39.50,37.25,39.50,38.30,38.09,3926,1.50,-,3675,93.61
KHANDSE,EQ,23-Jan-2006,38.30,39.80,39.80,37.00,39.00,38.95,38.69,2606,1.01,-,2405,92.29
KHANDSE,EQ,24-Jan-2006,38.95,37.75,41.00,37.75,40.50,40.50,39.62,800,0.32,-,700,87.50
KHANDSE,EQ,25-Jan-2006,40.50,39.55,39.55,37.60,38.85,38.80,39.12,1570,0.61,-,1520,96.82
KHANDSE,EQ,27-Jan-2006,38.80,41.85,41.85,39.10,40.00,40.00,41.03,14682,6.02,-,12781,87.05
KHANDSE,EQ,30-Jan-2006,40.00,43.00,43.00,39.00,40.10,40.10,40.66,15353,6.24,-,15050,98.03
KHANDSE,EQ,31-Jan-2006,40.10,42.95,42.95,39.00,39.00,39.00,39.98,2004,0.80,-,1475,73.60
KHANDSE,EQ,01-Feb-2006,39.00,38.50,38.50,35.30,35.85,35.95,37.34,1295,0.48,-,900,69.50
KHANDSE,EQ,02-Feb-2006,35.95,34.00,35.50,33.50,34.00,34.10,34.24,5452,1.87,-,3291,60.36
KHANDSE,EQ,06-Feb-2006,34.10,37.15,37.20,34.75,35.60,36.05,36.73,4118,1.51,-,2847,69.14
KHANDSE,EQ,07-Feb-2006,36.05,36.30,36.30,35.45,35.45,35.45,36.12,1250,0.45,-,1250,100.00
KHANDSE,EQ,08-Feb-2006,35.45,34.00,34.00,33.65,33.95,33.95,33.99,1070,0.36,-,1035,96.73
KHANDSE,EQ,10-Feb-2006,33.95,36.70,36.75,34.15,34.15,34.20,35.36,845,0.30,-,200,23.67
KHANDSE,EQ,13-Feb-2006,34.20,33.60,34.00,32.30,33.00,32.95,33.10,1337,0.44,-,1060,79.28
KHANDSE,EQ,14-Feb-2006,32.95,33.95,35.10,32.30,33.25,33.05,33.36,2827,0.94,-,1776,62.82
KHANDSE,EQ,15-Feb-2006,33.05,32.50,34.00,32.50,33.75,33.45,33.25,5378,1.79,-,4050,75.31
KHANDSE,EQ,16-Feb-2006,33.45,32.30,34.00,32.30,33.20,33.40,33.67,5850,1.97,-,3975,67.95
KHANDSE,EQ,17-Feb-2006,33.40,33.25,33.25,32.00,32.00,32.45,32.60,1400,0.46,-,1100,78.57
KHANDSE,EQ,21-Feb-2006,32.45,32.50,32.50,31.15,31.15,31.90,31.97,600,0.19,-,550,91.67
KHANDSE,EQ,22-Feb-2006,31.90,31.15,32.45,31.15,32.45,32.45,32.05,120,0.04,-,50,41.67
KHANDSE,EQ,23-Feb-2006,32.45,31.00,31.00,28.30,28.30,28.30,29.87,1340,0.40,-,786,58.66
KHANDSE,EQ,24-Feb-2006,28.30,28.30,31.80,28.30,31.80,30.40,30.57,1305,0.40,-,895,68.58
KHANDSE,EQ,27-Feb-2006,30.40,30.00,33.50,29.05,32.00,32.60,31.04,4127,1.28,-,2354,57.04
KHANDSE,EQ,28-Feb-2006,32.60,30.05,31.05,29.65,30.00,30.10,30.38,671,0.20,-,320,47.69
KHANDSE,EQ,01-Mar-2006,30.10,30.00,30.00,27.40,27.40,27.55,28.62,8067,2.31,-,7811,96.83
KHANDSE,EQ,02-Mar-2006,27.55,28.85,30.25,26.75,30.25,30.00,27.02,19114,5.17,-,19114,100.00
KHANDSE,EQ,03-Mar-2006,30.00,30.00,31.00,28.00,30.95,28.55,29.40,9760,2.87,-,4540,46.52
KHANDSE,EQ,06-Mar-2006,28.55,28.75,30.50,27.00,28.90,28.90,28.33,21581,6.11,-,19885,92.14
KHANDSE,EQ,07-Mar-2006,28.90,29.75,29.75,28.35,28.35,28.35,28.97,65,0.02,-,45,69.23
KHANDSE,EQ,08-Mar-2006,28.35,29.00,29.05,28.50,28.55,28.55,28.78,881,0.25,-,481,54.60
KHANDSE,EQ,09-Mar-2006,28.55,29.00,29.85,29.00,29.80,29.55,29.56,500,0.15,-,300,60.00
KHANDSE,EQ,10-Mar-2006,29.55,31.05,31.05,29.05,29.10,29.20,29.54,580,0.17,-,280,48.28
KHANDSE,EQ,13-Mar-2006,29.20,29.85,31.10,29.85,30.00,30.00,30.03,20316,6.10,-,19610,96.52
KHANDSE,EQ,14-Mar-2006,30.00,31.70,31.75,29.00,31.50,30.40,30.42,8491,2.58,-,7841,92.34
KHANDSE,EQ,16-Mar-2006,30.40,30.00,30.00,29.10,29.10,29.15,29.80,1351,0.40,-,1250,92.52
KHANDSE,EQ,17-Mar-2006,29.15,31.25,31.25,28.35,28.35,28.35,29.76,4334,1.29,-,3235,74.64
KHANDSE,EQ,20-Mar-2006,28.35,30.75,31.10,23.65,25.80,25.05,27.67,15466,4.28,-,12596,81.44
KHANDSE,EQ,21-Mar-2006,25.05,27.25,30.10,27.25,29.00,29.05,29.48,13269,3.91,-,8977,67.65
KHANDSE,EQ,22-Mar-2006,29.05,31.00,31.00,28.90,28.95,29.15,29.61,27885,8.26,-,19989,71.68
KHANDSE,EQ,23-Mar-2006,29.15,27.00,33.00,26.80,31.90,30.25,29.54,12626,3.73,-,9779,77.45
KHANDSE,EQ,24-Mar-2006,30.25,26.75,30.00,26.60,29.35,28.90,28.82,9591,2.76,-,7627,79.52
KHANDSE,EQ,27-Mar-2006,28.90,30.00,30.00,27.50,28.35,28.35,28.01,5912,1.66,-,5180,87.62
