Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KMSUGAR,EQ,31-May-2007,25.35,27.95,27.95,25.75,25.90,26.00,26.65,58321,15.54,-,14287,24.50
KMSUGAR,EQ,01-Jun-2007,26.00,26.90,26.90,25.15,26.75,26.35,26.17,13977,3.66,-,3935,28.15
KMSUGAR,EQ,04-Jun-2007,26.35,27.95,27.95,25.25,25.50,25.70,25.62,7840,2.01,-,5227,66.67
KMSUGAR,EQ,05-Jun-2007,25.70,25.50,25.65,25.05,25.10,25.05,25.33,3668,0.93,-,2767,75.44
KMSUGAR,EQ,06-Jun-2007,25.05,25.10,25.60,24.50,24.70,24.85,25.14,3628,0.91,-,3106,85.61
KMSUGAR,EQ,07-Jun-2007,24.85,23.20,25.20,23.20,24.25,24.35,24.40,3071,0.75,-,1782,58.03
KMSUGAR,EQ,08-Jun-2007,24.35,24.85,26.25,24.45,25.00,25.20,25.25,7770,1.96,-,3663,47.14
KMSUGAR,EQ,11-Jun-2007,25.20,24.70,25.25,24.10,24.85,24.90,24.72,3304,0.82,-,2332,70.58
KMSUGAR,EQ,12-Jun-2007,24.90,24.00,24.80,23.60,24.40,24.40,24.11,2004,0.48,-,1213,60.53
KMSUGAR,EQ,13-Jun-2007,24.40,23.50,24.95,23.50,24.60,23.80,23.88,3833,0.92,-,3496,91.21
KMSUGAR,EQ,14-Jun-2007,23.80,23.70,24.65,23.60,24.25,24.25,24.06,2392,0.58,-,1800,75.25
KMSUGAR,EQ,15-Jun-2007,24.25,24.05,24.65,23.50,23.65,23.65,23.91,1794,0.43,-,1485,82.78
KMSUGAR,EQ,18-Jun-2007,23.65,23.50,23.90,23.50,23.50,23.50,23.54,1604,0.38,-,1604,100.00
KMSUGAR,EQ,19-Jun-2007,23.50,23.65,24.15,23.25,23.30,23.30,23.48,2187,0.51,-,2142,97.94
KMSUGAR,EQ,20-Jun-2007,23.30,23.30,23.80,23.25,23.50,23.50,23.40,1058,0.25,-,916,86.58
KMSUGAR,EQ,21-Jun-2007,23.50,23.55,24.00,23.00,24.00,24.00,23.42,1738,0.41,-,1633,93.96
KMSUGAR,EQ,22-Jun-2007,24.00,24.00,24.00,23.45,23.60,23.65,23.72,1617,0.38,-,917,56.71
KMSUGAR,EQ,25-Jun-2007,23.65,23.60,23.70,22.95,23.70,23.55,23.22,2020,0.47,-,1846,91.39
KMSUGAR,EQ,26-Jun-2007,23.55,21.70,25.00,21.70,23.60,24.05,23.36,2478,0.58,-,1829,73.81
KMSUGAR,EQ,27-Jun-2007,24.05,23.00,23.75,23.00,23.15,23.15,23.27,1254,0.29,-,1204,96.01
KMSUGAR,EQ,28-Jun-2007,23.15,24.70,24.70,23.25,24.60,24.50,24.12,1203,0.29,-,895,74.40
KMSUGAR,EQ,29-Jun-2007,24.50,23.55,27.95,23.50,26.00,26.40,26.08,34347,8.96,-,16888,49.17
KMSUGAR,EQ,02-Jul-2007,26.40,27.75,29.00,25.05,26.75,26.20,26.72,10904,2.91,-,7146,65.54
KMSUGAR,EQ,03-Jul-2007,26.20,26.00,26.00,23.55,24.85,24.95,24.89,4120,1.03,-,2022,49.08
KMSUGAR,EQ,04-Jul-2007,24.95,25.80,26.75,24.90,25.50,25.55,25.70,11029,2.83,-,5436,49.29
KMSUGAR,EQ,05-Jul-2007,25.55,24.55,25.10,24.55,24.80,24.80,24.84,1523,0.38,-,698,45.83
KMSUGAR,EQ,06-Jul-2007,24.80,25.90,27.00,25.00,25.50,25.35,25.52,2250,0.57,-,1707,75.87
KMSUGAR,EQ,09-Jul-2007,25.35,25.50,25.50,24.50,25.00,25.00,25.08,2502,0.63,-,1901,75.98
KMSUGAR,EQ,10-Jul-2007,25.00,24.00,25.00,24.00,24.70,24.35,24.61,3662,0.90,-,2855,77.96
KMSUGAR,EQ,11-Jul-2007,24.35,23.75,25.00,23.75,24.25,24.25,24.38,1433,0.35,-,1354,94.49
KMSUGAR,EQ,12-Jul-2007,24.25,25.25,26.70,24.15,24.50,24.50,25.09,6993,1.75,-,4659,66.62
KMSUGAR,EQ,13-Jul-2007,24.50,24.20,24.40,23.45,23.45,23.55,23.98,9471,2.27,-,8032,84.81
KMSUGAR,EQ,16-Jul-2007,23.55,23.50,23.75,22.00,23.30,22.85,23.29,5815,1.35,-,4882,83.96
KMSUGAR,EQ,17-Jul-2007,22.85,23.50,23.50,22.50,22.50,22.85,23.02,10016,2.31,-,9316,93.01
KMSUGAR,EQ,18-Jul-2007,22.85,23.05,24.20,22.75,22.80,22.85,23.43,13078,3.06,-,10658,81.50
KMSUGAR,EQ,19-Jul-2007,22.85,22.55,23.40,22.05,22.50,22.35,22.47,4473,1.01,-,4115,92.00
KMSUGAR,EQ,20-Jul-2007,22.35,22.20,22.95,22.00,22.20,22.20,22.31,2804,0.63,-,1601,57.10
KMSUGAR,EQ,23-Jul-2007,22.20,22.00,22.80,21.00,22.00,22.00,22.04,3131,0.69,-,2892,92.37
KMSUGAR,EQ,24-Jul-2007,22.00,21.20,22.00,19.85,20.00,20.10,20.53,21730,4.46,-,17276,79.50
KMSUGAR,EQ,25-Jul-2007,20.10,16.25,20.50,16.25,19.75,19.15,19.44,6838,1.33,-,5855,85.62
KMSUGAR,EQ,26-Jul-2007,19.15,16.10,22.50,16.10,22.50,20.75,20.28,8998,1.82,-,5864,65.17
KMSUGAR,EQ,27-Jul-2007,20.75,22.00,23.40,21.00,21.00,21.50,22.19,39665,8.80,-,16190,40.82
KMSUGAR,EQ,30-Jul-2007,21.50,21.00,22.50,20.80,21.25,21.35,21.28,7259,1.54,-,5142,70.84
KMSUGAR,EQ,31-Jul-2007,21.35,21.10,22.50,21.00,21.20,21.20,21.40,2801,0.60,-,2104,75.12
KMSUGAR,EQ,01-Aug-2007,21.20,19.10,21.50,19.10,20.05,20.40,20.55,2779,0.57,-,2277,81.94
KMSUGAR,EQ,02-Aug-2007,20.40,19.30,22.00,19.30,19.85,19.80,20.18,7723,1.56,-,3901,50.51
KMSUGAR,EQ,03-Aug-2007,19.80,18.80,21.00,18.80,19.20,19.20,19.64,5334,1.05,-,3581,67.14
KMSUGAR,EQ,06-Aug-2007,19.20,18.90,19.90,18.90,19.75,19.75,19.86,872,0.17,-,800,91.74
KMSUGAR,EQ,07-Aug-2007,19.75,21.50,21.50,19.30,19.75,19.90,19.87,6853,1.36,-,3982,58.11
KMSUGAR,EQ,08-Aug-2007,19.90,20.00,20.35,18.65,19.90,19.95,19.77,1248,0.25,-,859,68.83
KMSUGAR,EQ,09-Aug-2007,19.95,19.50,20.70,19.50,19.60,19.60,19.82,1431,0.28,-,1431,100.00
KMSUGAR,EQ,10-Aug-2007,19.60,19.45,19.75,18.10,18.85,18.85,18.70,3015,0.56,-,2185,72.47
KMSUGAR,EQ,13-Aug-2007,18.85,19.65,20.80,19.10,20.80,20.50,20.48,3091,0.63,-,2800,90.59
KMSUGAR,EQ,14-Aug-2007,20.50,20.00,20.85,19.80,19.80,19.80,20.14,6423,1.29,-,3876,60.35
KMSUGAR,EQ,16-Aug-2007,19.80,19.10,20.55,19.05,19.60,19.60,19.62,1135,0.22,-,745,65.64
KMSUGAR,EQ,17-Aug-2007,19.60,19.00,20.40,18.60,19.25,19.30,19.14,6518,1.25,-,5580,85.61
KMSUGAR,EQ,20-Aug-2007,19.30,21.90,21.90,19.10,19.10,19.55,19.77,1466,0.29,-,1090,74.35
KMSUGAR,EQ,21-Aug-2007,19.55,19.50,20.00,19.05,19.05,19.05,19.36,1030,0.20,-,1020,99.03
KMSUGAR,EQ,22-Aug-2007,19.05,19.00,19.00,18.25,18.25,18.50,18.54,5075,0.94,-,4094,80.67
KMSUGAR,EQ,23-Aug-2007,18.50,18.15,19.25,18.00,18.40,18.10,18.25,8350,1.52,-,7875,94.31
KMSUGAR,EQ,24-Aug-2007,18.10,17.10,19.20,17.10,18.00,18.05,18.06,3118,0.56,-,2181,69.95
KMSUGAR,EQ,27-Aug-2007,18.05,18.00,18.85,18.00,18.45,18.65,18.52,1588,0.29,-,859,54.09
KMSUGAR,EQ,28-Aug-2007,18.65,19.20,19.95,19.00,19.15,19.30,19.24,3235,0.62,-,1780,55.02
KMSUGAR,EQ,29-Aug-2007,19.30,20.00,21.40,19.10,21.20,21.00,20.83,18007,3.75,-,12810,71.14
KMSUGAR,EQ,30-Aug-2007,21.00,24.00,24.00,21.10,22.10,21.75,22.43,38696,8.68,-,25738,66.51
KMSUGAR,EQ,31-Aug-2007,21.75,21.10,21.45,20.55,20.60,20.90,21.02,7389,1.55,-,6053,81.92
KMSUGAR,EQ,03-Sep-2007,20.90,21.25,21.45,20.50,21.10,21.10,20.87,4360,0.91,-,3700,84.86
KMSUGAR,EQ,04-Sep-2007,21.10,21.35,21.35,20.00,20.45,20.25,20.32,6670,1.36,-,5170,77.51
KMSUGAR,EQ,05-Sep-2007,20.25,21.50,21.50,19.90,20.60,20.70,20.87,8544,1.78,-,4841,56.66
KMSUGAR,EQ,06-Sep-2007,20.70,23.40,23.40,20.10,21.15,21.60,21.36,9925,2.12,-,5825,58.69
KMSUGAR,EQ,07-Sep-2007,21.60,22.80,22.80,20.50,21.00,21.05,21.02,10176,2.14,-,7348,72.21
KMSUGAR,EQ,10-Sep-2007,21.05,19.95,22.00,19.95,20.65,20.95,20.86,7515,1.57,-,4081,54.30
KMSUGAR,EQ,11-Sep-2007,20.95,20.50,21.10,19.90,19.95,20.00,20.16,15969,3.22,-,12431,77.84
KMSUGAR,EQ,12-Sep-2007,20.00,19.90,21.40,19.90,21.15,21.10,20.96,16734,3.51,-,13111,78.35
KMSUGAR,EQ,13-Sep-2007,21.10,23.50,23.50,20.30,20.70,21.10,21.44,4829,1.04,-,2191,45.37
KMSUGAR,EQ,14-Sep-2007,21.10,22.25,22.35,20.60,20.60,20.65,21.29,6275,1.34,-,4675,74.50
KMSUGAR,EQ,17-Sep-2007,20.65,21.00,21.35,20.25,20.95,20.95,20.81,9217,1.92,-,2539,27.55
KMSUGAR,EQ,18-Sep-2007,20.95,21.15,21.70,20.30,20.60,20.95,21.10,7915,1.67,-,5483,69.27
KMSUGAR,EQ,19-Sep-2007,20.95,20.50,25.15,20.50,25.15,25.15,23.96,139443,33.41,-,66682,47.82
KMSUGAR,EQ,20-Sep-2007,25.15,26.45,26.50,24.00,24.60,24.25,25.50,203166,51.81,-,83536,41.12
KMSUGAR,EQ,21-Sep-2007,24.25,24.95,25.00,22.00,23.60,23.50,24.05,53362,12.84,-,19098,35.79
KMSUGAR,EQ,24-Sep-2007,23.50,24.20,25.45,23.00,23.40,23.35,23.56,18677,4.40,-,9221,49.37
KMSUGAR,EQ,25-Sep-2007,23.35,23.50,26.60,22.65,26.00,25.90,25.37,129260,32.80,-,77483,59.94
KMSUGAR,EQ,26-Sep-2007,25.90,26.40,26.60,24.10,24.80,24.70,25.46,73042,18.60,-,36775,50.35
KMSUGAR,EQ,27-Sep-2007,24.70,25.75,25.75,23.00,23.10,23.15,23.70,24905,5.90,-,19389,77.85
KMSUGAR,EQ,28-Sep-2007,23.15,23.50,24.85,23.30,23.50,23.90,24.13,12694,3.06,-,9238,72.77
KMSUGAR,EQ,01-Oct-2007,23.90,26.80,26.90,24.00,24.10,24.70,24.99,38811,9.70,-,24020,61.89
KMSUGAR,EQ,03-Oct-2007,24.70,24.60,25.90,24.05,24.35,24.30,24.78,12659,3.14,-,7470,59.01
KMSUGAR,EQ,04-Oct-2007,24.30,23.65,24.95,23.65,23.65,24.05,24.36,6850,1.67,-,3595,52.48
KMSUGAR,EQ,05-Oct-2007,24.05,23.30,24.60,23.00,23.00,23.20,23.66,7461,1.77,-,6138,82.27
KMSUGAR,EQ,08-Oct-2007,23.20,21.60,22.95,20.05,21.35,21.20,21.28,17480,3.72,-,10526,60.22
KMSUGAR,EQ,09-Oct-2007,21.20,19.50,23.00,19.50,22.20,22.30,21.97,9256,2.03,-,5211,56.30
KMSUGAR,EQ,10-Oct-2007,22.30,24.00,26.80,24.00,24.15,24.20,25.17,75393,18.98,-,42057,55.78
KMSUGAR,EQ,11-Oct-2007,24.20,23.40,24.00,23.05,23.25,23.45,23.56,6998,1.65,-,4297,61.40
KMSUGAR,EQ,12-Oct-2007,23.45,24.50,24.50,22.40,22.85,22.85,23.14,9504,2.20,-,5562,58.52
KMSUGAR,EQ,15-Oct-2007,22.85,22.75,23.55,22.10,22.60,22.35,22.78,8078,1.84,-,6399,79.22
KMSUGAR,EQ,16-Oct-2007,22.35,23.50,23.65,22.35,22.45,22.45,22.66,6671,1.51,-,5156,77.29
KMSUGAR,EQ,17-Oct-2007,22.45,18.90,23.50,18.90,22.00,22.15,21.77,9492,2.07,-,6322,66.60
KMSUGAR,EQ,18-Oct-2007,22.15,22.00,23.75,20.80,21.15,22.10,22.80,13946,3.18,-,5943,42.61
KMSUGAR,EQ,19-Oct-2007,22.10,23.15,23.15,18.00,21.85,21.70,21.17,8192,1.73,-,4583,55.94
KMSUGAR,EQ,22-Oct-2007,21.70,20.80,21.60,20.50,20.50,21.00,21.12,2932,0.62,-,1821,62.11
KMSUGAR,EQ,23-Oct-2007,21.00,20.10,22.00,20.10,21.85,21.80,21.54,2198,0.47,-,1942,88.35
KMSUGAR,EQ,24-Oct-2007,21.80,21.40,22.10,21.00,21.40,21.60,21.58,9288,2.00,-,6795,73.16
KMSUGAR,EQ,25-Oct-2007,21.60,21.40,23.00,21.40,21.85,21.85,22.14,5994,1.33,-,2335,38.96
KMSUGAR,EQ,26-Oct-2007,21.85,22.90,22.90,21.50,21.60,21.75,22.25,9416,2.10,-,7315,77.69
KMSUGAR,EQ,29-Oct-2007,21.75,21.60,23.35,21.05,23.35,22.85,22.07,21324,4.71,-,13800,64.72
KMSUGAR,EQ,30-Oct-2007,22.85,23.60,24.05,22.05,23.00,22.45,22.94,18112,4.16,-,9484,52.36
KMSUGAR,EQ,31-Oct-2007,22.45,22.00,22.55,20.60,21.70,21.90,21.93,6104,1.34,-,4551,74.56
KMSUGAR,EQ,01-Nov-2007,21.90,21.55,22.25,20.80,20.80,21.05,21.35,5481,1.17,-,3211,58.58
KMSUGAR,EQ,02-Nov-2007,21.05,20.80,21.60,19.55,20.50,20.35,20.60,12818,2.64,-,10848,84.63
KMSUGAR,EQ,05-Nov-2007,20.35,21.00,21.00,20.00,20.90,20.70,20.60,3684,0.76,-,2859,77.61
KMSUGAR,EQ,06-Nov-2007,20.70,19.60,21.40,19.60,20.00,20.00,20.37,6316,1.29,-,5616,88.92
