Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KPIT,EQ,02-Jan-2006,376.00,378.50,389.80,375.30,381.00,383.35,383.17,13939,53.41,-,10806,77.52
KPIT,EQ,03-Jan-2006,383.35,382.00,384.80,375.00,377.20,378.45,379.64,5024,19.07,-,3140,62.50
KPIT,EQ,04-Jan-2006,378.45,383.95,383.95,372.00,375.00,375.05,375.52,11648,43.74,-,8823,75.75
KPIT,EQ,05-Jan-2006,375.05,380.40,382.00,370.00,382.00,378.40,375.19,7783,29.20,-,4491,57.70
KPIT,EQ,06-Jan-2006,378.40,376.10,381.50,376.10,378.00,379.95,379.94,15609,59.30,-,13159,84.30
KPIT,EQ,09-Jan-2006,379.95,375.00,389.85,355.10,372.80,369.60,374.46,18637,69.79,-,13278,71.25
KPIT,EQ,10-Jan-2006,369.60,373.00,378.00,373.00,378.00,376.20,375.51,5578,20.95,-,3276,58.73
KPIT,EQ,12-Jan-2006,376.20,375.00,377.00,365.00,369.85,369.95,371.44,4292,15.94,-,2933,68.34
KPIT,EQ,13-Jan-2006,369.95,371.00,375.00,366.00,370.00,370.55,371.10,5433,20.16,-,2127,39.15
KPIT,EQ,16-Jan-2006,370.55,373.00,376.95,370.30,375.00,375.00,374.79,4051,15.18,-,3206,79.14
KPIT,EQ,17-Jan-2006,375.00,372.10,372.20,365.75,370.00,370.00,370.12,6011,22.25,-,5467,90.95
KPIT,EQ,18-Jan-2006,370.00,370.00,370.00,362.15,367.10,368.55,367.78,3679,13.53,-,2771,75.32
KPIT,EQ,19-Jan-2006,368.55,381.00,381.00,362.60,380.40,376.05,373.75,6619,24.74,-,4929,74.47
KPIT,EQ,20-Jan-2006,376.05,376.00,395.00,376.00,381.00,381.00,385.13,21982,84.66,-,15499,70.51
KPIT,EQ,23-Jan-2006,381.00,382.00,382.00,362.00,367.00,367.45,366.01,30471,111.53,-,23563,77.33
