Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KTIL,BE,22-Dec-2010,129.70,90.00,106.00,80.00,99.00,99.05,94.81,23723,22.49,-,-,-
KTIL,BE,23-Dec-2010,99.05,100.00,103.40,95.00,96.05,96.60,97.86,6074,5.94,-,-,-
KTIL,BE,24-Dec-2010,96.60,92.00,95.00,92.00,94.50,94.50,93.97,2372,2.23,-,-,-
KTIL,BE,27-Dec-2010,94.50,90.00,93.20,89.80,89.80,89.80,91.17,3481,3.17,-,-,-
KTIL,BE,28-Dec-2010,89.80,85.50,89.00,85.50,89.00,89.00,87.80,1173,1.03,-,-,-
KTIL,BE,29-Dec-2010,89.00,88.90,93.45,88.90,93.45,93.45,92.23,600,0.55,-,-,-
KTIL,BE,30-Dec-2010,93.45,98.15,98.15,98.15,98.15,98.15,98.15,1494,1.47,-,-,-
KTIL,BE,31-Dec-2010,98.15,103.10,103.10,102.90,103.10,103.10,103.06,1017,1.05,-,-,-
KTIL,BE,03-Jan-2011,103.10,106.00,108.30,106.00,108.30,108.30,106.07,206,0.22,-,-,-
KTIL,BE,04-Jan-2011,108.30,113.75,113.75,113.75,113.75,113.75,113.75,117,0.13,-,-,-
KTIL,EQ,05-Jan-2011,113.75,117.00,127.45,112.95,115.00,114.85,119.91,54533,65.39,-,14269,26.17
KTIL,EQ,06-Jan-2011,114.85,110.25,116.00,104.20,108.80,108.25,109.18,3998,4.37,-,2617,65.46
KTIL,EQ,07-Jan-2011,108.25,106.25,108.45,101.00,102.05,102.60,103.10,3944,4.07,-,2626,66.58
KTIL,EQ,10-Jan-2011,102.60,98.00,101.90,97.40,98.00,98.10,98.83,1689,1.67,-,1354,80.17
KTIL,EQ,11-Jan-2011,98.10,96.00,102.00,96.00,100.00,100.05,100.23,1251,1.25,-,1244,99.44
KTIL,EQ,12-Jan-2011,100.05,96.00,105.40,96.00,100.00,100.00,98.14,749,0.74,-,624,83.31
KTIL,EQ,13-Jan-2011,100.00,96.40,102.00,96.40,102.00,99.40,98.60,452,0.45,-,450,99.56
KTIL,EQ,14-Jan-2011,99.40,95.25,100.00,95.25,98.00,97.20,96.42,411,0.40,-,319,77.62
KTIL,EQ,17-Jan-2011,97.20,91.30,94.00,91.30,93.10,93.10,92.99,432,0.40,-,369,85.42
KTIL,EQ,18-Jan-2011,93.10,98.50,98.90,93.00,97.00,95.25,95.00,1079,1.02,-,770,71.36
