Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LAKSHVILAS,EQ,02-Jan-2006,91.75,93.00,93.50,92.00,92.45,92.40,92.65,22121,20.50,-,14486,65.49
LAKSHVILAS,EQ,03-Jan-2006,92.40,92.20,98.35,92.20,95.55,95.50,94.90,71299,67.66,-,35409,49.66
LAKSHVILAS,EQ,04-Jan-2006,95.50,96.05,96.60,94.55,95.70,95.60,95.50,41126,39.27,-,25643,62.35
LAKSHVILAS,EQ,05-Jan-2006,95.60,96.50,103.00,95.55,99.60,99.55,99.88,244716,244.42,-,75866,31.00
LAKSHVILAS,EQ,06-Jan-2006,99.55,101.00,104.95,99.00,100.50,101.25,101.83,284474,289.67,-,106292,37.36
LAKSHVILAS,EQ,09-Jan-2006,101.25,102.20,103.00,100.45,100.45,101.25,101.76,93049,94.68,-,56948,61.20
LAKSHVILAS,EQ,10-Jan-2006,101.25,101.15,102.00,99.25,99.70,100.05,100.73,91533,92.20,-,55450,60.58
LAKSHVILAS,EQ,12-Jan-2006,100.05,99.10,100.00,97.00,97.50,97.90,98.67,41254,40.71,-,25051,60.72
LAKSHVILAS,EQ,13-Jan-2006,97.90,98.10,99.55,97.50,98.65,99.10,98.53,45590,44.92,-,29669,65.08
LAKSHVILAS,EQ,16-Jan-2006,99.10,98.10,98.20,96.40,96.40,96.75,97.20,26303,25.57,-,17263,65.63
LAKSHVILAS,EQ,17-Jan-2006,96.75,96.65,97.40,95.75,96.00,96.20,96.42,25005,24.11,-,17177,68.69
LAKSHVILAS,EQ,18-Jan-2006,96.20,95.05,97.85,94.80,97.80,96.50,95.55,25987,24.83,-,18839,72.49
LAKSHVILAS,EQ,19-Jan-2006,96.50,97.25,97.25,96.05,96.50,96.70,96.62,30006,28.99,-,20618,68.71
LAKSHVILAS,EQ,20-Jan-2006,96.70,96.35,99.00,96.35,97.75,98.40,98.06,49931,48.96,-,41492,83.10
LAKSHVILAS,EQ,23-Jan-2006,98.40,97.50,99.00,96.20,98.25,98.50,97.89,34281,33.56,-,23425,68.33
LAKSHVILAS,EQ,24-Jan-2006,98.50,97.55,102.95,97.55,100.00,99.90,100.30,85772,86.03,-,54409,63.43
LAKSHVILAS,EQ,25-Jan-2006,99.90,99.65,100.65,96.15,98.05,97.85,98.26,79543,78.16,-,50206,63.12
LAKSHVILAS,EQ,27-Jan-2006,97.85,98.00,99.00,97.15,97.80,98.05,98.25,30053,29.53,-,21540,71.67
LAKSHVILAS,EQ,30-Jan-2006,98.05,97.15,99.30,92.55,97.00,96.60,96.97,55386,53.71,-,40284,72.73
LAKSHVILAS,EQ,31-Jan-2006,96.60,97.10,97.90,95.75,96.00,96.05,96.58,20639,19.93,-,16245,78.71
LAKSHVILAS,EQ,01-Feb-2006,96.05,98.00,99.85,95.75,96.05,97.20,96.85,77322,74.88,-,45611,58.99
LAKSHVILAS,EQ,02-Feb-2006,97.20,97.95,98.00,95.75,96.50,96.00,96.54,36474,35.21,-,27864,76.39
LAKSHVILAS,EQ,03-Feb-2006,96.00,97.95,97.95,95.15,96.30,95.80,95.92,38303,36.74,-,30956,80.82
