Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LICNMFET,EQ,01-Jan-2015,13.50,13.54,13.54,13.52,13.54,13.54,13.53,150286,20.33,10,150286,100.00
LICNMFET,EQ,02-Jan-2015,13.54,13.46,13.54,13.46,13.49,13.49,13.49,122137,16.47,9,102137,83.62
LICNMFET,EQ,05-Jan-2015,13.49,13.54,13.54,13.49,13.49,13.49,13.49,1001,0.14,2,1001,100.00
LICNMFET,EQ,06-Jan-2015,13.49,13.55,13.55,13.53,13.53,13.53,13.54,40,0.01,3,40,100.00
LICNMFET,EQ,07-Jan-2015,13.53,13.49,13.50,13.49,13.49,13.49,13.49,200101,26.99,6,200101,100.00
LICNMFET,EQ,08-Jan-2015,13.49,13.52,13.55,13.50,13.55,13.55,13.50,217893,29.42,17,217893,100.00
LICNMFET,EQ,09-Jan-2015,13.55,13.55,13.55,13.54,13.54,13.54,13.54,1037,0.14,5,1037,100.00
LICNMFET,EQ,12-Jan-2015,13.54,13.55,13.59,13.49,13.49,13.50,13.52,540155,73.04,29,435000,80.53
LICNMFET,EQ,13-Jan-2015,13.50,13.54,13.55,13.49,13.55,13.55,13.55,305501,41.39,12,305501,100.00
LICNMFET,EQ,14-Jan-2015,13.55,13.60,13.60,13.50,13.51,13.51,13.50,250300,33.80,13,250000,99.88
LICNMFET,EQ,15-Jan-2015,13.51,13.89,13.89,13.55,13.55,13.58,13.59,576200,78.30,20,576200,100.00
LICNMFET,EQ,16-Jan-2015,13.58,13.60,13.60,13.55,13.60,13.60,13.58,151137,20.53,18,151137,100.00
LICNMFET,EQ,19-Jan-2015,13.60,13.69,13.69,13.55,13.55,13.55,13.55,83775,11.35,11,83775,100.00
LICNMFET,EQ,20-Jan-2015,13.55,13.67,13.70,13.65,13.70,13.70,13.66,8904,1.22,10,8904,100.00
LICNMFET,EQ,21-Jan-2015,13.70,13.68,13.72,13.65,13.72,13.72,13.71,11020,1.51,5,11020,100.00
LICNMFET,EQ,22-Jan-2015,13.72,13.75,13.76,13.75,13.76,13.76,13.76,20000,2.75,2,20000,100.00
LICNMFET,EQ,23-Jan-2015,13.76,13.70,13.70,13.70,13.70,13.70,13.70,50500,6.92,3,50500,100.00
LICNMFET,EQ,27-Jan-2015,13.70,13.75,13.75,13.75,13.75,13.75,13.75,2072,0.28,4,2072,100.00
LICNMFET,EQ,28-Jan-2015,13.75,13.75,13.76,13.70,13.76,13.76,13.74,6529,0.90,6,6528,99.98
LICNMFET,EQ,29-Jan-2015,13.76,13.76,13.76,13.75,13.76,13.76,13.76,17063,2.35,3,17063,100.00
LICNMFET,EQ,02-Feb-2015,13.76,13.75,13.75,13.70,13.70,13.70,13.71,130001,17.82,13,130001,100.00
LICNMFET,EQ,03-Feb-2015,13.70,13.75,13.78,13.75,13.75,13.76,13.76,15,0.00,4,5,33.33
LICNMFET,EQ,04-Feb-2015,13.76,13.80,13.80,13.78,13.78,13.78,13.78,1279,0.18,3,1279,100.00
LICNMFET,EQ,05-Feb-2015,13.78,13.79,13.79,13.77,13.77,13.77,13.77,164,0.02,2,164,100.00
LICNMFET,EQ,06-Feb-2015,13.77,13.75,13.79,13.69,13.75,13.71,13.72,70994,9.74,13,70964,99.96
LICNMFET,EQ,09-Feb-2015,13.71,13.80,13.80,13.80,13.80,13.80,13.80,191,0.03,3,191,100.00
LICNMFET,EQ,10-Feb-2015,13.80,13.80,13.80,13.71,13.71,13.71,13.75,81163,11.16,6,81153,99.99
LICNMFET,EQ,11-Feb-2015,13.71,13.80,13.80,13.80,13.80,13.80,13.80,1231,0.17,5,1231,100.00
LICNMFET,EQ,12-Feb-2015,13.80,13.81,13.81,13.80,13.80,13.80,13.81,168,0.02,4,168,100.00
LICNMFET,EQ,13-Feb-2015,13.80,13.82,13.82,13.82,13.82,13.82,13.82,144,0.02,1,144,100.00
LICNMFET,EQ,16-Feb-2015,13.82,13.82,13.82,13.82,13.82,13.82,13.82,151,0.02,2,151,100.00
LICNMFET,EQ,18-Feb-2015,13.82,13.83,13.83,13.76,13.76,13.76,13.81,1418,0.20,4,1417,99.93
LICNMFET,EQ,19-Feb-2015,13.76,13.83,13.83,13.78,13.78,13.78,13.78,21745,3.00,7,18145,83.44
LICNMFET,EQ,20-Feb-2015,13.78,13.84,13.84,13.84,13.84,13.84,13.84,1145,0.16,2,1145,100.00
LICNMFET,EQ,23-Feb-2015,13.84,13.85,13.86,13.85,13.86,13.86,13.85,344,0.05,3,344,100.00
LICNMFET,EQ,24-Feb-2015,13.86,13.85,13.85,13.85,13.85,13.85,13.85,444,0.06,3,444,100.00
LICNMFET,EQ,25-Feb-2015,13.85,13.87,13.87,13.87,13.87,13.87,13.87,146,0.02,2,146,100.00
LICNMFET,EQ,26-Feb-2015,13.87,13.75,13.87,13.75,13.87,13.87,13.81,426,0.06,4,220,51.64
LICNMFET,EQ,27-Feb-2015,13.87,13.86,13.86,13.86,13.86,13.86,13.86,144,0.02,1,144,100.00
LICNMFET,EQ,28-Feb-2015,13.86,13.86,13.86,13.86,13.86,13.86,13.86,154,0.02,2,154,100.00
LICNMFET,EQ,02-Mar-2015,13.86,13.75,13.86,13.75,13.84,13.84,13.85,283,0.04,8,276,97.53
LICNMFET,EQ,03-Mar-2015,13.84,13.84,13.84,13.84,13.84,13.84,13.84,144,0.02,1,144,100.00
LICNMFET,EQ,04-Mar-2015,13.84,13.92,13.92,13.92,13.92,13.92,13.92,466,0.06,3,466,100.00
LICNMFET,EQ,05-Mar-2015,13.92,13.92,13.92,13.89,13.90,13.90,13.90,352,0.05,5,343,97.44
LICNMFET,EQ,09-Mar-2015,13.90,13.90,13.90,13.90,13.90,13.90,13.90,478,0.07,4,478,100.00
LICNMFET,EQ,10-Mar-2015,13.90,13.89,13.89,13.89,13.89,13.89,13.89,144,0.02,2,144,100.00
LICNMFET,EQ,11-Mar-2015,13.89,13.88,13.88,13.73,13.73,13.73,13.73,15169,2.08,5,15000,98.89
LICNMFET,EQ,12-Mar-2015,13.73,13.74,13.87,13.74,13.87,13.87,13.85,647,0.09,4,646,99.85
LICNMFET,EQ,13-Mar-2015,13.87,13.88,13.88,13.73,13.86,13.84,13.85,1814,0.25,7,1388,76.52
