Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LINCPEN,EQ,09-Mar-2015,162.10,163.00,173.90,162.00,168.40,168.40,168.08,115,0.19,7,85,73.91
LINCPEN,EQ,10-Mar-2015,168.40,198.00,198.00,163.00,168.90,166.10,173.67,12886,22.38,169,9116,70.74
LINCPEN,EQ,11-Mar-2015,166.10,169.90,171.75,164.00,165.00,165.00,168.05,687,1.15,24,562,81.80
LINCPEN,EQ,12-Mar-2015,165.00,161.05,170.00,161.05,164.00,164.00,165.45,1862,3.08,38,1453,78.03
LINCPEN,EQ,13-Mar-2015,164.00,163.10,165.90,156.00,157.95,156.45,160.02,5821,9.31,70,5203,89.38
LINCPEN,EQ,16-Mar-2015,156.45,156.50,156.50,146.05,148.00,148.15,150.61,5829,8.78,76,4489,77.01
LINCPEN,EQ,17-Mar-2015,148.15,146.00,154.00,146.00,150.00,148.40,150.14,2952,4.43,61,1665,56.40
LINCPEN,EQ,18-Mar-2015,148.40,152.00,152.00,145.00,145.30,146.70,146.94,3054,4.49,48,1599,52.36
LINCPEN,EQ,19-Mar-2015,146.70,150.00,151.00,146.00,146.10,147.45,150.21,6549,9.84,94,5572,85.08
LINCPEN,EQ,20-Mar-2015,147.45,152.00,155.00,145.10,149.90,146.95,149.01,8957,13.35,117,5731,63.98
LINCPEN,EQ,23-Mar-2015,146.95,146.95,149.85,140.05,145.05,145.05,145.38,6962,10.12,60,5112,73.43
LINCPEN,EQ,24-Mar-2015,145.05,143.15,148.90,143.00,145.10,147.25,143.17,47589,68.13,55,47024,98.81
LINCPEN,EQ,25-Mar-2015,147.25,143.15,148.80,143.10,146.00,146.00,146.00,72951,106.51,53,71112,97.48
LINCPEN,EQ,26-Mar-2015,146.00,144.00,145.00,140.00,141.00,141.85,141.49,10702,15.14,141,7148,66.79
LINCPEN,EQ,27-Mar-2015,141.85,142.10,145.00,135.00,145.00,144.05,138.81,4497,6.24,108,2838,63.11
LINCPEN,EQ,30-Mar-2015,144.05,144.90,149.50,144.45,146.10,145.45,145.50,36889,53.67,52,36725,99.56
LINCPEN,EQ,31-Mar-2015,145.45,147.00,148.00,143.10,147.95,145.95,146.27,528,0.77,18,500,94.70
