Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LUMAXIND,EQ,02-Jan-2006,125.30,128.20,128.90,125.15,125.15,125.90,126.50,4985,6.31,-,3210,64.39
LUMAXIND,EQ,03-Jan-2006,125.90,126.50,131.00,126.50,131.00,129.75,128.61,11237,14.45,-,8720,77.60
LUMAXIND,EQ,04-Jan-2006,129.75,128.20,129.05,127.00,127.50,127.60,128.11,6778,8.68,-,4598,67.84
LUMAXIND,EQ,05-Jan-2006,127.60,127.50,128.00,124.00,128.00,127.10,126.09,11741,14.80,-,5758,49.04
LUMAXIND,EQ,06-Jan-2006,127.10,126.30,128.50,126.30,127.50,127.85,127.33,2416,3.08,-,1973,81.66
LUMAXIND,EQ,09-Jan-2006,127.85,127.15,128.45,124.00,126.00,124.65,125.57,4892,6.14,-,3600,73.59
LUMAXIND,EQ,10-Jan-2006,124.65,127.70,127.70,124.10,125.50,125.25,125.40,2890,3.62,-,2017,69.79
LUMAXIND,EQ,12-Jan-2006,125.25,120.20,134.40,120.20,127.60,127.65,130.06,44935,58.44,-,20553,45.74
LUMAXIND,EQ,13-Jan-2006,127.65,130.00,130.90,127.60,128.00,128.15,128.98,5678,7.32,-,3564,62.77
LUMAXIND,EQ,16-Jan-2006,128.15,128.90,128.90,125.25,125.70,125.80,126.28,4591,5.80,-,3006,65.48
LUMAXIND,EQ,17-Jan-2006,125.80,125.75,126.00,123.00,125.20,124.15,124.80,4547,5.67,-,3717,81.75
LUMAXIND,EQ,18-Jan-2006,124.15,123.05,131.35,123.00,130.90,129.65,128.23,34009,43.61,-,32225,94.75
LUMAXIND,EQ,19-Jan-2006,129.65,132.95,133.90,128.00,128.00,129.15,130.66,12364,16.15,-,7787,62.98
LUMAXIND,EQ,20-Jan-2006,129.15,130.00,131.10,127.55,129.00,128.35,129.81,11216,14.56,-,8598,76.66
LUMAXIND,EQ,23-Jan-2006,128.35,129.00,132.35,126.00,132.00,131.50,130.69,11384,14.88,-,9134,80.24
LUMAXIND,EQ,24-Jan-2006,131.50,131.50,132.50,128.00,130.00,129.25,131.10,12958,16.99,-,9678,74.69
LUMAXIND,EQ,25-Jan-2006,129.25,132.10,141.00,126.00,131.20,132.50,134.46,38908,52.32,-,33486,86.06
LUMAXIND,EQ,27-Jan-2006,132.50,136.00,140.00,129.10,132.00,130.15,132.13,12615,16.67,-,9631,76.35
LUMAXIND,EQ,30-Jan-2006,130.15,132.00,133.45,130.00,130.30,130.35,130.91,8406,11.00,-,6507,77.41
LUMAXIND,EQ,31-Jan-2006,130.35,130.40,141.00,130.20,134.10,134.75,137.36,49554,68.07,-,28315,57.14
LUMAXIND,EQ,01-Feb-2006,134.75,135.00,138.40,131.00,132.00,132.30,135.19,45117,60.99,-,27361,60.64
LUMAXIND,EQ,02-Feb-2006,132.30,136.00,136.00,129.20,131.50,130.45,131.61,18568,24.44,-,10038,54.06
LUMAXIND,EQ,03-Feb-2006,130.45,131.00,131.00,126.00,128.00,127.85,128.05,6445,8.25,-,4600,71.37
LUMAXIND,EQ,06-Feb-2006,127.85,130.00,132.00,127.35,130.00,130.40,130.02,12905,16.78,-,10376,80.40
LUMAXIND,EQ,07-Feb-2006,130.40,130.00,132.00,129.25,132.00,131.95,130.39,13557,17.68,-,11104,81.91
LUMAXIND,EQ,08-Feb-2006,131.95,131.00,131.00,127.00,129.80,128.40,128.81,6560,8.45,-,4972,75.79
LUMAXIND,EQ,10-Feb-2006,128.40,129.50,130.90,127.75,129.00,128.55,128.82,5036,6.49,-,3654,72.56
LUMAXIND,EQ,13-Feb-2006,128.55,129.00,133.00,128.60,130.00,129.75,129.98,5495,7.14,-,4711,85.73
LUMAXIND,EQ,14-Feb-2006,129.75,129.05,132.50,128.00,128.00,129.15,130.20,5707,7.43,-,5462,95.71
LUMAXIND,EQ,15-Feb-2006,129.15,128.00,129.00,127.10,129.00,128.20,127.89,4704,6.02,-,2923,62.14
LUMAXIND,EQ,16-Feb-2006,128.20,126.50,130.25,126.15,128.00,129.55,128.57,4010,5.16,-,3355,83.67
LUMAXIND,EQ,17-Feb-2006,129.55,127.50,127.50,119.25,123.00,123.10,122.76,31186,38.28,-,19046,61.07
LUMAXIND,EQ,20-Feb-2006,123.10,124.80,124.80,122.00,122.95,122.75,122.71,2577,3.16,-,2255,87.50
LUMAXIND,EQ,21-Feb-2006,122.75,127.50,127.50,125.65,126.00,126.25,126.26,3588,4.53,-,2856,79.60
LUMAXIND,EQ,22-Feb-2006,126.25,127.00,128.75,126.00,126.15,126.20,127.15,9152,11.64,-,7625,83.32
LUMAXIND,EQ,23-Feb-2006,126.20,122.60,127.00,122.60,126.00,126.00,125.86,3000,3.78,-,2540,84.67
LUMAXIND,EQ,24-Feb-2006,126.00,127.00,127.00,123.60,123.75,123.80,124.32,2371,2.95,-,2095,88.36
LUMAXIND,EQ,27-Feb-2006,123.80,122.65,125.30,122.65,124.00,123.35,123.85,2273,2.82,-,1929,84.87
LUMAXIND,EQ,28-Feb-2006,123.35,125.75,125.75,123.10,123.10,123.60,123.99,2389,2.96,-,2054,85.98
LUMAXIND,EQ,01-Mar-2006,123.60,122.00,125.15,120.00,123.35,123.80,124.00,4327,5.37,-,3058,70.67
LUMAXIND,EQ,02-Mar-2006,123.80,124.00,124.50,122.20,124.50,123.00,123.14,4902,6.04,-,4307,87.86
LUMAXIND,EQ,03-Mar-2006,123.00,124.50,125.40,121.60,121.60,122.05,123.21,6019,7.42,-,3572,59.35
LUMAXIND,EQ,06-Mar-2006,122.05,122.05,123.80,121.10,121.10,121.65,122.25,2152,2.63,-,1647,76.53
LUMAXIND,EQ,07-Mar-2006,121.65,120.60,122.40,120.60,122.40,122.00,121.36,2451,2.97,-,1944,79.31
LUMAXIND,EQ,08-Mar-2006,122.00,121.30,128.00,121.30,122.55,124.65,125.13,10882,13.62,-,8668,79.65
