Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MCDOWELL-N,EQ,02-Jan-2006,496.20,499.70,515.00,495.00,505.25,505.75,506.81,2153091,10912.01,-,303626,14.10
MCDOWELL-N,EQ,03-Jan-2006,505.75,507.00,531.95,507.00,530.90,528.95,521.41,2560020,13348.15,-,347121,13.56
MCDOWELL-N,EQ,04-Jan-2006,528.95,535.00,536.00,518.15,519.50,519.95,525.56,1035347,5441.32,-,254949,24.62
MCDOWELL-N,EQ,05-Jan-2006,519.95,521.00,522.80,513.10,516.50,515.75,517.31,628422,3250.88,-,107624,17.13
MCDOWELL-N,EQ,06-Jan-2006,515.75,517.00,533.00,514.50,523.35,523.25,524.53,762020,3997.04,-,116853,15.33
MCDOWELL-N,EQ,09-Jan-2006,523.25,526.35,528.70,516.60,524.80,522.25,522.39,458890,2397.19,-,93693,20.42
MCDOWELL-N,EQ,10-Jan-2006,522.25,524.80,524.80,496.00,507.10,507.25,511.58,437177,2236.53,-,139942,32.01
MCDOWELL-N,EQ,12-Jan-2006,507.25,505.70,518.00,495.00,510.70,511.85,510.56,643813,3287.04,-,178799,27.77
MCDOWELL-N,EQ,13-Jan-2006,511.85,511.00,522.25,505.00,505.90,507.05,514.73,438839,2258.82,-,100672,22.94
MCDOWELL-N,EQ,16-Jan-2006,507.05,508.60,514.10,501.05,501.75,502.45,507.21,295658,1499.60,-,53473,18.09
MCDOWELL-N,EQ,17-Jan-2006,502.45,503.00,517.80,497.20,500.50,500.20,508.10,643546,3269.87,-,90988,14.14
MCDOWELL-N,EQ,18-Jan-2006,500.20,500.00,503.70,490.00,497.00,497.05,495.87,346184,1716.62,-,57427,16.59
MCDOWELL-N,EQ,19-Jan-2006,497.05,499.70,514.00,499.70,509.05,510.00,508.78,426552,2170.23,-,69520,16.30
MCDOWELL-N,EQ,20-Jan-2006,510.00,512.00,516.90,504.60,507.00,505.80,509.76,247856,1263.48,-,58686,23.68
MCDOWELL-N,EQ,23-Jan-2006,505.80,506.25,508.45,497.00,503.40,501.35,503.18,139893,703.92,-,29774,21.28
MCDOWELL-N,EQ,24-Jan-2006,501.35,500.00,524.00,497.00,513.90,511.80,514.02,550620,2830.31,-,101021,18.35
MCDOWELL-N,EQ,25-Jan-2006,511.80,515.00,518.00,506.65,511.05,509.00,513.49,283903,1457.81,-,93725,33.01
MCDOWELL-N,EQ,27-Jan-2006,509.00,514.80,545.00,511.00,543.00,541.00,532.63,1884527,10037.64,-,469420,24.91
MCDOWELL-N,EQ,30-Jan-2006,541.00,543.00,549.75,521.10,524.85,524.35,530.62,653337,3466.73,-,194694,29.80
MCDOWELL-N,EQ,31-Jan-2006,524.35,527.70,532.80,519.20,520.00,521.25,526.32,299549,1576.58,-,61605,20.57
MCDOWELL-N,EQ,01-Feb-2006,521.25,524.30,536.90,507.50,513.20,512.20,525.61,624180,3280.74,-,93312,14.95
MCDOWELL-N,EQ,02-Feb-2006,512.20,512.20,521.90,503.60,514.90,511.00,513.17,368802,1892.56,-,52336,14.19
MCDOWELL-N,EQ,03-Feb-2006,511.00,513.20,514.90,502.00,506.25,506.70,508.70,268093,1363.78,-,44701,16.67
MCDOWELL-N,EQ,06-Feb-2006,506.70,508.00,516.35,506.00,507.25,508.15,510.50,205991,1051.58,-,43914,21.32
MCDOWELL-N,EQ,07-Feb-2006,508.15,511.00,513.30,501.05,505.50,504.65,507.13,282526,1432.78,-,82930,29.35
MCDOWELL-N,EQ,08-Feb-2006,504.65,508.90,509.70,502.20,508.00,505.95,505.76,212626,1075.37,-,44867,21.10
MCDOWELL-N,EQ,10-Feb-2006,505.95,509.30,523.90,507.50,517.90,517.25,516.01,576169,2973.11,-,239015,41.48
MCDOWELL-N,EQ,13-Feb-2006,517.25,519.90,599.00,518.00,598.00,586.55,565.60,3800734,21496.82,-,671318,17.66
