Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MCX,EQ,09-Mar-2012,1032.00,1408.00,1428.55,1282.20,1294.00,1296.70,1339.45,7941567,106373.53,309550,1817475,22.89
MCX,EQ,12-Mar-2012,1296.70,1295.95,1329.90,1212.25,1241.00,1234.05,1263.20,2970241,37520.03,133693,807542,27.19
MCX,EQ,13-Mar-2012,1234.05,1234.00,1308.50,1234.00,1281.00,1293.15,1281.41,2523025,32330.32,115444,419830,16.64
MCX,EQ,14-Mar-2012,1293.15,1298.80,1329.00,1263.10,1277.10,1272.60,1292.16,2198401,28406.84,99749,254850,11.59
MCX,EQ,15-Mar-2012,1272.60,1272.00,1284.00,1257.00,1258.00,1268.05,1272.03,571247,7266.45,32814,155705,27.26
MCX,EQ,16-Mar-2012,1268.05,1272.00,1325.00,1242.85,1302.00,1297.20,1296.19,1631266,21144.30,76802,372984,22.86
MCX,EQ,19-Mar-2012,1297.20,1270.00,1310.00,1264.00,1292.00,1295.25,1295.20,575324,7451.58,32829,249250,43.32
MCX,EQ,20-Mar-2012,1295.25,1291.30,1303.00,1271.20,1273.95,1279.30,1290.19,214823,2771.63,12266,70080,32.62
MCX,EQ,21-Mar-2012,1279.30,1277.80,1294.00,1262.10,1281.90,1287.25,1284.88,186596,2397.53,10662,64097,34.35
MCX,EQ,22-Mar-2012,1287.25,1277.00,1294.70,1253.85,1254.00,1258.50,1278.19,162355,2075.21,10142,59811,36.84
MCX,EQ,23-Mar-2012,1258.50,1264.00,1283.20,1239.95,1251.45,1248.65,1259.95,230145,2899.71,11964,93759,40.74
MCX,EQ,26-Mar-2012,1248.65,1247.00,1265.00,1246.05,1259.00,1259.40,1257.37,198871,2500.54,9514,94598,47.57
MCX,EQ,27-Mar-2012,1259.40,1262.05,1290.00,1250.05,1259.00,1257.50,1259.16,103574,1304.16,5017,45474,43.90
MCX,EQ,28-Mar-2012,1257.50,1257.50,1260.00,1231.40,1233.10,1238.10,1250.39,149912,1874.48,8708,93519,62.38
MCX,EQ,29-Mar-2012,1238.10,1238.00,1254.80,1234.15,1249.55,1249.75,1247.72,94140,1174.61,5486,45397,48.22
MCX,EQ,30-Mar-2012,1249.75,1254.50,1280.65,1247.65,1271.90,1270.25,1269.53,126223,1602.44,8593,43001,34.07
MCX,EQ,02-Apr-2012,1270.25,1276.35,1316.00,1269.85,1308.00,1306.65,1300.87,385598,5016.14,20677,140727,36.50
MCX,EQ,03-Apr-2012,1306.65,1314.00,1323.75,1300.35,1305.00,1308.10,1312.49,246259,3232.13,12034,58236,23.65
MCX,EQ,04-Apr-2012,1308.10,1305.00,1308.00,1282.25,1288.30,1291.90,1293.68,96759,1251.75,5257,36529,37.75
MCX,EQ,09-Apr-2012,1291.90,1287.95,1288.00,1260.15,1264.35,1263.55,1272.04,64166,816.22,4250,23705,36.94
MCX,EQ,10-Apr-2012,1263.55,1265.25,1272.00,1248.65,1260.00,1257.20,1260.35,145577,1834.77,7666,48127,33.06
MCX,EQ,11-Apr-2012,1257.20,1262.00,1294.95,1255.10,1266.30,1270.75,1277.08,378709,4836.43,16682,77376,20.43
MCX,EQ,12-Apr-2012,1270.75,1274.70,1288.60,1261.00,1263.95,1265.65,1277.10,150628,1923.67,9443,68934,45.76
MCX,EQ,13-Apr-2012,1265.65,1270.60,1272.50,1241.00,1244.00,1246.50,1256.03,140467,1764.31,8212,72546,51.65
MCX,EQ,16-Apr-2012,1246.50,1250.00,1270.00,1243.15,1266.65,1263.95,1262.98,90027,1137.02,5705,41210,45.78
MCX,EQ,17-Apr-2012,1263.95,1270.00,1280.00,1262.05,1269.05,1269.65,1273.00,190928,2430.51,10174,141874,74.31
MCX,EQ,18-Apr-2012,1269.65,1273.55,1278.00,1259.00,1265.25,1265.95,1268.21,107360,1361.55,16096,82303,76.66
MCX,EQ,19-Apr-2012,1265.95,1266.90,1269.90,1258.10,1260.00,1260.70,1260.99,65153,821.57,9177,49163,75.46
MCX,EQ,20-Apr-2012,1260.70,1262.70,1263.65,1245.00,1246.00,1249.50,1254.11,87381,1095.86,7169,64310,73.60
MCX,EQ,23-Apr-2012,1249.50,1236.10,1254.95,1201.10,1214.10,1213.50,1237.11,96686,1196.11,6965,69133,71.50
MCX,EQ,24-Apr-2012,1213.50,1201.20,1226.00,1201.20,1210.00,1213.45,1218.96,149867,1826.82,8504,112685,75.19
MCX,EQ,25-Apr-2012,1213.45,1202.10,1227.00,1196.10,1201.00,1200.50,1214.67,124153,1508.05,9134,79492,64.03
MCX,EQ,26-Apr-2012,1200.50,1198.00,1198.00,1151.90,1157.00,1166.10,1172.92,114835,1346.93,10624,70525,61.41
MCX,EQ,27-Apr-2012,1166.10,1152.05,1172.00,1102.00,1105.95,1111.05,1130.18,158682,1793.40,14796,87908,55.40
MCX,EQ,28-Apr-2012,1111.05,1116.45,1148.90,1100.00,1140.00,1136.65,1133.21,54544,618.10,3715,10822,19.84
MCX,EQ,30-Apr-2012,1136.65,1136.00,1142.30,1090.15,1092.50,1094.55,1106.02,141946,1569.94,13923,64603,45.51
MCX,EQ,02-May-2012,1094.55,1100.10,1120.00,1100.00,1109.00,1109.90,1111.11,181491,2016.57,10996,130801,72.07
MCX,EQ,03-May-2012,1109.90,1119.00,1129.00,1055.00,1060.00,1057.65,1072.08,261178,2800.04,27233,178342,68.28
MCX,EQ,04-May-2012,1057.65,1055.05,1061.85,1007.00,1007.00,1011.65,1022.40,298706,3053.97,23719,185766,62.19
MCX,EQ,07-May-2012,1011.65,1005.15,1038.00,980.00,1034.50,1029.60,1009.80,137919,1392.70,10769,55406,40.17
MCX,EQ,08-May-2012,1029.60,1029.55,1042.50,1017.15,1021.55,1021.35,1030.16,82846,853.45,5533,35536,42.89
MCX,EQ,09-May-2012,1021.35,1020.00,1037.00,1015.05,1034.00,1032.10,1029.37,90639,933.01,5543,48008,52.97
MCX,EQ,10-May-2012,1032.10,1036.20,1049.90,1028.00,1033.30,1032.25,1037.45,47096,488.60,3860,19439,41.28
MCX,EQ,11-May-2012,1032.25,1031.40,1033.50,1000.00,1005.00,1004.50,1008.15,44853,452.18,4413,14591,32.53
MCX,EQ,14-May-2012,1004.50,1008.70,1016.95,995.00,996.00,1002.30,1001.64,88792,889.38,5683,65602,73.88
MCX,EQ,15-May-2012,1002.30,997.00,1005.00,980.00,997.00,999.15,995.03,74602,742.31,5557,41704,55.90
MCX,EQ,16-May-2012,999.15,994.80,996.70,978.70,979.00,984.00,985.19,96969,955.33,4833,64934,66.96
MCX,EQ,17-May-2012,984.00,988.85,998.50,960.60,965.90,964.30,976.97,102415,1000.57,6498,66202,64.64
MCX,EQ,18-May-2012,964.30,959.95,960.00,940.00,948.90,946.30,949.30,137655,1306.76,4058,116506,84.64
MCX,EQ,21-May-2012,946.30,947.00,958.40,931.20,932.00,934.70,943.91,46774,441.50,3861,23353,49.93
MCX,EQ,22-May-2012,934.70,948.95,951.95,900.10,903.00,910.50,919.91,126449,1163.22,8182,69677,55.10
MCX,EQ,23-May-2012,910.50,905.00,908.90,871.10,887.00,878.05,889.98,121449,1080.88,6634,71481,58.86
MCX,EQ,24-May-2012,878.05,878.95,921.50,876.10,890.65,887.55,891.85,314485,2804.72,19031,116291,36.98
MCX,EQ,25-May-2012,887.55,901.30,913.75,888.00,892.00,896.95,898.80,208650,1875.36,12210,86532,41.47
MCX,EQ,28-May-2012,896.95,905.90,905.90,887.00,887.00,893.15,896.34,84687,759.08,5437,37191,43.92
MCX,EQ,29-May-2012,893.15,894.00,905.70,889.10,896.50,898.90,898.82,90301,811.64,7688,45123,49.97
MCX,EQ,30-May-2012,898.90,892.50,898.90,860.00,860.50,862.50,877.38,75822,665.25,5848,35868,47.31
MCX,EQ,31-May-2012,862.50,858.00,948.90,838.00,940.35,936.55,920.18,866490,7973.25,46198,179215,20.68
MCX,EQ,01-Jun-2012,936.55,930.00,995.00,930.00,950.00,955.50,968.81,1174037,11374.24,57553,114166,9.72
MCX,EQ,04-Jun-2012,955.50,948.05,988.90,928.60,967.00,968.60,963.74,367020,3537.11,19982,33793,9.21
MCX,EQ,05-Jun-2012,968.60,969.15,1008.00,962.20,989.00,995.15,992.77,407654,4047.08,22730,54313,13.32
MCX,EQ,06-Jun-2012,995.15,1005.00,1017.90,991.10,992.20,996.80,1004.96,266389,2677.11,16694,38479,14.44
MCX,EQ,07-Jun-2012,996.80,1002.00,1048.90,1002.00,1048.75,1044.25,1026.82,325109,3338.28,18784,106572,32.78
MCX,EQ,08-Jun-2012,1044.25,1035.00,1047.40,1021.05,1028.00,1032.15,1032.69,122236,1262.32,8432,34265,28.03
MCX,EQ,11-Jun-2012,1032.15,1038.95,1048.00,1001.00,1003.00,1009.45,1030.03,91388,941.32,6310,34046,37.25
MCX,EQ,12-Jun-2012,1009.45,1005.00,1034.00,1001.00,1020.05,1017.75,1017.69,101403,1031.96,5903,16497,16.27
MCX,EQ,13-Jun-2012,1017.75,1024.95,1040.45,1020.10,1025.50,1025.30,1030.06,73203,754.04,4708,17977,24.56
MCX,EQ,14-Jun-2012,1025.30,1026.00,1046.70,1007.00,1017.80,1018.90,1032.66,98295,1015.05,6330,21079,21.44
MCX,EQ,15-Jun-2012,1018.90,1024.25,1038.95,1005.00,1011.00,1014.30,1022.97,63222,646.74,5084,21938,34.70
MCX,EQ,18-Jun-2012,1014.30,1025.05,1028.80,1001.00,1005.00,1002.50,1010.78,48277,487.98,2975,15924,32.98
MCX,EQ,19-Jun-2012,1002.50,1008.00,1040.00,1001.00,1020.00,1017.15,1024.78,126845,1299.89,8017,16774,13.22
MCX,EQ,20-Jun-2012,1017.15,1020.50,1034.75,1013.05,1016.00,1015.60,1023.37,40654,416.04,2989,12176,29.95
MCX,EQ,21-Jun-2012,1015.60,1017.05,1027.00,1006.00,1013.00,1011.95,1014.65,45454,461.20,3301,12525,27.56
MCX,EQ,22-Jun-2012,1011.95,1011.00,1058.00,1011.00,1043.25,1046.60,1044.53,275570,2878.40,15523,47378,17.19
MCX,EQ,25-Jun-2012,1046.60,1057.00,1069.75,1032.50,1032.50,1041.40,1056.79,125494,1326.20,7917,35183,28.04
MCX,EQ,26-Jun-2012,1041.40,1039.55,1050.50,1025.05,1031.50,1032.15,1037.31,63549,659.20,4363,14574,22.93
MCX,EQ,27-Jun-2012,1032.15,1032.00,1042.40,1026.00,1026.15,1029.50,1031.87,46337,478.14,2636,16286,35.15
MCX,EQ,28-Jun-2012,1029.50,1031.00,1052.95,1025.05,1039.00,1038.30,1040.80,61815,643.37,5226,16145,26.12
