Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MLL,EQ,02-Jan-2006,144.80,144.55,149.60,144.55,146.90,147.50,147.74,163599,241.70,-,78117,47.75
MLL,EQ,03-Jan-2006,147.50,146.90,148.90,146.90,147.85,147.75,147.83,117758,174.08,-,72162,61.28
MLL,EQ,04-Jan-2006,147.75,153.00,159.90,150.05,150.95,150.60,151.36,399114,604.09,-,242878,60.85
MLL,EQ,05-Jan-2006,150.60,151.00,152.00,146.00,148.65,148.30,148.55,272889,405.39,-,116213,42.59
MLL,EQ,06-Jan-2006,148.30,146.05,151.60,146.05,146.75,146.85,147.69,138731,204.89,-,91973,66.30
MLL,EQ,09-Jan-2006,146.85,150.00,150.00,146.00,146.70,146.65,146.94,127986,188.07,-,74998,58.60
MLL,EQ,10-Jan-2006,146.65,147.00,147.90,144.20,144.50,144.65,145.90,137655,200.84,-,90899,66.03
MLL,EQ,12-Jan-2006,144.65,146.00,146.00,141.50,141.90,141.95,142.50,261310,372.35,-,186908,71.53
MLL,EQ,13-Jan-2006,141.95,143.40,144.00,142.00,143.10,142.75,143.01,175122,250.44,-,116644,66.61
MLL,EQ,16-Jan-2006,142.75,144.00,147.00,142.25,143.50,143.35,144.06,168299,242.46,-,98517,58.54
MLL,EQ,17-Jan-2006,143.35,144.60,145.95,142.55,143.75,143.30,144.11,119931,172.84,-,79386,66.19
MLL,EQ,18-Jan-2006,143.30,144.20,145.00,135.15,136.50,137.10,138.57,339605,470.58,-,217085,63.92
MLL,EQ,19-Jan-2006,137.10,144.30,148.50,140.00,147.60,147.20,144.24,483220,697.00,-,218255,45.17
MLL,EQ,20-Jan-2006,147.20,150.00,155.00,149.00,153.40,153.15,152.51,667290,1017.70,-,428283,64.18
MLL,EQ,23-Jan-2006,153.15,153.00,156.00,151.00,153.15,153.55,154.07,425316,655.29,-,246627,57.99
MLL,EQ,24-Jan-2006,153.55,154.00,155.80,152.50,153.95,153.65,153.86,363953,559.97,-,276995,76.11
MLL,EQ,25-Jan-2006,153.65,154.65,154.90,149.00,150.00,149.65,151.57,270102,409.40,-,166014,61.46
MLL,EQ,27-Jan-2006,149.65,150.00,153.95,148.20,149.30,149.75,150.72,338112,509.61,-,208389,61.63
MLL,EQ,30-Jan-2006,149.75,152.70,155.00,147.90,148.90,148.50,150.85,591276,891.92,-,341956,57.83
MLL,EQ,31-Jan-2006,148.50,149.80,152.90,146.05,146.95,147.80,149.17,698029,1041.22,-,369894,52.99
