Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MMTC,EQ,08-Jan-2010,34799.00,35800.00,36400.00,34000.00,35500.00,35278.00,35914.00,27,9.70,-,16,59.26
MMTC,EQ,11-Jan-2010,35278.00,36300.00,36300.00,35000.00,35300.00,35251.50,35376.08,33,11.67,-,20,60.61
MMTC,EQ,12-Jan-2010,35251.50,35900.00,35900.00,34550.00,34600.00,34709.65,34991.92,17,5.95,-,10,58.82
MMTC,EQ,13-Jan-2010,34709.65,34500.00,35400.00,34500.00,34601.00,34847.75,34947.35,60,20.97,-,46,76.67
MMTC,EQ,14-Jan-2010,34847.75,35499.00,35550.00,34900.00,35020.00,35032.30,35141.88,49,17.22,-,34,69.39
MMTC,EQ,15-Jan-2010,35032.30,35500.00,39300.00,34890.00,36500.00,36739.95,37789.88,2618,989.34,-,948,36.21
MMTC,EQ,18-Jan-2010,36739.95,36650.00,38449.00,35994.00,37150.00,37457.50,37603.77,2696,1013.80,-,786,29.15
MMTC,EQ,19-Jan-2010,37457.50,37900.00,38500.00,36699.00,36700.00,36897.15,37829.31,1307,494.43,-,601,45.98
MMTC,EQ,20-Jan-2010,36897.15,37498.95,37500.00,36333.15,36400.00,36444.25,36864.37,446,164.42,-,199,44.62
MMTC,EQ,21-Jan-2010,36444.25,36000.15,36349.00,34750.00,34950.00,34879.85,35472.83,409,145.08,-,184,44.99
MMTC,EQ,22-Jan-2010,34879.85,33550.00,35775.00,33300.00,35025.00,35299.00,35034.96,539,188.84,-,177,32.84
MMTC,EQ,25-Jan-2010,35299.00,35398.95,35850.00,34750.00,34975.00,34941.60,35116.61,126,44.25,-,54,42.86
MMTC,EQ,27-Jan-2010,34941.60,34500.00,35050.00,33101.00,33200.00,33397.15,34062.42,279,95.03,-,116,41.58
MMTC,EQ,28-Jan-2010,33397.15,33600.05,35400.00,33500.00,33900.00,33790.00,33919.44,224,75.98,-,90,40.18
MMTC,EQ,29-Jan-2010,33790.00,33201.10,34200.00,33200.00,34000.00,33988.75,33496.12,154,51.58,-,79,51.30
