Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MONSANTO,EQ,02-Jan-2006,1920.40,1911.00,1940.00,1910.00,1930.00,1924.25,1924.24,605,11.64,-,518,85.62
MONSANTO,EQ,03-Jan-2006,1924.25,1900.00,2099.00,1900.00,2061.00,2067.90,2018.33,6729,135.81,-,3952,58.73
MONSANTO,EQ,04-Jan-2006,2067.90,2071.05,2120.00,2030.00,2074.75,2064.60,2079.36,2928,60.88,-,2235,76.33
MONSANTO,EQ,05-Jan-2006,2064.60,2064.60,2189.60,2027.00,2156.00,2153.55,2135.45,4372,93.36,-,2871,65.67
MONSANTO,EQ,06-Jan-2006,2153.55,2185.00,2210.00,2150.00,2180.25,2184.40,2186.98,2467,53.95,-,1516,61.45
MONSANTO,EQ,09-Jan-2006,2184.40,2162.05,2225.00,2125.00,2145.00,2148.50,2162.27,2383,51.53,-,1970,82.67
MONSANTO,EQ,10-Jan-2006,2148.50,2177.00,2200.00,2133.00,2140.00,2145.25,2150.47,1274,27.40,-,755,59.26
MONSANTO,EQ,12-Jan-2006,2145.25,2140.00,2147.95,2075.00,2131.00,2127.50,2126.16,549,11.67,-,399,72.68
MONSANTO,EQ,13-Jan-2006,2127.50,2145.00,2150.00,2100.00,2100.00,2115.60,2135.75,1204,25.71,-,1026,85.22
MONSANTO,EQ,16-Jan-2006,2115.60,2115.00,2141.00,2076.10,2110.00,2099.25,2098.65,1325,27.81,-,1069,80.68
MONSANTO,EQ,17-Jan-2006,2099.25,2095.85,2100.00,1981.00,2008.00,1999.95,2032.28,1636,33.25,-,1488,90.95
MONSANTO,EQ,18-Jan-2006,1999.95,1955.00,2024.00,1955.00,1998.00,1993.10,1989.74,531,10.57,-,377,71.00
MONSANTO,EQ,19-Jan-2006,1993.10,1975.00,2192.45,1975.00,2192.45,2191.25,2161.86,4560,98.58,-,3325,72.92
MONSANTO,EQ,20-Jan-2006,2191.25,2248.00,2258.00,2125.00,2128.10,2132.85,2164.60,1879,40.67,-,1097,58.38
MONSANTO,EQ,23-Jan-2006,2132.85,2125.00,2237.00,2110.00,2145.10,2147.20,2175.34,1173,25.52,-,919,78.35
MONSANTO,EQ,24-Jan-2006,2147.20,2189.90,2216.00,2150.00,2150.00,2157.05,2183.79,1028,22.45,-,901,87.65
MONSANTO,EQ,25-Jan-2006,2157.05,2188.00,2200.00,2120.05,2139.90,2131.85,2153.68,1195,25.74,-,1031,86.28
MONSANTO,EQ,27-Jan-2006,2131.85,2155.00,2200.00,2101.00,2119.00,2112.55,2138.80,1540,32.94,-,1312,85.19
MONSANTO,EQ,30-Jan-2006,2112.55,2099.00,2105.00,1901.30,1901.30,1901.30,1918.80,10749,206.25,-,8191,76.20
MONSANTO,EQ,31-Jan-2006,1901.30,1880.05,1920.00,1825.00,1825.00,1831.85,1840.53,9313,171.41,-,7933,85.18
MONSANTO,EQ,01-Feb-2006,1831.85,1810.00,1897.00,1800.00,1815.00,1818.10,1822.67,28088,511.95,-,26175,93.19
MONSANTO,EQ,02-Feb-2006,1818.10,1827.00,1849.95,1810.10,1825.00,1836.40,1830.17,2220,40.63,-,1574,70.90
MONSANTO,EQ,03-Feb-2006,1836.40,1840.00,1864.00,1830.00,1850.00,1849.45,1846.56,9569,176.70,-,8773,91.68
MONSANTO,EQ,06-Feb-2006,1849.45,1855.00,1940.00,1840.00,1925.00,1914.25,1881.67,2294,43.17,-,1679,73.19
