Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MRPL,EQ,02-Jan-2006,47.00,47.25,48.00,47.05,47.85,47.65,47.59,516294,245.68,-,283281,54.87
MRPL,EQ,03-Jan-2006,47.65,48.00,48.25,47.65,48.20,48.05,47.98,397213,190.57,-,235686,59.33
MRPL,EQ,04-Jan-2006,48.05,48.05,49.00,47.90,48.30,48.25,48.25,487004,234.99,-,259816,53.35
MRPL,EQ,05-Jan-2006,48.25,48.05,50.45,48.05,50.00,49.95,49.57,2332597,1156.32,-,823962,35.32
MRPL,EQ,06-Jan-2006,49.95,50.00,51.35,49.40,50.00,50.00,50.44,2009763,1013.77,-,579551,28.84
MRPL,EQ,09-Jan-2006,50.00,50.05,51.50,50.00,50.90,51.15,50.83,1830778,930.61,-,657059,35.89
MRPL,EQ,10-Jan-2006,51.15,51.15,51.40,49.65,49.85,49.85,50.48,1116281,563.45,-,544849,48.81
MRPL,EQ,12-Jan-2006,49.85,49.80,50.00,49.00,49.20,49.25,49.46,662617,327.72,-,245483,37.05
MRPL,EQ,13-Jan-2006,49.25,49.45,49.90,48.80,48.80,49.00,49.43,495012,244.67,-,213550,43.14
MRPL,EQ,16-Jan-2006,49.00,48.60,49.00,48.05,48.05,48.15,48.37,246290,119.13,-,143035,58.08
MRPL,EQ,17-Jan-2006,48.15,48.25,48.65,47.00,47.15,47.10,47.68,407985,194.53,-,226016,55.40
MRPL,EQ,18-Jan-2006,47.10,47.25,47.50,46.55,47.45,47.35,47.08,430718,202.77,-,210944,48.97
MRPL,EQ,19-Jan-2006,47.35,47.35,48.20,45.60,47.85,47.95,47.95,295639,141.76,-,125569,42.47
MRPL,EQ,20-Jan-2006,47.95,48.20,48.65,47.80,48.05,48.00,48.21,443023,213.60,-,227924,51.45
MRPL,EQ,23-Jan-2006,48.00,47.60,47.95,47.30,47.50,47.45,47.60,244578,116.42,-,124706,50.99
MRPL,EQ,24-Jan-2006,47.45,47.50,47.95,47.45,47.50,47.50,47.67,277564,132.31,-,148922,53.65
MRPL,EQ,25-Jan-2006,47.50,48.50,48.50,46.20,46.65,46.60,46.85,1131994,530.30,-,869916,76.85
MRPL,EQ,27-Jan-2006,46.60,47.40,47.90,46.80,47.80,47.75,47.57,735717,350.00,-,394933,53.68
MRPL,EQ,30-Jan-2006,47.75,48.40,49.00,46.10,46.50,46.40,46.59,983035,458.02,-,399683,40.66
MRPL,EQ,31-Jan-2006,46.40,46.10,46.20,45.10,45.45,45.30,45.55,938834,427.63,-,564021,60.08
