Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MUKANDLTD,EQ,02-Jan-2006,81.50,82.25,83.50,81.50,81.65,81.75,82.26,181013,148.91,-,88590,48.94
MUKANDLTD,EQ,03-Jan-2006,81.75,82.40,82.95,81.30,82.10,81.90,82.06,287318,235.77,-,157632,54.86
MUKANDLTD,EQ,04-Jan-2006,81.90,83.00,84.85,81.10,81.50,81.40,82.92,428401,355.25,-,239256,55.85
MUKANDLTD,EQ,05-Jan-2006,81.40,82.40,83.60,81.60,82.70,82.35,82.42,241797,199.29,-,127362,52.67
MUKANDLTD,EQ,06-Jan-2006,82.35,83.35,83.75,81.90,83.00,82.80,82.74,183560,151.89,-,76574,41.72
MUKANDLTD,EQ,09-Jan-2006,82.80,83.00,86.35,82.75,85.70,85.25,85.04,496222,421.97,-,206531,41.62
MUKANDLTD,EQ,10-Jan-2006,85.25,86.40,86.45,83.35,83.45,83.75,85.11,168111,143.09,-,59806,35.58
MUKANDLTD,EQ,12-Jan-2006,83.75,83.00,83.95,82.00,82.80,83.00,83.20,100925,83.97,-,51391,50.92
MUKANDLTD,EQ,13-Jan-2006,83.00,83.30,85.50,83.00,83.20,83.30,84.11,122907,103.37,-,63172,51.40
MUKANDLTD,EQ,16-Jan-2006,83.30,84.00,86.25,83.10,83.20,83.45,84.56,182187,154.05,-,71253,39.11
MUKANDLTD,EQ,17-Jan-2006,83.45,84.00,84.50,79.50,80.85,80.50,81.88,134738,110.33,-,68112,50.55
MUKANDLTD,EQ,18-Jan-2006,80.50,80.85,80.85,78.80,80.50,80.25,80.02,91283,73.04,-,43258,47.39
MUKANDLTD,EQ,19-Jan-2006,80.25,80.95,85.25,80.95,83.85,84.40,83.66,316152,264.48,-,179252,56.70
MUKANDLTD,EQ,20-Jan-2006,84.40,85.00,86.00,83.00,83.45,83.70,84.61,544613,460.81,-,112774,20.71
MUKANDLTD,EQ,23-Jan-2006,83.70,82.50,85.20,82.50,83.00,83.20,83.77,143922,120.57,-,65634,45.60
MUKANDLTD,EQ,24-Jan-2006,83.20,83.60,84.25,82.40,82.70,82.70,83.22,117214,97.54,-,71867,61.31
MUKANDLTD,EQ,25-Jan-2006,82.70,83.40,83.50,80.50,81.60,81.05,81.44,127820,104.10,-,81115,63.46
MUKANDLTD,EQ,27-Jan-2006,81.05,81.00,86.40,80.10,85.00,84.65,84.08,397858,334.52,-,145211,36.50
MUKANDLTD,EQ,30-Jan-2006,84.65,85.45,86.00,81.70,82.00,82.35,83.49,330895,276.28,-,116584,35.23
MUKANDLTD,EQ,31-Jan-2006,82.35,83.50,83.50,81.15,81.25,81.60,82.32,215562,177.46,-,78073,36.22
MUKANDLTD,EQ,01-Feb-2006,81.60,82.40,82.40,78.55,78.65,79.30,80.68,125244,101.04,-,76203,60.84
MUKANDLTD,EQ,02-Feb-2006,79.30,79.90,80.75,77.20,78.40,78.50,79.26,142830,113.21,-,51770,36.25
MUKANDLTD,EQ,03-Feb-2006,78.50,78.90,79.50,77.00,77.50,77.70,77.98,66830,52.11,-,30078,45.01
MUKANDLTD,EQ,06-Feb-2006,77.70,78.00,80.40,77.00,78.20,78.50,79.04,84943,67.14,-,25930,30.53
MUKANDLTD,EQ,07-Feb-2006,78.50,79.45,79.45,77.55,77.70,77.90,78.43,73362,57.54,-,26214,35.73
MUKANDLTD,EQ,08-Feb-2006,77.90,78.00,78.50,75.60,75.90,76.05,76.43,109061,83.36,-,57613,52.83
