Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MUNJALSHOW,EQ,02-Jan-2006,430.70,423.00,438.00,422.00,429.00,428.25,425.72,780,3.32,-,305,39.10
MUNJALSHOW,EQ,03-Jan-2006,428.25,423.00,434.80,415.55,425.00,425.60,426.87,1361,5.81,-,550,40.41
MUNJALSHOW,EQ,04-Jan-2006,425.60,420.00,437.90,420.00,435.00,436.85,427.96,3305,14.14,-,1745,52.80
MUNJALSHOW,EQ,05-Jan-2006,436.85,430.00,434.00,421.00,433.00,428.80,426.53,2522,10.76,-,2065,81.88
MUNJALSHOW,EQ,06-Jan-2006,428.80,425.00,430.00,420.00,429.00,424.25,424.33,1796,7.62,-,829,46.16
MUNJALSHOW,EQ,09-Jan-2006,424.25,427.00,429.40,424.00,429.00,429.00,426.95,445,1.90,-,200,44.94
MUNJALSHOW,EQ,10-Jan-2006,429.00,423.00,428.00,423.00,427.90,427.25,425.14,339,1.44,-,327,96.46
MUNJALSHOW,EQ,12-Jan-2006,427.25,423.00,429.00,421.00,429.00,427.90,424.93,1539,6.54,-,1123,72.97
MUNJALSHOW,EQ,13-Jan-2006,427.90,421.00,430.00,415.10,424.80,425.35,422.66,2054,8.68,-,1563,76.10
MUNJALSHOW,EQ,16-Jan-2006,425.35,430.00,430.00,420.10,420.10,420.25,423.92,534,2.26,-,434,81.27
MUNJALSHOW,EQ,17-Jan-2006,420.25,414.05,423.40,410.05,423.40,420.15,416.31,1485,6.18,-,590,39.73
MUNJALSHOW,EQ,18-Jan-2006,420.15,411.00,412.10,406.00,406.00,406.00,409.58,735,3.01,-,330,44.90
MUNJALSHOW,EQ,19-Jan-2006,406.00,415.05,423.95,415.00,416.05,419.30,418.35,1058,4.43,-,708,66.92
MUNJALSHOW,EQ,20-Jan-2006,419.30,412.05,423.75,412.00,415.50,415.50,417.49,2914,12.17,-,2510,86.14
