Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MUTHOOTFIN,EQ,06-May-2011,175.00,196.60,198.90,161.40,172.60,175.90,176.11,60613615,106743.94,-,15790832,26.05
MUTHOOTFIN,EQ,06-May-2011,175.00,196.60,198.90,161.40,172.60,175.90,176.11,60613615,106743.94,-,15790832,26.05
MUTHOOTFIN,EQ,09-May-2011,175.90,174.00,179.75,168.75,172.65,171.35,173.51,6129552,10635.63,-,1801830,29.40
MUTHOOTFIN,EQ,10-May-2011,171.35,171.00,177.40,169.50,176.70,176.35,173.50,5514954,9568.41,-,1535778,27.85
MUTHOOTFIN,EQ,11-May-2011,176.35,177.00,178.70,172.40,174.45,175.10,176.03,3348158,5893.78,-,953934,28.49
MUTHOOTFIN,EQ,12-May-2011,175.10,174.00,174.40,165.05,167.85,169.05,169.63,2719399,4612.84,-,1254443,46.13
MUTHOOTFIN,EQ,13-May-2011,169.05,168.00,170.70,165.30,165.50,166.05,168.23,998959,1680.56,-,448795,44.93
MUTHOOTFIN,EQ,16-May-2011,166.05,165.85,165.85,159.10,160.90,160.50,160.69,1530085,2458.68,-,770555,50.36
MUTHOOTFIN,EQ,17-May-2011,160.50,161.00,162.00,155.80,160.00,159.90,159.39,875597,1395.65,-,410351,46.87
MUTHOOTFIN,EQ,18-May-2011,159.90,159.50,163.00,158.20,159.50,159.15,159.53,567443,905.24,-,289891,51.09
MUTHOOTFIN,EQ,19-May-2011,159.15,160.15,160.30,155.00,155.05,155.50,156.96,276867,434.58,-,94451,34.11
MUTHOOTFIN,EQ,20-May-2011,155.50,156.00,162.40,155.15,158.00,158.00,158.81,731694,1161.99,-,213748,29.21
MUTHOOTFIN,EQ,23-May-2011,158.00,157.85,159.90,155.50,158.35,158.00,157.78,343551,542.04,-,141780,41.27
MUTHOOTFIN,EQ,24-May-2011,158.00,158.00,162.25,156.60,160.80,161.20,160.67,568661,913.65,-,212042,37.29
MUTHOOTFIN,EQ,25-May-2011,161.20,160.60,163.80,154.75,154.85,155.45,159.52,601050,958.77,-,265554,44.18
MUTHOOTFIN,EQ,26-May-2011,155.45,157.10,160.40,156.00,157.35,157.60,158.47,512762,812.59,-,200367,39.08
MUTHOOTFIN,EQ,27-May-2011,157.60,158.90,175.00,158.90,172.20,172.90,170.22,4218741,7181.17,-,1162852,27.56
MUTHOOTFIN,EQ,30-May-2011,172.90,171.45,176.90,171.45,175.80,175.60,174.86,1223067,2138.63,-,389883,31.88
MUTHOOTFIN,EQ,31-May-2011,175.60,176.00,176.90,171.05,174.50,175.45,174.48,604495,1054.73,-,236742,39.16
MUTHOOTFIN,EQ,01-Jun-2011,175.45,175.75,181.75,172.95,180.40,180.85,178.66,1963698,3508.42,25652,673460,34.30
