Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NAHARSPING,EQ,23-Mar-2007,186.30,149.05,149.05,149.05,149.05,149.05,149.05,21459,31.98,-,21458,100.00
NAHARSPING,EQ,26-Mar-2007,149.05,121.60,132.00,119.25,123.80,122.55,124.60,281391,350.61,-,124930,44.40
NAHARSPING,EQ,28-Mar-2007,122.55,102.30,124.95,102.30,112.00,113.70,115.96,73187,84.87,-,37023,50.59
NAHARSPING,EQ,29-Mar-2007,113.70,116.00,127.90,114.90,119.20,118.95,121.56,100269,121.88,-,30192,30.11
NAHARSPING,EQ,30-Mar-2007,118.95,119.55,123.50,115.65,116.00,116.25,118.86,54066,64.26,-,23280,43.06
NAHARSPING,EQ,02-Apr-2007,116.25,114.00,116.00,106.30,108.40,108.05,111.12,42549,47.28,-,26343,61.91
NAHARSPING,EQ,03-Apr-2007,108.05,108.00,113.90,106.30,107.35,107.95,109.07,56091,61.18,-,32777,58.44
NAHARSPING,EQ,04-Apr-2007,107.95,110.00,110.55,107.10,108.00,108.60,108.80,20302,22.09,-,10650,52.46
NAHARSPING,EQ,05-Apr-2007,108.60,107.25,111.00,107.00,108.40,108.15,109.21,32246,35.21,-,12611,39.11
NAHARSPING,EQ,09-Apr-2007,108.15,109.00,117.50,108.00,114.50,113.70,113.96,46444,52.93,-,24237,52.19
NAHARSPING,EQ,10-Apr-2007,113.70,115.75,121.00,112.25,115.60,116.15,117.73,63281,74.50,-,18179,28.73
NAHARSPING,EQ,11-Apr-2007,116.15,117.25,118.95,115.00,116.45,116.50,116.88,20573,24.05,-,9756,47.42
NAHARSPING,EQ,12-Apr-2007,116.50,116.50,117.00,113.00,113.10,113.85,114.87,13799,15.85,-,9647,69.91
NAHARSPING,EQ,13-Apr-2007,113.85,114.05,115.25,111.75,112.85,112.90,113.58,18537,21.05,-,12873,69.44
NAHARSPING,EQ,16-Apr-2007,112.90,113.05,114.95,112.80,113.70,113.35,113.96,13090,14.92,-,10488,80.12
NAHARSPING,EQ,17-Apr-2007,113.35,114.00,114.80,110.10,110.10,110.45,111.41,8675,9.66,-,6194,71.40
NAHARSPING,EQ,18-Apr-2007,110.45,107.50,114.00,107.50,113.30,112.25,112.70,15896,17.91,-,8432,53.04
NAHARSPING,EQ,19-Apr-2007,112.25,110.80,112.00,108.50,110.00,109.40,110.12,13806,15.20,-,8578,62.13
NAHARSPING,EQ,20-Apr-2007,109.40,110.00,111.75,108.30,108.40,108.90,109.63,9202,10.09,-,6442,70.01
NAHARSPING,EQ,23-Apr-2007,108.90,110.30,112.40,107.90,107.90,108.25,109.60,16504,18.09,-,9467,57.36
NAHARSPING,EQ,24-Apr-2007,108.25,110.95,110.95,107.00,110.00,109.90,108.84,21619,23.53,-,15868,73.40
NAHARSPING,EQ,25-Apr-2007,109.90,112.75,112.75,110.00,111.25,111.00,110.46,22806,25.19,-,18927,82.99
NAHARSPING,EQ,26-Apr-2007,111.00,109.10,112.05,108.25,108.25,109.15,110.07,19283,21.22,-,16079,83.38
