Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NAGARCONST,EQ,02-Jan-2006,256.75,258.20,294.70,256.15,287.00,285.50,275.49,2202017,6066.38,-,700748,31.82
NAGARCONST,EQ,03-Jan-2006,285.50,287.80,304.50,285.60,288.00,287.45,295.36,2022395,5973.32,-,456823,22.59
NAGARCONST,EQ,04-Jan-2006,287.45,289.95,290.85,274.10,288.00,285.85,282.45,866447,2447.28,-,281999,32.55
NAGARCONST,EQ,05-Jan-2006,285.85,286.50,288.75,272.60,276.50,274.85,278.88,316079,881.48,-,125768,39.79
NAGARCONST,EQ,06-Jan-2006,274.85,275.00,285.80,275.00,282.00,281.30,281.02,557696,1567.22,-,220890,39.61
NAGARCONST,EQ,09-Jan-2006,281.30,284.40,304.70,278.25,298.00,300.25,295.69,1376740,4070.82,-,363893,26.43
NAGARCONST,EQ,10-Jan-2006,300.25,301.00,301.90,290.60,293.20,293.30,294.27,437470,1287.36,-,150409,34.38
NAGARCONST,EQ,12-Jan-2006,293.30,293.30,293.30,273.20,288.00,287.50,287.34,409814,1177.56,-,246123,60.06
NAGARCONST,EQ,13-Jan-2006,287.50,289.50,299.50,288.00,293.40,293.15,293.36,385936,1132.17,-,145720,37.76
NAGARCONST,EQ,16-Jan-2006,293.15,295.00,295.00,285.00,286.70,286.05,288.59,135178,390.11,-,66138,48.93
NAGARCONST,EQ,17-Jan-2006,286.05,287.65,314.00,287.60,304.20,303.35,305.73,1341983,4102.85,-,376570,28.06
NAGARCONST,EQ,18-Jan-2006,303.35,303.10,315.00,290.60,309.20,309.00,302.13,679144,2051.92,-,273009,40.20
NAGARCONST,EQ,19-Jan-2006,309.00,311.90,319.00,306.00,311.15,310.55,312.23,742537,2318.45,-,291414,39.25
NAGARCONST,EQ,20-Jan-2006,310.55,313.90,327.90,311.00,319.00,318.65,319.78,715274,2287.32,-,180918,25.29
NAGARCONST,EQ,23-Jan-2006,318.65,320.35,333.95,312.00,312.50,315.95,323.06,816042,2636.33,-,288735,35.38
NAGARCONST,EQ,24-Jan-2006,315.95,316.90,322.00,315.55,318.90,317.60,319.07,359310,1146.46,-,159458,44.38
NAGARCONST,EQ,25-Jan-2006,317.60,320.00,323.85,316.00,321.75,319.65,319.50,289184,923.95,-,124022,42.89
NAGARCONST,EQ,27-Jan-2006,319.65,321.90,325.00,317.50,322.00,322.05,321.39,556561,1788.75,-,354371,63.67
NAGARCONST,EQ,30-Jan-2006,322.05,325.00,331.90,310.50,310.75,312.85,318.52,765300,2437.64,-,375762,49.10
NAGARCONST,EQ,31-Jan-2006,312.85,313.50,320.00,298.05,306.75,306.75,310.58,489983,1521.79,-,221768,45.26
NAGARCONST,EQ,01-Feb-2006,306.75,306.75,320.00,306.00,318.95,318.95,315.47,492001,1552.13,-,219041,44.52
NAGARCONST,EQ,02-Feb-2006,318.95,320.00,322.80,294.00,308.10,308.35,310.45,422895,1312.87,-,135412,32.02
NAGARCONST,EQ,03-Feb-2006,308.35,309.95,314.90,304.00,309.50,309.15,310.26,176921,548.92,-,43098,24.36
NAGARCONST,EQ,06-Feb-2006,309.15,310.80,315.45,308.10,315.00,313.75,312.63,268006,837.88,-,182276,68.01
NAGARCONST,EQ,07-Feb-2006,313.75,314.90,324.90,313.55,320.00,319.65,319.16,555402,1772.62,-,443082,79.78
NAGARCONST,EQ,08-Feb-2006,319.65,320.95,320.95,310.50,311.50,313.30,314.08,341458,1072.46,-,241578,70.75
NAGARCONST,EQ,10-Feb-2006,313.30,315.85,320.00,311.05,312.50,315.40,316.08,412028,1302.32,-,278134,67.50
NAGARCONST,EQ,13-Feb-2006,315.40,315.80,315.80,308.00,308.50,308.40,311.28,149391,465.02,-,89326,59.79
NAGARCONST,EQ,14-Feb-2006,308.40,310.00,311.00,297.00,300.50,299.65,304.00,271089,824.11,-,186241,68.70
NAGARCONST,EQ,15-Feb-2006,299.65,303.00,305.60,296.00,296.35,298.25,300.85,276220,831.00,-,205279,74.32
NAGARCONST,EQ,16-Feb-2006,298.25,300.00,302.00,291.60,295.00,294.10,297.95,141828,422.58,-,80043,56.44
NAGARCONST,EQ,17-Feb-2006,294.10,299.70,300.50,295.05,299.00,298.35,297.80,420986,1253.70,-,269034,63.91
NAGARCONST,EQ,20-Feb-2006,298.35,297.90,300.30,285.25,296.00,296.15,293.09,181354,531.53,-,81441,44.91
NAGARCONST,EQ,21-Feb-2006,296.15,299.85,317.50,293.05,311.75,312.70,308.74,758188,2340.82,-,439013,57.90
NAGARCONST,EQ,22-Feb-2006,312.70,315.00,322.00,307.00,310.50,309.45,313.32,945755,2963.27,-,548376,57.98
NAGARCONST,EQ,23-Feb-2006,309.45,311.65,315.45,303.10,308.30,309.80,309.90,517281,1603.05,-,221780,42.87
NAGARCONST,EQ,24-Feb-2006,309.80,311.90,314.50,303.35,305.70,307.80,310.56,400295,1243.16,-,200505,50.09
NAGARCONST,EQ,27-Feb-2006,307.80,308.00,319.00,305.10,317.10,316.35,313.74,499378,1566.75,-,307025,61.48
NAGARCONST,EQ,28-Feb-2006,316.35,317.00,320.00,304.60,305.90,306.65,312.17,623805,1947.34,-,287343,46.06
NAGARCONST,EQ,01-Mar-2006,306.65,308.85,314.50,306.50,310.75,310.80,311.19,531652,1654.44,-,329498,61.98
NAGARCONST,EQ,02-Mar-2006,310.80,312.75,329.90,312.00,326.00,325.75,322.93,1306016,4217.46,-,601863,46.08
NAGARCONST,EQ,03-Mar-2006,325.75,327.00,390.90,326.00,363.40,363.45,370.29,3771757,13966.61,-,1237197,32.80
NAGARCONST,EQ,06-Mar-2006,363.45,369.45,380.90,357.60,364.00,363.95,369.48,1204980,4452.11,-,271626,22.54
NAGARCONST,EQ,07-Mar-2006,363.95,364.40,364.40,340.00,343.95,342.75,349.29,795470,2778.49,-,389066,48.91
NAGARCONST,EQ,08-Mar-2006,342.75,343.70,353.70,328.00,331.50,330.40,340.84,832195,2836.47,-,350476,42.11
NAGARCONST,EQ,09-Mar-2006,330.40,332.45,347.80,326.25,346.10,344.30,337.27,585022,1973.12,-,174617,29.85
NAGARCONST,EQ,10-Mar-2006,344.30,349.00,386.50,349.00,368.50,364.90,370.01,1209985,4477.05,-,514110,42.49
NAGARCONST,EQ,13-Mar-2006,364.90,368.00,398.80,365.50,389.60,389.55,389.53,2227527,8676.83,-,809131,36.32
NAGARCONST,EQ,14-Mar-2006,389.55,395.00,395.00,370.00,374.90,372.10,378.69,650627,2463.84,-,217633,33.45
NAGARCONST,EQ,16-Mar-2006,372.10,372.40,389.50,369.20,380.00,378.40,380.51,846904,3222.55,-,383959,45.34
NAGARCONST,EQ,17-Mar-2006,378.40,382.90,382.90,366.25,368.00,368.65,372.91,280632,1046.51,-,116257,41.43
NAGARCONST,EQ,20-Mar-2006,368.65,373.00,377.85,365.50,375.00,373.45,371.31,480698,1784.90,-,172862,35.96
NAGARCONST,EQ,21-Mar-2006,373.45,375.90,387.70,371.55,375.00,374.80,379.70,556745,2113.96,-,168751,30.31
NAGARCONST,EQ,22-Mar-2006,374.80,375.50,376.50,361.10,365.00,365.30,367.16,414544,1522.03,-,199865,48.21
NAGARCONST,EQ,23-Mar-2006,365.30,367.00,382.45,366.00,379.60,377.80,374.31,399291,1494.58,-,219095,54.87
NAGARCONST,EQ,24-Mar-2006,377.80,379.90,384.00,372.00,373.00,373.45,376.09,204585,769.41,-,89983,43.98
NAGARCONST,EQ,27-Mar-2006,373.45,377.45,382.00,373.00,374.00,375.35,378.18,262302,991.98,-,161245,61.47
NAGARCONST,EQ,28-Mar-2006,375.35,378.00,378.00,367.25,371.50,369.50,371.58,186411,692.67,-,93480,50.15
NAGARCONST,EQ,29-Mar-2006,369.50,371.00,382.20,369.00,376.00,376.85,376.73,581446,2190.49,-,391057,67.26
NAGARCONST,EQ,30-Mar-2006,376.85,379.50,390.00,376.10,376.10,380.15,381.59,318723,1216.21,-,110668,34.72
NAGARCONST,EQ,31-Mar-2006,380.15,382.90,382.90,359.05,370.30,362.85,366.85,453514,1663.70,-,322717,71.16
NAGARCONST,EQ,03-Apr-2006,362.85,375.00,379.80,369.10,377.00,376.15,374.96,202815,760.48,-,131706,64.94
NAGARCONST,EQ,04-Apr-2006,376.15,379.00,382.00,370.60,376.00,375.05,374.19,249687,934.29,-,164186,65.76
NAGARCONST,EQ,05-Apr-2006,375.05,377.90,394.90,370.10,385.00,384.90,385.92,708197,2733.10,-,336474,47.51
NAGARCONST,EQ,07-Apr-2006,384.90,387.90,391.00,375.00,382.00,382.10,381.82,456342,1742.40,-,305775,67.01
NAGARCONST,EQ,10-Apr-2006,382.10,385.00,385.00,376.40,382.00,381.60,380.37,191390,727.99,-,129404,67.61
NAGARCONST,EQ,12-Apr-2006,381.60,384.00,384.00,373.10,380.00,377.20,378.84,194551,737.05,-,142811,73.41
NAGARCONST,EQ,13-Apr-2006,377.20,380.00,380.00,359.10,365.00,365.30,365.14,276720,1010.41,-,169984,61.43
NAGARCONST,EQ,17-Apr-2006,365.30,366.05,376.50,365.65,372.00,371.55,372.26,548995,2043.68,-,477106,86.91
NAGARCONST,EQ,18-Apr-2006,371.55,375.90,394.00,370.00,388.00,384.95,378.30,320644,1212.99,-,226941,70.78
NAGARCONST,EQ,19-Apr-2006,384.95,395.00,402.90,372.00,384.00,384.25,387.70,821140,3183.58,-,407319,49.60
