Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NANDANEXIM,EQ,23-Mar-2012,23.00,26.70,27.50,20.00,25.25,24.75,24.13,59945,14.46,437,37367,62.34
NANDANEXIM,EQ,26-Mar-2012,24.75,24.85,25.05,22.00,23.30,23.10,23.21,28583,6.64,237,13627,47.68
NANDANEXIM,EQ,27-Mar-2012,23.10,23.60,23.95,22.00,23.00,22.45,22.70,26729,6.07,159,16257,60.82
NANDANEXIM,EQ,28-Mar-2012,22.45,22.00,22.00,20.25,20.45,20.45,21.07,11751,2.48,73,9040,76.93
NANDANEXIM,EQ,29-Mar-2012,20.45,23.00,23.00,19.90,21.00,21.00,20.25,15905,3.22,79,10606,66.68
NANDANEXIM,EQ,30-Mar-2012,21.00,21.10,22.85,20.10,22.50,22.45,21.34,11822,2.52,98,8039,68.00
NANDANEXIM,EQ,02-Apr-2012,22.45,21.50,22.20,20.60,21.75,21.80,21.34,12957,2.76,71,9780,75.48
NANDANEXIM,EQ,03-Apr-2012,21.80,21.25,22.30,21.25,22.00,21.80,21.60,11467,2.48,50,10727,93.55
NANDANEXIM,EQ,04-Apr-2012,21.80,21.00,21.65,20.85,21.50,21.45,21.23,3504,0.74,36,2350,67.07
NANDANEXIM,EQ,09-Apr-2012,21.45,21.00,23.90,21.00,23.65,23.30,21.59,22448,4.85,87,10026,44.66
NANDANEXIM,EQ,10-Apr-2012,23.30,23.35,25.40,23.15,23.50,23.50,23.79,7213,1.72,64,5591,77.51
NANDANEXIM,EQ,11-Apr-2012,23.50,24.15,24.15,22.75,22.75,22.80,23.32,8474,1.98,37,7167,84.58
NANDANEXIM,EQ,12-Apr-2012,22.80,22.00,23.00,22.00,23.00,22.95,22.60,3624,0.82,35,3314,91.45
NANDANEXIM,EQ,13-Apr-2012,22.95,22.00,23.90,22.00,22.25,22.55,22.68,7422,1.68,52,5231,70.48
NANDANEXIM,EQ,16-Apr-2012,22.55,22.00,23.00,22.00,22.45,22.45,22.35,11701,2.61,52,8118,69.38
NANDANEXIM,EQ,17-Apr-2012,22.45,22.30,23.85,22.25,23.85,23.75,23.18,10031,2.33,71,4936,49.21
NANDANEXIM,EQ,18-Apr-2012,23.75,22.70,23.90,22.70,23.80,23.30,23.29,11477,2.67,75,8543,74.44
NANDANEXIM,EQ,19-Apr-2012,23.30,23.25,23.50,22.85,23.50,23.35,23.13,2710,0.63,31,2509,92.58
NANDANEXIM,EQ,20-Apr-2012,23.35,22.55,23.65,22.55,22.80,23.00,22.92,3142,0.72,38,2374,75.56
NANDANEXIM,EQ,23-Apr-2012,23.00,22.70,23.00,20.10,20.45,20.35,21.58,21531,4.65,112,18723,86.96
NANDANEXIM,EQ,24-Apr-2012,20.35,20.05,21.50,20.05,21.50,21.45,20.96,6546,1.37,65,3841,58.68
NANDANEXIM,EQ,25-Apr-2012,21.45,21.00,21.25,20.50,21.00,21.05,20.97,2869,0.60,29,2405,83.83
NANDANEXIM,EQ,26-Apr-2012,21.05,20.10,20.85,20.10,20.45,20.40,20.38,9652,1.97,70,8401,87.04
NANDANEXIM,EQ,27-Apr-2012,20.40,20.00,21.40,20.00,20.40,20.15,20.23,10037,2.03,46,7061,70.35
NANDANEXIM,EQ,28-Apr-2012,20.15,20.25,20.25,20.25,20.25,20.25,20.25,200,0.04,1,0,0.00
NANDANEXIM,EQ,30-Apr-2012,20.25,20.10,21.65,20.10,21.65,21.25,20.77,4355,0.90,44,3509,80.57
NANDANEXIM,EQ,02-May-2012,21.25,21.05,22.00,21.00,21.10,21.20,21.09,11972,2.52,76,10988,91.78
NANDANEXIM,EQ,03-May-2012,21.20,20.10,21.10,20.10,20.65,20.70,20.83,7725,1.61,54,6769,87.62
NANDANEXIM,EQ,04-May-2012,20.70,20.65,21.00,20.05,20.85,20.85,20.90,8467,1.77,41,5812,68.64
NANDANEXIM,EQ,07-May-2012,20.85,19.90,20.80,19.90,20.50,20.45,20.16,7735,1.56,38,6885,89.01
NANDANEXIM,EQ,08-May-2012,20.45,20.30,20.30,20.10,20.10,20.10,20.23,2102,0.43,27,1779,84.63
NANDANEXIM,EQ,09-May-2012,20.10,20.00,20.60,20.00,20.10,20.10,20.11,4540,0.91,30,4336,95.51
NANDANEXIM,EQ,10-May-2012,20.10,21.00,21.35,19.00,20.15,20.10,20.08,11527,2.31,82,7826,67.89
