Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NITESHEST,EQ,13-May-2010,54.00,54.00,58.00,48.40,51.20,51.40,51.47,22625458,11644.49,-,2328848,10.29
NITESHEST,EQ,14-May-2010,51.40,50.50,50.80,44.00,44.75,45.80,48.31,2782874,1344.47,-,690626,24.82
NITESHEST,EQ,17-May-2010,45.80,45.00,45.10,41.70,42.85,42.65,42.88,1823712,781.96,-,854482,46.85
NITESHEST,EQ,18-May-2010,42.65,42.05,44.35,41.65,42.00,42.15,42.60,923431,393.43,-,272083,29.46
NITESHEST,EQ,19-May-2010,42.15,41.10,42.40,39.50,39.75,40.05,41.05,541976,222.47,-,330984,61.07
NITESHEST,EQ,20-May-2010,40.05,40.00,41.70,39.20,39.50,39.60,39.87,216587,86.36,-,97384,44.96
NITESHEST,EQ,21-May-2010,39.60,38.00,38.90,35.40,38.90,37.95,37.60,419778,157.82,-,280382,66.79
NITESHEST,EQ,24-May-2010,37.95,39.50,41.00,37.80,38.00,38.35,39.46,336581,132.81,-,123579,36.72
NITESHEST,EQ,25-May-2010,38.35,36.10,43.30,36.10,42.65,42.15,40.68,740454,301.21,-,189978,25.66
NITESHEST,EQ,26-May-2010,42.15,42.50,44.50,40.35,44.05,43.50,42.59,530924,226.10,-,111771,21.05
NITESHEST,EQ,27-May-2010,43.50,44.00,46.05,42.60,45.20,45.45,44.69,370710,165.68,-,107671,29.04
NITESHEST,EQ,28-May-2010,45.45,46.00,46.40,43.25,43.70,43.55,44.96,265294,119.28,-,107228,40.42
NITESHEST,EQ,31-May-2010,43.55,43.50,44.15,40.60,40.90,41.20,42.06,137050,57.65,-,61453,44.84
NITESHEST,EQ,01-Jun-2010,41.20,40.70,42.65,39.55,39.60,39.70,40.79,165351,67.45,-,87719,53.05
NITESHEST,EQ,02-Jun-2010,39.70,40.00,41.55,40.00,40.15,40.40,40.71,129341,52.65,-,30539,23.61
NITESHEST,EQ,03-Jun-2010,40.40,41.50,41.70,40.50,40.50,40.65,40.94,58902,24.11,-,31796,53.98
NITESHEST,EQ,04-Jun-2010,40.65,40.00,41.30,39.05,40.00,39.75,39.90,94007,37.51,-,53517,56.93
NITESHEST,EQ,07-Jun-2010,39.75,39.00,39.50,36.10,39.00,38.85,38.94,58243,22.68,-,40243,69.10
NITESHEST,EQ,08-Jun-2010,38.85,40.00,41.90,37.50,37.80,37.50,38.13,414769,158.14,-,364437,87.87
NITESHEST,EQ,09-Jun-2010,37.50,37.60,38.90,36.50,37.50,37.15,37.95,408026,154.85,-,354730,86.94
NITESHEST,EQ,10-Jun-2010,37.15,37.05,38.50,37.05,38.00,37.95,38.05,111639,42.48,-,89599,80.26
