Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NITINSPIN,EQ,02-Feb-2006,21.00,30.00,32.00,25.10,25.75,26.00,26.62,19812834,5274.33,-,5083745,25.66
NITINSPIN,EQ,03-Feb-2006,26.00,25.90,26.40,25.10,25.15,25.20,25.56,3511376,897.40,-,843751,24.03
NITINSPIN,EQ,06-Feb-2006,25.20,25.25,27.60,24.15,26.40,26.10,25.91,4514891,1170.00,-,1387038,30.72
NITINSPIN,EQ,07-Feb-2006,26.10,26.50,29.60,25.70,28.60,28.90,28.28,11476907,3245.32,-,2381338,20.75
NITINSPIN,EQ,08-Feb-2006,28.90,28.95,29.15,27.55,27.70,27.80,28.33,3705403,1049.60,-,912409,24.62
NITINSPIN,EQ,10-Feb-2006,27.80,28.00,28.60,27.15,27.35,27.25,27.83,1618954,450.55,-,474361,29.30
NITINSPIN,EQ,13-Feb-2006,27.25,27.50,28.15,26.60,27.00,26.95,27.36,1785257,488.38,-,555751,31.13
NITINSPIN,EQ,14-Feb-2006,26.95,26.65,27.80,26.10,26.20,26.25,26.90,761862,204.93,-,231969,30.45
NITINSPIN,EQ,15-Feb-2006,26.25,26.45,26.90,25.55,25.70,25.65,26.14,659703,172.41,-,248290,37.64
NITINSPIN,EQ,16-Feb-2006,25.65,25.90,26.30,25.20,25.25,25.35,25.66,610989,156.79,-,221529,36.26
NITINSPIN,EQ,17-Feb-2006,25.35,25.10,25.85,23.15,23.90,23.65,24.48,821981,201.22,-,418403,50.90
NITINSPIN,EQ,20-Feb-2006,23.65,23.00,24.00,22.80,23.75,23.65,23.44,505040,118.39,-,206386,40.87
NITINSPIN,EQ,21-Feb-2006,23.65,23.75,24.90,23.60,24.30,24.15,24.31,416616,101.27,-,187265,44.95
NITINSPIN,EQ,22-Feb-2006,24.15,24.60,24.60,23.10,23.15,23.30,23.59,641661,151.38,-,304991,47.53
NITINSPIN,EQ,23-Feb-2006,23.30,22.50,23.45,21.55,22.40,21.95,22.61,373556,84.46,-,155525,41.63
NITINSPIN,EQ,24-Feb-2006,21.95,22.50,22.65,21.75,21.95,22.00,22.14,363390,80.47,-,149391,41.11
NITINSPIN,EQ,27-Feb-2006,22.00,21.55,22.25,21.55,22.00,21.80,21.93,231142,50.68,-,149882,64.84
NITINSPIN,EQ,28-Feb-2006,21.80,21.80,22.25,21.15,21.40,21.50,21.75,171461,37.29,-,88119,51.39
NITINSPIN,EQ,01-Mar-2006,21.50,22.00,23.15,21.25,22.00,21.85,22.32,508060,113.42,-,134167,26.41
NITINSPIN,EQ,02-Mar-2006,21.85,21.25,22.25,21.25,21.55,21.60,21.70,542635,117.75,-,253184,46.66
NITINSPIN,EQ,03-Mar-2006,21.60,22.00,22.00,21.00,21.00,21.05,21.26,143270,30.47,-,70592,49.27
NITINSPIN,EQ,06-Mar-2006,21.05,21.80,22.10,20.10,21.40,21.60,21.29,662510,141.04,-,362373,54.70
NITINSPIN,EQ,07-Mar-2006,21.60,21.45,23.15,20.85,22.45,22.30,22.26,617995,137.56,-,285552,46.21
NITINSPIN,EQ,08-Mar-2006,22.30,21.80,22.40,21.25,21.30,21.40,21.76,261608,56.93,-,149616,57.19
NITINSPIN,EQ,09-Mar-2006,21.40,21.10,22.00,21.00,21.20,21.15,21.24,111180,23.61,-,74626,67.12
NITINSPIN,EQ,10-Mar-2006,21.15,21.50,21.65,21.00,21.00,21.05,21.12,156822,33.13,-,123763,78.92
NITINSPIN,EQ,13-Mar-2006,21.05,21.25,21.30,20.45,20.50,20.50,20.74,167614,34.76,-,107010,63.84
NITINSPIN,EQ,14-Mar-2006,20.50,21.00,21.50,19.25,19.65,19.55,19.96,266215,53.13,-,179819,67.55
NITINSPIN,EQ,16-Mar-2006,19.55,20.45,20.45,18.60,18.90,18.85,19.28,392357,75.65,-,237434,60.51
NITINSPIN,EQ,17-Mar-2006,18.85,18.35,19.30,17.80,17.95,18.00,18.39,199638,36.70,-,150054,75.16
NITINSPIN,EQ,20-Mar-2006,18.00,18.05,18.50,17.50,17.60,17.60,17.98,213627,38.41,-,129793,60.76
NITINSPIN,EQ,21-Mar-2006,17.60,17.70,18.50,17.50,17.70,17.60,17.88,134924,24.13,-,58690,43.50
NITINSPIN,EQ,22-Mar-2006,17.60,17.80,17.85,16.30,16.95,16.70,17.01,146366,24.90,-,92947,63.50
NITINSPIN,EQ,23-Mar-2006,16.70,16.65,19.95,16.65,17.95,18.10,18.47,807761,149.23,-,189227,23.43
NITINSPIN,EQ,24-Mar-2006,18.10,18.50,19.25,17.70,17.85,17.95,18.36,493504,90.61,-,104017,21.08
NITINSPIN,EQ,27-Mar-2006,17.95,18.00,18.70,17.40,17.65,17.65,18.03,254273,45.85,-,136050,53.51
NITINSPIN,EQ,28-Mar-2006,17.65,17.95,18.00,16.25,16.50,16.55,17.03,277229,47.21,-,186299,67.20
NITINSPIN,EQ,29-Mar-2006,16.55,16.95,18.90,15.55,17.05,17.15,17.37,422601,73.43,-,105764,25.03
NITINSPIN,EQ,30-Mar-2006,17.15,17.25,17.80,17.10,17.15,17.20,17.36,144857,25.15,-,66481,45.89
NITINSPIN,EQ,31-Mar-2006,17.20,17.60,17.60,16.70,17.00,16.95,17.07,113586,19.39,-,63160,55.61
NITINSPIN,EQ,03-Apr-2006,16.95,17.30,17.70,16.90,17.65,17.50,17.42,159042,27.70,-,92168,57.95
NITINSPIN,EQ,04-Apr-2006,17.50,17.90,19.90,17.30,19.20,19.20,18.94,1176272,222.78,-,298154,25.35
NITINSPIN,EQ,05-Apr-2006,19.20,19.25,19.85,18.95,19.40,19.25,19.37,230152,44.59,-,116780,50.74
NITINSPIN,EQ,07-Apr-2006,19.25,19.70,19.70,17.90,18.00,18.05,18.67,207332,38.71,-,131571,63.46
NITINSPIN,EQ,10-Apr-2006,18.05,18.50,18.50,17.75,17.90,18.00,18.01,77491,13.96,-,44218,57.06
NITINSPIN,EQ,12-Apr-2006,18.00,17.55,17.85,17.10,17.25,17.20,17.56,93547,16.42,-,57478,61.44
NITINSPIN,EQ,13-Apr-2006,17.20,17.25,17.45,16.75,16.85,16.95,17.06,80463,13.72,-,50820,63.16
NITINSPIN,EQ,17-Apr-2006,16.95,16.85,17.45,16.70,16.80,16.80,16.97,68224,11.58,-,34565,50.66
NITINSPIN,EQ,18-Apr-2006,16.80,17.55,17.55,16.65,16.65,16.70,16.86,83815,14.13,-,47805,57.04
NITINSPIN,EQ,19-Apr-2006,16.70,17.00,17.00,16.65,16.70,16.75,16.79,46992,7.89,-,30872,65.70
NITINSPIN,EQ,20-Apr-2006,16.75,17.00,17.30,16.20,16.25,16.35,16.72,109273,18.27,-,71393,65.33
NITINSPIN,EQ,21-Apr-2006,16.35,16.60,16.90,15.90,16.15,16.05,16.27,111514,18.14,-,68834,61.73
NITINSPIN,EQ,24-Apr-2006,16.05,16.50,17.80,16.20,16.80,16.90,16.99,191803,32.59,-,76573,39.92
NITINSPIN,EQ,25-Apr-2006,16.90,16.80,17.80,16.60,16.90,17.05,17.18,123036,21.14,-,58305,47.39
NITINSPIN,EQ,26-Apr-2006,17.05,17.45,17.45,16.75,17.00,16.90,17.05,60710,10.35,-,39288,64.71
NITINSPIN,EQ,27-Apr-2006,16.90,16.90,17.80,16.80,16.90,16.90,17.15,142084,24.36,-,69541,48.94
NITINSPIN,EQ,28-Apr-2006,16.90,15.55,17.00,15.55,16.25,16.35,16.46,104009,17.12,-,85218,81.93
NITINSPIN,EQ,29-Apr-2006,16.35,16.25,16.90,16.25,16.80,16.60,16.64,57834,9.62,-,35674,61.68
NITINSPIN,EQ,02-May-2006,16.60,16.95,17.15,16.75,17.00,16.95,16.94,48080,8.15,-,35981,74.84
NITINSPIN,EQ,03-May-2006,16.95,17.50,18.40,17.50,17.80,17.70,17.90,261623,46.82,-,144093,55.08
NITINSPIN,EQ,04-May-2006,17.70,17.90,18.95,17.00,18.40,18.20,18.21,670124,122.03,-,230578,34.41
NITINSPIN,EQ,05-May-2006,18.20,18.20,18.90,18.10,18.30,18.25,18.41,186639,34.36,-,108663,58.22
NITINSPIN,EQ,08-May-2006,18.25,18.50,18.55,17.80,17.90,18.00,18.05,111682,20.16,-,67258,60.22
NITINSPIN,EQ,09-May-2006,18.00,18.20,18.40,17.55,17.75,17.80,17.78,66875,11.89,-,41838,62.56
NITINSPIN,EQ,10-May-2006,17.80,18.10,18.10,17.20,17.20,17.35,17.52,151813,26.60,-,111654,73.55
NITINSPIN,EQ,11-May-2006,17.35,17.60,17.70,17.10,17.15,17.20,17.33,56912,9.87,-,36801,64.66
NITINSPIN,EQ,12-May-2006,17.20,17.90,18.80,17.50,18.45,18.45,18.46,578268,106.74,-,299938,51.87
NITINSPIN,EQ,15-May-2006,18.45,18.90,19.50,17.55,18.00,17.95,18.66,278137,51.90,-,127162,45.72
NITINSPIN,EQ,16-May-2006,17.95,18.00,18.40,16.55,17.40,17.40,17.43,109324,19.05,-,58469,53.48
NITINSPIN,EQ,17-May-2006,17.40,18.45,18.45,17.45,17.90,17.90,17.87,81736,14.61,-,48059,58.80
NITINSPIN,EQ,18-May-2006,17.90,17.80,17.80,16.10,16.10,16.40,16.96,94798,16.08,-,68534,72.29
NITINSPIN,EQ,19-May-2006,16.40,16.75,17.30,15.50,15.95,15.75,16.33,96843,15.82,-,61855,63.87
NITINSPIN,EQ,22-May-2006,15.75,17.80,17.80,13.30,15.25,14.80,14.78,99060,14.64,-,57506,58.05
NITINSPIN,EQ,23-May-2006,14.80,14.20,15.25,14.15,15.25,15.15,14.78,50389,7.45,-,26359,52.31
NITINSPIN,EQ,24-May-2006,15.15,15.00,15.75,14.65,14.90,15.00,15.33,86725,13.29,-,59595,68.72
NITINSPIN,EQ,25-May-2006,15.00,15.20,15.30,14.50,14.65,14.90,14.95,28972,4.33,-,19294,66.60
NITINSPIN,EQ,26-May-2006,14.90,14.80,15.80,14.80,15.20,15.10,15.32,37609,5.76,-,18049,47.99
NITINSPIN,EQ,29-May-2006,15.10,15.60,15.60,15.20,15.50,15.35,15.40,41894,6.45,-,24886,59.40
NITINSPIN,EQ,30-May-2006,15.35,14.15,15.50,14.15,15.40,15.15,15.30,28310,4.33,-,15065,53.21
NITINSPIN,EQ,31-May-2006,15.15,14.50,15.00,14.00,14.60,14.40,14.40,61647,8.87,-,39886,64.70
NITINSPIN,EQ,01-Jun-2006,14.40,15.00,15.00,14.10,14.10,14.25,14.40,26673,3.84,-,16254,60.94
NITINSPIN,EQ,02-Jun-2006,14.25,13.50,14.75,13.00,13.50,13.45,13.50,117426,15.85,-,90355,76.95
