Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NOIDATOLL,EQ,02-Jan-2006,35.05,34.55,35.55,34.55,35.05,34.90,35.13,385942,135.60,-,201223,52.14
NOIDATOLL,EQ,03-Jan-2006,34.90,34.60,35.70,34.60,35.20,35.05,35.19,354528,124.75,-,184667,52.09
NOIDATOLL,EQ,04-Jan-2006,35.05,36.05,38.00,35.85,36.30,36.25,36.69,1509799,553.88,-,917524,60.77
NOIDATOLL,EQ,05-Jan-2006,36.25,36.60,36.75,33.00,35.95,36.00,35.88,821578,294.81,-,301982,36.76
NOIDATOLL,EQ,06-Jan-2006,36.00,35.75,36.30,35.50,35.90,36.00,35.93,358379,128.77,-,194400,54.24
NOIDATOLL,EQ,09-Jan-2006,36.00,36.30,36.70,35.70,35.95,35.90,36.14,411815,148.81,-,213005,51.72
NOIDATOLL,EQ,10-Jan-2006,35.90,36.15,36.25,35.25,35.40,35.40,35.74,313033,111.88,-,197328,63.04
NOIDATOLL,EQ,12-Jan-2006,35.40,35.70,36.30,34.10,34.25,34.30,35.20,828573,291.69,-,325557,39.29
NOIDATOLL,EQ,13-Jan-2006,34.30,34.60,35.50,33.55,33.70,33.65,34.06,364067,124.01,-,211582,58.12
NOIDATOLL,EQ,16-Jan-2006,33.65,33.75,34.00,33.10,33.25,33.20,33.46,238703,79.86,-,153195,64.18
NOIDATOLL,EQ,17-Jan-2006,33.20,33.30,33.70,32.85,33.00,33.00,33.17,227292,75.38,-,144969,63.78
NOIDATOLL,EQ,18-Jan-2006,33.00,33.00,33.95,32.10,32.15,32.40,32.58,258863,84.33,-,176277,68.10
NOIDATOLL,EQ,19-Jan-2006,32.40,32.80,34.20,32.40,33.50,33.80,33.25,335073,111.40,-,167993,50.14
NOIDATOLL,EQ,20-Jan-2006,33.80,34.15,34.35,33.10,33.40,33.45,33.86,232086,78.58,-,130470,56.22
NOIDATOLL,EQ,23-Jan-2006,33.45,32.00,34.10,32.00,32.85,32.85,33.33,152969,50.98,-,85432,55.85
NOIDATOLL,EQ,24-Jan-2006,32.85,33.70,33.70,32.50,32.50,32.55,32.97,201584,66.46,-,142934,70.91
