Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NSIL,BE,02-Jan-2006,360.00,355.00,360.00,355.00,360.00,360.00,359.83,500,1.80,-,-,-
NSIL,BE,03-Jan-2006,360.00,355.00,355.00,352.15,352.15,352.15,354.64,256,0.91,-,-,-
NSIL,BE,04-Jan-2006,352.15,355.00,360.00,350.00,360.00,359.60,358.68,438,1.57,-,-,-
NSIL,BE,05-Jan-2006,359.60,342.40,360.00,342.40,360.00,359.90,353.39,352,1.24,-,-,-
NSIL,BE,06-Jan-2006,359.90,353.10,360.00,353.10,360.00,360.00,358.89,596,2.14,-,-,-
NSIL,BE,09-Jan-2006,360.00,360.00,361.00,343.00,360.00,360.00,359.70,756,2.72,-,-,-
NSIL,BE,10-Jan-2006,360.00,360.05,360.05,360.00,360.00,360.00,360.04,32,0.12,-,-,-
NSIL,BE,12-Jan-2006,360.00,369.95,369.95,360.00,360.00,360.00,360.29,379,1.37,-,-,-
NSIL,BE,13-Jan-2006,360.00,369.90,369.90,360.00,360.00,360.00,360.05,368,1.32,-,-,-
NSIL,BE,16-Jan-2006,360.00,377.00,377.00,360.00,360.00,360.00,360.30,519,1.87,-,-,-
NSIL,BE,17-Jan-2006,360.00,355.00,367.00,355.00,365.00,365.00,364.13,229,0.83,-,-,-
NSIL,BE,18-Jan-2006,365.00,359.90,364.00,350.00,350.00,350.00,356.87,150,0.54,-,-,-
NSIL,BE,19-Jan-2006,350.00,350.00,360.00,350.00,360.00,359.95,352.56,195,0.69,-,-,-
NSIL,BE,20-Jan-2006,359.95,350.50,360.00,350.50,360.00,360.00,359.30,205,0.74,-,-,-
NSIL,BE,23-Jan-2006,360.00,360.00,360.10,360.00,360.10,360.10,360.05,200,0.72,-,-,-
NSIL,BE,24-Jan-2006,360.10,360.10,370.00,360.05,370.00,370.00,361.08,30,0.11,-,-,-
NSIL,BE,25-Jan-2006,370.00,360.50,373.95,360.50,360.50,360.50,371.61,3121,11.60,-,-,-
NSIL,BE,27-Jan-2006,360.50,360.00,365.00,360.00,364.95,364.95,364.81,2283,8.33,-,-,-
NSIL,BE,30-Jan-2006,364.95,360.00,375.00,360.00,375.00,373.55,370.10,1803,6.67,-,-,-
NSIL,BE,31-Jan-2006,373.55,361.25,374.00,361.25,374.00,374.00,365.35,214,0.78,-,-,-
NSIL,BE,01-Feb-2006,374.00,361.00,364.80,360.50,364.25,364.25,363.94,2203,8.02,-,-,-
NSIL,BE,02-Feb-2006,364.25,360.60,361.00,360.50,360.50,360.50,360.58,103,0.37,-,-,-
NSIL,BE,03-Feb-2006,360.50,363.00,363.00,363.00,363.00,363.00,363.00,284,1.03,-,-,-
NSIL,BE,06-Feb-2006,363.00,360.50,364.00,360.50,360.50,360.50,362.07,109,0.39,-,-,-
NSIL,BE,07-Feb-2006,360.50,355.00,360.00,355.00,355.20,355.20,355.48,112,0.40,-,-,-
NSIL,BE,08-Feb-2006,355.20,351.00,351.15,351.00,351.00,351.05,351.03,116,0.41,-,-,-
NSIL,BE,10-Feb-2006,351.05,360.00,360.00,351.00,351.00,351.00,358.87,343,1.23,-,-,-
NSIL,BE,13-Feb-2006,351.00,350.00,368.25,350.00,368.25,367.10,366.93,6257,22.96,-,-,-
NSIL,BE,14-Feb-2006,367.10,360.05,373.65,360.05,364.50,364.50,362.72,102,0.37,-,-,-
NSIL,BE,15-Feb-2006,364.50,360.20,382.00,360.20,381.95,381.85,380.37,8879,33.77,-,-,-
NSIL,BE,17-Feb-2006,381.85,365.00,365.00,365.00,365.00,365.00,365.00,150,0.55,-,-,-
NSIL,BE,20-Feb-2006,365.00,370.00,380.00,366.00,380.00,378.95,375.17,2203,8.26,-,-,-
NSIL,BE,21-Feb-2006,378.95,372.30,372.30,372.05,372.05,372.05,372.15,49,0.18,-,-,-
NSIL,BE,22-Feb-2006,372.05,371.05,380.00,371.05,372.55,372.55,374.58,47,0.18,-,-,-
NSIL,BE,24-Feb-2006,372.55,376.00,376.00,376.00,376.00,376.00,376.00,200,0.75,-,-,-
NSIL,BE,27-Feb-2006,376.00,365.00,365.00,362.55,362.55,362.55,364.96,1422,5.19,-,-,-
NSIL,BE,28-Feb-2006,362.55,361.00,370.00,361.00,370.00,370.00,367.13,62,0.23,-,-,-
NSIL,BE,01-Mar-2006,370.00,360.00,375.00,360.00,375.00,371.00,370.72,855,3.17,-,-,-
NSIL,BE,02-Mar-2006,371.00,375.00,379.00,375.00,379.00,379.00,375.03,1030,3.86,-,-,-
NSIL,BE,03-Mar-2006,379.00,363.00,395.00,363.00,393.15,393.15,388.53,3719,14.45,-,-,-
NSIL,BE,06-Mar-2006,393.15,377.05,390.00,377.05,390.00,390.00,383.18,498,1.91,-,-,-
NSIL,BE,07-Mar-2006,390.00,375.00,409.50,375.00,390.00,397.95,396.05,2327,9.22,-,-,-
NSIL,BE,08-Mar-2006,397.95,410.00,417.85,400.00,400.00,400.45,417.64,70379,293.93,-,-,-
NSIL,BE,09-Mar-2006,400.45,395.00,395.00,382.50,382.75,382.75,383.16,249,0.95,-,-,-
NSIL,BE,10-Mar-2006,382.75,368.15,380.00,368.15,370.40,370.40,370.71,95,0.35,-,-,-
NSIL,BE,13-Mar-2006,370.40,371.00,387.95,361.50,361.50,362.25,374.92,154,0.58,-,-,-
NSIL,BE,14-Mar-2006,362.25,378.00,380.40,378.00,380.40,380.40,378.14,850,3.21,-,-,-
NSIL,BE,16-Mar-2006,380.40,386.10,399.45,386.10,399.45,399.45,398.20,300,1.19,-,-,-
NSIL,BE,17-Mar-2006,399.45,399.95,407.00,385.15,404.90,404.65,403.16,4091,16.49,-,-,-
NSIL,BE,20-Mar-2006,404.65,424.00,424.00,384.50,384.50,384.50,390.56,2712,10.59,-,-,-
NSIL,BE,21-Mar-2006,384.50,390.00,403.60,390.00,403.50,403.50,400.62,3725,14.92,-,-,-
NSIL,BE,22-Mar-2006,403.50,418.80,418.80,400.00,409.00,409.00,409.95,21104,86.52,-,-,-
NSIL,BE,23-Mar-2006,409.00,410.00,424.00,393.10,424.00,423.20,422.94,46315,195.88,-,-,-
NSIL,BE,24-Mar-2006,423.20,404.00,424.00,404.00,415.05,417.85,418.81,1460,6.11,-,-,-
