Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
OMKARCHEM,EQ,10-Feb-2011,98.00,92.00,101.00,42.05,42.60,46.45,57.85,25168182,14559.58,-,2397655,9.53
OMKARCHEM,EQ,11-Feb-2011,46.45,40.00,43.00,37.65,38.50,38.40,39.95,4001522,1598.80,-,617840,15.44
OMKARCHEM,EQ,14-Feb-2011,38.40,39.00,43.75,39.00,41.40,41.95,41.94,2086111,874.84,-,321287,15.40
OMKARCHEM,EQ,15-Feb-2011,41.95,42.70,42.70,38.35,39.20,39.10,39.83,1283227,511.10,-,576725,44.94
OMKARCHEM,EQ,16-Feb-2011,39.10,39.85,40.95,38.65,38.75,39.05,39.73,653532,259.66,-,194305,29.73
OMKARCHEM,EQ,17-Feb-2011,39.05,39.50,39.95,36.70,37.55,37.25,38.31,618031,236.79,-,192940,31.22
OMKARCHEM,EQ,18-Feb-2011,37.25,37.75,38.20,34.20,34.65,34.70,36.21,456965,165.47,-,127599,27.92
OMKARCHEM,EQ,21-Feb-2011,34.70,34.75,35.80,32.50,33.45,33.20,33.55,548401,184.01,-,164788,30.05
OMKARCHEM,EQ,22-Feb-2011,33.20,34.00,38.60,31.25,37.10,37.10,36.39,1967200,715.77,-,248793,12.65
OMKARCHEM,EQ,23-Feb-2011,37.10,37.40,39.75,36.90,37.00,37.25,38.08,776201,295.56,-,115568,14.89
OMKARCHEM,EQ,24-Feb-2011,37.25,36.95,38.40,35.10,35.20,35.45,36.47,417636,152.31,-,130386,31.22
OMKARCHEM,EQ,25-Feb-2011,35.45,36.00,36.25,33.15,34.80,34.85,34.50,260314,89.81,-,100163,38.48
OMKARCHEM,EQ,28-Feb-2011,34.85,34.00,35.75,33.10,33.20,33.45,34.09,172653,58.86,-,69373,40.18
OMKARCHEM,EQ,01-Mar-2011,33.45,33.90,35.10,33.50,34.15,34.10,34.32,182235,62.54,-,50270,27.59
OMKARCHEM,EQ,03-Mar-2011,34.10,34.40,34.40,33.00,33.20,33.20,33.61,137678,46.27,-,73659,53.50
OMKARCHEM,EQ,04-Mar-2011,33.20,33.90,35.45,32.85,33.15,33.10,34.06,265906,90.56,-,75801,28.51
OMKARCHEM,EQ,07-Mar-2011,33.10,32.85,33.40,32.10,32.90,32.70,32.73,97294,31.84,-,40636,41.77
