Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ONWARDTEC,EQ,02-Jan-2006,89.30,97.90,97.90,89.00,89.00,89.65,92.46,133938,123.83,-,57154,42.67
ONWARDTEC,EQ,03-Jan-2006,89.65,90.60,93.50,90.00,90.60,90.35,91.47,57218,52.34,-,22245,38.88
ONWARDTEC,EQ,04-Jan-2006,90.35,91.50,91.90,87.50,87.50,88.45,89.25,43259,38.61,-,29196,67.49
ONWARDTEC,EQ,05-Jan-2006,88.45,93.80,93.80,86.10,86.50,86.85,88.05,29191,25.70,-,15811,54.16
ONWARDTEC,EQ,06-Jan-2006,86.85,83.00,95.55,83.00,93.25,94.95,93.67,242394,227.05,-,106418,43.90
ONWARDTEC,EQ,09-Jan-2006,94.95,94.90,94.90,90.50,91.50,91.35,92.55,102632,94.99,-,66093,64.40
ONWARDTEC,EQ,10-Jan-2006,91.35,91.50,92.70,89.50,89.90,89.95,91.04,37904,34.51,-,21176,55.87
ONWARDTEC,EQ,12-Jan-2006,89.95,88.00,89.90,87.05,87.05,87.90,88.61,33258,29.47,-,22623,68.02
ONWARDTEC,EQ,13-Jan-2006,87.90,87.50,92.80,87.50,88.25,88.55,90.55,55847,50.57,-,27119,48.56
ONWARDTEC,EQ,16-Jan-2006,88.55,89.95,91.45,87.85,88.25,88.25,89.47,28750,25.72,-,15229,52.97
ONWARDTEC,EQ,17-Jan-2006,88.25,80.10,89.90,80.10,83.25,83.50,86.33,30823,26.61,-,16850,54.67
ONWARDTEC,EQ,18-Jan-2006,83.50,83.00,85.45,80.75,81.50,82.55,82.91,29331,24.32,-,17853,60.87
ONWARDTEC,EQ,19-Jan-2006,82.55,83.00,90.85,81.80,90.85,90.85,88.80,43735,38.84,-,32340,73.95
ONWARDTEC,EQ,20-Jan-2006,90.85,92.50,94.00,86.25,86.25,87.00,89.52,60493,54.15,-,37217,61.52
ONWARDTEC,EQ,23-Jan-2006,87.00,87.00,89.85,85.00,85.50,86.10,87.13,21736,18.94,-,10314,47.45
ONWARDTEC,EQ,24-Jan-2006,86.10,88.00,88.90,85.55,85.60,86.15,87.59,35195,30.83,-,17900,50.86
ONWARDTEC,EQ,25-Jan-2006,86.15,88.95,88.95,83.55,84.00,84.30,85.26,40842,34.82,-,18444,45.16
ONWARDTEC,EQ,27-Jan-2006,84.30,87.85,87.85,83.10,83.50,83.25,84.07,21493,18.07,-,10905,50.74
ONWARDTEC,EQ,30-Jan-2006,83.25,84.00,85.80,80.60,81.00,81.15,82.38,32305,26.61,-,20617,63.82
ONWARDTEC,EQ,31-Jan-2006,81.15,82.00,85.40,81.05,82.25,81.60,82.91,29681,24.61,-,10926,36.81
ONWARDTEC,EQ,01-Feb-2006,81.60,84.00,84.00,76.50,78.70,77.40,79.39,26485,21.03,-,17469,65.96
ONWARDTEC,EQ,02-Feb-2006,77.40,80.45,80.45,72.20,73.85,73.20,74.57,35629,26.57,-,25781,72.36
ONWARDTEC,EQ,03-Feb-2006,73.20,76.00,76.00,73.00,73.40,73.15,74.41,24423,18.17,-,13090,53.60
ONWARDTEC,EQ,06-Feb-2006,73.15,74.20,75.85,72.50,74.75,74.25,74.54,21812,16.26,-,13385,61.37
ONWARDTEC,EQ,07-Feb-2006,74.25,74.10,75.45,72.00,72.90,72.50,73.78,15641,11.54,-,10264,65.62
