Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ORIENTCEM,BE,12-Jul-2013,72.60,57.00,57.00,57.00,57.00,57.00,57.00,6299,3.59,13,-,-
ORIENTCEM,BE,15-Jul-2013,57.00,54.15,54.15,54.15,54.15,54.15,54.15,1170,0.63,6,-,-
ORIENTCEM,BE,16-Jul-2013,54.15,51.45,55.90,51.45,51.45,51.45,51.51,76341,39.32,73,-,-
ORIENTCEM,BE,17-Jul-2013,51.45,49.00,51.30,48.90,49.00,49.00,49.31,332761,164.09,299,-,-
ORIENTCEM,BE,18-Jul-2013,49.00,48.00,50.00,47.00,48.05,48.20,48.26,19564,9.44,80,-,-
ORIENTCEM,BE,19-Jul-2013,48.20,48.00,50.50,47.80,47.85,48.15,48.15,122737,59.10,259,-,-
ORIENTCEM,BE,22-Jul-2013,48.15,48.00,50.25,47.10,47.45,47.30,47.96,21284,10.21,469,-,-
ORIENTCEM,BE,23-Jul-2013,47.30,48.00,48.00,46.05,46.50,46.40,47.05,91832,43.21,352,-,-
ORIENTCEM,BE,24-Jul-2013,46.40,46.00,46.05,44.10,44.15,44.15,44.94,83039,37.31,116,-,-
ORIENTCEM,BE,25-Jul-2013,44.15,43.85,44.05,40.25,42.00,43.20,43.08,77900,33.56,564,-,-
ORIENTCEM,EQ,26-Jul-2013,43.20,43.05,46.00,41.05,41.70,41.75,42.16,15123,6.38,253,8859,58.58
ORIENTCEM,EQ,29-Jul-2013,41.75,39.00,44.20,36.00,37.00,37.10,38.88,259707,100.96,608,237022,91.27
ORIENTCEM,EQ,30-Jul-2013,37.10,33.30,39.80,31.60,33.50,34.70,34.53,339114,117.09,1291,270406,79.74
ORIENTCEM,EQ,31-Jul-2013,34.70,33.65,33.90,28.50,33.00,33.00,32.00,189477,60.64,602,164168,86.64
ORIENTCEM,EQ,01-Aug-2013,33.00,32.05,36.75,31.40,36.75,35.50,35.43,48138,17.06,463,43067,89.47
ORIENTCEM,EQ,02-Aug-2013,35.50,35.00,36.00,31.60,35.10,35.60,34.64,58357,20.21,592,47515,81.42
ORIENTCEM,EQ,05-Aug-2013,35.60,35.10,35.90,32.45,34.50,34.85,34.86,91163,31.78,159,88271,96.83
ORIENTCEM,EQ,06-Aug-2013,34.85,34.40,34.40,32.10,33.00,32.80,33.01,361348,119.27,282,353915,97.94
