Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ORTEL,BE,19-Mar-2015,181.00,160.05,168.05,160.05,166.90,162.25,165.53,26520,43.90,341,-,-
ORTEL,BE,20-Mar-2015,162.25,160.00,169.85,154.15,155.05,155.10,159.79,33398,53.37,382,-,-
ORTEL,BE,23-Mar-2015,155.10,150.00,160.00,147.35,150.00,149.65,148.02,14516,21.49,211,-,-
ORTEL,BE,24-Mar-2015,149.65,142.20,153.00,142.20,153.00,146.00,143.63,24200,34.76,214,-,-
ORTEL,BE,25-Mar-2015,146.00,139.00,148.85,139.00,147.20,146.65,144.83,3494,5.06,129,-,-
ORTEL,BE,26-Mar-2015,146.65,148.95,153.95,142.00,144.00,144.45,145.09,18081,26.23,111,-,-
ORTEL,BE,27-Mar-2015,144.45,140.55,146.00,137.25,145.00,142.75,140.48,4711,6.62,108,-,-
ORTEL,BE,30-Mar-2015,142.75,136.00,149.80,135.65,149.80,147.50,137.61,14960,20.59,145,-,-
ORTEL,BE,31-Mar-2015,147.50,150.00,154.70,147.00,154.70,152.30,150.53,3373,5.08,129,-,-
ORTEL,BE,01-Apr-2015,152.30,159.00,159.00,146.05,158.00,157.05,155.35,1117,1.74,76,-,-
ORTEL,EQ,06-Apr-2015,157.05,166.90,166.90,151.50,156.00,154.55,154.54,46653,72.10,168,36176,77.54
ORTEL,EQ,07-Apr-2015,154.55,160.00,160.00,152.00,158.00,156.00,156.03,72267,112.76,57,72217,99.93
ORTEL,EQ,08-Apr-2015,156.00,157.95,157.95,153.55,153.65,156.55,156.91,339,0.53,13,233,68.73
ORTEL,EQ,09-Apr-2015,156.55,156.00,159.95,151.50,159.00,156.35,156.40,47660,74.54,151,46073,96.67
ORTEL,EQ,10-Apr-2015,156.35,160.00,160.00,153.00,158.90,157.20,156.98,1501,2.36,67,1250,83.28
ORTEL,EQ,13-Apr-2015,157.20,160.00,166.00,157.00,166.00,164.00,162.62,13980,22.73,148,13029,93.20
ORTEL,EQ,15-Apr-2015,164.00,170.00,170.00,159.25,167.00,166.05,164.93,14126,23.30,183,12433,88.02
ORTEL,EQ,16-Apr-2015,166.05,163.00,168.00,159.00,167.50,165.70,164.97,11508,18.98,54,11231,97.59
ORTEL,EQ,17-Apr-2015,165.70,165.00,175.95,165.00,172.00,174.35,171.35,12334,21.13,208,12171,98.68
ORTEL,EQ,20-Apr-2015,174.35,146.00,190.50,146.00,179.25,178.35,181.26,334411,606.14,5438,166668,49.84
ORTEL,EQ,21-Apr-2015,178.35,180.00,188.80,180.00,183.20,183.20,184.65,73657,136.01,1883,43902,59.60
ORTEL,EQ,22-Apr-2015,183.20,183.00,183.00,176.35,180.00,179.90,179.22,10657,19.10,329,6823,64.02
ORTEL,EQ,23-Apr-2015,179.90,178.70,181.95,175.15,180.00,179.60,178.70,12323,22.02,350,10517,85.34
ORTEL,EQ,24-Apr-2015,179.60,176.00,186.00,170.00,175.00,176.00,177.01,29203,51.69,857,22267,76.25
ORTEL,EQ,27-Apr-2015,176.00,170.10,173.00,161.00,161.00,165.30,165.53,3547,5.87,180,2766,77.98
ORTEL,EQ,28-Apr-2015,165.30,162.05,175.70,161.05,173.00,166.80,167.68,1132,1.90,119,526,46.47
ORTEL,EQ,29-Apr-2015,166.80,160.05,172.00,160.05,171.00,171.10,170.12,1049,1.78,136,849,80.93
ORTEL,EQ,30-Apr-2015,171.10,165.00,172.90,165.00,172.90,170.80,169.32,1066,1.80,59,806,75.61
ORTEL,EQ,04-May-2015,170.80,165.00,180.00,161.00,176.10,172.25,169.16,2887,4.88,177,1981,68.62
ORTEL,EQ,05-May-2015,172.25,165.00,172.95,164.00,172.00,171.30,169.84,634,1.08,30,408,64.35
ORTEL,EQ,06-May-2015,171.30,164.00,172.40,161.00,169.00,167.50,166.65,5369,8.95,121,4162,77.52
ORTEL,EQ,07-May-2015,167.50,161.05,171.30,161.05,171.00,168.05,167.65,1761,2.95,51,1595,90.57
ORTEL,EQ,08-May-2015,168.05,161.05,169.80,161.05,169.80,167.15,166.45,597,0.99,22,421,70.52
ORTEL,EQ,11-May-2015,167.15,169.55,172.00,160.40,172.00,170.70,170.36,631,1.07,25,343,54.36
ORTEL,EQ,12-May-2015,170.70,163.05,173.60,163.05,165.00,165.45,165.82,1320,2.19,22,1036,78.48
ORTEL,EQ,13-May-2015,165.45,164.60,166.00,164.60,166.00,165.40,165.35,723,1.20,30,580,80.22
ORTEL,EQ,14-May-2015,165.40,166.00,169.00,166.00,169.00,168.80,168.22,1321,2.22,9,1121,84.86
ORTEL,EQ,15-May-2015,168.80,163.20,171.00,163.10,170.90,170.85,168.47,1243,2.09,37,818,65.81
