Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PENPEBS,BE,10-Sep-2015,178.00,177.95,177.95,169.10,169.50,169.90,172.68,786257,1357.75,4376,-,-
PENPEBS,BE,11-Sep-2015,169.90,165.10,173.00,165.10,172.00,171.15,169.92,106195,180.44,566,-,-
PENPEBS,BE,14-Sep-2015,171.15,170.00,172.00,167.00,170.00,169.60,169.25,18242,30.87,341,-,-
PENPEBS,BE,15-Sep-2015,169.60,170.00,170.95,165.00,166.00,166.00,166.33,10133,16.85,355,-,-
PENPEBS,BE,16-Sep-2015,166.00,166.00,171.45,165.00,171.00,170.10,168.84,15753,26.60,311,-,-
PENPEBS,BE,18-Sep-2015,170.10,171.00,171.00,161.60,168.00,167.70,165.57,6713,11.11,167,-,-
PENPEBS,BE,21-Sep-2015,167.70,167.70,169.00,159.35,163.00,163.00,165.19,5233,8.64,81,-,-
PENPEBS,BE,22-Sep-2015,163.00,160.05,164.00,160.00,161.00,160.55,160.84,1868,3.00,33,-,-
PENPEBS,BE,23-Sep-2015,160.55,153.50,162.00,152.55,160.80,160.85,154.62,28818,44.56,64,-,-
PENPEBS,BE,24-Sep-2015,160.85,159.00,164.85,154.80,163.00,162.75,159.35,4246,6.77,45,-,-
PENPEBS,EQ,28-Sep-2015,162.75,161.00,179.00,161.00,171.00,171.55,170.82,67637,115.53,1484,55905,82.65
PENPEBS,EQ,29-Sep-2015,171.55,171.55,171.55,162.10,168.75,167.70,167.74,28076,47.10,81,26579,94.67
PENPEBS,EQ,30-Sep-2015,167.70,167.00,170.80,165.10,169.00,169.35,167.49,14153,23.71,51,13600,96.09
PENPEBS,EQ,01-Oct-2015,169.35,165.65,169.45,165.65,168.60,168.05,168.06,12909,21.69,36,12774,98.95
PENPEBS,EQ,05-Oct-2015,168.05,163.25,169.00,161.70,167.50,167.55,166.89,18491,30.86,90,16385,88.61
PENPEBS,EQ,06-Oct-2015,167.55,169.85,173.00,168.10,171.50,170.65,170.25,7750,13.19,144,6131,79.11
PENPEBS,EQ,07-Oct-2015,170.65,170.00,172.00,168.55,171.00,171.00,170.52,2912,4.97,50,2522,86.61
PENPEBS,EQ,08-Oct-2015,171.00,167.10,171.00,167.10,168.50,169.85,169.78,870,1.48,18,775,89.08
PENPEBS,EQ,09-Oct-2015,169.85,165.65,171.95,165.30,167.20,167.45,168.52,153513,258.69,56,152778,99.52
PENPEBS,EQ,12-Oct-2015,167.45,167.20,170.00,163.65,167.00,167.00,166.79,2184,3.64,45,1198,54.85
PENPEBS,EQ,13-Oct-2015,167.00,163.05,167.95,163.05,167.00,167.00,166.68,1780,2.97,21,1460,82.02
PENPEBS,EQ,14-Oct-2015,167.00,162.40,168.00,162.40,167.90,167.90,166.77,718,1.20,20,613,85.38
PENPEBS,EQ,15-Oct-2015,167.90,164.75,167.00,164.75,167.00,167.00,166.24,530,0.88,12,485,91.51
PENPEBS,EQ,16-Oct-2015,167.00,169.95,172.00,169.00,170.00,169.95,170.13,270938,460.95,248,268510,99.10
PENPEBS,EQ,19-Oct-2015,169.95,165.55,170.00,165.55,169.40,169.40,168.16,11580,19.47,35,11370,98.19
PENPEBS,EQ,20-Oct-2015,169.40,166.50,170.00,166.50,167.10,167.15,167.56,1070,1.79,15,770,71.96
PENPEBS,EQ,21-Oct-2015,167.15,163.05,169.90,163.05,167.00,167.00,167.11,1125,1.88,25,835,74.22
PENPEBS,EQ,23-Oct-2015,167.00,171.95,171.95,163.00,170.00,169.80,168.27,5163,8.69,164,3484,67.48
PENPEBS,EQ,26-Oct-2015,169.80,166.05,168.40,166.05,167.00,167.00,167.05,4055,6.77,53,3210,79.16
PENPEBS,EQ,27-Oct-2015,167.00,167.00,168.00,167.00,167.00,167.00,167.05,1003,1.68,14,1003,100.00
PENPEBS,EQ,28-Oct-2015,167.00,162.10,168.00,162.10,167.00,167.00,166.73,1155,1.93,30,1024,88.66
PENPEBS,EQ,29-Oct-2015,167.00,163.10,169.45,163.10,167.00,167.25,166.93,3106,5.18,32,2826,90.99
