Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PNB,EQ,02-Jan-2006,466.25,467.00,473.50,465.20,470.60,472.00,469.93,828164,3891.82,-,267378,32.29
PNB,EQ,03-Jan-2006,472.00,473.50,479.20,469.00,470.60,473.40,474.98,1026557,4875.98,-,518109,50.47
PNB,EQ,04-Jan-2006,473.40,478.80,485.70,471.25,485.05,484.40,480.53,1318507,6335.83,-,645398,48.95
PNB,EQ,05-Jan-2006,484.40,480.00,495.45,480.00,494.00,494.25,489.99,1479437,7249.17,-,535259,36.18
PNB,EQ,06-Jan-2006,494.25,494.50,494.50,484.00,488.20,489.25,488.15,790464,3858.67,-,363273,45.96
PNB,EQ,09-Jan-2006,489.25,491.00,495.10,478.00,480.00,481.15,482.58,700104,3378.60,-,303114,43.30
PNB,EQ,10-Jan-2006,481.15,481.20,491.50,470.65,471.00,474.25,479.07,1053010,5044.66,-,357142,33.92
PNB,EQ,12-Jan-2006,474.25,468.00,477.00,466.05,468.15,469.20,471.90,605341,2856.58,-,263105,43.46
PNB,IL,12-Jan-2006,474.00,508.50,508.50,508.50,0.00,508.50,508.50,260000,1322.10,-,260000,100.00
PNB,EQ,13-Jan-2006,469.20,471.90,475.00,461.00,462.00,466.05,468.84,461369,2163.09,-,125090,27.11
PNB,EQ,16-Jan-2006,466.05,467.00,467.00,457.00,461.00,459.50,460.49,361803,1666.08,-,126790,35.04
PNB,EQ,17-Jan-2006,459.50,460.00,465.65,456.00,459.20,458.60,460.73,457588,2108.26,-,224793,49.13
PNB,EQ,18-Jan-2006,458.60,456.00,473.00,442.55,444.50,445.40,449.84,773575,3479.86,-,322290,41.66
PNB,EQ,19-Jan-2006,445.40,447.50,453.90,446.55,451.90,449.70,450.37,639485,2880.06,-,320835,50.17
PNB,EQ,20-Jan-2006,449.70,452.00,456.00,447.15,448.20,449.45,452.59,875543,3962.63,-,415559,47.46
PNB,EQ,23-Jan-2006,449.45,450.00,452.50,444.00,445.00,445.65,447.20,464964,2079.32,-,250421,53.86
PNB,EQ,24-Jan-2006,445.65,446.00,454.80,444.30,453.00,452.40,451.39,711940,3213.62,-,383465,53.86
PNB,EQ,25-Jan-2006,452.40,453.20,460.00,442.10,447.10,447.25,450.27,1407434,6337.23,-,843128,59.91
PNB,EQ,27-Jan-2006,447.25,449.90,468.00,449.90,464.00,465.55,461.44,1026576,4737.04,-,638423,62.19
PNB,EQ,30-Jan-2006,465.55,468.00,471.00,452.10,456.50,456.45,459.65,547426,2516.23,-,220101,40.21
PNB,EQ,31-Jan-2006,456.45,459.95,469.50,458.05,463.00,465.35,466.17,833588,3885.91,-,487858,58.53
PNB,EQ,01-Feb-2006,465.35,466.40,468.40,450.00,453.95,452.25,456.72,512715,2341.67,-,186037,36.28
PNB,EQ,02-Feb-2006,452.25,457.90,459.45,449.60,454.00,452.70,453.15,598950,2714.14,-,277687,46.36
