Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PNBHOUSING,EQ,07-Nov-2016,775.00,860.00,904.00,860.00,890.00,891.15,883.92,33028250,291943.20,678686,15037264,45.53
PNBHOUSING,EQ,08-Nov-2016,891.15,897.00,987.90,896.00,986.00,977.95,951.84,11177092,106387.86,190748,2338894,20.93
PNBHOUSING,EQ,09-Nov-2016,977.95,852.00,948.70,812.20,924.00,922.20,898.91,3674905,33033.91,72410,1008799,27.45
PNBHOUSING,EQ,10-Nov-2016,922.20,945.00,974.40,905.00,928.00,933.10,941.49,2047064,19272.95,53624,553366,27.03
PNBHOUSING,EQ,11-Nov-2016,933.10,911.70,947.90,908.20,923.70,928.90,929.63,1486727,13821.10,31089,753594,50.69
PNBHOUSING,EQ,15-Nov-2016,928.90,925.00,925.00,798.00,804.65,808.80,846.66,1525700,12917.56,42867,682042,44.70
PNBHOUSING,EQ,16-Nov-2016,808.80,851.10,864.80,791.75,799.00,797.70,812.43,1816031,14753.92,55108,636893,35.07
PNBHOUSING,EQ,17-Nov-2016,797.70,807.25,815.30,796.50,810.00,809.10,807.26,644793,5205.17,22666,259923,40.31
PNBHOUSING,EQ,18-Nov-2016,809.10,814.00,826.00,802.70,812.35,813.90,816.70,428795,3501.98,12882,115047,26.83
PNBHOUSING,EQ,21-Nov-2016,813.90,816.00,816.85,793.30,799.75,799.60,801.14,440349,3527.80,21162,287511,65.29
PNBHOUSING,EQ,22-Nov-2016,799.60,805.00,813.90,796.35,808.00,808.25,804.77,384137,3091.43,13909,230936,60.12
PNBHOUSING,EQ,23-Nov-2016,808.25,815.00,832.00,796.50,820.00,824.40,816.72,415021,3389.56,11282,166273,40.06
PNBHOUSING,EQ,24-Nov-2016,824.40,815.00,822.35,807.55,815.00,811.30,814.32,166715,1357.60,5315,58712,35.22
PNBHOUSING,EQ,25-Nov-2016,811.30,813.00,887.00,811.25,865.00,869.45,854.54,1141424,9753.98,33106,405769,35.55
PNBHOUSING,EQ,28-Nov-2016,869.45,859.90,864.00,841.70,847.00,847.75,851.84,319524,2721.82,9571,144734,45.30
PNBHOUSING,EQ,29-Nov-2016,847.75,854.85,903.00,851.00,895.75,892.40,883.16,857796,7575.74,24881,307328,35.83
PNBHOUSING,EQ,30-Nov-2016,892.40,898.10,922.00,896.50,904.00,906.85,909.35,385650,3506.93,12815,75893,19.68
PNBHOUSING,EQ,01-Dec-2016,906.85,913.00,920.00,901.00,907.50,906.00,909.49,389816,3545.32,8406,216855,55.63
PNBHOUSING,EQ,02-Dec-2016,906.00,902.00,914.90,890.00,907.05,906.45,902.67,233893,2111.28,7894,80804,34.55
PNBHOUSING,EQ,05-Dec-2016,906.45,900.00,905.75,845.00,855.80,854.65,867.73,1316337,11422.25,34850,954604,72.52
PNBHOUSING,EQ,06-Dec-2016,854.65,860.00,873.00,859.95,866.00,865.65,867.68,496977,4312.18,17096,277973,55.93
PNBHOUSING,EQ,07-Dec-2016,865.65,871.05,877.40,852.00,858.00,860.15,863.44,801131,6917.30,26222,622631,77.72
PNBHOUSING,EQ,08-Dec-2016,860.15,864.50,898.80,861.95,890.35,891.80,880.80,437545,3853.91,17133,194838,44.53
PNBHOUSING,EQ,09-Dec-2016,891.80,892.00,895.40,868.55,872.05,875.70,875.66,383676,3359.70,9450,296959,77.40
PNBHOUSING,EQ,12-Dec-2016,875.70,863.25,873.30,851.00,851.90,854.65,859.00,137695,1182.80,8409,89993,65.36
PNBHOUSING,EQ,13-Dec-2016,854.65,854.95,869.00,851.35,854.90,856.00,860.57,202170,1739.81,9288,138306,68.41
PNBHOUSING,EQ,14-Dec-2016,856.00,857.45,864.50,850.55,851.60,852.45,858.94,294155,2526.62,5350,246763,83.89
PNBHOUSING,EQ,15-Dec-2016,852.45,852.00,860.00,850.00,858.10,857.90,856.39,234265,2006.22,12168,149030,63.62
PNBHOUSING,EQ,16-Dec-2016,857.90,862.25,874.60,853.30,870.00,870.00,862.67,573841,4950.34,15995,423780,73.85
PNBHOUSING,EQ,19-Dec-2016,870.00,863.40,883.40,856.35,870.15,868.05,868.95,118349,1028.39,6270,36807,31.10
PNBHOUSING,EQ,20-Dec-2016,868.05,873.00,879.00,846.15,849.50,856.85,862.72,246534,2126.89,13610,173257,70.28
PNBHOUSING,EQ,21-Dec-2016,856.85,855.00,885.00,835.55,880.00,877.25,867.48,272623,2364.94,12719,102794,37.71
PNBHOUSING,EQ,22-Dec-2016,877.25,878.00,878.00,837.55,840.05,840.70,849.78,126205,1072.47,5275,74255,58.84
PNBHOUSING,EQ,23-Dec-2016,840.70,845.00,852.95,831.20,834.00,836.65,843.02,100586,847.96,6035,45087,44.82
PNBHOUSING,EQ,26-Dec-2016,836.65,832.00,841.70,807.05,810.20,810.50,818.23,205665,1682.82,9613,128955,62.70
PNBHOUSING,EQ,27-Dec-2016,810.50,815.00,836.10,815.00,832.10,830.35,828.01,120896,1001.03,8380,68413,56.59
PNBHOUSING,EQ,28-Dec-2016,830.35,833.00,841.95,825.00,825.00,826.65,835.72,83260,695.82,4272,39823,47.83
PNBHOUSING,EQ,29-Dec-2016,826.65,826.00,834.45,822.00,829.00,829.40,828.89,33398,276.83,2471,14602,43.72
PNBHOUSING,EQ,30-Dec-2016,829.40,829.40,857.70,829.40,835.15,840.10,843.76,144394,1218.33,8086,58800,40.72
