Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
POWERGRID,EQ,05-Oct-2007,52.00,89.80,109.50,83.15,100.20,100.60,102.49,481058927,493056.07,-,181390171,37.71
POWERGRID,EQ,08-Oct-2007,100.60,104.00,104.00,94.85,95.30,95.45,98.12,71252858,69916.16,-,22115293,31.04
POWERGRID,EQ,09-Oct-2007,95.45,95.50,102.85,90.35,102.10,101.95,98.57,65658228,64717.84,-,16991920,25.88
POWERGRID,EQ,10-Oct-2007,101.95,104.60,105.00,102.00,102.65,102.90,103.66,38211410,39608.87,-,16409289,42.94
POWERGRID,EQ,11-Oct-2007,102.90,120.00,120.00,102.00,114.85,114.40,110.78,59805552,66252.35,-,17530826,29.31
POWERGRID,EQ,12-Oct-2007,114.40,112.00,117.90,111.00,114.25,113.65,115.56,55918584,64617.14,-,15832822,28.31
POWERGRID,EQ,15-Oct-2007,113.65,116.00,116.70,114.15,115.40,115.15,115.71,23520928,27216.46,-,9028767,38.39
POWERGRID,EQ,16-Oct-2007,115.15,115.30,128.90,114.50,128.30,126.90,121.83,77970674,94988.42,-,17581372,22.55
POWERGRID,EQ,17-Oct-2007,126.90,114.00,140.00,106.10,135.35,136.80,127.86,115242925,147349.28,-,18324073,15.90
POWERGRID,EQ,18-Oct-2007,136.80,139.00,149.45,126.35,128.20,132.00,142.53,82472533,117548.55,-,22803867,27.65
POWERGRID,EQ,19-Oct-2007,132.00,129.00,136.90,125.00,131.85,131.55,132.11,62024917,81938.16,-,12379053,19.96
POWERGRID,EQ,22-Oct-2007,131.55,128.90,133.85,125.50,129.65,129.80,130.85,40642551,53178.81,-,9274013,22.82
POWERGRID,EQ,23-Oct-2007,129.80,133.00,140.30,133.00,139.80,139.05,137.61,41959654,57741.53,-,9461809,22.55
POWERGRID,EQ,24-Oct-2007,139.05,142.00,143.50,135.35,136.50,136.90,139.72,35468542,49557.12,-,10238780,28.87
POWERGRID,EQ,25-Oct-2007,136.90,132.25,139.80,120.65,137.30,136.60,137.47,19418905,26695.66,-,6008777,30.94
POWERGRID,EQ,26-Oct-2007,136.60,139.00,142.95,135.25,140.85,140.70,140.16,35083148,49173.01,-,9965302,28.40
POWERGRID,EQ,29-Oct-2007,140.70,143.00,147.00,142.30,143.10,143.55,144.33,24557461,35442.94,-,7284440,29.66
POWERGRID,EQ,30-Oct-2007,143.55,145.50,150.70,141.20,147.05,146.75,146.33,44955974,65785.93,-,11546880,25.68
POWERGRID,EQ,31-Oct-2007,146.75,147.50,153.10,147.00,149.55,149.80,151.11,25118651,37955.92,-,7008611,27.90
POWERGRID,EQ,01-Nov-2007,149.80,153.50,154.65,145.25,145.70,146.45,150.41,28480784,42839.26,-,7801087,27.39
POWERGRID,EQ,02-Nov-2007,146.45,141.15,150.00,140.00,149.85,149.10,147.19,18000957,26496.40,-,4584990,25.47
POWERGRID,EQ,05-Nov-2007,149.10,149.00,155.50,148.10,152.15,152.15,153.13,21843644,33448.51,-,6005421,27.49
POWERGRID,EQ,06-Nov-2007,152.15,154.80,163.90,152.05,155.25,154.15,158.27,46057670,72897.73,-,10827287,23.51
POWERGRID,EQ,07-Nov-2007,154.15,157.00,159.20,148.50,152.00,151.90,153.22,18896147,28953.34,-,3881369,20.54
POWERGRID,EQ,08-Nov-2007,151.90,148.00,153.35,146.00,149.70,149.30,150.23,15744672,23653.15,-,4096339,26.02
POWERGRID,EQ,09-Nov-2007,149.30,155.00,155.00,146.70,147.30,148.70,149.91,4863716,7291.37,-,2342425,48.16
POWERGRID,EQ,12-Nov-2007,148.70,144.80,155.60,140.85,155.30,152.90,147.32,19773981,29130.23,-,5368878,27.15
POWERGRID,EQ,13-Nov-2007,152.90,155.50,159.70,150.55,157.00,156.55,157.23,24654680,38765.42,-,5758083,23.35
POWERGRID,EQ,14-Nov-2007,156.55,159.30,161.50,153.70,154.40,154.50,156.06,20665456,32250.68,-,7992748,38.68
POWERGRID,EQ,15-Nov-2007,154.50,157.40,159.85,154.15,156.95,157.10,157.14,16448771,25847.44,-,7566389,46.00
