Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
POWERMECH,EQ,26-Aug-2015,640.00,600.00,663.00,580.00,585.30,586.55,619.42,3974532,24619.13,102544,994453,25.02
POWERMECH,EQ,27-Aug-2015,586.55,597.00,656.90,595.10,633.70,635.85,633.15,1290003,8167.71,40964,325282,25.22
POWERMECH,EQ,28-Aug-2015,635.85,641.90,651.35,619.10,623.00,623.60,638.01,274983,1754.41,7454,108547,39.47
POWERMECH,EQ,31-Aug-2015,623.60,619.15,625.00,608.50,617.00,614.70,615.06,146561,901.43,4364,90261,61.59
POWERMECH,EQ,01-Sep-2015,614.70,606.00,618.75,583.60,588.50,587.80,600.92,114905,690.49,5284,72914,63.46
POWERMECH,EQ,02-Sep-2015,587.80,598.80,615.00,560.30,606.05,608.40,599.77,86057,516.14,3773,27264,31.68
POWERMECH,EQ,03-Sep-2015,608.40,614.00,618.95,603.00,605.00,610.60,611.43,44136,269.86,1827,19833,44.94
POWERMECH,EQ,04-Sep-2015,610.60,619.80,619.80,591.00,601.95,601.05,598.97,89176,534.13,3872,64235,72.03
POWERMECH,EQ,07-Sep-2015,601.05,603.00,608.00,581.75,584.00,586.30,593.81,21473,127.51,1017,12824,59.72
POWERMECH,EQ,08-Sep-2015,586.30,595.00,599.00,582.35,588.00,589.80,590.49,31816,187.87,1575,21963,69.03
POWERMECH,EQ,09-Sep-2015,589.80,597.90,598.00,581.50,585.00,584.80,589.23,26040,153.43,918,17868,68.62
POWERMECH,EQ,10-Sep-2015,584.80,580.00,584.40,574.00,581.00,580.50,578.77,17927,103.76,992,7006,39.08
POWERMECH,EQ,11-Sep-2015,580.50,585.10,587.40,574.10,575.00,578.45,582.92,21051,122.71,1475,15711,74.63
POWERMECH,EQ,14-Sep-2015,578.45,582.00,592.50,572.00,587.00,586.95,583.13,40046,233.52,1879,18679,46.64
POWERMECH,EQ,15-Sep-2015,586.95,581.05,588.90,581.00,583.50,584.75,584.01,13668,79.82,612,7953,58.19
POWERMECH,EQ,16-Sep-2015,584.75,592.80,592.80,569.60,570.50,570.85,572.58,29892,171.16,1837,21602,72.27
POWERMECH,EQ,18-Sep-2015,570.85,572.00,577.60,565.10,568.00,568.70,572.68,14969,85.73,701,11119,74.28
POWERMECH,EQ,21-Sep-2015,568.70,568.10,589.95,565.00,583.25,580.00,573.08,57477,329.39,2420,47158,82.05
POWERMECH,EQ,22-Sep-2015,580.00,582.00,588.80,573.50,574.00,575.15,582.82,22498,131.12,1208,15979,71.02
POWERMECH,EQ,23-Sep-2015,575.15,575.00,589.00,568.05,588.00,584.80,578.96,13576,78.60,594,9681,71.31
POWERMECH,EQ,24-Sep-2015,584.80,580.10,591.45,577.70,579.00,580.10,584.84,9359,54.73,430,6406,68.45
POWERMECH,EQ,28-Sep-2015,580.10,579.00,581.45,573.00,575.25,574.75,575.69,11661,67.13,548,10734,92.05
POWERMECH,EQ,29-Sep-2015,574.75,572.05,577.00,567.65,575.00,575.60,573.64,17187,98.59,345,13455,78.29
POWERMECH,EQ,30-Sep-2015,575.60,577.00,579.95,575.70,578.45,577.15,577.82,6338,36.62,520,4777,75.37
POWERMECH,EQ,01-Oct-2015,577.15,580.00,625.00,574.70,597.15,601.50,606.94,119940,727.97,6544,73823,61.55
POWERMECH,EQ,05-Oct-2015,601.50,603.10,620.00,596.65,600.25,605.15,609.41,36452,222.14,1627,20636,56.61
POWERMECH,EQ,06-Oct-2015,605.15,604.90,610.00,602.00,604.80,605.20,605.37,14779,89.47,681,10461,70.78
POWERMECH,EQ,07-Oct-2015,605.20,600.30,615.80,600.10,608.00,612.40,607.78,27310,165.98,1679,20284,74.27
POWERMECH,EQ,08-Oct-2015,612.40,606.10,607.60,591.00,592.30,593.35,597.94,11343,67.82,926,6366,56.12
POWERMECH,EQ,09-Oct-2015,593.35,592.20,599.00,581.25,585.00,584.00,590.56,15990,94.43,624,12246,76.59
POWERMECH,EQ,12-Oct-2015,584.00,584.20,598.00,580.00,591.00,590.45,589.27,7860,46.32,662,4686,59.62
POWERMECH,EQ,13-Oct-2015,590.45,585.05,607.85,582.25,604.90,598.60,598.20,52993,317.00,655,11733,22.14
POWERMECH,EQ,14-Oct-2015,598.60,600.00,618.20,595.10,610.55,610.70,608.69,140076,852.63,4633,115945,82.77
POWERMECH,EQ,15-Oct-2015,610.70,605.15,622.85,602.20,606.05,608.30,615.77,25994,160.06,1269,12996,50.00
POWERMECH,EQ,16-Oct-2015,608.30,609.95,622.00,608.35,616.05,618.50,617.04,40475,249.75,1741,23179,57.27
POWERMECH,EQ,19-Oct-2015,618.50,618.45,622.75,611.15,615.75,616.15,617.80,25150,155.38,1300,18540,73.72
POWERMECH,EQ,20-Oct-2015,616.15,620.25,631.00,600.00,604.75,602.80,619.35,66026,408.93,2218,19646,29.75
POWERMECH,EQ,21-Oct-2015,602.80,609.65,622.40,607.05,610.00,611.35,616.35,42130,259.67,1902,12537,29.76
POWERMECH,EQ,23-Oct-2015,611.35,617.70,628.40,611.20,623.00,622.95,622.55,46311,288.31,1859,31353,67.70
POWERMECH,EQ,26-Oct-2015,622.95,620.85,624.00,607.00,612.00,611.05,614.70,7968,48.98,500,4767,59.83
POWERMECH,EQ,27-Oct-2015,611.05,610.05,619.95,602.00,613.20,614.30,612.37,20048,122.77,844,10383,51.79
POWERMECH,EQ,28-Oct-2015,614.30,614.35,619.45,610.00,613.20,613.00,612.63,5675,34.77,417,3071,54.11
POWERMECH,EQ,29-Oct-2015,613.00,613.90,614.50,604.00,606.70,606.15,607.13,16171,98.18,468,9349,57.81
POWERMECH,EQ,30-Oct-2015,606.15,606.25,612.00,583.95,591.50,591.35,597.12,8641,51.60,515,5149,59.59
POWERMECH,EQ,02-Nov-2015,591.35,588.75,598.50,587.00,598.50,593.45,591.73,6720,39.76,348,3203,47.66
POWERMECH,EQ,03-Nov-2015,593.45,593.05,608.75,590.75,604.00,606.55,606.30,14542,88.17,575,7053,48.50
POWERMECH,EQ,04-Nov-2015,606.55,605.05,617.15,605.00,606.50,605.95,611.85,10069,61.61,480,4477,44.46
POWERMECH,EQ,05-Nov-2015,605.95,608.45,611.75,600.00,601.00,603.60,606.12,12247,74.23,365,7635,62.34
POWERMECH,EQ,06-Nov-2015,603.60,595.65,607.45,592.00,599.00,598.95,600.31,7029,42.20,475,2093,29.78
POWERMECH,EQ,09-Nov-2015,598.95,586.00,603.00,581.30,600.00,600.20,595.59,11925,71.02,475,7757,65.05
POWERMECH,EQ,10-Nov-2015,600.20,596.00,629.90,596.00,616.00,617.95,620.14,42949,266.34,1487,27445,63.90
POWERMECH,EQ,11-Nov-2015,617.95,619.70,626.00,614.20,620.00,619.10,621.48,3263,20.28,311,2231,68.37
POWERMECH,EQ,13-Nov-2015,619.10,619.00,619.00,603.90,612.50,609.25,610.93,3348,20.45,225,2020,60.33
POWERMECH,EQ,16-Nov-2015,609.25,610.00,615.00,601.00,602.00,604.30,607.79,24081,146.36,449,16879,70.09
