Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PSUBNKBEES,EQ,01-Nov-2007,263.90,310.00,332.00,250.00,278.00,280.95,293.65,10298,30.24,-,6028,58.54
PSUBNKBEES,EQ,02-Nov-2007,280.95,279.95,298.00,276.00,294.50,295.16,288.42,6084,17.55,-,524,8.61
PSUBNKBEES,EQ,05-Nov-2007,295.16,297.75,307.40,297.75,298.50,299.37,300.80,850,2.56,-,625,73.53
PSUBNKBEES,EQ,06-Nov-2007,299.37,301.00,301.00,293.00,293.00,293.00,295.79,2176,6.44,-,1834,84.28
PSUBNKBEES,EQ,07-Nov-2007,293.00,292.00,299.00,292.00,299.00,299.00,294.12,845,2.49,-,400,47.34
PSUBNKBEES,EQ,08-Nov-2007,299.00,293.00,295.50,287.00,291.00,287.40,292.50,1474,4.31,-,1000,67.84
PSUBNKBEES,EQ,09-Nov-2007,287.40,305.00,305.00,295.00,295.00,297.76,300.30,200,0.60,-,200,100.00
PSUBNKBEES,EQ,12-Nov-2007,297.76,281.00,286.00,279.25,286.00,286.00,282.39,476,1.34,-,176,36.97
PSUBNKBEES,EQ,13-Nov-2007,286.00,288.50,301.00,288.50,301.00,299.99,295.33,4210,12.43,-,1930,45.84
PSUBNKBEES,EQ,14-Nov-2007,299.99,304.50,311.00,304.50,311.00,311.00,308.27,257,0.79,-,232,90.27
PSUBNKBEES,EQ,15-Nov-2007,311.00,312.00,312.00,308.50,308.55,311.90,311.38,842,2.62,-,755,89.67
PSUBNKBEES,EQ,16-Nov-2007,311.90,308.00,310.70,305.50,310.70,309.28,307.89,5392,16.60,-,3881,71.98
PSUBNKBEES,EQ,19-Nov-2007,309.28,315.50,317.45,312.00,313.75,313.75,314.09,3178,9.98,-,2931,92.23
PSUBNKBEES,EQ,20-Nov-2007,313.75,310.00,317.50,305.50,308.00,307.04,311.34,6134,19.10,-,5954,97.07
PSUBNKBEES,EQ,21-Nov-2007,307.04,305.75,305.75,289.00,289.00,289.77,298.74,930,2.78,-,910,97.85
PSUBNKBEES,EQ,22-Nov-2007,289.77,292.50,292.50,288.00,291.00,291.00,289.78,4095,11.87,-,3215,78.51
PSUBNKBEES,EQ,23-Nov-2007,291.00,297.00,297.00,290.00,290.00,290.00,291.33,1014,2.95,-,56,5.52
PSUBNKBEES,EQ,26-Nov-2007,290.00,299.15,299.15,297.00,297.00,297.00,298.56,68,0.20,-,68,100.00
PSUBNKBEES,EQ,27-Nov-2007,297.00,299.00,299.00,297.00,298.00,298.00,297.86,113,0.34,-,113,100.00
PSUBNKBEES,EQ,28-Nov-2007,298.00,301.00,302.95,300.00,300.00,300.00,301.00,2026,6.10,-,52,2.57
PSUBNKBEES,EQ,29-Nov-2007,300.00,302.50,302.50,298.00,298.00,298.00,301.36,211,0.64,-,211,100.00
PSUBNKBEES,EQ,30-Nov-2007,298.00,305.00,305.00,301.00,301.00,301.00,303.40,25,0.08,-,15,60.00
PSUBNKBEES,EQ,03-Dec-2007,301.00,305.00,308.10,305.00,308.00,308.00,307.18,395,1.21,-,395,100.00
PSUBNKBEES,EQ,04-Dec-2007,308.00,310.00,310.00,309.00,309.00,309.00,309.33,30,0.09,-,30,100.00
PSUBNKBEES,EQ,05-Dec-2007,309.00,309.00,315.00,309.00,315.00,313.18,309.80,743,2.30,-,743,100.00
PSUBNKBEES,EQ,06-Dec-2007,313.18,320.00,324.00,320.00,324.00,324.00,322.02,2137,6.88,-,127,5.94
PSUBNKBEES,EQ,07-Dec-2007,324.00,324.00,324.00,318.00,322.00,322.00,321.78,228,0.73,-,209,91.67
PSUBNKBEES,EQ,10-Dec-2007,322.00,322.00,322.00,322.00,322.00,322.00,322.00,20,0.06,-,20,100.00
PSUBNKBEES,EQ,11-Dec-2007,322.00,325.00,329.00,324.50,329.00,329.00,326.16,196,0.64,-,170,86.73
PSUBNKBEES,EQ,12-Dec-2007,329.00,326.00,326.00,325.00,325.00,325.00,325.41,170,0.55,-,165,97.06
PSUBNKBEES,EQ,13-Dec-2007,325.00,330.00,332.00,327.00,327.00,327.00,328.32,315,1.03,-,234,74.29
PSUBNKBEES,EQ,14-Dec-2007,327.00,328.50,328.50,327.50,327.50,327.50,327.56,32,0.10,-,32,100.00
PSUBNKBEES,EQ,17-Dec-2007,327.50,326.50,326.50,315.50,315.50,316.65,320.65,118,0.38,-,118,100.00
PSUBNKBEES,EQ,18-Dec-2007,316.65,323.00,323.00,310.00,311.00,311.00,313.10,185,0.58,-,180,97.30
PSUBNKBEES,EQ,19-Dec-2007,311.00,315.00,315.00,304.00,304.00,304.00,313.65,919,2.88,-,919,100.00
PSUBNKBEES,EQ,20-Dec-2007,304.00,307.50,310.50,306.25,309.00,309.00,308.47,159,0.49,-,109,68.55
PSUBNKBEES,EQ,24-Dec-2007,309.00,310.50,315.00,310.00,315.00,315.00,311.45,353,1.10,-,150,42.49
PSUBNKBEES,EQ,26-Dec-2007,315.00,319.00,323.50,319.00,321.00,321.00,320.44,523,1.68,-,510,97.51
PSUBNKBEES,EQ,27-Dec-2007,321.00,322.50,325.00,319.00,319.00,319.00,323.78,116,0.38,-,76,65.52
PSUBNKBEES,EQ,28-Dec-2007,319.00,319.00,322.00,319.00,322.00,322.00,320.40,936,3.00,-,500,53.42
PSUBNKBEES,EQ,31-Dec-2007,322.00,325.00,325.00,323.00,325.00,325.00,324.88,194,0.63,-,174,89.69
PSUBNKBEES,EQ,01-Jan-2008,325.00,325.00,331.00,325.00,331.00,329.71,327.34,447,1.46,-,337,75.39
PSUBNKBEES,EQ,02-Jan-2008,329.71,335.00,342.00,331.00,341.10,341.82,336.26,1378,4.63,-,326,23.66
PSUBNKBEES,EQ,03-Jan-2008,341.82,344.00,345.00,341.50,343.00,342.97,344.42,16468,56.72,-,15329,93.08
