Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RAJRAYON,EQ,04-Jan-2007,42.80,51.00,55.70,49.10,50.65,50.65,53.15,1121940,596.34,-,149925,13.36
RAJRAYON,EQ,05-Jan-2007,50.65,51.80,55.00,49.20,49.50,49.60,51.31,170116,87.28,-,50953,29.95
RAJRAYON,EQ,08-Jan-2007,49.60,49.60,50.50,48.25,48.70,48.70,49.54,54724,27.11,-,21106,38.57
RAJRAYON,EQ,09-Jan-2007,48.70,48.60,49.50,46.50,46.50,46.90,47.40,121650,57.66,-,97519,80.16
RAJRAYON,EQ,10-Jan-2007,46.90,47.40,50.00,46.00,46.05,46.95,48.21,167250,80.63,-,104312,62.37
RAJRAYON,EQ,11-Jan-2007,46.95,46.50,48.70,46.10,48.45,48.40,47.93,62018,29.73,-,42897,69.17
RAJRAYON,EQ,12-Jan-2007,48.40,49.35,53.40,49.35,50.40,50.45,50.30,979023,492.50,-,678883,69.34
RAJRAYON,EQ,15-Jan-2007,50.45,51.00,57.80,49.10,49.95,50.00,51.57,1315817,678.52,-,442531,33.63
RAJRAYON,EQ,16-Jan-2007,50.00,50.85,59.00,48.75,48.95,49.10,51.16,951012,486.51,-,186400,19.60
RAJRAYON,EQ,17-Jan-2007,49.10,50.45,52.65,49.20,49.50,49.55,50.80,693006,352.07,-,241105,34.79
RAJRAYON,EQ,18-Jan-2007,49.55,50.00,52.65,47.75,48.50,48.15,50.18,388937,195.18,-,110603,28.44
RAJRAYON,EQ,19-Jan-2007,48.15,49.00,49.00,45.75,46.50,46.20,46.85,81658,38.26,-,54949,67.29
RAJRAYON,EQ,22-Jan-2007,46.20,46.50,47.00,45.50,45.90,45.75,46.22,36578,16.91,-,22134,60.51
RAJRAYON,EQ,23-Jan-2007,45.75,45.85,45.85,43.30,43.50,43.60,44.30,61907,27.43,-,43328,69.99
RAJRAYON,EQ,24-Jan-2007,43.60,44.80,45.50,43.80,44.65,44.35,44.41,228120,101.31,-,115584,50.67
RAJRAYON,EQ,25-Jan-2007,44.35,45.20,46.50,42.20,45.15,45.50,45.70,45053,20.59,-,22142,49.15
RAJRAYON,EQ,29-Jan-2007,45.50,45.80,47.90,45.80,46.10,46.15,46.70,45297,21.16,-,17530,38.70
RAJRAYON,EQ,31-Jan-2007,46.15,46.95,54.40,42.50,42.75,43.15,46.13,795266,366.90,-,180373,22.68
RAJRAYON,EQ,01-Feb-2007,43.15,44.00,44.35,42.15,42.50,42.65,43.41,64939,28.19,-,36605,56.37
RAJRAYON,EQ,02-Feb-2007,42.65,43.50,43.90,41.85,41.85,42.10,42.78,38767,16.58,-,27301,70.42
RAJRAYON,EQ,05-Feb-2007,42.10,42.20,44.50,42.20,43.50,43.60,43.54,72867,31.72,-,32478,44.57
RAJRAYON,EQ,06-Feb-2007,43.60,45.60,45.95,42.35,42.45,42.70,43.51,33208,14.45,-,19597,59.01
RAJRAYON,EQ,07-Feb-2007,42.70,43.90,43.90,41.60,42.10,41.85,42.30,38404,16.25,-,21089,54.91
RAJRAYON,EQ,08-Feb-2007,41.85,40.60,42.45,40.00,40.95,40.30,40.81,33299,13.59,-,19391,58.23
RAJRAYON,EQ,09-Feb-2007,40.30,41.75,41.75,37.50,37.65,38.05,38.79,51427,19.95,-,26414,51.36
RAJRAYON,EQ,12-Feb-2007,38.05,38.00,38.00,32.05,34.00,33.75,33.90,91286,30.95,-,45373,49.70
RAJRAYON,EQ,13-Feb-2007,33.75,30.05,35.70,30.05,34.20,33.75,34.61,44562,15.42,-,19340,43.40
RAJRAYON,EQ,14-Feb-2007,33.75,32.65,34.65,32.65,33.95,33.00,33.15,118738,39.36,-,110349,92.93
RAJRAYON,EQ,15-Feb-2007,33.00,34.50,36.40,34.30,36.00,35.95,35.68,34118,12.17,-,21073,61.77
RAJRAYON,EQ,19-Feb-2007,35.95,37.90,37.90,35.95,36.35,36.00,36.47,23521,8.58,-,14521,61.74
RAJRAYON,EQ,20-Feb-2007,36.00,35.15,35.80,33.85,34.25,34.10,34.59,16399,5.67,-,11468,69.93
RAJRAYON,EQ,21-Feb-2007,34.10,34.00,34.50,33.30,33.85,33.70,33.85,12894,4.37,-,7963,61.76
RAJRAYON,EQ,22-Feb-2007,33.70,34.45,34.45,33.15,33.90,33.40,33.84,12166,4.12,-,8027,65.98
RAJRAYON,EQ,23-Feb-2007,33.40,33.30,33.30,29.50,30.00,29.90,30.39,89915,27.33,-,52354,58.23
RAJRAYON,EQ,26-Feb-2007,29.90,30.15,30.75,28.70,29.35,29.10,29.62,30419,9.01,-,20361,66.94
RAJRAYON,EQ,27-Feb-2007,29.10,29.50,29.95,29.00,29.50,29.60,29.40,20260,5.96,-,11865,58.56
RAJRAYON,EQ,28-Feb-2007,29.60,25.50,30.00,25.50,27.80,27.50,27.85,62891,17.51,-,41167,65.46
RAJRAYON,EQ,01-Mar-2007,27.50,28.80,29.50,27.60,28.55,28.10,28.35,36543,10.36,-,20862,57.09
RAJRAYON,EQ,02-Mar-2007,28.10,26.55,28.90,26.55,27.60,27.65,27.80,60431,16.80,-,55085,91.15
RAJRAYON,EQ,05-Mar-2007,27.65,26.00,26.90,24.55,25.00,25.00,25.21,25850,6.52,-,15070,58.30
RAJRAYON,EQ,06-Mar-2007,25.00,25.00,26.65,23.50,23.85,24.20,24.34,31217,7.60,-,16226,51.98
RAJRAYON,EQ,07-Mar-2007,24.20,24.90,25.00,22.70,23.15,22.95,24.01,51425,12.35,-,33819,65.76
RAJRAYON,EQ,08-Mar-2007,22.95,23.25,26.70,22.15,25.50,25.30,24.35,44387,10.81,-,19535,44.01
RAJRAYON,EQ,09-Mar-2007,25.30,26.95,28.50,25.00,27.10,26.80,26.84,37305,10.01,-,15463,41.45
RAJRAYON,EQ,12-Mar-2007,26.80,27.70,29.00,26.55,26.55,26.90,27.74,33948,9.42,-,16870,49.69
RAJRAYON,EQ,13-Mar-2007,26.90,28.00,28.00,26.40,27.00,27.05,27.17,21988,5.98,-,6996,31.82
RAJRAYON,EQ,14-Mar-2007,27.05,26.00,26.50,25.60,26.00,26.00,25.95,11018,2.86,-,7455,67.66
RAJRAYON,EQ,15-Mar-2007,26.00,26.50,28.40,26.05,26.05,26.20,26.81,20350,5.46,-,11337,55.71
RAJRAYON,EQ,16-Mar-2007,26.20,26.00,26.75,25.00,25.35,25.40,25.34,16856,4.27,-,8124,48.20
RAJRAYON,EQ,19-Mar-2007,25.40,26.00,26.00,25.05,25.45,25.35,25.45,44435,11.31,-,41877,94.24
RAJRAYON,EQ,20-Mar-2007,25.35,25.15,25.95,25.10,25.45,25.60,25.74,6747,1.74,-,5210,77.22
RAJRAYON,EQ,21-Mar-2007,25.60,25.95,26.00,24.75,25.00,24.90,25.07,15538,3.89,-,11419,73.49
RAJRAYON,EQ,22-Mar-2007,24.90,25.50,25.85,24.70,24.75,24.90,25.18,12507,3.15,-,8009,64.04
RAJRAYON,EQ,23-Mar-2007,24.90,25.00,25.00,23.75,23.90,23.90,24.18,27501,6.65,-,17941,65.24
RAJRAYON,EQ,26-Mar-2007,23.90,24.90,24.90,23.60,24.00,23.85,23.99,22483,5.39,-,15973,71.04
RAJRAYON,EQ,28-Mar-2007,23.85,23.80,24.00,22.30,22.30,22.60,22.95,56505,12.97,-,35862,63.47
RAJRAYON,EQ,29-Mar-2007,22.60,22.45,23.90,22.45,23.60,23.45,23.39,19646,4.59,-,13407,68.24
RAJRAYON,EQ,30-Mar-2007,23.45,24.15,28.15,23.50,24.55,24.35,24.43,13897,3.39,-,5942,42.76
RAJRAYON,EQ,02-Apr-2007,24.35,24.50,24.50,22.50,23.70,23.40,23.46,9480,2.22,-,6525,68.83
RAJRAYON,EQ,03-Apr-2007,23.40,23.50,23.60,23.20,23.60,23.35,23.39,10295,2.41,-,7489,72.74
RAJRAYON,EQ,04-Apr-2007,23.35,23.60,26.00,23.55,24.90,24.95,24.79,26408,6.55,-,11112,42.08
RAJRAYON,EQ,05-Apr-2007,24.95,24.50,28.00,24.25,27.15,26.80,26.93,49674,13.38,-,22210,44.71
RAJRAYON,EQ,09-Apr-2007,26.80,28.00,32.20,27.25,30.05,30.15,31.33,375238,117.57,-,80537,21.46
RAJRAYON,EQ,10-Apr-2007,30.15,30.00,30.40,27.80,28.00,28.15,28.46,75423,21.46,-,43606,57.82
RAJRAYON,EQ,11-Apr-2007,28.15,28.50,30.00,28.15,28.45,28.50,29.19,63975,18.67,-,30009,46.91
RAJRAYON,EQ,12-Apr-2007,28.50,27.00,28.50,27.00,27.90,27.70,27.83,25114,6.99,-,13096,52.15
RAJRAYON,EQ,13-Apr-2007,27.70,27.50,29.00,27.35,28.00,27.90,28.26,23679,6.69,-,15359,64.86
