Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RAYMOND,EQ,02-Jan-2006,404.40,408.00,409.35,402.00,406.50,407.00,405.18,80272,325.25,-,76591,95.41
RAYMOND,EQ,03-Jan-2006,407.00,409.50,411.80,405.00,405.00,405.25,408.02,25572,104.34,-,16822,65.78
RAYMOND,EQ,04-Jan-2006,405.25,408.00,412.70,405.50,407.00,409.40,408.99,16305,66.69,-,10438,64.02
RAYMOND,EQ,05-Jan-2006,409.40,409.40,411.90,405.35,408.00,409.35,409.09,11343,46.40,-,6276,55.33
RAYMOND,EQ,06-Jan-2006,409.35,413.85,413.90,408.70,412.50,412.70,411.15,16456,67.66,-,9934,60.37
RAYMOND,EQ,09-Jan-2006,412.70,412.20,419.40,410.35,411.25,412.15,414.20,41208,170.68,-,33165,80.48
RAYMOND,EQ,10-Jan-2006,412.15,413.10,417.00,410.00,412.05,412.05,413.83,15539,64.31,-,10909,70.20
RAYMOND,EQ,12-Jan-2006,412.05,403.00,411.90,403.00,405.90,404.90,406.89,8208,33.40,-,5610,68.35
RAYMOND,EQ,13-Jan-2006,404.90,410.00,414.90,400.20,402.00,403.25,407.18,32299,131.52,-,23990,74.27
RAYMOND,EQ,16-Jan-2006,403.25,411.75,411.75,404.00,405.00,405.20,406.06,13917,56.51,-,11110,79.83
RAYMOND,EQ,17-Jan-2006,405.20,409.80,409.80,402.50,406.95,403.75,405.41,29588,119.95,-,22397,75.70
RAYMOND,EQ,18-Jan-2006,403.75,400.55,405.95,395.00,404.55,404.40,402.32,11299,45.46,-,8050,71.25
RAYMOND,EQ,19-Jan-2006,404.40,404.00,408.40,400.00,401.25,404.25,405.68,13947,56.58,-,10386,74.47
RAYMOND,EQ,20-Jan-2006,404.25,406.00,412.00,403.00,412.00,410.25,408.34,44921,183.43,-,38325,85.32
RAYMOND,EQ,23-Jan-2006,410.25,412.80,430.00,404.95,404.95,408.65,415.25,24155,100.30,-,10554,43.69
RAYMOND,EQ,24-Jan-2006,408.65,405.65,417.95,405.65,409.80,409.05,409.02,210393,860.54,-,205980,97.90
RAYMOND,EQ,25-Jan-2006,409.05,419.00,419.00,405.10,410.00,409.85,410.56,29956,122.99,-,23908,79.81
RAYMOND,EQ,27-Jan-2006,409.85,414.95,414.95,405.50,407.65,406.30,407.70,12777,52.09,-,8027,62.82
RAYMOND,EQ,30-Jan-2006,406.30,410.00,410.00,400.05,402.00,401.85,403.81,35510,143.39,-,28767,81.01
RAYMOND,EQ,31-Jan-2006,401.85,405.00,408.00,400.95,403.00,403.50,404.84,78522,317.89,-,74066,94.33
RAYMOND,EQ,01-Feb-2006,403.50,410.00,432.00,405.00,407.00,407.05,415.13,87064,361.43,-,50500,58.00
RAYMOND,EQ,02-Feb-2006,407.05,416.50,416.50,408.00,411.00,410.85,411.97,50453,207.85,-,42304,83.85
RAYMOND,EQ,03-Feb-2006,410.85,415.80,415.80,403.00,405.20,406.65,408.96,20235,82.75,-,13339,65.92
RAYMOND,EQ,06-Feb-2006,406.65,408.50,410.00,405.00,406.00,406.20,406.71,14355,58.38,-,6336,44.14
RAYMOND,EQ,07-Feb-2006,406.20,406.20,414.45,406.20,410.00,410.15,409.32,18105,74.11,-,9729,53.74
RAYMOND,EQ,08-Feb-2006,410.15,411.00,415.50,406.00,406.00,407.80,408.84,82392,336.85,-,63400,76.95
RAYMOND,EQ,10-Feb-2006,407.80,408.00,414.00,375.00,408.00,410.30,410.18,50631,207.68,-,32303,63.80
RAYMOND,EQ,13-Feb-2006,410.30,413.90,425.00,413.90,417.70,417.45,420.04,90511,380.18,-,61121,67.53
RAYMOND,EQ,14-Feb-2006,417.45,420.25,424.90,410.05,410.15,411.05,413.64,352868,1459.59,-,324848,92.06
RAYMOND,EQ,15-Feb-2006,411.05,417.95,419.00,402.50,406.00,410.20,411.94,163406,673.13,-,88627,54.24
RAYMOND,EQ,16-Feb-2006,410.20,406.00,419.00,406.00,418.00,416.00,412.42,240058,990.04,-,203677,84.84
RAYMOND,EQ,17-Feb-2006,416.00,418.00,426.70,414.05,420.25,415.85,419.54,134302,563.45,-,65074,48.45
RAYMOND,EQ,20-Feb-2006,415.85,420.00,425.00,416.50,417.05,418.45,419.27,86435,362.40,-,62182,71.94
RAYMOND,EQ,21-Feb-2006,418.45,421.95,439.00,421.00,430.00,429.65,430.89,260956,1124.43,-,129626,49.67
RAYMOND,EQ,22-Feb-2006,429.65,433.85,456.40,431.00,453.15,449.10,444.47,263274,1170.17,-,125786,47.78
