Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
REDINGTON,EQ,15-Feb-2007,113.00,130.00,174.40,113.00,166.25,163.70,153.70,37494246,57628.17,-,5296481,14.13
REDINGTON,EQ,19-Feb-2007,163.70,170.00,191.30,163.60,168.60,166.55,179.44,12319885,22106.26,-,1032867,8.38
REDINGTON,EQ,20-Feb-2007,166.55,169.00,175.50,159.10,164.50,162.40,166.42,6769066,11264.97,-,414267,6.12
REDINGTON,EQ,21-Feb-2007,162.40,165.00,171.90,162.10,168.35,167.20,167.25,4899541,8194.67,-,354773,7.24
REDINGTON,EQ,22-Feb-2007,167.20,170.00,170.35,163.10,163.25,164.05,165.02,2049078,3381.35,-,450904,22.01
REDINGTON,EQ,23-Feb-2007,164.05,165.00,165.00,134.20,147.00,144.15,144.86,3402788,4929.17,-,513397,15.09
REDINGTON,EQ,26-Feb-2007,144.15,142.00,150.90,138.25,145.00,145.20,145.03,1696927,2461.13,-,125539,7.40
REDINGTON,EQ,27-Feb-2007,145.20,146.00,169.30,141.10,160.10,162.25,159.86,6678108,10675.90,-,317683,4.76
REDINGTON,EQ,28-Feb-2007,162.25,153.70,158.80,138.30,148.95,149.75,152.19,1662896,2530.79,-,197237,11.86
REDINGTON,EQ,01-Mar-2007,149.75,150.90,161.40,147.30,149.80,150.20,153.23,1906388,2921.24,-,246162,12.91
REDINGTON,EQ,02-Mar-2007,150.20,151.85,156.90,144.25,145.30,147.40,152.51,1116007,1702.05,-,171992,15.41
REDINGTON,EQ,05-Mar-2007,147.40,137.00,144.90,125.25,132.50,131.65,134.30,1017232,1366.12,-,144019,14.16
REDINGTON,EQ,06-Mar-2007,131.65,137.70,142.00,123.05,129.00,126.90,133.21,1842145,2453.88,-,360012,19.54
REDINGTON,EQ,07-Mar-2007,126.90,127.05,134.50,118.65,128.20,126.65,126.55,1389196,1757.96,-,183904,13.24
REDINGTON,EQ,08-Mar-2007,126.65,131.20,134.25,118.65,133.25,132.30,127.48,1435407,1829.88,-,97404,6.79
REDINGTON,EQ,09-Mar-2007,132.30,134.00,134.80,125.60,129.00,129.55,129.07,599080,773.22,-,83266,13.90
REDINGTON,EQ,12-Mar-2007,129.55,129.00,147.70,127.50,141.00,142.20,140.51,1555452,2185.57,-,128420,8.26
REDINGTON,EQ,13-Mar-2007,142.20,141.00,148.40,138.75,143.55,144.10,144.72,949583,1374.23,-,112936,11.89
REDINGTON,EQ,14-Mar-2007,144.10,130.50,136.50,128.90,133.00,133.60,134.32,439539,590.40,-,75180,17.10
REDINGTON,EQ,15-Mar-2007,133.60,134.00,144.50,134.00,137.00,136.70,141.06,516732,728.91,-,76639,14.83
REDINGTON,EQ,16-Mar-2007,136.70,138.80,147.90,137.90,140.80,140.65,143.01,1066751,1525.54,-,91901,8.62
REDINGTON,EQ,19-Mar-2007,140.65,142.90,145.50,139.50,141.50,140.70,142.24,213725,304.01,-,26841,12.56
REDINGTON,EQ,20-Mar-2007,140.70,141.50,150.50,139.00,140.00,141.00,146.26,1263132,1847.44,-,126032,9.98
REDINGTON,EQ,21-Mar-2007,141.00,142.05,143.50,139.55,140.00,140.45,141.30,235743,333.10,-,34321,14.56
REDINGTON,EQ,22-Mar-2007,140.45,141.60,145.00,141.05,141.40,141.50,143.04,289421,413.98,-,42584,14.71
REDINGTON,EQ,23-Mar-2007,141.50,144.00,144.00,130.30,137.60,137.50,138.91,299282,415.74,-,40137,13.41
REDINGTON,EQ,26-Mar-2007,137.50,138.95,140.70,134.20,134.60,134.65,137.50,153278,210.76,-,34792,22.70
REDINGTON,EQ,28-Mar-2007,134.65,130.00,137.00,130.00,136.95,135.40,133.57,203015,271.16,-,60465,29.78
REDINGTON,EQ,29-Mar-2007,135.40,137.00,138.75,132.00,135.50,135.20,134.51,112443,151.24,-,41217,36.66
REDINGTON,EQ,30-Mar-2007,135.20,135.20,139.90,135.10,136.25,137.00,137.49,206412,283.79,-,103220,50.01
REDINGTON,EQ,02-Apr-2007,137.00,128.00,135.00,128.00,132.00,131.65,132.13,58271,76.99,-,26819,46.02
REDINGTON,EQ,03-Apr-2007,131.65,132.50,137.50,132.00,135.15,135.25,135.94,272045,369.81,-,32612,11.99
REDINGTON,EQ,04-Apr-2007,135.25,137.00,138.45,135.00,135.05,135.05,136.05,53932,73.37,-,19315,35.81
REDINGTON,EQ,05-Apr-2007,135.05,131.00,141.90,131.00,139.50,139.25,138.56,196782,272.65,-,52706,26.78
REDINGTON,EQ,09-Apr-2007,139.25,139.25,143.00,139.25,140.15,140.00,141.10,72993,102.99,-,21414,29.34
REDINGTON,EQ,10-Apr-2007,140.00,140.15,141.80,136.10,139.50,137.65,139.08,54980,76.47,-,12427,22.60
REDINGTON,EQ,11-Apr-2007,137.65,138.20,143.40,137.10,138.10,137.75,140.23,133545,187.27,-,23988,17.96
