Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RML,EQ,02-Jan-2006,100.75,101.00,101.00,100.00,100.05,100.95,100.66,4569,4.60,-,4495,98.38
RML,EQ,03-Jan-2006,100.95,100.00,100.00,98.00,98.00,98.00,98.71,3440,3.40,-,3282,95.41
RML,EQ,04-Jan-2006,98.00,98.95,99.00,97.00,97.00,97.40,97.66,3754,3.67,-,3227,85.96
RML,EQ,05-Jan-2006,97.40,97.10,98.40,96.10,96.10,96.75,97.41,3475,3.39,-,3300,94.96
RML,EQ,06-Jan-2006,96.75,96.95,101.00,96.95,100.65,100.45,99.01,3003,2.97,-,2925,97.40
RML,EQ,09-Jan-2006,100.45,102.00,102.00,98.30,99.65,99.65,99.64,5210,5.19,-,4120,79.08
RML,EQ,10-Jan-2006,99.65,98.50,101.90,98.50,101.90,101.80,100.69,5848,5.89,-,5627,96.22
RML,EQ,12-Jan-2006,101.80,100.50,101.70,100.00,101.70,100.45,100.49,3380,3.40,-,2580,76.33
RML,EQ,13-Jan-2006,100.45,101.90,101.90,99.00,99.50,99.45,100.01,4260,4.26,-,3035,71.24
RML,EQ,16-Jan-2006,99.45,100.50,100.50,98.90,100.00,99.55,99.32,3230,3.21,-,2600,80.50
RML,EQ,17-Jan-2006,99.55,103.00,103.00,99.05,99.05,99.90,101.16,6050,6.12,-,4200,69.42
RML,EQ,18-Jan-2006,99.90,99.00,99.80,96.55,97.00,97.00,97.47,2170,2.12,-,1960,90.32
RML,EQ,19-Jan-2006,97.00,101.40,101.40,98.25,98.25,98.70,99.51,1750,1.74,-,1615,92.29
RML,EQ,20-Jan-2006,98.70,97.05,99.80,97.05,99.80,99.00,98.67,3150,3.11,-,2925,92.86
RML,EQ,23-Jan-2006,99.00,91.00,101.00,91.00,99.00,99.35,98.80,2905,2.87,-,2604,89.64
RML,EQ,24-Jan-2006,99.35,99.95,107.50,99.95,104.25,104.30,104.77,42194,44.21,-,26537,62.89
RML,EQ,25-Jan-2006,104.30,105.00,110.00,104.00,107.00,107.15,108.25,37891,41.02,-,31062,81.98
RML,EQ,27-Jan-2006,107.15,108.00,110.80,107.40,109.00,109.85,109.43,22132,24.22,-,13574,61.33
RML,EQ,30-Jan-2006,109.85,108.95,109.50,107.60,109.50,109.15,108.74,18766,20.41,-,16550,88.19
RML,EQ,31-Jan-2006,109.15,108.10,112.00,108.10,109.35,108.75,109.74,27053,29.69,-,22229,82.17
RML,EQ,01-Feb-2006,108.75,110.00,111.50,108.35,110.40,110.30,110.23,24733,27.26,-,21700,87.74
RML,EQ,02-Feb-2006,110.30,105.00,110.90,105.00,109.00,109.00,109.34,10999,12.03,-,9709,88.27
RML,EQ,03-Feb-2006,109.00,109.75,109.75,108.50,109.00,108.70,108.69,4164,4.53,-,4164,100.00
RML,EQ,06-Feb-2006,108.70,108.95,108.95,107.00,107.90,108.00,108.10,6424,6.94,-,6384,99.38
RML,EQ,07-Feb-2006,108.00,109.40,109.50,104.20,106.25,104.75,105.61,15460,16.33,-,14310,92.56
RML,EQ,08-Feb-2006,104.75,105.00,105.00,101.00,103.10,103.55,103.90,3364,3.50,-,1850,54.99
RML,EQ,10-Feb-2006,103.55,102.00,104.70,101.70,103.75,102.55,102.67,2296,2.36,-,1646,71.69
RML,EQ,13-Feb-2006,102.55,103.00,104.00,101.25,101.25,102.00,102.16,3862,3.95,-,3693,95.62
