Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RAJASSPG,EQ,02-Jan-2006,123.65,126.40,129.10,125.50,126.40,126.10,126.81,24916,31.60,-,18181,72.97
RAJASSPG,EQ,03-Jan-2006,126.10,126.75,132.40,126.75,130.40,130.00,129.78,62507,81.12,-,32924,52.67
RAJASSPG,EQ,04-Jan-2006,130.00,130.00,132.90,117.00,129.50,129.20,128.56,36439,46.85,-,26634,73.09
RAJASSPG,EQ,05-Jan-2006,129.20,133.55,140.00,130.50,131.10,131.50,134.30,131019,175.95,-,74188,56.62
RAJASSPG,EQ,06-Jan-2006,131.50,131.90,132.70,128.00,128.05,128.85,129.54,38485,49.85,-,28571,74.24
RAJASSPG,EQ,09-Jan-2006,128.85,129.50,130.00,119.10,119.95,122.05,124.60,115619,144.06,-,91686,79.30
RAJASSPG,EQ,10-Jan-2006,122.05,121.00,126.00,119.50,119.80,120.30,122.40,84832,103.83,-,55645,65.59
RAJASSPG,EQ,12-Jan-2006,120.30,120.00,125.45,120.00,122.60,122.85,123.04,206269,253.80,-,152981,74.17
RAJASSPG,EQ,13-Jan-2006,122.85,126.00,126.00,123.60,124.25,123.90,124.33,51559,64.10,-,42885,83.18
RAJASSPG,EQ,16-Jan-2006,123.90,124.90,126.00,123.00,123.00,123.20,124.00,48287,59.88,-,29923,61.97
RAJASSPG,EQ,17-Jan-2006,123.20,123.90,124.50,122.00,123.00,122.50,123.37,32946,40.65,-,24352,73.91
RAJASSPG,EQ,18-Jan-2006,122.50,121.10,122.00,119.10,120.00,120.00,120.55,44869,54.09,-,39134,87.22
RAJASSPG,EQ,19-Jan-2006,120.00,123.70,123.70,121.05,123.50,122.55,122.60,22847,28.01,-,16678,73.00
RAJASSPG,EQ,20-Jan-2006,122.55,124.90,125.00,121.10,121.75,121.70,122.26,24056,29.41,-,17965,74.68
RAJASSPG,EQ,23-Jan-2006,121.70,121.10,122.70,118.60,119.80,119.75,120.88,50979,61.63,-,40969,80.36
RAJASSPG,EQ,24-Jan-2006,119.75,122.90,126.00,120.40,121.20,122.15,122.81,64622,79.37,-,43255,66.94
RAJASSPG,EQ,25-Jan-2006,122.15,127.00,127.00,117.60,122.00,120.10,119.74,69084,82.72,-,46872,67.85
RAJASSPG,EQ,27-Jan-2006,120.10,118.50,123.45,118.50,120.20,120.60,121.05,26430,31.99,-,15928,60.26
RAJASSPG,EQ,30-Jan-2006,120.60,123.80,123.80,118.40,118.55,119.40,120.79,54276,65.56,-,34087,62.80
RAJASSPG,EQ,31-Jan-2006,119.40,120.00,120.95,115.50,116.50,116.10,117.20,27152,31.82,-,21844,80.45
RAJASSPG,EQ,01-Feb-2006,116.10,117.00,119.90,115.05,115.50,115.90,117.44,39324,46.18,-,28946,73.61
RAJASSPG,EQ,02-Feb-2006,115.90,115.50,117.00,112.55,113.90,113.40,114.00,21192,24.16,-,15403,72.68
RAJASSPG,EQ,03-Feb-2006,113.40,112.30,115.35,111.00,112.40,111.95,112.47,15893,17.88,-,10723,67.47
RAJASSPG,EQ,06-Feb-2006,111.95,112.95,113.50,109.15,109.15,109.65,110.41,31726,35.03,-,23492,74.05
RAJASSPG,EQ,07-Feb-2006,109.65,110.00,112.40,108.25,109.05,108.95,109.86,27995,30.75,-,20939,74.80
RAJASSPG,EQ,08-Feb-2006,108.95,110.00,114.95,108.50,112.55,112.75,112.16,23656,26.53,-,11126,47.03
RAJASSPG,EQ,10-Feb-2006,112.75,113.95,115.00,112.00,115.00,114.55,113.67,9375,10.66,-,5657,60.34
RAJASSPG,EQ,13-Feb-2006,114.55,114.90,118.90,113.05,118.90,118.15,116.95,16993,19.87,-,10704,62.99
RAJASSPG,EQ,14-Feb-2006,118.15,119.00,120.50,118.50,119.00,119.10,119.34,22432,26.77,-,16322,72.76
RAJASSPG,EQ,15-Feb-2006,119.10,120.00,120.90,117.55,118.60,118.65,118.44,18146,21.49,-,13605,74.98
RAJASSPG,EQ,16-Feb-2006,118.65,119.20,119.50,117.00,119.00,118.85,118.93,17730,21.09,-,15701,88.56
RAJASSPG,EQ,17-Feb-2006,118.85,119.00,119.50,116.50,117.00,117.10,117.36,18005,21.13,-,14471,80.37
RAJASSPG,EQ,20-Feb-2006,117.10,118.85,118.90,116.00,118.00,117.95,116.90,11786,13.78,-,9717,82.45
RAJASSPG,EQ,21-Feb-2006,117.95,119.00,119.00,116.55,118.00,118.15,117.85,10431,12.29,-,8981,86.10
RAJASSPG,EQ,22-Feb-2006,118.15,117.70,117.70,115.60,116.50,116.45,116.53,22318,26.01,-,20182,90.43
RAJASSPG,EQ,23-Feb-2006,116.45,114.40,119.85,114.05,118.90,117.80,117.63,28297,33.29,-,23242,82.14
RAJASSPG,EQ,24-Feb-2006,117.80,118.00,120.85,118.00,119.60,119.70,119.63,25125,30.06,-,18502,73.64
RAJASSPG,EQ,27-Feb-2006,119.70,119.00,124.50,119.00,124.40,123.70,122.92,29990,36.86,-,19123,63.76
RAJASSPG,EQ,28-Feb-2006,123.70,125.50,129.90,122.00,125.00,126.10,126.34,123183,155.63,-,65660,53.30
RAJASSPG,EQ,01-Mar-2006,126.10,125.40,128.00,125.10,125.60,126.15,126.64,79498,100.68,-,46189,58.10
RAJASSPG,EQ,02-Mar-2006,126.15,127.50,127.50,125.10,125.15,125.70,126.07,57244,72.17,-,46593,81.39
RAJASSPG,EQ,03-Mar-2006,125.70,126.90,126.90,124.00,125.00,124.75,125.19,62614,78.39,-,56557,90.33
