Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SABEVENTS,BE,15-Sep-2016,403.00,100.80,101.00,95.80,95.80,95.80,96.50,2900,2.80,53,-,-
SABEVENTS,BE,16-Sep-2016,95.80,91.05,91.05,91.05,91.05,91.05,91.05,13094,11.92,6,-,-
SABEVENTS,BE,19-Sep-2016,91.05,86.50,86.50,86.50,86.50,86.50,86.50,116,0.10,4,-,-
SABEVENTS,BE,20-Sep-2016,86.50,82.20,82.20,82.20,82.20,82.20,82.20,117,0.10,8,-,-
SABEVENTS,BE,21-Sep-2016,82.20,78.10,78.10,78.10,78.10,78.10,78.10,142,0.11,6,-,-
SABEVENTS,BE,22-Sep-2016,78.10,74.20,74.20,74.20,74.20,74.20,74.20,116,0.09,9,-,-
SABEVENTS,BE,23-Sep-2016,74.20,70.50,70.50,70.50,70.50,70.50,70.50,77,0.05,6,-,-
SABEVENTS,BE,26-Sep-2016,70.50,67.00,67.00,67.00,67.00,67.00,67.00,49,0.03,7,-,-
SABEVENTS,BE,27-Sep-2016,67.00,63.65,63.65,63.65,63.65,63.65,63.65,422,0.27,13,-,-
SABEVENTS,BE,28-Sep-2016,63.65,60.50,60.50,60.50,60.50,60.50,60.50,331,0.20,9,-,-
SABEVENTS,EQ,29-Sep-2016,60.50,54.45,54.45,54.45,54.45,54.45,54.45,2036,1.11,18,2036,100.00
SABEVENTS,EQ,30-Sep-2016,54.45,49.05,50.00,49.05,49.05,49.05,49.58,7654,3.80,64,6732,87.95
SABEVENTS,EQ,03-Oct-2016,49.05,44.20,53.95,44.20,53.90,53.90,51.22,1167,0.60,29,837,71.72
SABEVENTS,EQ,04-Oct-2016,53.90,49.05,58.00,49.05,53.75,53.75,55.18,1821,1.00,64,1171,64.31
SABEVENTS,EQ,05-Oct-2016,53.75,54.00,54.00,52.00,52.00,52.30,52.40,2644,1.39,49,1074,40.62
SABEVENTS,EQ,06-Oct-2016,52.30,51.00,54.00,51.00,54.00,51.65,51.43,477,0.25,29,443,92.87
SABEVENTS,EQ,07-Oct-2016,51.65,51.00,52.50,51.00,51.10,51.65,51.79,5423,2.81,179,104,1.92
SABEVENTS,EQ,10-Oct-2016,51.65,52.50,54.85,49.50,50.55,50.05,50.60,2872,1.45,31,2695,93.84
SABEVENTS,EQ,13-Oct-2016,50.05,51.05,53.70,50.50,53.00,52.15,51.42,286,0.15,38,185,64.69
SABEVENTS,EQ,14-Oct-2016,52.15,54.70,54.70,47.40,53.90,53.00,52.57,5307,2.79,126,165,3.11
SABEVENTS,EQ,17-Oct-2016,53.00,51.00,52.10,50.80,50.80,51.15,51.31,6501,3.34,127,780,12.00
SABEVENTS,EQ,18-Oct-2016,51.15,52.50,54.00,52.05,54.00,54.00,53.26,6437,3.43,130,1021,15.86
SABEVENTS,EQ,19-Oct-2016,54.00,54.00,54.00,51.00,53.80,52.85,52.58,5511,2.90,134,356,6.46
SABEVENTS,EQ,20-Oct-2016,52.85,54.50,54.50,52.50,53.65,52.65,53.20,5979,3.18,128,821,13.73
SABEVENTS,EQ,21-Oct-2016,52.65,53.00,53.00,51.00,51.05,52.00,52.53,5676,2.98,118,601,10.59
SABEVENTS,EQ,24-Oct-2016,52.00,52.00,53.00,51.00,52.50,52.35,51.92,9248,4.80,127,1109,11.99
SABEVENTS,EQ,25-Oct-2016,52.35,53.00,53.95,52.10,53.50,52.90,52.90,7593,4.02,118,132,1.74
SABEVENTS,EQ,26-Oct-2016,52.90,53.00,53.95,51.00,51.15,51.15,52.61,5292,2.78,64,204,3.85
SABEVENTS,EQ,27-Oct-2016,51.15,51.50,54.40,51.00,51.00,51.00,52.17,5348,2.79,72,242,4.53
SABEVENTS,EQ,28-Oct-2016,51.00,52.00,53.90,51.20,53.70,53.70,52.94,9123,4.83,53,4080,44.72
SABEVENTS,EQ,30-Oct-2016,53.70,53.50,53.50,52.00,52.00,52.00,52.14,1100,0.57,12,0,0.00
SABEVENTS,EQ,01-Nov-2016,52.00,53.00,55.00,51.60,52.00,52.00,52.75,5626,2.97,48,545,9.69
SABEVENTS,EQ,02-Nov-2016,52.00,52.00,52.10,50.15,51.25,51.25,51.36,5037,2.59,47,16,0.32
SABEVENTS,EQ,03-Nov-2016,51.25,52.00,52.05,50.10,50.10,50.20,51.72,5708,2.95,55,599,10.49
