Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SAREGAMA,EQ,02-Jan-2006,227.20,228.20,242.50,221.50,239.25,237.75,236.56,381638,902.82,-,136466,35.76
SAREGAMA,EQ,03-Jan-2006,237.75,241.70,251.90,238.60,241.00,242.70,245.58,380314,933.98,-,151984,39.96
SAREGAMA,EQ,04-Jan-2006,242.70,241.50,244.95,236.00,237.60,237.65,239.68,119700,286.90,-,45154,37.72
SAREGAMA,EQ,05-Jan-2006,237.65,240.10,241.00,232.25,233.10,234.05,236.51,81215,192.08,-,35898,44.20
SAREGAMA,EQ,06-Jan-2006,234.05,234.10,235.80,225.05,228.00,228.10,230.10,85817,197.47,-,40495,47.19
SAREGAMA,EQ,09-Jan-2006,228.10,235.00,247.70,229.15,241.00,241.20,239.45,208026,498.13,-,92224,44.33
SAREGAMA,EQ,10-Jan-2006,241.20,240.00,252.00,236.00,243.00,244.00,245.31,293592,720.21,-,65412,22.28
SAREGAMA,EQ,12-Jan-2006,244.00,240.00,282.00,237.00,281.40,276.45,263.06,706221,1857.80,-,193031,27.33
SAREGAMA,EQ,13-Jan-2006,276.45,287.00,294.00,268.35,271.10,272.15,283.75,509762,1446.44,-,136563,26.79
SAREGAMA,EQ,16-Jan-2006,272.15,272.70,276.75,262.65,263.40,263.70,269.21,106725,287.31,-,45647,42.77
SAREGAMA,EQ,17-Jan-2006,263.70,264.00,289.45,262.00,275.45,275.05,279.75,481430,1346.79,-,131943,27.41
SAREGAMA,EQ,18-Jan-2006,275.05,277.50,277.50,265.10,269.00,270.00,270.04,134888,364.25,-,49768,36.90
SAREGAMA,EQ,19-Jan-2006,270.00,272.45,324.00,271.10,324.00,324.00,308.10,964667,2972.15,-,253560,26.28
SAREGAMA,EQ,20-Jan-2006,324.00,330.00,372.00,330.00,331.50,334.70,349.51,1426490,4985.68,-,268608,18.83
SAREGAMA,EQ,23-Jan-2006,334.70,330.00,342.00,308.65,317.85,314.40,327.37,682253,2233.47,-,173135,25.38
SAREGAMA,EQ,24-Jan-2006,314.40,319.00,345.85,319.00,345.85,345.85,335.85,669315,2247.92,-,158554,23.69
SAREGAMA,EQ,25-Jan-2006,345.85,350.00,362.00,321.20,327.40,325.00,345.53,668311,2309.24,-,158932,23.78
SAREGAMA,EQ,27-Jan-2006,325.00,340.00,346.40,328.00,335.95,333.75,336.45,403549,1357.75,-,60090,14.89
SAREGAMA,EQ,30-Jan-2006,333.75,337.40,339.95,320.25,324.25,323.00,327.11,284883,931.89,-,85032,29.85
SAREGAMA,EQ,31-Jan-2006,323.00,324.40,341.70,323.00,332.00,330.70,332.74,340383,1132.58,-,76532,22.48
SAREGAMA,EQ,01-Feb-2006,330.70,333.00,336.65,315.00,319.25,318.70,326.67,215353,703.49,-,71006,32.97
SAREGAMA,EQ,02-Feb-2006,318.70,316.20,342.00,316.20,331.00,329.70,330.89,358758,1187.09,-,109567,30.54
SAREGAMA,EQ,03-Feb-2006,329.70,336.60,336.60,307.00,323.55,322.55,323.87,120470,390.17,-,35826,29.74
SAREGAMA,EQ,06-Feb-2006,322.55,325.75,332.00,318.50,322.55,322.90,325.29,118971,387.00,-,24959,20.98
SAREGAMA,EQ,07-Feb-2006,322.90,330.00,330.00,314.00,321.00,320.00,320.30,78726,252.16,-,20816,26.44
SAREGAMA,EQ,08-Feb-2006,320.00,321.00,325.90,314.00,316.90,316.70,319.06,114138,364.17,-,47235,41.38
SAREGAMA,EQ,10-Feb-2006,316.70,320.00,320.00,309.00,312.00,313.25,314.63,89784,282.48,-,36998,41.21
SAREGAMA,EQ,13-Feb-2006,313.25,315.25,339.40,315.00,332.65,332.70,330.61,378632,1251.81,-,135626,35.82
SAREGAMA,EQ,14-Feb-2006,332.70,339.00,357.00,320.10,335.50,333.80,343.55,589884,2026.52,-,102943,17.45
