Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SBIN,EQ,02-Jan-2006,908.15,912.50,917.75,902.15,903.50,904.90,910.01,2004095,18237.45,-,423706,21.14
SBIN,EQ,03-Jan-2006,904.90,908.10,915.00,906.00,913.00,912.05,911.45,1647614,15017.11,-,416976,25.31
SBIN,EQ,04-Jan-2006,912.05,915.70,923.00,915.70,917.10,917.90,919.27,1832406,16844.83,-,485287,26.48
SBIN,EQ,05-Jan-2006,917.90,921.60,945.45,919.20,940.60,941.30,934.81,4017009,37551.44,-,992635,24.71
SBIN,EQ,06-Jan-2006,941.30,941.00,950.00,931.15,940.00,940.15,941.26,2249976,21178.17,-,298402,13.26
SBIN,EQ,09-Jan-2006,940.15,947.70,947.70,922.00,924.00,926.95,931.67,2167347,20192.47,-,488075,22.52
SBIN,EQ,10-Jan-2006,926.95,924.00,933.80,908.15,912.50,911.10,921.93,2623900,24190.51,-,444792,16.95
SBIN,EQ,12-Jan-2006,911.10,911.00,935.90,904.00,933.00,932.95,924.09,3164552,29243.26,-,1010262,31.92
SBIN,IL,12-Jan-2006,1007.25,1015.00,1015.00,1015.00,0.00,1015.00,1015.00,1271794,12908.71,-,1271794,100.00
SBIN,EQ,13-Jan-2006,932.95,935.00,937.90,921.05,923.35,923.80,928.88,1994441,18525.97,-,421795,21.15
SBIN,EQ,16-Jan-2006,923.80,926.00,929.40,904.00,915.70,917.40,922.04,2280802,21029.91,-,416362,18.26
SBIN,IL,16-Jan-2006,1015.00,1002.00,1002.00,1002.00,0.00,1002.00,1002.00,229,2.29,-,229,100.00
SBIN,EQ,17-Jan-2006,917.40,916.00,927.00,905.50,912.00,907.85,916.33,1636963,14999.97,-,348916,21.31
SBIN,EQ,18-Jan-2006,907.85,906.00,906.00,882.60,894.95,893.00,892.50,2510899,22409.87,-,547254,21.80
SBIN,EQ,19-Jan-2006,893.00,900.00,915.00,900.00,914.10,907.80,905.89,1918418,17378.85,-,600879,31.32
SBIN,EQ,20-Jan-2006,907.80,912.50,916.70,902.55,905.10,906.85,910.34,1871767,17039.41,-,462027,24.68
SBIN,EQ,23-Jan-2006,906.85,906.65,914.60,897.15,900.05,902.55,906.21,1340541,12148.17,-,340184,25.38
SBIN,EQ,24-Jan-2006,902.55,905.00,916.50,900.10,900.15,901.95,907.58,2286477,20751.63,-,644611,28.19
SBIN,EQ,25-Jan-2006,901.95,906.00,910.00,880.35,884.00,885.20,894.51,3767387,33699.49,-,1231812,32.70
SBIN,EQ,27-Jan-2006,885.20,900.00,919.00,895.00,913.50,913.75,910.89,2170131,19767.51,-,732804,33.77
SBIN,IL,27-Jan-2006,1002.00,1007.00,1007.00,1007.00,0.00,1007.00,1007.00,7852,79.07,-,7852,100.00
SBIN,EQ,30-Jan-2006,913.75,905.00,911.75,881.25,885.00,883.75,888.54,3219925,28610.41,-,1102870,34.25
SBIN,EQ,31-Jan-2006,883.75,890.00,895.00,878.65,887.25,886.35,885.98,2397735,21243.46,-,429092,17.90
SBIN,EQ,01-Feb-2006,886.35,889.00,891.50,866.00,868.60,869.25,878.04,2223458,19522.79,-,447871,20.14
SBIN,EQ,02-Feb-2006,869.25,885.00,885.00,860.50,866.90,865.00,866.57,2871139,24880.35,-,884080,30.79
SBIN,EQ,03-Feb-2006,865.00,870.00,874.70,854.50,856.70,857.20,865.69,1907779,16515.36,-,311331,16.32
SBIN,EQ,06-Feb-2006,857.20,856.00,875.00,856.00,868.10,865.45,866.15,1923314,16658.85,-,401930,20.90
SBIN,EQ,07-Feb-2006,865.45,871.90,880.40,867.00,876.00,875.30,875.02,1884333,16488.37,-,258230,13.70
SBIN,EQ,08-Feb-2006,875.30,877.00,882.50,867.15,879.35,878.90,874.76,1431299,12520.42,-,188389,13.16
SBIN,EQ,10-Feb-2006,878.90,882.00,889.35,875.50,878.15,879.90,882.86,1573826,13894.71,-,372837,23.69
SBIN,IL,10-Feb-2006,1007.00,974.00,974.00,974.00,0.00,974.00,974.00,1013784,9874.26,-,1013784,100.00
SBIN,EQ,13-Feb-2006,879.90,887.90,889.40,881.85,883.55,884.15,885.23,874007,7737.01,-,190647,21.81
SBIN,EQ,14-Feb-2006,884.15,884.00,889.00,867.00,869.95,869.00,876.63,1498721,13138.23,-,366277,24.44
SBIN,EQ,15-Feb-2006,869.00,873.00,875.80,862.10,863.05,867.40,867.51,1234048,10705.53,-,195174,15.82
SBIN,IL,15-Feb-2006,974.00,954.50,954.50,954.50,0.00,954.50,954.50,74000,706.33,-,74000,100.00
SBIN,EQ,16-Feb-2006,867.40,888.10,888.10,866.55,869.00,868.20,872.28,1031311,8995.87,-,136667,13.25
SBIN,EQ,17-Feb-2006,868.20,873.40,873.45,855.65,859.50,857.75,862.85,1308986,11294.61,-,357313,27.30
SBIN,EQ,20-Feb-2006,857.75,859.10,867.40,857.00,865.90,864.60,861.79,1326260,11429.58,-,251353,18.95
SBIN,EQ,21-Feb-2006,864.60,867.00,874.00,865.10,868.00,868.45,869.65,1052085,9149.43,-,190725,18.13
SBIN,EQ,22-Feb-2006,868.45,870.00,878.40,865.25,868.00,867.20,870.64,1167478,10164.48,-,241436,20.68
SBIN,EQ,23-Feb-2006,867.20,870.95,871.90,848.15,856.60,852.00,856.58,2963776,25387.22,-,977002,32.96
SBIN,EQ,24-Feb-2006,852.00,856.00,878.70,856.00,876.90,875.95,870.95,2298851,20021.94,-,458986,19.97
SBIN,EQ,27-Feb-2006,875.95,880.00,893.80,876.00,889.40,891.25,886.51,1717844,15228.88,-,547693,31.88
SBIN,EQ,28-Feb-2006,891.25,895.00,898.10,871.20,877.90,877.50,885.95,3009964,26666.81,-,457327,15.19
SBIN,EQ,01-Mar-2006,877.50,878.10,888.05,873.20,880.15,881.20,880.00,1546930,13613.00,-,284764,18.41
SBIN,EQ,02-Mar-2006,881.20,884.95,904.00,882.00,892.00,894.65,896.61,2582521,23155.20,-,508143,19.68
SBIN,EQ,03-Mar-2006,894.65,897.00,908.10,892.10,896.05,895.10,900.45,1611692,14512.50,-,243375,15.10
SBIN,EQ,06-Mar-2006,895.10,899.75,905.90,895.00,897.00,896.50,900.63,949004,8547.05,-,233806,24.64
SBIN,EQ,07-Mar-2006,896.50,900.00,908.90,881.60,903.70,904.15,898.51,2634949,23675.16,-,517197,19.63
SBIN,EQ,08-Mar-2006,904.15,916.00,919.90,885.00,887.35,888.65,903.85,2518883,22766.91,-,570987,22.67
SBIN,EQ,09-Mar-2006,888.65,888.90,907.50,876.65,905.90,905.90,893.61,2425893,21678.12,-,470070,19.38
SBIN,EQ,10-Mar-2006,905.90,911.70,929.15,909.40,919.00,920.35,921.30,2981901,27472.36,-,632883,21.22
