Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SERVALL,EQ,12-May-2011,29.00,29.00,48.70,17.70,18.20,19.05,34.80,147017375,51165.27,-,7991359,5.44
SERVALL,EQ,13-May-2011,19.05,18.40,19.95,17.25,18.45,18.40,18.59,12121176,2252.85,-,3390505,27.97
SERVALL,EQ,16-May-2011,18.40,18.10,19.40,17.80,18.00,17.95,18.52,2911815,539.23,-,839058,28.82
SERVALL,EQ,17-May-2011,17.95,18.05,18.40,16.05,16.45,16.40,17.05,1796689,306.37,-,473645,26.36
SERVALL,EQ,18-May-2011,16.40,16.50,16.60,14.45,14.65,14.75,15.29,2255085,344.81,-,488217,21.65
SERVALL,EQ,19-May-2011,14.75,14.75,14.75,13.60,14.10,13.90,14.09,2154858,303.60,-,574117,26.64
SERVALL,EQ,20-May-2011,13.90,13.60,13.85,13.10,13.15,13.20,13.38,1090493,145.92,-,310538,28.48
SERVALL,EQ,23-May-2011,13.20,13.00,13.00,11.60,11.65,11.80,12.16,933822,113.54,-,333010,35.66
SERVALL,EQ,24-May-2011,11.80,11.60,12.35,11.25,11.70,11.80,11.85,1334312,158.15,-,309723,23.21
SERVALL,EQ,25-May-2011,11.80,11.80,11.80,11.25,11.30,11.35,11.48,478356,54.92,-,155802,32.57
SERVALL,EQ,26-May-2011,11.35,11.30,11.85,11.30,11.40,11.45,11.52,324183,37.35,-,110176,33.99
SERVALL,EQ,27-May-2011,11.45,11.50,12.00,11.40,11.70,11.80,11.75,718310,84.39,-,249428,34.72
SERVALL,EQ,30-May-2011,11.80,11.70,11.90,11.45,11.55,11.50,11.64,346751,40.36,-,146821,42.34
SERVALL,EQ,31-May-2011,11.50,11.50,11.65,11.05,11.05,11.10,11.26,312595,35.19,-,185566,59.36
SERVALL,EQ,01-Jun-2011,11.10,11.30,11.30,10.70,10.80,10.85,10.81,385280,41.66,1150,148876,38.64
SERVALL,EQ,02-Jun-2011,10.85,10.80,10.95,10.45,10.55,10.60,10.64,394644,42.00,1148,147712,37.43
SERVALL,EQ,03-Jun-2011,10.60,10.45,10.95,10.45,10.50,10.55,10.70,238879,25.55,838,92836,38.86
SERVALL,EQ,06-Jun-2011,10.55,10.50,10.70,10.30,10.30,10.35,10.44,172307,17.98,533,67698,39.29
SERVALL,EQ,07-Jun-2011,10.35,10.20,10.85,10.20,10.50,10.45,10.55,227287,23.97,887,54054,23.78
SERVALL,EQ,08-Jun-2011,10.45,10.50,11.10,10.30,10.60,10.60,10.72,317455,34.02,880,75020,23.63
SERVALL,EQ,09-Jun-2011,10.60,10.50,10.80,10.50,10.50,10.55,10.60,154431,16.37,486,51968,33.65
SERVALL,EQ,10-Jun-2011,10.55,10.55,10.55,10.10,10.40,10.20,10.28,199871,20.55,735,96737,48.40
SERVALL,EQ,13-Jun-2011,10.20,10.20,10.40,10.05,10.35,10.25,10.29,180900,18.61,591,70754,39.11
SERVALL,EQ,14-Jun-2011,10.25,10.25,10.45,9.85,9.95,9.95,10.12,221209,22.38,639,139128,62.89
SERVALL,EQ,15-Jun-2011,9.95,10.10,10.15,9.70,9.90,9.80,9.93,194822,19.35,547,104854,53.82
