Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SHREYASHIP,EQ,02-Jan-2006,186.80,195.00,196.15,194.00,196.15,196.15,195.97,18506,36.27,-,16030,86.62
SHREYASHIP,EQ,03-Jan-2006,196.15,201.95,206.00,201.95,206.00,206.00,205.17,61492,126.16,-,22124,35.98
SHREYASHIP,EQ,04-Jan-2006,206.00,210.90,215.00,203.00,206.00,204.40,208.13,45886,95.50,-,29951,65.27
SHREYASHIP,EQ,05-Jan-2006,204.40,207.00,209.90,196.00,198.00,198.00,202.26,31060,62.82,-,18629,59.98
SHREYASHIP,EQ,06-Jan-2006,198.00,206.75,207.90,202.05,207.90,207.90,206.97,29648,61.36,-,16654,56.17
SHREYASHIP,EQ,09-Jan-2006,207.90,211.80,217.50,211.80,214.00,213.85,214.34,27927,59.86,-,16244,58.17
SHREYASHIP,EQ,10-Jan-2006,213.85,223.80,223.80,205.00,207.00,206.85,209.38,16282,34.09,-,10712,65.79
SHREYASHIP,EQ,12-Jan-2006,206.85,207.00,217.00,202.60,212.00,211.95,212.82,18350,39.05,-,11072,60.34
SHREYASHIP,EQ,13-Jan-2006,211.95,214.00,218.50,213.65,216.30,216.90,216.69,24534,53.16,-,16955,69.11
SHREYASHIP,EQ,16-Jan-2006,216.90,210.10,221.80,210.10,217.00,213.25,215.91,17401,37.57,-,8765,50.37
SHREYASHIP,EQ,17-Jan-2006,213.25,220.00,220.00,210.00,211.00,212.35,213.63,8221,17.56,-,5444,66.22
SHREYASHIP,EQ,18-Jan-2006,212.35,212.00,218.00,201.75,216.00,212.25,206.59,27969,57.78,-,19640,70.22
SHREYASHIP,EQ,19-Jan-2006,212.25,219.00,222.50,210.00,215.00,214.25,216.73,24074,52.17,-,14747,61.26
SHREYASHIP,EQ,20-Jan-2006,214.25,216.10,221.45,215.05,216.00,216.25,217.04,15852,34.40,-,9989,63.01
SHREYASHIP,EQ,23-Jan-2006,216.25,218.00,227.10,218.00,227.10,227.10,225.13,12325,27.75,-,10252,83.18
SHREYASHIP,EQ,24-Jan-2006,227.10,231.50,238.50,231.50,238.50,238.50,237.41,3470,8.24,-,2387,68.79
SHREYASHIP,EQ,25-Jan-2006,238.50,250.45,250.45,240.25,243.50,244.05,246.90,70062,172.99,-,51292,73.21
SHREYASHIP,EQ,27-Jan-2006,244.05,245.50,246.45,235.15,239.00,236.75,239.22,21790,52.13,-,15486,71.07
SHREYASHIP,EQ,30-Jan-2006,236.75,239.00,247.00,224.95,225.55,225.30,226.74,15862,35.96,-,12883,81.22
SHREYASHIP,EQ,31-Jan-2006,225.30,225.50,236.00,214.05,222.10,222.40,223.43,41197,92.05,-,23044,55.94
SHREYASHIP,EQ,01-Feb-2006,222.40,224.00,225.00,211.30,211.30,211.30,216.56,19017,41.18,-,17456,91.79
SHREYASHIP,EQ,02-Feb-2006,211.30,215.00,215.00,200.75,200.75,200.75,202.70,37040,75.08,-,33713,91.02
SHREYASHIP,EQ,03-Feb-2006,200.75,198.00,205.00,190.75,204.00,202.70,198.67,51209,101.74,-,33196,64.82
SHREYASHIP,EQ,06-Feb-2006,202.70,212.75,212.85,205.00,212.85,212.85,209.61,12046,25.25,-,8147,67.63
SHREYASHIP,EQ,07-Feb-2006,212.85,219.80,223.50,207.00,207.00,207.45,212.78,21605,45.97,-,16615,76.90
SHREYASHIP,EQ,08-Feb-2006,207.45,207.00,214.95,204.25,209.60,212.35,210.08,19449,40.86,-,16930,87.05
SHREYASHIP,EQ,10-Feb-2006,212.35,214.45,217.00,203.25,205.00,205.95,208.53,12186,25.41,-,7792,63.94
SHREYASHIP,EQ,13-Feb-2006,205.95,206.25,212.00,205.00,212.00,209.75,207.43,9680,20.08,-,7097,73.32
SHREYASHIP,EQ,14-Feb-2006,209.75,213.95,214.00,205.00,205.00,205.80,207.87,8109,16.86,-,5976,73.70
SHREYASHIP,EQ,15-Feb-2006,205.80,207.00,211.90,204.50,207.60,206.55,207.95,15627,32.50,-,6455,41.31
SHREYASHIP,EQ,16-Feb-2006,206.55,207.20,211.95,206.00,206.00,207.25,208.63,6276,13.09,-,4284,68.26
SHREYASHIP,EQ,17-Feb-2006,207.25,209.00,210.00,205.00,205.00,206.10,207.04,10399,21.53,-,9290,89.34
SHREYASHIP,EQ,20-Feb-2006,206.10,204.50,206.10,199.00,206.10,204.25,203.06,17491,35.52,-,14164,80.98
SHREYASHIP,EQ,21-Feb-2006,204.25,202.10,211.00,202.10,207.55,209.30,206.75,14665,30.32,-,11914,81.24
SHREYASHIP,EQ,22-Feb-2006,209.30,207.00,209.85,202.00,204.00,203.65,205.51,10821,22.24,-,10118,93.50
SHREYASHIP,EQ,23-Feb-2006,203.65,207.70,207.70,189.00,190.00,190.45,197.12,16428,32.38,-,14484,88.17
SHREYASHIP,EQ,24-Feb-2006,190.45,196.90,197.50,192.00,195.00,194.25,195.06,8322,16.23,-,6201,74.51
SHREYASHIP,EQ,27-Feb-2006,194.25,200.00,200.00,191.00,191.00,191.90,196.04,7382,14.47,-,6047,81.92
SHREYASHIP,EQ,28-Feb-2006,191.90,199.70,199.70,187.00,187.55,187.95,191.91,7657,14.69,-,5165,67.45
SHREYASHIP,EQ,01-Mar-2006,187.95,191.00,206.75,190.10,206.75,206.75,202.24,14822,29.98,-,11998,80.95
SHREYASHIP,EQ,02-Mar-2006,206.75,210.00,225.90,210.00,218.00,218.25,220.27,45290,99.76,-,25778,56.92
SHREYASHIP,EQ,03-Mar-2006,218.25,223.00,223.00,211.00,214.60,213.90,216.44,14970,32.40,-,9878,65.99
SHREYASHIP,EQ,06-Mar-2006,213.90,214.00,216.00,205.00,213.95,209.60,211.85,12255,25.96,-,9819,80.12
SHREYASHIP,EQ,07-Mar-2006,209.60,220.00,220.00,201.25,212.50,212.95,212.20,21960,46.60,-,17309,78.82
SHREYASHIP,EQ,08-Mar-2006,212.95,208.00,212.00,206.10,208.70,210.70,209.73,13366,28.03,-,11795,88.25
SHREYASHIP,EQ,09-Mar-2006,210.70,205.00,213.00,205.00,207.35,206.10,208.63,12832,26.77,-,10706,83.43
SHREYASHIP,EQ,10-Mar-2006,206.10,210.00,214.85,207.05,207.30,211.10,210.88,6471,13.65,-,4698,72.60
SHREYASHIP,EQ,13-Mar-2006,211.10,209.95,216.75,206.00,214.30,215.00,213.42,13709,29.26,-,10941,79.81
SHREYASHIP,EQ,14-Mar-2006,215.00,212.00,213.00,204.00,204.00,206.25,209.84,17935,37.63,-,16360,91.22
SHREYASHIP,EQ,16-Mar-2006,206.25,213.00,213.00,204.05,204.05,205.70,209.32,18971,39.71,-,17229,90.82
SHREYASHIP,EQ,17-Mar-2006,205.70,205.00,208.00,198.00,198.00,201.55,205.67,14412,29.64,-,14060,97.56
SHREYASHIP,EQ,20-Mar-2006,201.55,198.00,203.00,197.50,200.00,199.85,199.73,5749,11.48,-,4955,86.19
SHREYASHIP,EQ,21-Mar-2006,199.85,198.00,202.00,194.15,196.50,195.55,198.33,8872,17.60,-,5798,65.35
SHREYASHIP,EQ,22-Mar-2006,195.55,191.70,195.00,186.10,188.00,187.95,190.00,9021,17.14,-,7708,85.45
SHREYASHIP,EQ,23-Mar-2006,187.95,190.50,191.00,182.80,182.80,186.60,188.84,8133,15.36,-,6913,85.00
SHREYASHIP,EQ,24-Mar-2006,186.60,186.65,191.00,183.50,187.00,189.70,186.46,18612,34.70,-,10112,54.33
SHREYASHIP,EQ,27-Mar-2006,189.70,190.00,190.00,184.00,185.00,186.50,186.63,11872,22.16,-,5008,42.18
SHREYASHIP,EQ,28-Mar-2006,186.50,189.95,189.95,182.50,186.00,185.45,184.86,3799,7.02,-,3034,79.86
SHREYASHIP,EQ,29-Mar-2006,185.45,185.05,187.00,184.00,184.00,184.00,185.14,2969,5.50,-,2869,96.63
SHREYASHIP,EQ,30-Mar-2006,184.00,188.50,194.50,188.00,188.10,188.00,189.89,4885,9.28,-,4475,91.61
SHREYASHIP,EQ,31-Mar-2006,188.00,192.95,205.00,192.00,205.00,203.50,201.34,10770,21.68,-,9783,90.84
SHREYAS,EQ,03-Apr-2006,203.50,200.00,204.45,191.10,196.00,198.15,200.18,3823,7.65,-,2979,77.92
SHREYAS,EQ,04-Apr-2006,198.15,197.45,202.00,192.60,199.75,197.70,198.92,4961,9.87,-,3757,75.73
SHREYAS,EQ,05-Apr-2006,197.70,198.00,200.00,192.70,193.00,194.15,197.97,6216,12.31,-,5265,84.70
SHREYAS,EQ,07-Apr-2006,194.15,203.80,203.80,193.00,194.00,194.95,197.31,14451,28.51,-,12688,87.80
SHREYAS,EQ,10-Apr-2006,194.95,190.50,195.00,185.25,185.25,186.55,188.18,15286,28.77,-,13385,87.56
SHREYAS,EQ,12-Apr-2006,186.55,181.25,194.25,181.25,185.10,187.90,190.46,25847,49.23,-,23546,91.10
SHREYAS,EQ,13-Apr-2006,187.90,183.50,189.00,180.00,183.00,181.35,181.98,10500,19.11,-,8665,82.52
SHREYAS,EQ,17-Apr-2006,181.35,175.00,187.95,165.00,183.00,182.20,178.85,14556,26.03,-,12116,83.24
SHREYAS,EQ,18-Apr-2006,182.20,175.00,190.00,175.00,186.10,186.25,184.65,5309,9.80,-,3212,60.50
SHREYAS,EQ,19-Apr-2006,186.25,193.75,193.75,181.15,182.00,182.25,185.93,7496,13.94,-,7047,94.01
SHREYAS,EQ,20-Apr-2006,182.25,184.95,189.00,181.10,189.00,187.05,185.16,1795,3.32,-,915,50.97
SHREYAS,EQ,21-Apr-2006,187.05,188.00,188.50,182.00,182.20,185.40,184.92,1310,2.42,-,910,69.47
SHREYAS,EQ,24-Apr-2006,185.40,186.00,188.90,184.05,184.25,185.40,185.98,6458,12.01,-,6017,93.17
SHREYAS,EQ,25-Apr-2006,185.40,190.95,190.95,180.55,180.55,181.20,184.24,2145,3.95,-,1885,87.88
SHREYAS,EQ,26-Apr-2006,181.20,184.00,188.00,182.30,187.00,187.60,185.16,2650,4.91,-,1620,61.13
SHREYAS,EQ,27-Apr-2006,187.60,182.10,197.00,182.10,194.00,193.60,194.01,20776,40.31,-,18971,91.31
SHREYAS,EQ,28-Apr-2006,193.60,188.00,196.10,185.50,194.75,194.90,190.86,3964,7.57,-,3622,91.37
SHREYAS,EQ,29-Apr-2006,194.90,194.00,197.00,171.00,193.20,195.15,191.36,2904,5.56,-,2103,72.42
SHREYAS,EQ,02-May-2006,195.15,188.05,210.90,188.05,208.50,208.95,204.69,24835,50.84,-,22533,90.73
SHREYAS,EQ,03-May-2006,208.95,205.25,212.00,201.55,210.00,208.85,206.37,8428,17.39,-,6730,79.85
SHREYAS,EQ,04-May-2006,208.85,209.50,210.00,205.00,205.05,205.20,206.33,11024,22.75,-,9730,88.26
SHREYAS,EQ,05-May-2006,205.20,204.45,207.00,202.00,205.15,205.15,204.29,2146,4.38,-,1694,78.94
SHREYAS,EQ,08-May-2006,205.15,197.00,246.20,197.00,246.20,246.20,233.96,46480,108.74,-,27960,60.15
SHREYAS,EQ,09-May-2006,246.20,263.00,288.00,257.80,260.00,260.10,273.65,369818,1012.02,-,105326,28.48
SHREYAS,EQ,10-May-2006,260.10,266.65,269.80,259.00,264.00,264.30,265.25,61233,162.42,-,33407,54.56
SHREYAS,EQ,11-May-2006,264.30,264.00,264.00,235.65,255.95,254.60,255.08,9572,24.42,-,7195,75.17
SHREYAS,EQ,12-May-2006,254.60,243.50,275.00,243.50,262.45,261.50,261.10,34606,90.36,-,13693,39.57
SHREYAS,EQ,15-May-2006,261.50,263.00,267.00,260.00,260.00,260.30,261.32,29699,77.61,-,19839,66.80
SHREYAS,EQ,16-May-2006,260.30,260.00,260.00,249.95,251.00,253.35,252.01,60323,152.02,-,52761,87.46
SHREYAS,EQ,17-May-2006,253.35,230.00,279.70,230.00,270.30,275.85,264.23,66158,174.81,-,47931,72.45
SHREYAS,EQ,18-May-2006,275.85,265.05,270.00,250.05,258.50,260.15,260.12,25092,65.27,-,18944,75.50
SHREYAS,EQ,19-May-2006,260.15,260.00,264.95,250.00,260.05,260.00,259.63,23186,60.20,-,20300,87.55
SHREYAS,EQ,22-May-2006,260.00,259.50,263.00,219.00,240.00,253.80,255.15,48883,124.73,-,41370,84.63
