Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SIMBHALS,BE,14-Mar-2016,28.60,30.00,31.50,28.50,28.50,28.50,29.71,6818,2.03,38,-,-
SIMBHALS,BE,15-Mar-2016,28.50,27.50,27.50,27.10,27.10,27.10,27.12,3568,0.97,26,-,-
SIMBHALS,BE,16-Mar-2016,27.10,25.75,25.75,25.75,25.75,25.75,25.75,5314,1.37,13,-,-
SIMBHALS,BE,17-Mar-2016,25.75,24.50,27.00,24.50,27.00,27.00,25.81,92650,23.92,258,-,-
SIMBHALS,BE,18-Mar-2016,27.00,26.20,28.05,25.65,25.65,25.70,26.60,26654,7.09,135,-,-
SIMBHALS,BE,21-Mar-2016,25.70,26.95,26.95,26.25,26.60,26.80,26.86,22797,6.12,100,-,-
SIMBHALS,BE,22-Mar-2016,26.80,28.00,28.10,27.10,28.10,28.10,27.94,37192,10.39,139,-,-
SIMBHALS,BE,23-Mar-2016,28.10,29.30,29.50,28.80,29.50,29.50,29.38,24399,7.17,141,-,-
SIMBHALS,BE,28-Mar-2016,29.50,30.90,30.95,30.90,30.95,30.95,30.95,19655,6.08,65,-,-
SIMBHALS,BE,29-Mar-2016,30.95,32.00,32.45,31.80,31.85,32.00,32.42,56852,18.43,162,-,-
SIMBHALS,EQ,30-Mar-2016,32.00,32.80,38.40,32.50,38.40,38.40,38.06,132951,50.60,994,91828,69.07
SIMBHALS,EQ,31-Mar-2016,38.40,39.30,44.95,37.30,37.80,38.40,41.07,305802,125.58,2332,136537,44.65
SIMBHALS,EQ,01-Apr-2016,38.40,38.50,42.60,37.60,37.60,38.35,39.54,212477,84.02,1372,117443,55.27
SIMBHALS,EQ,04-Apr-2016,38.35,38.85,40.70,36.10,36.65,36.75,38.71,214585,83.07,1113,121254,56.51
SIMBHALS,EQ,05-Apr-2016,36.75,36.05,36.05,33.50,33.85,34.15,34.49,175754,60.61,877,121332,69.04
SIMBHALS,EQ,06-Apr-2016,34.15,34.00,40.30,34.00,37.80,37.95,37.83,546170,206.60,3170,310611,56.87
SIMBHALS,EQ,07-Apr-2016,37.95,38.00,38.75,35.75,36.25,36.15,36.84,190215,70.07,2063,113948,59.90
SIMBHALS,EQ,08-Apr-2016,36.15,36.65,37.45,35.20,35.75,35.80,36.27,143644,52.10,1735,66819,46.52
SIMBHALS,EQ,11-Apr-2016,35.80,36.60,36.60,34.00,34.75,34.70,34.97,109166,38.17,942,61113,55.98
SIMBHALS,EQ,12-Apr-2016,34.70,35.00,35.40,31.50,33.10,33.05,32.99,196188,64.72,1406,100716,51.34
