Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SIYSIL,EQ,29-Jan-2007,221.50,200.00,249.00,200.00,218.95,216.60,226.05,2326,5.26,-,1005,43.21
SIYSIL,EQ,31-Jan-2007,216.60,213.60,213.60,213.15,213.60,213.60,213.36,400,0.85,-,375,93.75
SIYSIL,EQ,01-Feb-2007,213.60,212.00,220.00,212.00,212.55,212.55,214.68,759,1.63,-,400,52.70
SIYSIL,EQ,02-Feb-2007,212.55,215.00,215.00,207.00,207.00,209.75,213.10,143,0.30,-,106,74.13
SIYSIL,EQ,05-Feb-2007,209.75,207.90,207.90,204.00,204.00,205.75,206.10,65,0.13,-,65,100.00
SIYSIL,EQ,06-Feb-2007,205.75,234.50,234.50,205.25,205.25,205.25,219.88,16,0.04,-,0,0.00
SIYSIL,EQ,07-Feb-2007,205.25,208.00,235.00,197.25,197.30,197.25,218.64,2749,6.01,-,304,11.06
SIYSIL,EQ,08-Feb-2007,197.25,215.00,215.00,194.10,194.10,194.10,204.74,4716,9.66,-,426,9.03
SIYSIL,EQ,09-Feb-2007,194.10,202.95,202.95,191.00,201.00,198.50,198.47,241,0.48,-,28,11.62
SIYSIL,EQ,12-Feb-2007,198.50,204.90,204.90,182.00,194.90,194.90,189.08,6232,11.78,-,230,3.69
SIYSIL,EQ,13-Feb-2007,194.90,199.90,199.90,180.15,185.05,185.05,186.48,433,0.81,-,344,79.45
SIYSIL,EQ,14-Feb-2007,185.05,197.50,197.50,172.10,185.00,185.00,181.41,757,1.37,-,327,43.20
SIYSIL,EQ,15-Feb-2007,185.00,199.65,199.65,183.20,183.20,183.20,184.65,32,0.06,-,30,93.75
SIYSIL,EQ,19-Feb-2007,183.20,183.00,190.00,183.00,190.00,190.00,186.46,593,1.11,-,392,66.10
SIYSIL,EQ,20-Feb-2007,190.00,193.00,193.05,193.00,193.05,193.05,193.00,31,0.06,-,31,100.00
SIYSIL,EQ,21-Feb-2007,193.05,187.00,194.95,175.50,194.95,194.00,186.26,1250,2.33,-,625,50.00
SIYSIL,EQ,22-Feb-2007,194.00,181.00,199.00,181.00,195.00,195.00,189.20,5000,9.46,-,0,0.00
SIYSIL,EQ,23-Feb-2007,195.00,166.10,194.90,166.10,175.00,175.00,173.37,275,0.48,-,175,63.64
SIYSIL,EQ,26-Feb-2007,175.00,163.00,198.00,163.00,190.00,190.00,186.41,2840,5.29,-,30,1.06
SIYSIL,EQ,27-Feb-2007,190.00,197.00,197.00,172.40,188.95,188.95,186.29,2861,5.33,-,257,8.98
SIYSIL,EQ,28-Feb-2007,188.95,161.20,188.05,161.00,173.00,173.10,169.42,207,0.35,-,75,36.23
SIYSIL,EQ,01-Mar-2007,173.10,180.00,180.00,180.00,180.00,180.00,180.00,4,0.01,-,4,100.00
SIYSIL,EQ,02-Mar-2007,180.00,168.00,210.00,168.00,178.40,178.40,185.67,9130,16.95,-,95,1.04
SIYSIL,EQ,05-Mar-2007,178.40,161.50,177.00,161.50,172.00,170.55,168.15,772,1.30,-,302,39.12
SIYSIL,EQ,06-Mar-2007,170.55,175.00,175.00,150.00,151.00,151.00,152.61,1352,2.06,-,1246,92.16
SIYSIL,EQ,07-Mar-2007,151.00,175.00,175.00,145.50,162.00,159.20,156.21,1806,2.82,-,723,40.03
SIYSIL,EQ,08-Mar-2007,159.20,147.10,170.00,147.00,150.00,159.25,154.99,1106,1.71,-,229,20.71
SIYSIL,EQ,09-Mar-2007,159.25,176.00,176.00,152.50,152.50,152.60,156.16,2214,3.46,-,214,9.67
SIYSIL,EQ,12-Mar-2007,152.60,160.00,160.00,148.05,148.05,148.05,151.01,63,0.10,-,63,100.00
