Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SOLAREX,EQ,03-Apr-2006,190.00,225.00,290.00,220.25,263.85,264.60,264.71,10278459,27208.13,-,1494467,14.54
SOLAREX,EQ,04-Apr-2006,264.60,268.65,271.40,250.20,250.20,252.25,259.74,2135640,5547.06,-,352737,16.52
SOLAREX,EQ,05-Apr-2006,252.25,251.50,256.40,242.10,245.70,244.85,248.84,1262649,3141.99,-,165803,13.13
SOLAREX,EQ,07-Apr-2006,244.85,246.00,253.40,238.10,239.50,240.70,246.04,722532,1777.74,-,158363,21.92
SOLAREX,EQ,10-Apr-2006,240.70,242.00,262.30,235.65,254.90,255.25,255.78,1129850,2889.95,-,208780,18.48
SOLAREX,EQ,12-Apr-2006,255.25,255.25,255.25,236.25,240.00,238.95,245.16,242735,595.08,-,104083,42.88
SOLAREX,EQ,13-Apr-2006,238.95,243.70,245.00,231.15,234.00,236.10,237.70,334892,796.02,-,120833,36.08
SOLAREX,EQ,17-Apr-2006,236.10,237.00,245.80,236.00,239.15,239.20,240.24,179814,431.98,-,81377,45.26
SOLAREX,EQ,18-Apr-2006,239.20,241.00,243.50,237.55,238.50,238.20,239.66,159133,381.38,-,80706,50.72
SOLAREX,EQ,19-Apr-2006,238.20,237.90,250.50,237.90,240.00,240.95,243.17,163526,397.65,-,46664,28.54
SOLAREX,EQ,20-Apr-2006,240.95,245.00,245.00,238.05,242.00,240.05,240.69,64631,155.56,-,22349,34.58
SOLAREX,EQ,21-Apr-2006,240.05,260.00,260.95,238.25,256.00,257.60,253.10,348882,883.03,-,134824,38.64
SOLAREX,EQ,24-Apr-2006,257.60,247.00,272.00,247.00,269.10,268.90,265.55,549469,1459.11,-,154368,28.09
SOLAREX,EQ,25-Apr-2006,268.90,268.90,277.00,256.50,259.80,260.95,270.61,363937,984.86,-,101134,27.79
SOLAREX,EQ,26-Apr-2006,260.95,255.15,304.00,255.15,283.80,284.15,285.54,814505,2325.74,-,178483,21.91
SOLAREX,EQ,27-Apr-2006,284.15,286.40,291.70,275.00,276.00,276.75,282.77,256013,723.92,-,60412,23.60
SOLAREX,EQ,28-Apr-2006,276.75,265.50,273.00,244.00,268.50,266.90,266.64,77130,205.66,-,20211,26.20
SOLAREX,EQ,29-Apr-2006,266.90,269.90,283.00,269.90,275.00,274.05,276.63,51425,142.26,-,19773,38.45
SOLAREX,EQ,02-May-2006,274.05,274.00,284.95,271.00,275.90,276.55,278.69,60889,169.69,-,24020,39.45
SOLAREX,EQ,03-May-2006,276.55,278.00,290.00,270.50,272.80,275.15,280.99,109811,308.56,-,25374,23.11
SOLAREX,EQ,04-May-2006,275.15,276.00,278.70,261.55,262.50,263.80,270.02,56754,153.25,-,24456,43.09
SOLAREX,EQ,05-May-2006,263.80,263.80,271.00,255.15,256.15,258.70,261.93,53811,140.94,-,20238,37.61
SOLAREX,EQ,08-May-2006,258.70,259.00,260.00,242.10,245.00,244.50,246.91,136215,336.33,-,97593,71.65
SOLAREX,EQ,09-May-2006,244.50,255.00,255.00,246.20,250.50,250.15,251.38,57675,144.98,-,30331,52.59
SOLAREX,EQ,10-May-2006,250.15,253.90,253.90,243.15,248.00,247.55,248.49,38788,96.38,-,28659,73.89
SOLAREX,EQ,11-May-2006,247.55,248.00,249.50,243.50,245.60,244.90,246.24,13765,33.89,-,6597,47.93
SOLAREX,EQ,12-May-2006,244.90,242.80,249.70,242.70,242.70,243.55,245.34,14029,34.42,-,6106,43.52
SOLAREX,EQ,15-May-2006,243.55,244.00,249.00,234.00,237.00,238.20,239.07,40963,97.93,-,26700,65.18
SOLAREX,EQ,16-May-2006,238.20,240.25,244.00,224.00,231.00,228.40,230.07,127855,294.16,-,90034,70.42
SOLAREX,EQ,17-May-2006,228.40,235.00,242.00,230.50,234.50,235.35,236.07,25468,60.12,-,14077,55.27
SOLAREX,EQ,18-May-2006,235.35,235.90,236.50,226.05,236.50,231.90,230.99,65806,152.01,-,32465,49.33
SOLAREX,EQ,19-May-2006,231.90,232.10,239.95,205.00,205.35,211.15,223.16,50371,112.41,-,25296,50.22
SOLAREX,EQ,22-May-2006,211.15,207.00,210.00,170.00,187.90,186.20,188.09,25867,48.65,-,17927,69.30
SOLAREX,EQ,23-May-2006,186.20,175.10,210.00,175.10,210.00,205.00,199.05,27782,55.30,-,18806,67.69
SOLAREX,EQ,24-May-2006,205.00,210.00,221.80,197.50,210.75,211.25,210.70,36960,77.88,-,19054,51.55
SOLAREX,EQ,25-May-2006,211.25,206.00,210.00,206.00,206.60,206.05,206.53,12547,25.91,-,10798,86.06
SOLAREX,EQ,26-May-2006,206.05,207.15,220.00,207.00,214.00,214.30,212.39,16498,35.04,-,6554,39.73
SOLAREX,EQ,29-May-2006,214.30,218.95,219.90,205.15,213.05,211.65,214.28,16086,34.47,-,10942,68.02
SOLAREX,EQ,30-May-2006,211.65,219.00,222.00,204.05,207.00,205.40,210.82,29183,61.52,-,16843,57.72
SOLAREX,EQ,31-May-2006,205.40,202.00,202.00,190.00,196.60,196.50,193.16,19152,36.99,-,9138,47.71
SOLAREX,EQ,01-Jun-2006,196.50,204.00,207.00,181.10,182.00,187.05,194.57,16198,31.52,-,9465,58.43
SOLAREX,EQ,02-Jun-2006,187.05,184.00,187.85,174.00,186.00,183.50,178.04,14285,25.43,-,9579,67.06
SOLAREX,EQ,05-Jun-2006,183.50,185.50,186.00,178.00,178.10,180.70,181.55,10468,19.01,-,6585,62.91
SOLAREX,EQ,06-Jun-2006,180.70,174.00,175.00,165.00,165.00,166.60,169.81,12981,22.04,-,9367,72.16
SOLAREX,EQ,07-Jun-2006,166.60,166.75,168.00,148.00,152.00,151.70,157.32,13231,20.81,-,8193,61.92
SOLAREX,EQ,08-Jun-2006,151.70,151.00,151.00,121.40,121.40,122.10,126.75,15500,19.65,-,9549,61.61
SOLAREX,EQ,09-Jun-2006,122.10,120.00,139.50,120.00,139.00,135.70,132.62,16456,21.82,-,11788,71.63
SOLAREX,EQ,12-Jun-2006,135.70,143.00,144.95,135.00,138.50,139.80,140.20,9332,13.08,-,5572,59.71
SOLAREX,EQ,13-Jun-2006,139.80,137.00,138.00,128.00,131.80,132.65,130.67,15946,20.84,-,12481,78.27
SOLAREX,EQ,14-Jun-2006,132.65,134.95,136.00,119.40,126.65,127.15,124.16,22327,27.72,-,11023,49.37
SOLAREX,EQ,15-Jun-2006,127.15,115.00,131.00,115.00,128.95,128.40,127.25,5478,6.97,-,2893,52.81
