Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SPLLTD,BE,02-Jan-2006,80.85,82.00,82.75,81.00,82.75,82.75,81.84,825,0.68,-,-,-
SPLLTD,BE,03-Jan-2006,82.75,83.45,86.90,80.00,85.50,86.05,85.61,10989,9.41,-,-,-
SPLLTD,BE,04-Jan-2006,86.05,89.35,89.35,83.50,84.10,84.75,85.42,2750,2.35,-,-,-
SPLLTD,BE,05-Jan-2006,84.75,84.00,85.00,82.75,82.75,82.75,83.80,1210,1.01,-,-,-
SPLLTD,BE,06-Jan-2006,82.75,85.00,86.00,83.70,84.00,83.95,85.21,13700,11.67,-,-,-
SPLLTD,BE,09-Jan-2006,83.95,83.00,84.00,82.50,84.00,84.00,83.13,2720,2.26,-,-,-
SPLLTD,BE,10-Jan-2006,84.00,80.10,82.00,80.05,81.00,81.00,81.24,10825,8.79,-,-,-
SPLLTD,BE,12-Jan-2006,81.00,81.00,83.40,81.00,81.00,81.00,81.06,11437,9.27,-,-,-
SPLLTD,BE,13-Jan-2006,81.00,84.00,84.00,80.50,81.00,81.05,80.86,11980,9.69,-,-,-
SPLLTD,BE,16-Jan-2006,81.05,82.90,82.90,80.05,82.75,80.65,80.73,16233,13.10,-,-,-
SPLLTD,BE,17-Jan-2006,80.65,80.10,81.50,79.75,79.75,80.50,80.77,13108,10.59,-,-,-
SPLLTD,BE,18-Jan-2006,80.50,81.00,81.00,77.50,78.50,78.50,78.57,5450,4.28,-,-,-
SPLLTD,BE,19-Jan-2006,78.50,80.00,82.45,78.00,82.45,82.25,80.30,2281,1.83,-,-,-
SPLLTD,BE,20-Jan-2006,82.25,86.40,86.40,84.20,85.00,85.10,85.07,9760,8.30,-,-,-
SPLLTD,BE,23-Jan-2006,85.10,84.00,85.75,84.00,85.00,85.00,84.81,7821,6.63,-,-,-
SPLLTD,BE,24-Jan-2006,85.00,82.60,84.00,82.50,83.00,83.00,83.39,2380,1.98,-,-,-
SPLLTD,BE,25-Jan-2006,83.00,83.00,87.15,81.00,85.00,85.00,83.06,14038,11.66,-,-,-
SPLLTD,BE,27-Jan-2006,85.00,85.00,85.00,82.00,82.00,82.00,84.77,2990,2.53,-,-,-
SPLLTD,BE,30-Jan-2006,82.00,84.80,86.10,82.50,86.10,86.10,84.32,3054,2.58,-,-,-
SPLLTD,BE,31-Jan-2006,86.10,86.00,90.40,86.00,86.40,86.40,88.30,11285,9.96,-,-,-
SPLLTD,BE,01-Feb-2006,86.40,84.50,85.00,82.15,82.15,82.15,83.29,5720,4.76,-,-,-
SPLLTD,BE,02-Feb-2006,82.15,85.00,85.00,78.30,78.50,78.75,79.15,2475,1.96,-,-,-
SPLLTD,BE,03-Feb-2006,78.75,79.20,79.20,75.00,75.50,75.90,75.30,8449,6.36,-,-,-
SPLLTD,BE,06-Feb-2006,75.90,78.85,78.85,76.50,76.50,76.50,76.69,299,0.23,-,-,-
SPLLTD,BE,07-Feb-2006,76.50,78.95,80.35,77.25,80.30,80.30,79.82,2413,1.93,-,-,-
SPLLTD,BE,08-Feb-2006,80.30,80.00,81.50,80.00,81.00,81.00,80.98,2458,1.99,-,-,-
SPLLTD,BE,10-Feb-2006,81.00,82.00,83.90,81.00,81.40,81.35,81.87,1410,1.15,-,-,-
SPLLTD,BE,13-Feb-2006,81.35,84.65,84.80,83.05,83.05,83.05,84.18,3105,2.61,-,-,-
SPLLTD,BE,14-Feb-2006,83.05,83.50,86.00,83.50,85.00,85.10,84.91,10963,9.31,-,-,-
SPLLTD,BE,15-Feb-2006,85.10,85.50,85.50,81.05,83.25,82.00,82.09,24260,19.91,-,-,-
SPLLTD,BE,16-Feb-2006,82.00,80.15,86.10,80.15,84.00,84.40,84.71,6075,5.15,-,-,-
SPLLTD,EQ,17-Feb-2006,84.40,85.40,86.80,83.80,85.80,85.25,85.20,3352,2.86,-,2611,77.89
SPLLTD,EQ,20-Feb-2006,85.25,82.05,84.40,82.05,82.15,82.15,82.13,305,0.25,-,301,98.69
SPLLTD,EQ,21-Feb-2006,82.15,81.00,85.75,81.00,84.75,84.75,84.26,2963,2.50,-,2123,71.65
SPLLTD,EQ,22-Feb-2006,84.75,87.50,89.00,85.75,87.50,86.60,87.62,5127,4.49,-,3845,75.00
SPLLTD,EQ,23-Feb-2006,86.60,83.05,85.00,83.00,83.00,83.00,83.94,3256,2.73,-,2902,89.13
SPLLTD,EQ,24-Feb-2006,83.00,83.00,84.95,83.00,83.75,83.75,83.90,1385,1.16,-,485,35.02
