Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SONASTEER,EQ,02-Jan-2006,73.05,74.60,74.60,71.50,72.05,72.35,72.87,41970,30.58,-,29607,70.54
SONASTEER,EQ,03-Jan-2006,72.35,72.50,73.35,72.40,72.90,72.75,72.79,32724,23.82,-,23166,70.79
SONASTEER,EQ,04-Jan-2006,72.75,73.00,73.10,71.50,72.40,71.85,72.26,33542,24.24,-,23126,68.95
SONASTEER,EQ,05-Jan-2006,71.85,72.05,72.60,71.00,71.50,71.50,71.81,33361,23.96,-,24684,73.99
SONASTEER,EQ,06-Jan-2006,71.50,71.95,72.00,70.75,71.20,71.30,71.52,36263,25.93,-,25070,69.13
SONASTEER,EQ,09-Jan-2006,71.30,77.00,77.00,72.60,74.50,75.05,74.93,172051,128.92,-,100631,58.49
SONASTEER,EQ,10-Jan-2006,75.05,74.50,77.25,73.25,73.65,74.50,75.68,203807,154.24,-,103803,50.93
SONASTEER,EQ,12-Jan-2006,74.50,72.10,76.00,72.10,74.00,74.15,74.47,58130,43.29,-,24707,42.50
SONASTEER,EQ,13-Jan-2006,74.15,73.25,75.00,73.00,73.55,73.35,74.08,35026,25.95,-,24565,70.13
SONASTEER,EQ,16-Jan-2006,73.35,75.85,76.90,72.05,72.05,72.30,73.93,31073,22.97,-,15559,50.07
SONASTEER,EQ,17-Jan-2006,72.30,73.65,74.40,71.10,71.30,71.80,72.09,170934,123.23,-,121471,71.06
SONASTEER,EQ,18-Jan-2006,71.80,71.50,72.10,68.10,72.00,71.35,70.30,200516,140.96,-,87069,43.42
SONASTEER,EQ,19-Jan-2006,71.35,69.00,71.90,68.60,68.95,69.40,69.81,72760,50.79,-,56385,77.49
SONASTEER,EQ,20-Jan-2006,69.40,70.00,70.90,68.60,68.60,68.90,69.56,68458,47.62,-,53154,77.64
SONASTEER,EQ,23-Jan-2006,68.90,68.60,70.00,65.10,68.00,67.95,68.12,112621,76.72,-,104248,92.57
SONASTEER,EQ,24-Jan-2006,67.95,68.75,72.00,68.10,69.50,69.00,69.98,93582,65.49,-,73324,78.35
SONASTEER,EQ,25-Jan-2006,69.00,69.10,69.50,68.15,68.20,68.65,68.89,36774,25.33,-,30676,83.42
SONASTEER,EQ,27-Jan-2006,68.65,69.25,69.90,67.35,67.80,67.65,68.63,60380,41.44,-,39970,66.20
SONASTEER,EQ,30-Jan-2006,67.65,68.55,68.55,64.20,64.80,64.50,65.26,88344,57.66,-,73923,83.68
SONASTEER,EQ,31-Jan-2006,64.50,65.00,66.40,64.05,65.00,64.80,65.45,49153,32.17,-,39502,80.37
SONASTEER,EQ,01-Feb-2006,64.80,65.00,66.40,64.10,64.40,64.30,65.31,31084,20.30,-,23664,76.13
SONASTEER,EQ,02-Feb-2006,64.30,64.10,65.25,61.00,62.75,62.60,62.46,218010,136.16,-,202289,92.79
SONASTEER,EQ,03-Feb-2006,62.60,62.95,63.50,62.30,63.15,63.20,62.90,34577,21.75,-,28347,81.98
SONASTEER,EQ,06-Feb-2006,63.20,63.00,67.00,62.80,64.70,64.75,64.90,63114,40.96,-,31124,49.31
SONASTEER,EQ,07-Feb-2006,64.75,64.00,71.95,64.00,69.20,68.85,68.44,387202,265.00,-,161284,41.65
SONASTEER,EQ,08-Feb-2006,68.85,71.00,71.50,68.80,69.20,69.40,70.27,160569,112.83,-,78274,48.75
SONASTEER,EQ,10-Feb-2006,69.40,69.40,71.45,68.50,70.00,69.75,70.35,151535,106.60,-,87300,57.61
SONASTEER,EQ,13-Feb-2006,69.75,70.95,75.00,70.10,75.00,74.65,73.37,280570,205.85,-,164532,58.64
SONASTEER,EQ,14-Feb-2006,74.65,75.00,77.40,71.50,72.25,71.95,74.45,302967,225.55,-,159547,52.66
SONASTEER,EQ,15-Feb-2006,71.95,70.05,75.90,70.05,74.55,74.55,74.68,354108,264.45,-,176640,49.88
SONASTEER,EQ,16-Feb-2006,74.55,77.30,79.00,74.50,77.60,77.30,77.36,507365,392.48,-,277909,54.77
SONASTEER,EQ,17-Feb-2006,77.30,78.55,79.15,73.75,74.05,74.30,76.40,128972,98.54,-,70702,54.82
SONASTEER,EQ,20-Feb-2006,74.30,74.40,76.50,71.00,75.50,75.70,74.24,150844,111.99,-,90920,60.27
SONASTEER,EQ,21-Feb-2006,75.70,76.00,77.10,74.00,75.00,74.70,75.69,109832,83.13,-,69564,63.34
SONASTEER,EQ,22-Feb-2006,74.70,75.00,76.85,74.10,74.10,74.55,75.03,95381,71.56,-,57704,60.50
SONASTEER,EQ,23-Feb-2006,74.55,74.75,77.00,74.00,74.40,74.25,75.16,75806,56.98,-,53160,70.13
SONASTEER,EQ,24-Feb-2006,74.25,75.90,75.90,73.50,74.80,75.25,74.56,44866,33.45,-,27523,61.34
SONASTEER,EQ,27-Feb-2006,75.25,76.80,77.15,74.00,74.75,74.80,75.71,185791,140.66,-,118380,63.72
SONASTEER,EQ,28-Feb-2006,74.80,75.80,77.70,73.20,76.80,77.10,76.44,151807,116.05,-,72791,47.95
SONASTEER,EQ,01-Mar-2006,77.10,77.40,84.70,75.30,81.75,82.15,81.49,784901,639.58,-,349728,44.56
SONASTEER,EQ,02-Mar-2006,82.15,82.50,83.95,80.50,82.25,82.60,82.64,372477,307.83,-,183865,49.36
SONASTEER,EQ,03-Mar-2006,82.60,83.10,87.95,82.50,87.95,86.80,85.56,601117,514.30,-,220849,36.74
SONASTEER,EQ,06-Mar-2006,86.80,88.80,89.00,83.75,84.50,84.50,86.46,379106,327.78,-,190614,50.28
SONASTEER,EQ,07-Mar-2006,84.50,85.00,86.50,83.55,85.20,85.10,85.13,152090,129.48,-,82745,54.41
SONASTEER,EQ,08-Mar-2006,85.10,85.60,87.90,83.65,84.05,84.20,85.81,221359,189.96,-,68885,31.12
SONASTEER,EQ,09-Mar-2006,84.20,84.00,86.45,81.00,83.60,83.55,83.40,104658,87.28,-,55779,53.30
SONASTEER,EQ,10-Mar-2006,83.55,84.40,87.00,83.40,84.50,84.90,85.51,114655,98.04,-,56634,49.40
SONASTEER,EQ,13-Mar-2006,84.90,86.80,92.60,85.50,91.50,91.00,89.56,380921,341.16,-,183822,48.26
SONASTEER,EQ,14-Mar-2006,91.00,92.00,92.00,89.75,90.05,90.05,90.51,215468,195.02,-,132216,61.36
SONASTEER,EQ,16-Mar-2006,90.05,90.70,91.70,87.15,88.50,88.10,89.00,105728,94.10,-,62429,59.05
SONASTEER,EQ,17-Mar-2006,88.10,89.95,89.95,86.10,88.60,88.35,87.44,122004,106.68,-,92523,75.84
SONASTEER,EQ,20-Mar-2006,88.35,88.90,90.40,86.35,87.60,87.65,88.36,122139,107.93,-,65806,53.88
SONASTEER,EQ,21-Mar-2006,87.65,88.10,91.50,88.10,89.15,88.85,89.75,122106,109.60,-,81120,66.43
SONASTEER,EQ,22-Mar-2006,88.85,89.00,91.35,88.25,91.00,90.85,89.78,84526,75.89,-,59109,69.93
SONASTEER,EQ,23-Mar-2006,90.85,91.00,98.30,91.00,93.50,93.75,95.32,239204,228.00,-,108229,45.25
SONASTEER,EQ,24-Mar-2006,93.75,95.00,101.00,93.65,94.50,95.05,95.59,91343,87.31,-,37596,41.16
SONASTEER,EQ,27-Mar-2006,95.05,95.30,97.70,94.70,95.00,95.50,95.98,61086,58.63,-,31058,50.84
SONASTEER,EQ,28-Mar-2006,95.50,96.00,96.00,92.15,92.50,93.25,93.25,43053,40.15,-,24955,57.96
SONASTEER,EQ,29-Mar-2006,93.25,95.90,98.60,91.50,91.50,92.45,94.68,132705,125.64,-,82892,62.46
SONASTEER,EQ,30-Mar-2006,92.45,91.05,96.00,91.05,92.50,92.40,92.70,56608,52.47,-,33623,59.40
SONASTEER,EQ,31-Mar-2006,92.40,93.40,95.00,92.20,93.00,93.20,93.21,93895,87.52,-,61457,65.45
SONASTEER,EQ,03-Apr-2006,93.20,94.00,98.25,93.55,95.65,95.65,95.92,168992,162.09,-,112114,66.34
SONASTEER,EQ,04-Apr-2006,95.65,96.00,98.00,93.80,95.00,94.80,95.80,214392,205.38,-,136144,63.50
SONASTEER,EQ,05-Apr-2006,94.80,97.00,100.15,96.00,97.00,98.50,97.98,291347,285.48,-,150003,51.49
SONASTEER,EQ,07-Apr-2006,98.50,99.45,100.90,95.50,96.40,96.05,98.40,143135,140.85,-,78338,54.73
SONASTEER,EQ,10-Apr-2006,96.05,97.60,99.60,96.55,98.30,98.35,98.07,68018,66.71,-,40194,59.09
SONASTEER,EQ,12-Apr-2006,98.35,99.00,100.00,95.00,95.95,95.50,97.72,79296,77.49,-,41728,52.62
SONASTEER,EQ,13-Apr-2006,95.50,96.00,96.00,88.00,92.45,92.00,91.57,81368,74.51,-,48896,60.09
SONASTEER,EQ,17-Apr-2006,92.00,101.20,101.20,98.65,101.20,101.15,101.06,910741,920.36,-,462664,50.80
SONASTEER,EQ,18-Apr-2006,101.15,104.00,104.00,98.65,99.90,99.75,100.61,516403,519.56,-,266798,51.66
SONASTEER,EQ,19-Apr-2006,99.75,100.05,101.90,98.60,100.00,99.80,100.06,316109,316.30,-,182638,57.78
SONASTEER,EQ,20-Apr-2006,99.80,105.00,107.50,95.05,96.25,96.45,102.32,2471414,2528.69,-,945171,38.24
SONASTEER,EQ,21-Apr-2006,96.45,97.50,98.00,92.00,92.75,93.05,94.69,1018485,964.41,-,414780,40.73
SONASTEER,EQ,24-Apr-2006,93.05,93.65,95.00,90.05,91.15,91.30,92.15,591128,544.72,-,292347,49.46
SONASTEER,EQ,25-Apr-2006,91.30,92.25,92.60,90.00,90.35,90.25,91.10,177975,162.14,-,108939,61.21
SONASTEER,EQ,26-Apr-2006,90.25,92.20,93.50,90.10,92.25,91.65,91.52,203383,186.13,-,102332,50.31
